! Auto-generated by Reform.

MD5	ee339dbdbb0792f67e20bd71bafe0ea5
Action 37	Action37	! 'come' 'to' object
				! 'come' object
Action 38	Action38	! 'come' 'with'/'using'/'by' object
				! 'chase'/'follow'/'pursue'/'trace' attrib30 'to' object
				! 'chase'/'follow'/'pursue'/'trace' attrib30 object
				! 'chase'/'follow'/'pursue'/'trace' object
				! 'drive'/'go'/'head'/'procee'/'run'/'steer'/'walk' 'with'/'using'/'by' object
Action 39	Action39	! 'come' 'with'/'using'/'by' object 'to' object
Action 40	Action40	! 'compar'/'match' object(held,carried,in_room,on_ground) 'with'/'using'/'by' object(held,carried,in_room,on_ground)
				! 'compar'/'match' object(held,carried,in_room,on_ground) 'to' object(held,carried,in_room,on_ground)
				! 'compar'/'match' object(many)
Action 41	Action41	! 'confro' attrib30 'with'/'using'/'by' object
Action 42	Action42	! 'curse'/'damn'/'fuck'/'fudge'/'pee'/'piss'/'poo'/'shit'/'snot' 'onto'/'on' attrib30
				! 'curse'/'damn'/'fuck'/'fudge'/'pee'/'piss'/'poo'/'shit'/'snot' attrib30
				! 'curse'/'damn'/'fuck'/'fudge'/'pee'/'piss'/'poo'/'shit'/'snot'
Action 43	Action43	! 'cut'/'interr' object
Action 44	Action44	! 'break'/'crush'/'damage'/'destro'/'smash' 'down'/'d//' object(held,carried,in_room,on_ground) 'with'/'using'/'by' object(held,carried,take)
				! 'break'/'crush'/'damage'/'destro'/'smash' object(held,carried,in_room,on_ground) 'with'/'using'/'by' object(held,carried,take)
				! 'break'/'crush'/'damage'/'destro'/'smash' object(held,carried,in_room,on_ground)
Action 45	Action45	! 'diagno' object
				! 'diagno'
Action 46	Action46	! 'discus' object 'with'/'using'/'by' object
				! 'discus' object
Action 47	Action47	! 'dive'/'submer' 'undern'/'under'/'beneat' attrib31
				! 'dive'/'submer' 'to' object
				! 'dive'/'submer'
				! 'rise' 'to' object
Action 48	Action48	! 'dock' attrib31
Action 49	Action49	! 'drink'/'imbibe'/'swallo' object(held,carried,in_room,on_ground)
Action 50	Action50	! 'drop'/'lower' object(held,many,have)
				! 'abando'/'debark'/'disemb'/'evacua'/'exit'/'leave' object
				! 'insert'/'instal'/'load'/'mount'/'place'/'put'/'stuff' 'down'/'d//' object(held,many,have)
				! 'carry'/'get'/'grab'/'hold'/'lead'/'remove'/'seize'/'steal'/'take' 'rid' object
				! 'carry'/'get'/'grab'/'hold'/'lead'/'remove'/'seize'/'steal'/'take' 'off' object
				! 'chuck'/'hurl'/'throw'/'toss' 'away' object(held,carried,have)
Action 51	Action51	! 'consum'/'eat' object(held,carried,in_room,on_ground,take,many)
Action 52	Action52	! 'blow'/'drain'/'empty' attrib26(held,carried,in_room,on_ground)
				! 'pump' 'out' attrib26(held,carried,in_room,on_ground)
Action 53	Action53	! 'enter'
Action 54	Action54	! 'descri'/'examin'/'inspec'/'scruti'/'study'/'x//' object(held,carried,in_room,on_ground)
				! 'gaze'/'l//'/'look'/'peek'/'see'/'stare' 'over' object(held,carried,in_room,on_ground)
				! 'gaze'/'l//'/'look'/'peek'/'see'/'stare' 'at' object(held,carried,in_room,on_ground,many)
Action 55	Action55	! 'douse'/'exting' attrib25(held,carried,in_room,on_ground,take,many,have)
				! 'flip'/'shut'/'swing'/'switch'/'turn' 'off' attrib25(held,carried,in_room,on_ground,many) 'with'/'using'/'by' object
				! 'flip'/'shut'/'swing'/'switch'/'turn' 'off' attrib25(held,carried,in_room,on_ground,many)
Action 56	Action56	! 'fill'/'flood' attrib26(held,carried,in_room,on_ground)
Action 57	Action57	! 'detect'/'find'/'locate' object(many,have)
				! 'gaze'/'l//'/'look'/'peek'/'see'/'stare' 'for' object(held,carried,have)
				! 'dig'/'search' 'for' object(held,carried,have)
Action 58	Action58	! 'detect'/'find'/'locate' object(many,have) 'with'/'using'/'by' object
Action 59	Action59	! 'fix'/'repair' object 'with'/'using'/'by' attrib24
				! 'fix'/'repair' object
Action 60	Action60	! 'donate'/'feed'/'give'/'hand'/'offer' object(held,many,have) 'to' attrib30(on_ground)
Action 61	Action61	! 'donate'/'feed'/'give'/'hand'/'offer' attrib30(on_ground) object(held,many,have)
Action 62	Action62	! 'bye'/'good-'/'goodby' object
				! 'bye'/'good-'/'goodby'
Action 63	Action63	! 'hang' 'up'/'u//' attrib31
Action 64	Action64	! 'greet'/'greeti'/'hello'/'hi' object
				! 'greet'/'greeti'/'hello'/'hi'
				! 'nod' 'to' object
				! 'nod' 'at' object
Action 65	Action65	! 'help' attrib30
				! 'help'
				! 'pause'/'save'/'suspen' attrib30
Action 66	Action66	! 'crouch'/'hide' object(held,carried,have) 'undern'/'under'/'beneat' object
				! 'press'/'push' object 'undern'/'under'/'beneat' object
				! 'insert'/'instal'/'load'/'mount'/'place'/'put'/'stuff' object(held,carried,have) 'undern'/'under'/'beneat' object
Action 67	Action67	! 'i//'
				! 'invent'
Action 68	Action68	! 'kill'/'strang' attrib30(in_room,on_ground) 'with'/'using'/'by' attrib29(held,carried,have)
				! 'kill'/'strang' attrib30(in_room,on_ground)
Action 69	Action69	! 'kiss' attrib30(in_room,on_ground)
Action 70	Action70	! 'knock'/'rap' 'at' object
				! 'knock'/'rap' 'onto'/'on' object
Action 71	Action71	! 'launch' attrib31
Action 72	Action72	! 'lean'/'prop'/'stand' 'up'/'u//' attrib31
				! 'lean'/'prop'/'stand'
				! 'carry'/'get'/'grab'/'hold'/'lead'/'remove'/'seize'/'steal'/'take' 'up'/'u//' attrib31
Action 73	Action73	! 'lean'/'prop'/'stand' object 'up'/'u//' object
				! 'lean'/'prop'/'stand' object 'onto'/'on' object
				! 'lean'/'prop'/'stand' object 'agains' object
				! 'insert'/'instal'/'load'/'mount'/'place'/'put'/'stuff' object(held,carried,have) 'agains' object
Action 74	Action74	! 'level' 'out' attrib31
				! 'level' 'off' attrib31
Action 75	Action75	! 'abando'/'debark'/'disemb'/'evacua'/'exit'/'leave' 'from' object
				! 'abando'/'debark'/'disemb'/'evacua'/'exit'/'leave'
				! 'drive'/'go'/'head'/'procee'/'run'/'steer'/'walk' 'out' object
				! 'crawl' 'out' object
Action 76	Action76	! 'light' attrib25(held,carried,in_room,on_ground)
				! 'activa'/'engage'/'start' object
				! 'flip'/'shut'/'swing'/'switch'/'turn' 'onto'/'on' attrib25(held,carried,in_room,on_ground,many) 'with'/'using'/'by' object
				! 'flip'/'shut'/'swing'/'switch'/'turn' 'onto'/'on' attrib25(held,carried,in_room,on_ground,many)
Action 77	Action77	! 'listen' 'at' object
				! 'listen' 'to' object
Action 78	Action78	! 'lock' object(in_room,on_ground)
Action 79	Action79	! 'gaze'/'l//'/'look'/'peek'/'see'/'stare' 'around' attrib31
				! 'gaze'/'l//'/'look'/'peek'/'see'/'stare'
Action 80	Action80	! 'gaze'/'l//'/'look'/'peek'/'see'/'stare' 'at' object(held,carried,many) 'thru'/'throug' object
				! 'peruse'/'read'/'skim' attrib22(held,carried,in_room,on_ground,take) 'thru'/'throug' object
				! 'peruse'/'read'/'skim' attrib22(held,carried,in_room,on_ground,take) object
				! 'peruse'/'read'/'skim' attrib22(held,carried,in_room,on_ground,take)
Action 81	Action81	! 'gaze'/'l//'/'look'/'peek'/'see'/'stare' 'behind' object
Action 82	Action82	! 'gaze'/'l//'/'look'/'peek'/'see'/'stare' 'down'/'d//' attrib31
Action 83	Action83	! 'gaze'/'l//'/'look'/'peek'/'see'/'stare' 'thru'/'throug' object(held,carried,in_room,on_ground)
				! 'gaze'/'l//'/'look'/'peek'/'see'/'stare' 'into'/'inside'/'in' object(held,carried,in_room,on_ground)
Action 84	Action84	! 'gaze'/'l//'/'look'/'peek'/'see'/'stare' 'onto'/'on' object(in_room,on_ground)
Action 85	Action85	! 'gaze'/'l//'/'look'/'peek'/'see'/'stare' 'out' object
Action 86	Action86	! 'gaze'/'l//'/'look'/'peek'/'see'/'stare' 'undern'/'under'/'beneat' object
Action 87	Action87	! 'build'/'make'/'prepar' object object(in_room,on_ground)
				! 'build'/'make'/'prepar' object 'from' object(in_room,on_ground)
Action 88	Action88	! 'move' object(in_room,on_ground)
				! 'pull'/'tug' 'onto'/'on' object(in_room,on_ground)
				! 'pull'/'tug' object(in_room,on_ground)
Action 89	Action89	! 'move' object(in_room,on_ground) object
				! 'pull'/'tug' object(in_room,on_ground) object
				! 'press'/'push' object(in_room,on_ground,many) 'to' object
				! 'press'/'push' object(in_room,on_ground,many) object
Action 90	Action90	! 'move' object 'to' attrib31
				! 'open' object 'to' attrib31
				! 'set' object attrib31
				! 'set' object 'for' attrib31
				! 'set' object 'at' attrib31
				! 'set' object 'to' attrib31
				! 'flip'/'shut'/'swing'/'switch'/'turn' object 'to' object
				! 'flip'/'shut'/'swing'/'switch'/'turn' object 'onto'/'on' object
Action 91	Action91	! 'nay'/'negati'/'no'/'nope'
Action 92	Action92	! 'open' attrib27(held,carried,in_room,on_ground) 'with'/'using'/'by' attrib24(held,carried,in_room,on_ground,have)
				! 'open' 'up'/'u//' attrib27(held,carried,in_room,on_ground)
				! 'open' attrib27(held,carried,in_room,on_ground)
Action 93	Action93	! 'pick' object 'with'/'using'/'by' object
				! 'pick' object
Action 94	Action94	! 'pick' 'up'/'u//' attrib23(on_ground,many)
				! 'insert'/'instal'/'load'/'mount'/'place'/'put'/'stuff' 'onto'/'on' object(in_room,on_ground)
				! 'carry'/'get'/'grab'/'hold'/'lead'/'remove'/'seize'/'steal'/'take' attrib23(carried,in_room,many) 'out' object
				! 'carry'/'get'/'grab'/'hold'/'lead'/'remove'/'seize'/'steal'/'take' attrib23(carried,in_room,many) 'from' object
				! 'carry'/'get'/'grab'/'hold'/'lead'/'remove'/'seize'/'steal'/'take' attrib23(in_room,on_ground,many)
Action 95	Action95	! 'play' 'with'/'using'/'by' object
				! 'play' object
Action 96	Action96	! 'press'/'push' 'onto'/'on' object(in_room,on_ground,many)
				! 'press'/'push' object(in_room,on_ground,many) 'onto'/'on' object
				! 'press'/'push' object(in_room,on_ground,many)
Action 97	Action97	! 'q//'/'quit'
Action 98	Action98	! 'lift'/'raise' 'up'/'u//' object
				! 'lift'/'raise' object
Action 99	Action99	! 'restar'
				! 'activa'/'engage'/'start' 'over' attrib31
Action 100	Action100	! 'restor'/'resume'
Action 101	Action101	! 'revive' object
Action 102	Action102	! 'peal'/'ring' object 'with'/'using'/'by' object
				! 'peal'/'ring' object
Action 103	Action103	! 'rise'
Action 104	Action104	! 'feel'/'pat'/'pet'/'rub'/'shade'/'touch' object 'with'/'using'/'by' object(take,have)
				! 'feel'/'pat'/'pet'/'rub'/'shade'/'touch' object
Action 105	Action105	! 'feel'/'pat'/'pet'/'rub'/'shade'/'touch' object(take,have) 'over' object
				! 'feel'/'pat'/'pet'/'rub'/'shade'/'touch' object(take,have) 'onto'/'on' object
Action 106	Action106	! 'pause'/'save'/'suspen'
Action 107	Action107	! 'explai'/'say'/'speak'/'state'/'talk'
Action 108	Action108	! 'explai'/'say'/'speak'/'state'/'talk' 'about' object
				! 'explai'/'say'/'speak'/'state'/'talk' object
				! 'tell' 'about' object
Action 109	Action109	! 'explai'/'say'/'speak'/'state'/'talk' 'into'/'inside'/'in' object
				! 'scream'/'shout'/'yell' 'into'/'inside'/'in' object
Action 110	Action110	! 'explai'/'say'/'speak'/'state'/'talk' 'with'/'using'/'by' attrib30(in_room)
				! 'explai'/'say'/'speak'/'state'/'talk' 'to' attrib30(in_room)
				! 'tell' attrib30(in_room)
				! 'scream'/'shout'/'yell' 'to' attrib30(in_room)
Action 111	Action111	! 'explai'/'say'/'speak'/'state'/'talk' 'to' attrib30(in_room) 'about' object
				! 'tell' attrib30(in_room) 'about' object
				! 'tell' attrib30(in_room) object
Action 112	Action112	! 'score'
Action 113	Action113	! 'screw' 'into'/'inside'/'in' object(held,many,have)
Action 114	Action114	! 'screw' object(held,many,have) 'into'/'inside'/'in' object
Action 115	Action115	! 'script'
Action 116	Action116	! 'dig'/'search' 'up'/'u//' object
				! 'dig'/'search' 'into'/'inside'/'in' object
				! 'dig'/'search' object
Action 117	Action117	! 'dig'/'search' object 'for' object(held,carried,have)
Action 118	Action118	! 'send' object
Action 119	Action119	! 'send' 'out' object
Action 120	Action120	! 'send' object object
Action 121	Action121	! 'send' object 'to' object
Action 122	Action122	! 'blast'/'fire'/'shoot' attrib30
				! 'blast'/'fire'/'shoot' object(in_room,on_ground) 'with'/'using'/'by' attrib29
Action 123	Action123	! 'blast'/'fire'/'shoot' attrib29 'at' object(in_room,on_ground)
Action 124	Action124	! 'show' attrib30 object
Action 125	Action125	! 'show' object 'to' attrib30
Action 126	Action126	! 'sit' 'into'/'inside'/'in' attrib21(in_room,on_ground)
				! 'sit' 'down'/'d//' attrib21(in_room,on_ground)
				! 'sit' 'onto'/'on' attrib21(in_room,on_ground)
Action 127	Action127	! 'bite'/'hit'/'hurt'/'injure'/'kick'/'punch'/'slap' attrib30 'with'/'using'/'by' object
				! 'bite'/'hit'/'hurt'/'injure'/'kick'/'punch'/'slap' attrib30
				! 'bite'/'hit'/'hurt'/'injure'/'kick'/'punch'/'slap' attrib30
				! 'strike' attrib30(in_room,on_ground)
Action 128	Action128	! 'smell'/'sniff' object
Action 129	Action129	! 'smoke' object
Action 130	Action130	! 'stop' attrib31
Action 131	Action131	! 'slow'
Action 132	Action132	! 'medium'
Action 133	Action133	! 'fast'
Action 134	Action134	! 'super'/'superb'
Action 135	Action135	! 'surfac' object
				! 'surfac'
Action 136	Action136	! 'bathe'/'swim'/'wade' 'into'/'inside'/'in' object
				! 'bathe'/'swim'/'wade'
Action 137	Action137	! 'carry'/'get'/'grab'/'hold'/'lead'/'remove'/'seize'/'steal'/'take' attrib23(take,many) 'to' object
Action 138	Action138	! 'carry'/'get'/'grab'/'hold'/'lead'/'remove'/'seize'/'steal'/'take' attrib23 'with'/'using'/'by' object
Action 139	Action139	! 'carry'/'get'/'grab'/'hold'/'lead'/'remove'/'seize'/'steal'/'take' 'out' attrib28(in_room,on_ground)
Action 140	Action140	! 'thank'/'thanks' object
				! 'thank'/'thanks'
Action 141	Action141	! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'at' attrib30(in_room,on_ground)
Action 142	Action142	! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'thru'/'throug' attrib30(in_room,on_ground)
Action 143	Action143	! 'attach'/'fasten'/'secure'/'tie' 'up'/'u//' attrib30(in_room,on_ground) 'to' attrib21(in_room,on_ground)
				! 'attach'/'fasten'/'secure'/'tie' attrib30(in_room,on_ground) 'to' attrib21(in_room,on_ground)
Action 144	Action144	! 'attach'/'fasten'/'secure'/'tie' 'up'/'u//' attrib30(in_room,on_ground) 'with'/'using'/'by' attrib24(held,carried,in_room,on_ground,have)
				! 'attach'/'fasten'/'secure'/'tie' attrib30(in_room,on_ground) 'with'/'using'/'by' attrib24(held,carried,in_room,on_ground,have)
Action 145	Action145	! 'flip'/'shut'/'swing'/'switch'/'turn' 'to' object(held,carried,in_room,on_ground)
				! 'flip'/'shut'/'swing'/'switch'/'turn' 'into'/'inside'/'in' object(held,carried,in_room,on_ground)
				! 'flip'/'shut'/'swing'/'switch'/'turn' object(held,carried,in_room,on_ground)
Action 146	Action146	! 'flip'/'shut'/'swing'/'switch'/'turn' 'down'/'d//' object
Action 147	Action147	! 'flip'/'shut'/'swing'/'switch'/'turn' 'up'/'u//' attrib31
Action 148	Action148	! 'unlock' object(in_room,on_ground) 'with'/'using'/'by' object
				! 'unlock' object(in_room,on_ground)
Action 149	Action149	! 'unscri'
Action 150	Action150	! 'free'/'unatta'/'uncuff'/'unfast'/'unhook'/'untie' object(held,carried,in_room,on_ground) 'from' object
				! 'free'/'unatta'/'uncuff'/'unfast'/'unhook'/'untie' object(held,carried,in_room,on_ground)
				! 'editio'/'releas'/'revisi'/'versio' attrib30
Action 151	Action151	! 'use' object
Action 152	Action152	! 'use' object 'agains' object
Action 153	Action153	! 'verbos'
Action 154	Action154	! 'editio'/'releas'/'revisi'/'versio'
Action 155	Action155	! 'medita'/'relax'/'rest'/'stay'/'wait'/'z//' 'for' attrib31
				! 'medita'/'relax'/'rest'/'stay'/'wait'/'z//' attrib31
Action 156	Action156	! 'medita'/'relax'/'rest'/'stay'/'wait'/'z//' 'until' object
				! 'medita'/'relax'/'rest'/'stay'/'wait'/'z//' 'till' object
Action 157	Action157	! 'awake'/'startl'/'surpri'/'wake' 'up'/'u//' attrib30(in_room,on_ground)
				! 'awake'/'startl'/'surpri'/'wake' attrib30(in_room,on_ground)
Action 158	Action158	! 'drive'/'go'/'head'/'procee'/'run'/'steer'/'walk' object
				! 'crawl' object
Action 159	Action159	! 'drive'/'go'/'head'/'procee'/'run'/'steer'/'walk' 'around' object
				! 'crawl' 'around' object
Action 160	Action160	! 'drive'/'go'/'head'/'procee'/'run'/'steer'/'walk' object 'over' object
Action 161	Action161	! 'drive'/'go'/'head'/'procee'/'run'/'steer'/'walk' 'to' object
				! 'crawl' 'to' object
Action 162	Action162	! 'drive'/'go'/'head'/'procee'/'run'/'steer'/'walk' 'undern'/'under'/'beneat' object
				! 'crawl' 'undern'/'under'/'beneat' object
Action 163	Action163	! 'identi'/'name' object(held,carried,have)
Action 164	Action164	! 'scream'/'shout'/'yell'
Action 165	Action165	! 'scream'/'shout'/'yell' 'for' object
Action 166	Action166	! '10-'/'affirm'/'aye'/'ok'/'okay'/'okeh'/'okey'/'roger'/'sure'/'wilco'/'y//'/'yeah'/'yes'/'yup'

Word	$ba	$ba
Word	$ca	$ca
Word	$db	$db
Word	$do	$do
Word	$fn	$fn
Word	$go	$go
Word	$ln	$ln
Word	$oc	$oc
Word	$sn	$sn
Word	$ve	$ve
Word	$wh	$wh
Word	10-	10-
Word	49-	49-
Word	49er	49er
Word	abando	abando
Word	access	access
Word	activa	activa
Word	adjust	adjust
Word	admini	admini
Word	affirm	affirm
Word	agains	agains
Word	airloc	airloc
Word	amy's	amy's
Word	analys	analys
Word	analyz	analyz
Word	answer	answer
Word	antrim	antrim
Word	aquado	aquado
Word	aquati	aquati
Word	aren'	aren'
Word	around	around
Word	arrest	arrest
Word	articl	articl
Word	assaul	assaul
Word	assist	assist
Word	assort	assort
Word	atlant	atlant
Word	attach	attach
Word	attack	attack
Word	automa	automa
Word	autopi	autopi
Word	badges	badges
Word	bazook	bazook
Word	behind	behind
Word	beneat	beneat
Word	bill'	bill'
Word	billio	billio
Word	biocep	biocep
Word	bluepr	bluepr
Word	bly's	bly's
Word	breake	breake
Word	breeze	breeze
Word	briefl	briefl
Word	buildi	buildi
Word	bumper	bumper
Word	busine	busine
Word	button	button
Word	buzzer	buzzer
Word	cabine	cabine
Word	can't	can't
Word	canist	canist
Word	capsul	capsul
Word	captur	captur
Word	carefu	carefu
Word	cataly	cataly
Word	center	center
Word	chairs	chairs
Word	charge	charge
Word	chemic	chemic
Word	circui	circui
Word	closel	closel
Word	closet	closet
Word	coaxia	coaxia
Word	comman	comman
Word	commun	commun
Word	compan	compan
Word	compar	compar
Word	comput	comput
Word	confro	confro
Word	consul	consul
Word	consum	consum
Word	conten	conten
Word	contro	contro
Word	corrid	corrid
Word	counte	counte
Word	creatu	creatu
Word	crouch	crouch
Word	cruise	cruise
Word	curren	curren
Word	cylind	cylind
Word	damage	damage
Word	danger	danger
Word	debark	debark
Word	defini	defini
Word	deposi	deposi
Word	depthf	depthf
Word	descri	descri
Word	destro	destro
Word	detect	detect
Word	device	device
Word	diagno	diagno
Word	diagra	diagra
Word	didn'	didn'
Word	direct	direct
Word	discus	discus
Word	disemb	disemb
Word	distre	distre
Word	divers	divers
Word	diving	diving
Word	doc's	doc's
Word	dockin	dockin
Word	doctor	doctor
Word	don't	don't
Word	donate	donate
Word	doorwa	doorwa
Word	dormit	dormit
Word	drawer	drawer
Word	editio	editio
Word	eighte	eighte
Word	eighty	eighty
Word	electr	electr
Word	eleven	eleven
Word	emerge	emerge
Word	engage	engage
Word	engine	engine
Word	entire	entire
Word	entran	entran
Word	equipm	equipm
Word	evacua	evacua
Word	eviden	eviden
Word	examin	examin
Word	exerci	exerci
Word	expert	expert
Word	explai	explai
Word	explos	explos
Word	extend	extend
Word	extens	extens
Word	exting	exting
Word	famous	famous
Word	fasten	fasten
Word	female	female
Word	fiftee	fiftee
Word	finder	finder
Word	follow	follow
Word	fourte	fourte
Word	freigh	freigh
Word	frobto	frobto
Word	galley	galley
Word	gangpl	gangpl
Word	gauges	gauges
Word	genera	genera
Word	good-	good-
Word	goodby	goodby
Word	greenu	greenu
Word	greeti	greeti
Word	ground	ground
Word	hallwa	hallwa
Word	handle	handle
Word	happen	happen
Word	hersel	hersel
Word	himsel	himsel
Word	horvak	horvak
Word	housin	housin
Word	how's	how's
Word	hundre	hundre
Word	hydroj	hydroj
Word	hydrop	hydrop
Word	hypode	hypode
Word	identi	identi
Word	imbibe	imbibe
Word	injure	injure
Word	inquir	inquir
Word	insert	insert
Word	inside	inside
Word	inspec	inspec
Word	instal	instal
Word	instru	instru
Word	interc	interc
Word	interr	interr
Word	invent	invent
Word	isn't	isn't
Word	jerome	jerome
Word	joggin	joggin
Word	joysti	joysti
Word	kemp'	kemp'
Word	labora	labora
Word	ladder	ladder
Word	launch	launch
Word	let's	let's
Word	lights	lights
Word	listen	listen
Word	locate	locate
Word	locker	locker
Word	logboo	logboo
Word	lowell	lowell
Word	machin	machin
Word	magazi	magazi
Word	manual	manual
Word	marine	marine
Word	marv'	marv'
Word	materi	materi
Word	matter	matter
Word	maximu	maximu
Word	mechan	mechan
Word	medita	medita
Word	medium	medium
Word	metall	metall
Word	meters	meters
Word	mick'	mick'
Word	microp	microp
Word	microw	microw
Word	millio	millio
Word	minimu	minimu
Word	minute	minute
Word	missin	missin
Word	moistu	moistu
Word	molest	molest
Word	monito	monito
Word	monste	monste
Word	motive	motive
Word	myself	myself
Word	needle	needle
Word	negati	negati
Word	newspa	newspa
Word	ninete	ninete
Word	ninety	ninety
Word	nodule	nodule
Word	northe	northe
Word	northw	northw
Word	nothin	nothin
Word	number	number
Word	object	object
Word	office	office
Word	operat	operat
Word	orange	orange
Word	overhe	overhe
Word	oxygen	oxygen
Word	papers	papers
Word	person	person
Word	peruse	peruse
Word	photog	photog
Word	pictur	pictur
Word	plasti	plasti
Word	please	please
Word	prepar	prepar
Word	presen	presen
Word	privat	privat
Word	proble	proble
Word	procee	procee
Word	propul	propul
Word	prospe	prospe
Word	pursue	pursue
Word	questi	questi
Word	quickl	quickl
Word	quietl	quietl
Word	randal	randal
Word	reacto	reacto
Word	reason	reason
Word	receiv	receiv
Word	recept	recept
Word	reddis	reddis
Word	regula	regula
Word	releas	releas
Word	remote	remote
Word	remove	remove
Word	repair	repair
Word	repela	repela
Word	replac	replac
Word	report	report
Word	resear	resear
Word	respon	respon
Word	restar	restar
Word	restor	restor
Word	resume	resume
Word	revisi	revisi
Word	revive	revive
Word	revolu	revolu
Word	rubber	rubber
Word	runnin	runnin
Word	runway	runway
Word	sabota	sabota
Word	safety	safety
Word	sailor	sailor
Word	satell	satell
Word	scanne	scanne
Word	scimit	scimit
Word	scream	scream
Word	screen	screen
Word	script	script
Word	scruti	scruti
Word	seacat	seacat
Word	search	search
Word	seasta	seasta
Word	seawat	seawat
Word	sectio	sectio
Word	secure	secure
Word	securi	securi
Word	seriou	seriou
Word	sevent	sevent
Word	shaped	shaped
Word	sharon	sharon
Word	shelve	shelve
Word	siegel	siegel
Word	signal	signal
Word	sixtee	sixtee
Word	slidin	slidin
Word	slowly	slowly
Word	snapsh	snapsh
Word	someth	someth
Word	sonarp	sonarp
Word	sonars	sonars
Word	southe	southe
Word	southw	southw
Word	speake	speake
Word	specia	specia
Word	spread	spread
Word	square	square
Word	standi	standi
Word	starbo	starbo
Word	starte	starte
Word	startl	startl
Word	statio	statio
Word	stenci	stenci
Word	storag	storag
Word	strang	strang
Word	strike	strike
Word	sub's	sub's
Word	submar	submar
Word	submer	submer
Word	summon	summon
Word	superb	superb
Word	suppli	suppli
Word	supply	supply
Word	surfac	surfac
Word	surpri	surpri
Word	surviv	surviv
Word	suspen	suspen
Word	swallo	swallo
Word	switch	switch
Word	syring	syring
Word	system	system
Word	techni	techni
Word	temper	temper
Word	tempor	tempor
Word	tester	tester
Word	testor	testor
Word	thanks	thanks
Word	that'	that'
Word	thirte	thirte
Word	thirty	thirty
Word	thorpe	thorpe
Word	thousa	thousa
Word	threat	threat
Word	thrott	thrott
Word	throug	throug
Word	tip's	tip's
Word	tracto	tracto
Word	traito	traito
Word	tranqu	tranqu
Word	transm	transm
Word	transp	transp
Word	troubl	troubl
Word	turbin	turbin
Word	twelve	twelve
Word	twenty	twenty
Word	ultram	ultram
Word	unatta	unatta
Word	uncuff	uncuff
Word	undern	undern
Word	unders	unders
Word	underw	underw
Word	unfast	unfast
Word	unhook	unhook
Word	univer	univer
Word	unlimi	unlimi
Word	unlock	unlock
Word	unscri	unscri
Word	urgent	urgent
Word	valuab	valuab
Word	valves	valves
Word	verbos	verbos
Word	versio	versio
Word	videop	videop
Word	viewpo	viewpo
Word	voltag	voltag
Word	walkwa	walkwa
Word	walt'	walt'
Word	warnin	warnin
Word	wasn'	wasn'
Word	we're	we're
Word	weapon	weapon
Word	what'	what'
Word	when'	when'
Word	who's	who's
Word	window	window
Word	won't	won't
Word	workbe	workbe
Word	worksh	worksh
Word	wrench	wrench
Word	yellow	yellow
Word	yourse	yourse
Word	zoe's	zoe's
Word	zzzzlg	zzzzlg

! References: obj249_SCIMITAR.out_to
Routine 0x641c	routine25628:?
Routine 0x64b4	routine25780:?
Routine 0x64da	routine25818:?
Routine 0x64f2	routine25842:?
Routine 0x69fa	routine27130:?
Routine 0x6a16	routine27158:?
Routine 0x6b0c	routine27404:?
Routine 0x6b42	routine27458:?
Routine 0x6b56	routine27478:?
Routine 0x6c8e	routine27790:?
Routine 0x6da8	routine28072:?
Routine 0x6e9e	routine28318:?
Routine 0x709c	routine28828:?
Routine 0x70ae	routine28846:?
Routine 0x7154	routine29012:?
Routine 0x7344	routine29508:?
Routine 0x73e6	routine29670:?
Routine 0x7426	routine29734:?
Routine 0x7458	routine29784:?
Routine 0x74ac	routine29868:?
Routine 0x7790	routine30608:?
Routine 0x7e8e	routine32398:?
Routine 0x7ef4	routine32500:?
Routine 0x7f54	routine32596:?
Routine 0x8012	routine32786:?
Routine 0x8076	routine32886:?
Routine 0x8088	routine32904:?
Routine 0x8094	routine32916:?
Routine 0x80c0	routine32960:?
Routine 0x8220	routine33312:?
Routine 0x8254	routine33364:?
Routine 0x8360	routine33632:?
Routine 0x89ee	routine35310:?
Routine 0x8a42	routine35394:?
! References: obj6_job.prop14
Routine 0x8ad6	routine35542:?
Routine 0x8b0c	routine35596:?
Routine 0x8bc6	routine35782:?
Routine 0x8c5a	routine35930:?
Routine 0x8c6a	routine35946:?
Routine 0x8c8a	routine35978:?
Routine 0x8cac	routine36012:?
Routine 0x8e66	routine36454:?
Routine 0x9162	routine37218:?
Routine 0x9186	routine37254:?
Routine 0x926a	routine37482:?
Routine 0x92b0	routine37552:?
Routine 0x935a	routine37722:?
! References: obj222_reactor.prop9
Routine 0x9392	routine37778:?
Routine 0x94a0	routine38048:?
! References: obj219_hydrojet.prop11, obj220_hydrojet.prop11
Routine 0x94c0	routine38080:?
Routine 0x94c6	routine38086:?
Routine 0x95bc	routine38332:?
Routine 0x95dc	routine38364:?
Routine 0x9678	routine38520:?
Routine 0x98c2	routine39106:?
Routine 0x98f0	routine39152:?
Routine 0x98fe	routine39166:?
Routine 0x9916	routine39190:?
Routine 0x9b04	routine39684:?
Routine 0x9bf0	routine39920:?
Routine 0x9c04	routine39940:?
Routine 0x9c26	routine39974:?
Routine 0x9c78	routine40056:?
Routine 0x9d34	routine40244:?
