! Auto-generated by Reform.

MD5	5d54e326815b0ed3aff8efb8ff02ef2f
Action 29	Action29	! 'breath'/'inhale'/'suck' 'into'/'inside'/'in' object 'from' object(held,carried,have)
				! 'breath'/'inhale'/'suck' 'into'/'inside'/'in' attrib29
				! 'breath'/'inhale'/'suck' attrib29
Action 30	Action30	! 'bribe' object 'with'/'using' object
				! 'bribe' object
Action 31	Action31	! 'buy'/'order'/'purcha' object 'from' object
				! 'buy'/'order'/'purcha' object
Action 32	Action32	! 'call' 'toward'/'to' object
				! 'call' 'outsid'/'out' object
				! 'call' object
Action 33	Action33	! 'dial'/'phone'/'teleph' object 'onto'/'on'/'across' object
				! 'dial'/'phone'/'teleph' object 'with'/'using' object
				! 'call' object 'onto'/'on'/'across' object
				! 'call' object 'with'/'using' object
Action 34	Action34	! 'captur'/'catch' object 'with'/'using' object
				! 'captur'/'catch' object 'into'/'inside'/'in' object
Action 35	Action35	! 'cheat' 'at' object
				! 'cheat' object
				! 'cheat'
Action 36	Action36	! 'climb'/'crawl'/'creep'/'scale' object(in_room,on_ground)
Action 37	Action37	! 'rest'/'sit'/'squat' 'into'/'inside'/'in' object(in_room,on_ground)
				! 'rest'/'sit'/'squat' 'onto'/'on'/'across' object(in_room,on_ground)
				! 'climb'/'crawl'/'creep'/'scale' 'onto'/'on'/'across' attrib30(in_room,on_ground)
				! 'carry'/'get'/'grab'/'hold'/'take' 'onto'/'on'/'across' attrib30(in_room,on_ground)
Action 38	Action38	! 'go' 'up'/'u//' object(in_room,on_ground)
				! 'climb'/'crawl'/'creep'/'scale' 'up'/'u//' attrib28(in_room,on_ground)
				! 'procee'/'run'/'step'/'walk' 'up'/'u//' object(in_room,on_ground)
Action 39	Action39	! 'go' 'down'/'d//' object(in_room,on_ground)
				! 'descen' object(in_room,on_ground)
				! 'climb'/'crawl'/'creep'/'scale' 'down'/'d//' attrib28(in_room,on_ground)
				! 'procee'/'run'/'step'/'walk' 'down'/'d//' object(in_room,on_ground)
Action 40	Action40	! 'go' 'outsid'/'out' object
				! 'debark'/'disemb' attrib30(in_room,on_ground)
				! 'climb'/'crawl'/'creep'/'scale' 'off' attrib30(in_room,on_ground)
				! 'climb'/'crawl'/'creep'/'scale' 'outsid'/'out' object(in_room,on_ground)
				! 'carry'/'get'/'grab'/'hold'/'take' 'outsid'/'out' attrib30(on_ground)
				! 'procee'/'run'/'step'/'walk' 'outsid'/'out' object
Action 41	Action41	! 'climb'/'crawl'/'creep'/'scale' 'over' object(in_room,on_ground)
Action 42	Action42	! 'go' 'thru'/'throug' object
				! 'go' 'onto'/'on'/'across' object
				! 'go' 'into'/'inside'/'in' object
				! 'cross' object
				! 'enter' object
				! 'climb'/'crawl'/'creep'/'scale' 'thru'/'throug' object
				! 'bounce'/'dive'/'fall'/'jump'/'leap' 'thru'/'throug' object
				! 'bounce'/'dive'/'fall'/'jump'/'leap' 'into'/'inside'/'in' object
				! 'procee'/'run'/'step'/'walk' 'thru'/'throug' object
				! 'procee'/'run'/'step'/'walk' 'onto'/'on'/'across' object
				! 'procee'/'run'/'step'/'walk' 'into'/'inside'/'in' object
Action 43	Action43	! 'go' 'undern'/'under'/'beneat'/'below' object
				! 'sidewa' object
				! 'side-' object
				! 'climb'/'crawl'/'creep'/'scale' 'undern'/'under'/'beneat'/'below' object
				! 'carry'/'get'/'grab'/'hold'/'take' 'undern'/'under'/'beneat'/'below' object
				! 'procee'/'run'/'step'/'walk' 'undern'/'under'/'beneat'/'below' object
Action 44	Action44	! 'close'/'shut'/'unset' attrib27(held,carried,in_room,on_ground)
Action 45	Action45	! 'close'/'shut'/'unset' 'off' attrib26(held,carried,in_room,on_ground,take)
				! 'flick'/'flip'/'rotate'/'set'/'toggle'/'turn' 'off' attrib26
				! 'exting' attrib24
Action 46	Action46	! 'compar'/'match' object(held,carried,in_room,on_ground) 'with'/'using' object(held,carried,in_room,on_ground)
				! 'compar'/'match' object(held,carried,in_room,on_ground) 'toward'/'to' object(held,carried,in_room,on_ground)
				! 'compar'/'match' object(many)
Action 47	Action47	! 'cover' object 'with'/'using' object(held,many)
Action 48	Action48	! 'count' object
Action 49	Action49	! 'cut'/'perfor'/'slice' 'thru'/'throug' object 'with'/'using' object(held,carried)
				! 'cut'/'perfor'/'slice' object 'with'/'using' object(held,carried)
				! 'cut'/'perfor'/'slice' object
Action 50	Action50	! 'break'/'damage'/'demoli'/'destro'/'peel'/'pop'/'smash'/'wreck' object 'with'/'using' object(held,carried,take)
				! 'break'/'damage'/'demoli'/'destro'/'peel'/'pop'/'smash'/'wreck' object(in_room,on_ground)
Action 51	Action51	! 'did' 'so' attrib28
				! 'did'
				! 'ok'/'okay'/'sure'/'y//'/'yea'/'yes'
Action 52	Action52	! 'did' 'not' attrib28
				! 'didn^'/'no'/'nope'/'wrong'
Action 53	Action53	! 'dig' 'thru'/'throug' object
				! 'dig' 'with'/'using' object
				! 'dig' 'into'/'inside'/'in' object
Action 54	Action54	! 'doze'/'nap'/'sleep'/'snooze'
Action 55	Action55	! 'drink'/'guzzle'/'imbibe'/'quaff'/'sip'/'swallo'/'swill' object(held,carried,in_room,on_ground)
Action 56	Action56	! 'drink'/'guzzle'/'imbibe'/'quaff'/'sip'/'swallo'/'swill' 'from' object(held,carried)
Action 57	Action57	! 'drive' object
Action 58	Action58	! 'drop' object(held,many,have)
				! 'hang'/'insert'/'lay'/'place'/'put'/'stuff' 'down'/'d//' object(held,many,have)
Action 59	Action59	! 'slide' object 'onto'/'on'/'across' object
				! 'slide' object 'down'/'d//' object
				! 'slide' object 'thru'/'throug' object
				! 'slide' object 'into'/'inside'/'in' object
				! 'drop' object(held,many) 'into'/'inside'/'in' object
				! 'drop' object(held,many) 'down'/'d//' object
				! 'hurl'/'throw'/'toss' object(held,carried) 'into'/'inside'/'in' object
				! 'hang'/'insert'/'lay'/'place'/'put'/'stuff' object(held,many) 'into'/'inside'/'in' object
Action 60	Action60	! 'drop' object(held,many) 'onto'/'on'/'across' object
				! 'attach'/'fasten'/'secure'/'tie' object(held,many) 'around'/'along' object
				! 'hang'/'insert'/'lay'/'place'/'put'/'stuff' object(held,many)  object
				! 'hang'/'insert'/'lay'/'place'/'put'/'stuff' object(held,many) 'over' object
				! 'hang'/'insert'/'lay'/'place'/'put'/'stuff' object(held,many) 'around'/'along' object
				! 'hang'/'insert'/'lay'/'place'/'put'/'stuff' object(held,many) 'onto'/'on'/'across' object
				! 'hang'/'insert'/'lay'/'place'/'put'/'stuff' object(held,many) 'down'/'d//' object
Action 61	Action61	! 'drop' object(held,many) 'outsid'/'out' object
				! 'hang'/'insert'/'lay'/'place'/'put'/'stuff' object(held,many) 'outsid'/'out' object
Action 62	Action62	! 'devour'/'eat'/'gobble'/'ingest' attrib25(held,carried,in_room,on_ground)
Action 63	Action63	! 'eject' object
Action 64	Action64	! 'enter'
Action 65	Action65	! 'depart'/'exit'/'withdr' object
				! 'depart'/'exit'/'withdr'
Action 66	Action66	! 'descri'/'examin'/'inspec'/'observ'/'scour'/'see'/'study'/'watch' object(held,carried,in_room,on_ground)
				! 'gaze'/'l//'/'look'/'squint'/'stare' 'toward'/'to' object
				! 'gaze'/'l//'/'look'/'squint'/'stare' 'over' object(held,carried,in_room,on_ground)
				! 'gaze'/'l//'/'look'/'squint'/'stare' 'at' object(held,carried,in_room,on_ground)
Action 67	Action67	! 'descri'/'examin'/'inspec'/'observ'/'scour'/'see'/'study'/'watch' object 'thru'/'throug' object
				! 'gaze'/'l//'/'look'/'squint'/'stare' 'at' object 'thru'/'throug' object
Action 68	Action68	! 'descri'/'examin'/'inspec'/'observ'/'scour'/'see'/'study'/'watch' 'onto'/'on'/'across' object(held,carried,in_room,on_ground)
				! 'descri'/'examin'/'inspec'/'observ'/'scour'/'see'/'study'/'watch' 'into'/'inside'/'in' object(held,carried,in_room,on_ground)
				! 'gaze'/'l//'/'look'/'squint'/'stare' 'into'/'inside'/'in' object(held,carried,in_room,on_ground)
				! 'gaze'/'l//'/'look'/'squint'/'stare' 'thru'/'throug' object
Action 69	Action69	! 'descri'/'examin'/'inspec'/'observ'/'scour'/'see'/'study'/'watch' 'for' object
				! 'gaze'/'l//'/'look'/'squint'/'stare' 'for' object
				! 'frisk'/'rummag'/'search' 'for' object
				! 'find'/'seek' object
Action 70	Action70	! 'feed' attrib31
Action 71	Action71	! 'donate'/'give'/'hand'/'offer'/'sell'/'send' object(held,many,have) 'toward'/'to' attrib31(on_ground)
				! 'feed' object(held,many,have) 'toward'/'to' attrib31(on_ground)
				! 'pass'/'pay' object(held,many,have) 'thru'/'throug' attrib31(on_ground)
				! 'pass'/'pay' object(held,many,have) 'toward'/'to' attrib31(on_ground)
Action 72	Action72	! 'donate'/'give'/'hand'/'offer'/'sell'/'send' attrib31(on_ground) object(held,many,have)
				! 'feed' attrib31(on_ground) object(held,many,have)
				! 'pass'/'pay' attrib31(on_ground) object(held,many,have)
Action 73	Action73	! 'fill' attrib23(held,carried,have)
				! 'fill' object(held,carried,have) 'with'/'using' object
Action 74	Action74	! 'chase'/'follow'/'pursue' object
Action 75	Action75	! 'listen' 'toward'/'to' object
				! 'hear' object
Action 76	Action76	! 'hello'/'hi'/'howdy' object
				! 'hello'/'hi'/'howdy'
Action 77	Action77	! 'help'/'hint'/'hints'
Action 78	Action78	! 'help'/'hint'/'hints' object
				! 'save' object
Action 79	Action79	! 'crouch'/'duck'/'hide' 'undern'/'under'/'beneat'/'below' object
				! 'crouch'/'duck'/'hide'
Action 80	Action80	! 'go' 'behind' object
				! 'crouch'/'duck'/'hide' 'behind' object
				! 'rise'/'stand' 'behind' object
				! 'procee'/'run'/'step'/'walk' 'behind' object
Action 81	Action81	! 'hypnot'/'mesmer' object
Action 82	Action82	! 'bounce'/'dive'/'fall'/'jump'/'leap' 'down'/'d//' attrib28
				! 'bounce'/'dive'/'fall'/'jump'/'leap' 'up'/'u//' attrib28
				! 'bounce'/'dive'/'fall'/'jump'/'leap' 'onto'/'on'/'across' object
				! 'bounce'/'dive'/'fall'/'jump'/'leap'  object
				! 'bounce'/'dive'/'fall'/'jump'/'leap' 'over' object
				! 'bounce'/'dive'/'fall'/'jump'/'leap'
Action 83	Action83	! 'bounce'/'dive'/'fall'/'jump'/'leap' 'outsid'/'out' object
				! 'bounce'/'dive'/'fall'/'jump'/'leap' 'off' object
				! 'bounce'/'dive'/'fall'/'jump'/'leap' 'from' object
Action 84	Action84	! 'bounce'/'dive'/'fall'/'jump'/'leap' 'over' object 'with'/'using' object
				! 'pole-'/'poleva'/'vault' 'over' object 'with'/'using' object(held,carried,have)
				! 'pole-'/'poleva'/'vault' 'over' object
				! 'pole-'/'poleva'/'vault' 'onto'/'on'/'across' object
Action 85	Action85	! 'kick' object
Action 86	Action86	! 'kiss' attrib31(in_room,on_ground)
Action 87	Action87	! 'knock'/'rap' 'onto'/'on'/'across' object
				! 'knock'/'rap' 'at' object
Action 88	Action88	! 'lean' 'toward'/'to' object
				! 'lean' object
Action 89	Action89	! 'go' 'away' attrib28
				! 'leave' object
				! 'leave'
				! 'procee'/'run'/'step'/'walk' 'away' attrib28
Action 90	Action90	! 'lie'/'reclin' 'down'/'d//' attrib28
				! 'lie'/'reclin' 'into'/'inside'/'in' attrib30
				! 'lie'/'reclin' 'onto'/'on'/'across' attrib30
Action 91	Action91	! 'activa'/'start' object
				! 'flick'/'flip'/'rotate'/'set'/'toggle'/'turn' 'onto'/'on'/'across' attrib26
				! 'light' attrib26(held,carried,in_room,on_ground)
Action 92	Action92	! 'lock' object(in_room,on_ground) 'with'/'using' object
				! 'lock' object
Action 93	Action93	! 'gaze'/'l//'/'look'/'squint'/'stare' 'around'/'along' attrib28
				! 'gaze'/'l//'/'look'/'squint'/'stare'
Action 94	Action94	! 'gaze'/'l//'/'look'/'squint'/'stare' 'down'/'d//' attrib28
Action 95	Action95	! 'gaze'/'l//'/'look'/'squint'/'stare' 'up'/'u//' attrib28
Action 96	Action96	! 'gaze'/'l//'/'look'/'squint'/'stare' 'outsid'/'out' object
Action 97	Action97	! 'gaze'/'l//'/'look'/'squint'/'stare' 'undern'/'under'/'beneat'/'below' object
Action 98	Action98	! 'gaze'/'l//'/'look'/'squint'/'stare' 'behind' object
Action 99	Action99	! 'gaze'/'l//'/'look'/'squint'/'stare' 'onto'/'on'/'across' object(held,carried,in_room,on_ground)
Action 100	Action100	! 'gaze'/'l//'/'look'/'squint'/'stare' object
Action 101	Action101	! 'lower' object
Action 102	Action102	! 'make' object
Action 103	Action103	! 'go' 'around'/'along' attrib28
				! 'go'
				! 'move' 'around'/'along' attrib28
				! 'procee'/'run'/'step'/'walk' 'around'/'along' attrib28
				! 'procee'/'run'/'step'/'walk'
Action 104	Action104	! 'move' object 'with'/'using' object
				! 'move' object(in_room,on_ground)
Action 105	Action105	! 'press'/'pull'/'push'/'shove' 'up'/'u//' object
				! 'move' 'up'/'u//' object(in_room,on_ground)
				! 'boost'/'lift'/'raise' object 'toward'/'to' object
				! 'boost'/'lift'/'raise' 'up'/'u//' object
				! 'boost'/'lift'/'raise' object
Action 106	Action106	! 'slide' object
				! 'press'/'pull'/'push'/'shove' 'onto'/'on'/'across' object(in_room,on_ground)
				! 'press'/'pull'/'push'/'shove' object
				! 'move' 'onto'/'on'/'across' object(in_room,on_ground)
Action 107	Action107	! 'slide' object 'undern'/'under'/'beneat'/'below' object
				! 'press'/'pull'/'push'/'shove' object 'undern'/'under'/'beneat'/'below' object
				! 'move' object 'undern'/'under'/'beneat'/'below' object
				! 'hang'/'insert'/'lay'/'place'/'put'/'stuff' object 'undern'/'under'/'beneat'/'below' object
Action 108	Action108	! 'draw'/'open'/'part'/'pry' attrib27(held,carried,in_room,on_ground) 'with'/'using' object(held,carried,in_room,on_ground,have)
				! 'draw'/'open'/'part'/'pry' 'up'/'u//' attrib27(held,carried,in_room,on_ground)
				! 'draw'/'open'/'part'/'pry' attrib27(held,carried,in_room,on_ground)
Action 109	Action109	! 'pass'/'pay' object
Action 110	Action110	! 'dial'/'phone'/'teleph' object
Action 111	Action111	! 'jimmy'/'pick' object 'with'/'using' object
				! 'jimmy'/'pick' object
Action 112	Action112	! 'jimmy'/'pick' 'up'/'u//' attrib22(on_ground,many)
Action 113	Action113	! 'play' object
Action 114	Action114	! 'pour'/'spill'/'sprink' object 'over' object
				! 'pour'/'spill'/'sprink' object(held,carried) 'from' object
				! 'pour'/'spill'/'sprink' object(held,carried) 'onto'/'on'/'across' object
				! 'pour'/'spill'/'sprink' 'outsid'/'out' object(held,carried)  object
				! 'pour'/'spill'/'sprink' object(held,carried) 'into'/'inside'/'in' object
				! 'pour'/'spill'/'sprink' 'outsid'/'out' object(held,carried)
				! 'pour'/'spill'/'sprink' object(held,carried)
Action 115	Action115	! 'punch' 'outsid'/'out' object
				! 'punch' object
Action 116	Action116	! 'empty' 'outsid'/'out' object(held,carried)
				! 'empty' object(held,carried)
Action 117	Action117	! 'doff'/'remove'/'shed' attrib22(carried,in_room,many) 'from' object
				! 'empty' object 'outsid'/'out' object
				! 'empty' object 'from' object
				! 'carry'/'get'/'grab'/'hold'/'take' attrib22(carried,in_room,many) 'into'/'inside'/'in' object
				! 'carry'/'get'/'grab'/'hold'/'take' attrib22(carried,in_room,many) 'from' object
				! 'carry'/'get'/'grab'/'hold'/'take' attrib22(carried,in_room,many) 'off' object
				! 'carry'/'get'/'grab'/'hold'/'take' attrib22(carried,in_room,many) 'outsid'/'out' object
				! 'carry'/'get'/'grab'/'hold'/'take' attrib22(in_room,on_ground,many)
Action 118	Action118	! 'hang'/'insert'/'lay'/'place'/'put'/'stuff' 'up'/'u//' object
Action 119	Action119	! 'don'/'wear' attrib21(have)
				! 'hang'/'insert'/'lay'/'place'/'put'/'stuff' 'onto'/'on'/'across' attrib21(have)
Action 120	Action120	! 'hang'/'insert'/'lay'/'place'/'put'/'stuff' object 'behind' object
Action 121	Action121	! 'reach' 'into'/'inside'/'in' object(in_room,on_ground)
Action 122	Action122	! 'reach' object(in_room,on_ground)
				! 'feel'/'pat'/'pet'/'poke'/'rub'/'tap'/'tickle'/'touch' object 'onto'/'on'/'across' object
				! 'feel'/'pat'/'pet'/'poke'/'rub'/'tap'/'tickle'/'touch' object 'with'/'using' object
				! 'feel'/'pat'/'pet'/'poke'/'rub'/'tap'/'tickle'/'touch' object
Action 123	Action123	! 'reach' object(in_room,on_ground) 'with'/'using' object
				! 'carry'/'get'/'grab'/'hold'/'take' attrib22(in_room,many) 'with'/'using' object(held)
Action 124	Action124	! 'record' 'onto'/'on'/'across' object
				! 'record' object
				! 'record'
Action 125	Action125	! 'read'/'skim' object 'onto'/'on'/'across' object
				! 'read'/'skim' object(held,carried,in_room,on_ground) 'with'/'using' object
				! 'read'/'skim' object(held,carried,in_room,on_ground) 'thru'/'throug' object
				! 'read'/'skim' object(held,carried,in_room,on_ground)
Action 126	Action126	! 'doff'/'remove'/'shed' attrib20
Action 127	Action127	! 'rewind' object
Action 128	Action128	! 'speak'/'talk' 'into'/'inside'/'in' object
Action 129	Action129	! 'frisk'/'rummag'/'search' 'thru'/'throug' object
				! 'frisk'/'rummag'/'search' 'into'/'inside'/'in' object
				! 'frisk'/'rummag'/'search' object
Action 130	Action130	! 'frisk'/'rummag'/'search' object 'for' object(held,carried)
Action 131	Action131	! 'shake' object
Action 132	Action132	! 'shake' object 'with'/'using' object
Action 133	Action133	! 'show' object 'toward'/'to' attrib31
Action 134	Action134	! 'show' attrib31 object(held,many,have)
Action 135	Action135	! 'rest'/'sit'/'squat' 'down'/'d//' attrib28(in_room,on_ground)
				! 'rest'/'sit'/'squat'
Action 136	Action136	! 'hop'/'skip'
Action 137	Action137	! 'smell'/'sniff'/'whiff' object
				! 'smell'/'sniff'/'whiff'
Action 138	Action138	! 'smile' 'at' object
				! 'smile'
Action 139	Action139	! 'spin'/'whirl' object
Action 140	Action140	! 'rise'/'stand' 'up'/'u//' attrib28
				! 'rise'/'stand'
				! 'carry'/'get'/'grab'/'hold'/'take' 'up'/'u//' attrib28
Action 141	Action141	! 'rise'/'stand' 'into'/'inside'/'in' object
				! 'rise'/'stand' 'onto'/'on'/'across' object
Action 142	Action142	! 'stop' object
Action 143	Action143	! 'carry'/'get'/'grab'/'hold'/'take' 'down'/'d//' attrib28
Action 144	Action144	! 'carry'/'get'/'grab'/'hold'/'take' 'off' attrib20
Action 145	Action145	! 'tame' object 'with'/'using' object
				! 'tame' object
Action 146	Action146	! 'lick'/'taste' object
Action 147	Action147	! 'tell' attrib31 'about' object
Action 148	Action148	! 'tell' object object
Action 149	Action149	! 'tell' object 'toward'/'to' object
Action 150	Action150	! 'thank'/'thanks'
				! 'thank'/'thanks' object
Action 151	Action151	! 'hurl'/'throw'/'toss' object(held,carried) 'outsid'/'out' object
				! 'hurl'/'throw'/'toss' object(held,carried) 'thru'/'throug' object(in_room,on_ground)
				! 'hurl'/'throw'/'toss' object(held,carried) 'toward'/'to' object(in_room,on_ground)
				! 'hurl'/'throw'/'toss' object(held,carried) 'at' object(in_room,on_ground)
				! 'hurl'/'throw'/'toss' object(held,carried) 'up'/'u//' attrib28
				! 'hurl'/'throw'/'toss' object(held,carried)
Action 152	Action152	! 'hurl'/'throw'/'toss' object(held,carried) 'over' object
				! 'hurl'/'throw'/'toss' object(held,carried) 'off' object
Action 153	Action153	! 'attach'/'fasten'/'secure'/'tie' object 'toward'/'to' object
				! 'attach'/'fasten'/'secure'/'tie' object
Action 154	Action154	! 'flick'/'flip'/'rotate'/'set'/'toggle'/'turn' 'into'/'inside'/'in' object 'toward'/'to' object
				! 'flick'/'flip'/'rotate'/'set'/'toggle'/'turn' object 'with'/'using' object(have)
				! 'flick'/'flip'/'rotate'/'set'/'toggle'/'turn' object 'toward'/'to' object
				! 'flick'/'flip'/'rotate'/'set'/'toggle'/'turn' 'around'/'along' attrib28
				! 'flick'/'flip'/'rotate'/'set'/'toggle'/'turn' object
Action 155	Action155	! 'adjust'/'tune' 'into'/'inside'/'in' object 'toward'/'to' object
				! 'adjust'/'tune' object 'toward'/'to' object
				! 'adjust'/'tune' object
Action 156	Action156	! 'unlock' object 'with'/'using' object(have)
				! 'unlock' object
Action 157	Action157	! 'free'/'unatta'/'unfast'/'unknot'/'untang'/'untie' object(held,carried,in_room,on_ground) 'with'/'using' object
				! 'free'/'unatta'/'unfast'/'unknot'/'untang'/'untie' object(held,carried,in_room,on_ground)
Action 158	Action158	! 'stay'/'wait'/'z//'
Action 159	Action159	! 'stay'/'wait'/'z//' 'for' object
Action 160	Action160	! 'stay'/'wait'/'z//' 'onto'/'on'/'across' object
				! 'stay'/'wait'/'z//' 'into'/'inside'/'in' object
Action 161	Action161	! 'awake'/'rouse'/'wake' 'up'/'u//' attrib28
				! 'awake'/'rouse'/'wake' attrib28
Action 162	Action162	! 'go' object
				! 'procee'/'run'/'step'/'walk' object
Action 163	Action163	! 'go' 'over' object
				! 'procee'/'run'/'step'/'walk' 'over' object
Action 164	Action164	! 'let' 'go' attrib28
Action 165	Action165	! 'clean'/'tidy'/'wash' 'up'/'u//' attrib28
				! 'clean'/'tidy'/'wash' object
Action 166	Action166	! 'wave' object(held,carried)
Action 167	Action167	! 'wave' 'toward'/'to' object
				! 'wave' 'at' object
				! 'wave'
Action 168	Action168	! 'what'/'what^'/'whats' object
				! 'what'/'what^'/'whats'
Action 169	Action169	! 'where'/'wheres' object
				! 'where'/'wheres'
Action 170	Action170	! 'crack'/'snap'/'whip' object 'with'/'using' object(have)
				! 'crack'/'snap'/'whip' object
Action 171	Action171	! 'crack'/'snap'/'whip' object(have) 'over' object
				! 'crack'/'snap'/'whip' object(have) 'onto'/'on'/'across' object
				! 'crack'/'snap'/'whip' object(have) 'at' object
Action 172	Action172	! 'who'/'whos' object
				! 'who'/'whos'
Action 173	Action173	! 'why'
Action 174	Action174	! 'howl'/'scream'/'shout'/'yell' 'toward'/'to' object
				! 'howl'/'scream'/'shout'/'yell' 'at' object
				! 'howl'/'scream'/'shout'/'yell'
Action 175	Action175	! 'you' object
				! 'you'
Action 176	Action176	! '#rand' object
Action 177	Action177	! '#comm'
Action 178	Action178	! '#reco'
Action 179	Action179	! '#unre'

Word	$ve	$ve
Word	#comm	#comm
Word	#rand	#rand
Word	#reco	#reco
Word	#unre	#unre
Word	across	across
Word	activa	activa
Word	addres	addres
Word	adjust	adjust
Word	advanc	advanc
Word	africa	africa
Word	alumin	alumin
Word	andrew	andrew
Word	animal	animal
Word	answer	answer
Word	antler	antler
Word	appara	appara
Word	appare	appare
Word	applau	applau
Word	approa	approa
Word	arange	arange
Word	around	around
Word	arrest	arrest
Word	ashtra	ashtra
Word	assaul	assaul
Word	asshol	asshol
Word	attach	attach
Word	attack	attack
Word	attrac	attrac
Word	audien	audien
Word	automo	automo
Word	baggag	baggag
Word	balanc	balanc
Word	balloo	balloo
Word	ballpl	ballpl
Word	ballyh	ballyh
Word	banana	banana
Word	banner	banner
Word	barred	barred
Word	basema	basema
Word	bastar	bastar
Word	behind	behind
Word	beneat	beneat
Word	bigtop	bigtop
Word	biogra	biogra
Word	blackj	blackj
Word	bleach	bleach
Word	bloome	bloome
Word	bounce	bounce
Word	breath	breath
Word	bright	bright
Word	brothe	brothe
Word	bucket	bucket
Word	bullwh	bullwh
Word	button	button
Word	canvas	canvas
Word	captur	captur
Word	cardbo	cardbo
Word	casset	casset
Word	catche	catche
Word	ceilin	ceilin
Word	center	center
Word	chains	chains
Word	chalky	chalky
Word	chande	chande
Word	charac	charac
Word	cheese	cheese
Word	chelse	chelse
Word	cherry	cherry
Word	chocol	chocol
Word	chuckl	chuckl
Word	cigare	cigare
Word	circle	circle
Word	circus	circus
Word	classi	classi
Word	closet	closet
Word	cocksu	cocksu
Word	combin	combin
Word	compan	compan
Word	compar	compar
Word	compou	compou
Word	comput	comput
Word	comrad	comrad
Word	conces	conces
Word	consta	consta
Word	consul	consul
Word	contro	contro
Word	conver	conver
Word	corner	corner
Word	corpus	corpus
Word	costum	costum
Word	cotton	cotton
Word	counte	counte
Word	course	course
Word	crouch	crouch
Word	crowba	crowba
Word	curtai	curtai
Word	dagnab	dagnab
Word	damage	damage
Word	damned	damned
Word	darkly	darkly
Word	darkne	darkne
Word	dealer	dealer
Word	debark	debark
Word	decora	decora
Word	demoli	demoli
Word	depart	depart
Word	descen	descen
Word	descri	descri
Word	destro	destro
Word	detect	detect
Word	devour	devour
Word	diagno	diagno
Word	didn'	didn'
Word	differ	differ
Word	dilapi	dilapi
Word	diplom	diplom
Word	direct	direct
Word	disemb	disemb
Word	dollar	dollar
Word	donate	donate
Word	drawer	drawer
Word	drinki	drinki
Word	droopy	droopy
Word	ducket	ducket
Word	egress	egress
Word	electr	electr
Word	elepha	elepha
Word	embark	embark
Word	enclos	enclos
Word	entran	entran
Word	evenin	evenin
Word	examin	examin
Word	except	except
Word	expens	expens
Word	exting	exting
Word	extrac	extrac
Word	fasten	fasten
Word	fatigu	fatigu
Word	feathe	feathe
Word	fiberg	fiberg
Word	fielde	fielde
Word	figure	figure
Word	fire-	fire-
Word	flower	flower
Word	follow	follow
Word	foobar	foobar
Word	fortun	fortun
Word	founta	founta
Word	framed	framed
Word	fronts	fronts
Word	frozen	frozen
Word	fucked	fucked
Word	fuckin	fuckin
Word	future	future
Word	gaggle	gaggle
Word	garbag	garbag
Word	garish	garish
Word	garmen	garmen
Word	genato	genato
Word	genera	genera
Word	genuin	genuin
Word	glarin	glarin
Word	glasse	glasse
Word	gloria	gloria
Word	glorio	glorio
Word	gobble	gobble
Word	goddam	goddam
Word	gorill	gorill
Word	gottfr	gottfr
Word	grands	grands
Word	granol	granol
Word	grassy	grassy
Word	ground	ground
Word	grungy	grungy
Word	guzzle	guzzle
Word	hannib	hannib
Word	hardwo	hardwo
Word	hawker	hawker
Word	headph	headph
Word	helium	helium
Word	helmet	helmet
Word	herbif	herbif
Word	hermap	hermap
Word	hersel	hersel
Word	high-	high-
Word	himsel	himsel
Word	holste	holste
Word	howard	howard
Word	hypnot	hypnot
Word	igniti	igniti
Word	imbibe	imbibe
Word	ingest	ingest
Word	inhale	inhale
Word	insert	insert
Word	inside	inside
Word	inspec	inspec
Word	intnum	intnum
Word	invent	invent
Word	jacket	jacket
Word	jennif	jennif
Word	jumble	jumble
Word	jungle	jungle
Word	katzen	katzen
Word	keiste	keiste
Word	knitte	knitte
Word	ladder	ladder
Word	lady'	lady'
Word	leathe	leathe
Word	lights	lights
Word	lion'	lion'
Word	listen	listen
Word	little	little
Word	longer	longer
Word	mahler	mahler
Word	malcom	malcom
Word	massiv	massiv
Word	menage	menage
Word	mesmer	mesmer
Word	microp	microp
Word	midget	midget
Word	midway	midway
Word	mirror	mirror
Word	monday	monday
Word	monkey	monkey
Word	morsel	morsel
Word	mouset	mouset
Word	munrab	munrab
Word	murder	murder
Word	myself	myself
Word	mystic	mystic
Word	narrow	narrow
Word	natura	natura
Word	newspr	newspr
Word	nimrod	nimrod
Word	nitrat	nitrat
Word	northe	northe
Word	northw	northw
Word	nostru	nostru
Word	number	number
Word	oakley	oakley
Word	observ	observ
Word	office	office
Word	one-d	one-d
Word	openin	openin
Word	opposi	opposi
Word	outfit	outfit
Word	outlin	outlin
Word	outsid	outsid
Word	pachyd	pachyd
Word	painte	painte
Word	palm-	palm-
Word	parlor	parlor
Word	passag	passag
Word	peanut	peanut
Word	pedest	pedest
Word	people	people
Word	perfor	perfor
Word	phreno	phreno
Word	pictur	pictur
Word	pitche	pitche
Word	pitchm	pitchm
Word	placar	placar
Word	plasti	plasti
Word	platfo	platfo
Word	player	player
Word	please	please
Word	pleate	pleate
Word	pleats	pleats
Word	plywoo	plywoo
Word	pocket	pocket
Word	pole-	pole-
Word	poleva	poleva
Word	police	police
