! Auto-generated by Reform.

MD5	96d314997e5d3a5a793c83845977d44d
Action 81	Tell		! 'tell' creature 'about' topic
Action 82	Answer		! 'answer'/'say'/'shout'/'speak' topic 'to' creature
Action 83	Ask		! 'ask' creature 'about' topic
Action 84	Buy		! 'buy'/'purchase' noun
Action 85	Sing		! 'fix'/'sing'
Action 86	Climb		! 'climb'/'scale' noun
				! 'climb'/'scale' 'up'/'over' noun
Action 87	Wait		! 'wait'/'z//'
Action 88	Sleep		! 'nap'/'sleep'
Action 89	Consult		! 'read' 'about' topic 'in' noun
				! 'read' topic 'in' noun
				! 'consult' noun 'about' topic
				! 'consult' noun 'on' topic
				! 'l//'/'look' 'up' topic 'in' noun
Action 90	AskFor		! 'ask' creature 'for' noun
Action 93	Transfer	! 'clear'/'move'/'press'/'push'/'shift' noun 'to' noun
				! 'transfer' noun 'to' noun
Action 94	ring		! 'ring' noun
Action 95	ride		! 'ride' noun
Action 96	play		! 'play' noun
Action 97	build		! 'build'/'construct'/'fit'/'make' noun
Action 98	Greet		! 'greetings'/'hello'/'hi'/'hiya'/'hullo'
				! 'greetings'/'hello'/'hi'/'hiya'/'hullo' creature
				! 'greet' creature
Action 99	smash		! 'shatter' noun
Action 100	empty		! 'tip' noun
				! 'empty' noun
				! 'empty' 'out' noun
				! 'empty' noun 'out'
Action 101	Version		! 'version'
Action 102	InvTall		! 'i//'/'inv'/'inventory' 'tall'
Action 103	InvWide		! 'i//'/'inv'/'inventory' 'wide'
Action 104	GoIn		! 'in'/'inside'
				! 'cross'/'enter'
Action 105	DefaultLock	! 'lock' noun=routine74940
Action 106	Unl		! 'unlock' noun
				! 'lock' noun
Action 107	DefaultUnlock	! 'unlock' noun=routine74940
Action 108	Escape		! 'escape'
				! 'run'
				! 'leave'/'yes'
Action 109	Chuck		! 'throw' multiheld
				! 'throw' held 'down'
				! 'throw' 'down' held
Action 110	Info2		! 'games'/'instructi'
Action 111	Info		! 'info'
Action 112	Hint		! 'help'/'hint'
Action 113	Pour		! 'pour' noun
Action 114	Extinguish	! 'extinguis' 'candle'
				! 'extinguis' 'light'
				! 'candle' 'off'
				! 'off' held
Action 115	Light		! 'candle' 'on'
				! 'on' held
Action 116	Rescue		! 'rescue'
Action 117	Find		! 'find' 'dragon'
				! 'find' 'treasure'
				! 'find' 'gold'
				! 'find' noun
Action 118	Strike		! 'strike' 'match'

Word	adventure	adventure
Word	battlemen	battlemen
Word	bird-bat	bird-bat
Word	bird-cal	bird-cal
Word	bird-son	bird-son
Word	birdcalls	birdcalls
Word	birdsongs	birdsongs
Word	butterfli	butterfli
Word	cardboard	cardboard
Word	cathedral	cathedral
Word	claw-mar	claw-mar
Word	clawmarks	clawmarks
Word	clothes-	clothes-
Word	clothespe	clothespe
Word	construct	construct
Word	countrysi	countrysi
Word	creatures	creatures
Word	crenellat	crenellat
Word	decoratio	decoratio
Word	decortati	decortati
Word	direction	direction
Word	dish-clo	dish-clo
Word	dishcloth	dishcloth
Word	dragonfli	dragonfli
Word	dragonfly	dragonfly
Word	drawbridg	drawbridg
Word	enchantme	enchantme
Word	everythin	everythin
Word	extinguis	extinguis
Word	fire-fli	fire-fli
Word	fire-fly	fire-fly
Word	fireflies	fireflies
Word	fireplace	fireplace
Word	flagstone	flagstone
Word	floor-bo	floor-bo
Word	floorboar	floorboar
Word	fullscore	fullscore
Word	greetings	greetings
Word	hang-gli	hang-gli
Word	hangglide	hangglide
Word	hanglider	hanglider
Word	humankind	humankind
Word	instructi	instructi
Word	instrumen	instrumen
Word	inventory	inventory
Word	lettering	lettering
Word	lighthous	lighthous
Word	loopholes	loopholes
Word	magicians	magicians
Word	magnifice	magnifice
Word	mantelpie	mantelpie
Word	mantlepie	mantlepie
Word	northeast	northeast
Word	northwest	northwest
Word	ornaments	ornaments
Word	paintings	paintings
Word	parachute	parachute
Word	parchment	parchment
Word	passagewa	passagewa
Word	photograp	photograp
Word	portculli	portculli
Word	scratches	scratches
Word	screwdriv	screwdriv
Word	seventeen	seventeen
Word	southeast	southeast
Word	southwest	southwest
Word	sparrowha	sparrowha
Word	stairwell	stairwell
Word	stalactit	stalactit
Word	stalagmit	stalagmit
Word	stronghol	stronghol
Word	structure	structure
Word	superbrie	superbrie
Word	surroundi	surroundi
Word	table-cl	table-cl
Word	tableclot	tableclot
Word	transcrip	transcrip
Word	undergrow	undergrow
Word	vegetatio	vegetatio
Word	velociped	velociped
Word	warming-	warming-
Word	wasteland	wasteland
Word	woodpigeo	woodpigeo
Word	workmansh	workmansh

Routine 0x6cd4	routine27860:?
Routine 0x6cdc	routine27868:?
Routine 0x6ce8	routine27880:?
Routine 0x6cec	routine27884:?
Routine 0x6d10	routine27920:?
Routine 0x6db0	routine28080:?
Routine 0x6f88	routine28552:?
Routine 0x6fc0	routine28608:?
Routine 0x6ffc	routine28668:?
Routine 0x702c	routine28716:?
Routine 0x705c	routine28764:?
Routine 0x7070	routine28784:?
Routine 0x70a4	routine28836:?
Routine 0x70e0	routine28896:?
Routine 0x8e3c	routine36412:?
Routine 0x8e48	routine36424:?
Routine 0x8e54	routine36436:?
Routine 0x8e60	routine36448:?
Routine 0x8e80	routine36480:?
Routine 0x8f0c	routine36620:?
! References: obj21__Inform_Parser_.parse_input
Routine 0x8f20	routine36640:?
Routine 0x8f28	routine36648:?
Routine 0x8f38	routine36664:?
Routine 0x9110	routine37136:?
Routine 0x98fc	routine39164:?
Routine 0x9930	routine39216:?
Routine 0x994c	routine39244:?
Routine 0x9a94	routine39572:?
Routine 0x9aac	routine39596:?
Routine 0x9afc	routine39676:?
Routine 0x9b20	routine39712:?
Routine 0x9edc	routine40668:?
Routine 0xa3a0	routine41888:?
Routine 0xa654	routine42580:?
Routine 0xa730	routine42800:?
Routine 0xa89c	routine43164:?
Routine 0xa8e8	routine43240:?
Routine 0xa924	routine43300:?
Routine 0xaa18	routine43544:?
Routine 0xaa90	routine43664:?
Routine 0xaae0	routine43744:?
Routine 0xab14	routine43796:?
Routine 0xab64	routine43876:?
Routine 0xab8c	routine43916:?
Routine 0xaba8	routine43944:?
Routine 0xabd8	routine43992:?
Routine 0xac74	routine44148:?
Routine 0xac88	routine44168:?
Routine 0xaca4	routine44196:?
Routine 0xad28	routine44328:?
Routine 0xad58	routine44376:?
Routine 0xae40	routine44608:?
Routine 0xae64	routine44644:?
Routine 0xaeb0	routine44720:?
Routine 0xafd4	routine45012:?
Routine 0xb02c	routine45100:?
Routine 0xb058	routine45144:?
Routine 0xb088	routine45192:?
Routine 0xb0d0	routine45264:?
Routine 0xb108	routine45320:?
Routine 0xb120	routine45344:?
Routine 0xb138	routine45368:?
Routine 0xb144	routine45380:?
Routine 0xb240	routine45632:?
Routine 0xb248	routine45640:?
Routine 0xb290	routine45712:?
Routine 0xb2a4	routine45732:?
Routine 0xb2b8	routine45752:?
Routine 0xb2d4	routine45780:?
Routine 0xb328	PronounsSub:?
Routine 0xb3d4	routine46036:?
Routine 0xb408	routine46088:?
Routine 0xb438	routine46136:?
Routine 0xb440	routine46144:?
Routine 0xb46c	routine46188:?
! References: obj22__Inform_Library_.play
Routine 0xb4d4	routine46292:?
! References: obj22__Inform_Library_.end_turn_sequence
Routine 0xb810	routine47120:?
! References: obj22__Inform_Library_.begin_action
Routine 0xb8c8	routine47304:?
Routine 0xb8fc	routine47356:?
Routine 0xb908	routine47368:?
Routine 0xb9b0	routine47536:?
Routine 0xb9d0	routine47568:?
Routine 0xb9fc	routine47612:?
Routine 0xba44	routine47684:?
Routine 0xba80	routine47744:?
Routine 0xbac8	routine47816:?
Routine 0xbb04	routine47876:?
Routine 0xbb10	routine47888:?
Routine 0xbb34	routine47924:?
Routine 0xbb94	routine48020:?
Routine 0xbbb4	routine48052:?
Routine 0xbbd8	routine48088:?
Routine 0xbbe8	routine48104:?
Routine 0xbc44	routine48196:?
Routine 0xbc7c	routine48252:?
Routine 0xbccc	routine48332:?
Routine 0xbcf4	routine48372:?
Routine 0xbd10	routine48400:?
Routine 0xbd24	routine48420:?
Routine 0xbd40	routine48448:?
Routine 0xbd88	routine48520:?
Routine 0xbddc	routine48604:?
Routine 0xbe0c	routine48652:?
Routine 0xbea8	routine48808:?
Routine 0xbf1c	routine48924:?
Routine 0xbfc0	routine49088:?
Routine 0xc080	routine49280:?
Routine 0xc118	routine49432:?
Routine 0xc158	routine49496:?
Routine 0xc17c	routine49532:?
Routine 0xc1a0	routine49568:?
Routine 0xc1b4	routine49588:?
Routine 0xc1bc	routine49596:?
Routine 0xc1ec	routine49644:?
Routine 0xc208	routine49672:?
Routine 0xc238	PlacesSub:?
Routine 0xc240	ObjectsSub:?
Routine 0xc248	routine49736:?
Routine 0xc2cc	VersionSub:?
Routine 0xc354	routine50004:?
Routine 0xc380	routine50048:?
Routine 0xc3c4	routine50116:?
Routine 0xc3e4	routine50148:?
Routine 0xc438	routine50232:?
Routine 0xc488	routine50312:?
Routine 0xc4f4	routine50420:?
Routine 0xc50c	routine50444:?
Routine 0xc534	routine50484:?
Routine 0xcb74	routine52084:?
Routine 0xcbd0	routine52176:?
Routine 0xce84	routine52868:?
Routine 0xcf2c	routine53036:?
Routine 0xd11c	routine53532:?
Routine 0xd1a0	routine53664:?
Routine 0xd1dc	routine53724:?
Routine 0xd1ec	routine53740:?
