! Auto-generated by Reform.

MD5	646a63307f77dcdcd011f330277ae262
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Pronouns	! 'nouns'/'pronouns'
Action 1	Quit		! 'die'/'q//'/'quit'
Action 2	Restart		! 'restart'
Action 3	Restore		! 'restore'
Action 4	Save		! 'save'
Action 5	Verify		! 'verify'
Action 6	ScriptOn	! 'script'/'transcrip'
				! 'script'/'transcrip' 'on'
Action 7	ScriptOff	! 'noscript'/'unscript'
				! 'script'/'transcrip' 'off'
Action 8	NotifyOn	! 'notify' 'on'
Action 9	NotifyOff	! 'notify' 'off'
Action 10	Places		! 'places'
Action 11	Objects		! 'objects'
Action 12	Score		! 'score'
Action 13	FullScore	! 'full'/'fullscore'
				! 'full'/'fullscore' 'score'
Action 14	Inv		! 'i//'/'inv'/'inventory'
				! 'carry'/'hold'/'take' 'inventory'
Action 15	Take		! 'peel' noun
				! 'peel' 'off' noun
				! 'remove' multi
				! 'pick' 'up' multi
				! 'pick' multi 'up'
				! 'get' multi
				! 'carry'/'hold'/'take' multi
Action 16	Drop		! 'discard'/'drop'/'throw' multiheld
				! 'put' 'down' multiheld
				! 'put' multiheld 'down'
Action 17	Remove		! 'remove' multiinside 'from' noun
				! 'get' multiinside 'from' noun
				! 'carry'/'hold'/'take' multiinside 'from' noun
				! 'carry'/'hold'/'take' multiinside 'off' noun
Action 18	PutOn		! 'discard'/'drop'/'throw' multiexcept 'on'/'onto' noun
				! 'put' multiexcept 'on'/'onto' noun
Action 19	Insert		! 'discard'/'drop'/'throw' multiexcept 'in'/'into'/'down' noun
				! 'insert' multiexcept 'in'/'into' noun
				! 'put' multiexcept 'in'/'inside'/'into' noun
Action 20	EmptyT		! 'empty' noun 'to'/'into'/'on'/'onto' noun
Action 21	Give		! 'feed'/'give'/'offer'/'pay' held 'to' creature
				! 'feed'/'give'/'offer'/'pay' creature held
				! 'feed'/'give'/'offer'/'pay' 'over' held 'to' creature
Action 22	Show		! 'display'/'present'/'show' creature held
				! 'display'/'present'/'show' held 'to' creature
Action 23	Enter		! 'lie'/'sit' 'on' 'top' 'of' noun
				! 'lie'/'sit' 'on'/'in'/'inside' noun
				! 'cross'/'enter' noun
				! 'leave' 'into'/'in'/'inside'/'through' noun
				! 'go'/'run'/'walk' noun
				! 'go'/'run'/'walk' 'into'/'in'/'inside'/'through' noun
				! 'stand' 'on' noun
				! 'get' 'in'/'into'/'on'/'onto' noun
Action 24	GetOff		! 'get' 'off' noun
Action 25	Exit		! 'exit'/'out'/'outside'
				! 'leave' noun
				! 'stand'
				! 'stand' 'up'
				! 'get' 'out'/'off'/'up'
Action 26	VagueGo		! 'leave'
				! 'go'/'run'/'walk'
Action 27	Go		! 'leave' noun=routine65976
				! 'go'/'run'/'walk' noun=routine65976
Action 28	LMode1		! 'brief'/'normal'
Action 29	LMode2		! 'long'/'verbose'
Action 30	LMode3		! 'short'/'superbrie'
Action 31	Look		! 'l//'/'look'
Action 32	Examine		! 'read' noun
				! 'check'/'describe'/'examine'/'watch'/'x//' noun
				! 'l//'/'look' 'at' noun
Action 33	LookUnder	! 'l//'/'look' 'under' noun
Action 34	Search		! 'search' noun
				! 'l//'/'look' 'inside'/'in'/'into'/'through' noun
Action 35	Unlock		! 'unlock' noun 'with' held
				! 'open'/'uncover'/'undo'/'unwrap' noun 'with' held
Action 36	Lock		! 'lock' noun 'with' held
Action 37	SwitchOn	! 'switch' noun
				! 'switch' noun 'on'
				! 'switch' 'on' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'on'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'on' noun
Action 38	SwitchOff	! 'switch' noun 'off'
				! 'switch' 'off' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'off'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'off' noun
				! 'close'/'cover'/'shut' 'off' noun
Action 39	Open		! 'open'/'uncover'/'undo'/'unwrap' noun
Action 40	Close		! 'close'/'cover'/'shut' noun
				! 'close'/'cover'/'shut' 'up' noun
Action 41	Disrobe		! 'disrobe'/'doff'/'shed' held
				! 'remove' held
				! 'carry'/'hold'/'take' 'off' worn
Action 42	Wear		! 'put' 'on' held
				! 'don'/'wear' held
Action 43	Eat		! 'eat' held
Action 44	Yes		! 'y//'/'yes'
Action 45	No		! 'no'
Action 46	Burn		! 'burn'/'light' noun
				! 'burn'/'light' noun 'with' held
Action 47	Pray		! 'pray'
Action 48	Wake		! 'awake'/'awaken'/'wake'
				! 'awake'/'awaken'/'wake' 'up'
Action 49	WakeOther	! 'awake'/'awaken'/'wake' creature
				! 'awake'/'awaken'/'wake' creature 'up'
				! 'awake'/'awaken'/'wake' 'up' creature
Action 50	Kiss		! 'embrace'/'hug'/'kiss' creature
Action 51	Think		! 'think'
Action 52	Smell		! 'smell'/'sniff'
				! 'smell'/'sniff' noun
Action 53	Listen		! 'hear'/'listen'
				! 'hear'/'listen' noun
				! 'hear'/'listen' 'to' noun
Action 54	Taste		! 'taste' noun
Action 55	Touch		! 'feel'/'fondle'/'grope'/'touch' noun
Action 56	Dig		! 'dig' noun
				! 'dig' noun 'with' held
Action 57	Cut		! 'chop'/'cut'/'prune'/'slice' noun
Action 58	Jump		! 'hop'/'jump'/'skip'
Action 59	JumpOver	! 'hop'/'jump'/'skip' 'over' noun
Action 60	Tie		! 'attach'/'fasten'/'fix'/'tie' noun
				! 'attach'/'fasten'/'fix'/'tie' noun 'to' noun
Action 61	Drink		! 'drink'/'sip'/'swallow' noun
Action 62	Fill		! 'fill' noun
Action 63	Sorry		! 'sorry'
Action 64	Strong		! 'damn'/'fuck'/'shit'/'sod'
				! 'damn'/'fuck'/'shit'/'sod' topic
Action 65	Mild		! 'bother'/'curses'/'darn'/'drat'
				! 'bother'/'curses'/'darn'/'drat' topic
Action 66	Attack		! 'punch' noun
				! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'kill'/'murder'/'smash'/'thump'/'torture'/'wreck' noun
Action 67	Swim		! 'dive'/'swim'
Action 68	Swing		! 'swing' noun
				! 'swing' 'on' noun
Action 69	Blow		! 'blow' held
Action 70	Rub		! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' noun
Action 71	Set		! 'adjust'/'set' noun
Action 72	SetTo		! 'adjust'/'set' noun 'to' special
Action 73	WaveHands	! 'wave'
Action 74	Wave		! 'wave' noun
Action 75	Pull		! 'drag'/'pull' noun
Action 76	Push		! 'clear'/'move'/'press'/'push'/'shift' noun
Action 77	Turn		! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun
Action 78	PushDir		! 'clear'/'move'/'press'/'push'/'shift' noun noun
Action 79	Squeeze		! 'squash'/'squeeze' noun
Action 80	ThrowAt		! 'discard'/'drop'/'throw' held 'at'/'against'/'on'/'onto' noun
Action 81	Tell		! 'tell' creature 'about' topic
Action 82	Answer		! 'answer'/'say'/'shout'/'speak' topic 'to' creature
Action 83	Ask		! 'ask' creature 'about' topic
Action 84	Buy		! 'buy'/'purchase' noun
Action 85	Sing		! 'sing'
Action 86	Climb		! 'climb'/'scale' noun
				! 'climb'/'scale' 'up'/'over' noun
Action 87	Wait		! 'wait'/'z//'
Action 88	Sleep		! 'nap'/'sleep'
Action 89	Consult		! 'read' 'about' topic 'in' noun
				! 'read' topic 'in' noun
				! 'consult' noun 'about' topic
				! 'consult' noun 'on' topic
				! 'l//'/'look' 'up' topic 'in' noun
Action 90	AskFor		! 'ask' creature 'for' noun
Action 93	Transfer	! 'clear'/'move'/'press'/'push'/'shift' noun 'to' noun
				! 'transfer' noun 'to' noun
Action 94	Version		! 'version'
Action 95	Empty		! 'empty' noun
				! 'empty' 'out' noun
				! 'empty' noun 'out'
Action 96	InvTall		! 'i//'/'inv'/'inventory' 'tall'
Action 97	InvWide		! 'i//'/'inv'/'inventory' 'wide'
Action 98	GoIn		! 'in'/'inside'
				! 'cross'/'enter'
Action 99	Pour		! 'pour'/'tip' noun
				! 'pour'/'tip' noun 'out'
				! 'pour'/'tip' 'out' noun
				! 'pour'/'tip' noun 'away'
				! 'pour'/'tip' 'away' noun
Action 100	PourInto	! 'pour'/'tip' noun 'into' noun
				! 'pour'/'tip' noun 'in' noun
				! 'pour'/'tip' noun 'onto' noun
				! 'pour'/'tip' noun 'on' noun
Action 101	PickIt		! 'pick' noun
Action 102	Tear		! 'rip'/'tear' noun
Action 103	CutWith		! 'chop'/'cut'/'prune'/'slice' noun 'with' noun
				! 'chop'/'cut'/'prune'/'slice' noun 'using' noun
Action 104	Write		! 'scribble'/'scribe'/'write' 'on' noun 'with' noun
				! 'scribble'/'scribe'/'write' 'on' noun
Action 105	Press1		! 'clear'/'move'/'press'/'push'/'shift' noun '1//'
Action 106	Press2		! 'clear'/'move'/'press'/'push'/'shift' noun '2//'
Action 107	Press3		! 'clear'/'move'/'press'/'push'/'shift' noun '3//'
Action 108	Press4		! 'clear'/'move'/'press'/'push'/'shift' noun '4//'
Action 109	Press5		! 'clear'/'move'/'press'/'push'/'shift' noun '5//'
Action 110	Press6		! 'clear'/'move'/'press'/'push'/'shift' noun '6//'
Action 111	Press7		! 'clear'/'move'/'press'/'push'/'shift' noun '7//'
Action 112	Press8		! 'clear'/'move'/'press'/'push'/'shift' noun '8//'
Action 113	Press9		! 'clear'/'move'/'press'/'push'/'shift' noun '9//'
Action 114	PressEnter	! 'clear'/'move'/'press'/'push'/'shift' noun 'enter'
Action 115	Play		! 'play' 'with' noun
				! 'play' noun
Action 116	PunchOn		! 'punch' routine66540 'on' held
				! 'punch' routine66540 'on' noun
Action 118	ShootStub	! 'fire' 'at' noun
				! 'fire' noun
				! 'fire' 'at' noun 'with' held
				! 'fire' noun 'with' held
				! 'shoot' 'at' noun
				! 'shoot' noun
				! 'shoot' 'at' noun 'with' held
				! 'shoot' noun 'with' held
Action 119	Fire		! 'fire' held
				! 'fire' held 'at' noun
Action 120	Start		! 'start' noun
Action 121	Stop		! 'stop' noun
Action 122	Uncoil		! 'uncoil' held
Action 123	Use		! 'use' noun
Action 124	UseOn		! 'use' held 'on' noun
				! 'use' held 'with' noun
Action 125	GoTwo		! 'go'/'run'/'walk' noun=routine65976 noun=routine65976

Word	abandonne	abandonne
Word	ballpoint	ballpoint
Word	boardmark	boardmark
Word	cartridge	cartridge
Word	chocolate	chocolate
Word	clingfilm	clingfilm
Word	coffee	coffee
Word	computers	computers
Word	cupboards	cupboards
Word	dispenser	dispenser
Word	everythin	everythin
Word	footprint	footprint
Word	fullscore	fullscore
Word	generator	generator
Word	inventory	inventory
Word	northeast	northeast
Word	northwest	northwest
Word	polystyre	polystyre
Word	punchcard	punchcard
Word	reception	reception
Word	seventeen	seventeen
Word	southeast	southeast
Word	southwest	southwest
Word	superbrie	superbrie
Word	transcrip	transcrip
Word	whiteboar	whiteboar
Word	wintermut	wintermut

Routine 0x8378	routine33656:?
Routine 0x8380	routine33664:?
Routine 0x838c	routine33676:?
Routine 0x8390	routine33680:?
Routine 0x83b4	routine33716:?
Routine 0x8454	routine33876:?
Routine 0x862c	routine34348:?
Routine 0x8664	routine34404:?
Routine 0x86a0	routine34464:?
Routine 0x86d0	routine34512:?
Routine 0x8700	routine34560:?
Routine 0x8714	routine34580:?
Routine 0x8748	routine34632:?
Routine 0x8784	routine34692:?
! References: obj19__darkness_object_.description
Routine 0xa4a4	routine42148:?
Routine 0xa4b0	routine42160:?
! References: obj20__self_object_.description
Routine 0xa4bc	routine42172:?
Routine 0xa4c8	routine42184:?
Routine 0xa4e8	routine42216:?
Routine 0xa574	routine42356:?
! References: obj21__Inform_Parser_.parse_input
Routine 0xa588	routine42376:?
Routine 0xa590	routine42384:?
Routine 0xa5a0	routine42400:?
Routine 0xa778	routine42872:?
Routine 0xaf5c	routine44892:?
Routine 0xaf90	routine44944:?
Routine 0xafac	routine44972:?
Routine 0xb0f0	routine45296:?
Routine 0xb108	routine45320:?
Routine 0xb158	routine45400:?
Routine 0xb17c	routine45436:?
Routine 0xb530	routine46384:?
Routine 0xb9ec	routine47596:?
Routine 0xbca0	routine48288:?
Routine 0xbd78	routine48504:?
Routine 0xbee4	routine48868:?
Routine 0xbf2c	routine48940:?
Routine 0xbf64	routine48996:?
Routine 0xc054	routine49236:?
Routine 0xc0cc	routine49356:?
Routine 0xc11c	routine49436:?
Routine 0xc150	routine49488:?
Routine 0xc1a0	routine49568:?
Routine 0xc1c8	routine49608:?
Routine 0xc1e4	routine49636:?
Routine 0xc214	routine49684:?
Routine 0xc2ac	routine49836:?
Routine 0xc2c0	routine49856:?
Routine 0xc2dc	routine49884:?
Routine 0xc360	routine50016:?
Routine 0xc390	routine50064:?
Routine 0xc478	routine50296:?
Routine 0xc49c	routine50332:?
Routine 0xc4e8	routine50408:?
Routine 0xc608	routine50696:?
Routine 0xc660	routine50784:?
Routine 0xc68c	routine50828:?
Routine 0xc6bc	routine50876:?
Routine 0xc704	routine50948:?
Routine 0xc73c	routine51004:?
Routine 0xc754	routine51028:?
Routine 0xc76c	routine51052:?
Routine 0xc778	routine51064:?
Routine 0xc874	routine51316:?
Routine 0xc87c	routine51324:?
Routine 0xc8c4	routine51396:?
Routine 0xc8d8	routine51416:?
Routine 0xc8ec	routine51436:?
Routine 0xc908	routine51464:?
Routine 0xc95c	PronounsSub:?
Routine 0xca08	routine51720:?
Routine 0xca3c	routine51772:?
Routine 0xca6c	routine51820:?
Routine 0xca74	routine51828:?
Routine 0xcaa0	routine51872:?
! References: obj22__Inform_Library_.play
Routine 0xcb08	routine51976:?
! References: obj22__Inform_Library_.end_turn_sequence
Routine 0xce40	routine52800:?
! References: obj22__Inform_Library_.begin_action
Routine 0xcef8	routine52984:?
Routine 0xcf2c	routine53036:?
Routine 0xcf38	routine53048:?
Routine 0xcfe0	routine53216:?
Routine 0xd000	routine53248:?
Routine 0xd02c	routine53292:?
Routine 0xd074	routine53364:?
Routine 0xd0b0	routine53424:?
Routine 0xd0f8	routine53496:?
Routine 0xd134	routine53556:?
Routine 0xd140	routine53568:?
Routine 0xd164	routine53604:?
Routine 0xd1c4	routine53700:?
Routine 0xd1e4	routine53732:?
Routine 0xd208	routine53768:?
Routine 0xd218	routine53784:?
Routine 0xd274	routine53876:?
Routine 0xd2ac	routine53932:?
Routine 0xd2fc	routine54012:?
Routine 0xd324	routine54052:?
Routine 0xd340	routine54080:?
Routine 0xd354	routine54100:?
Routine 0xd370	routine54128:?
Routine 0xd3b8	routine54200:?
Routine 0xd40c	routine54284:?
Routine 0xd43c	routine54332:?
Routine 0xd4d8	routine54488:?
Routine 0xd54c	routine54604:?
Routine 0xd5f0	routine54768:?
Routine 0xd6ac	routine54956:?
Routine 0xd744	routine55108:?
Routine 0xd784	routine55172:?
Routine 0xd7a8	routine55208:?
Routine 0xd7cc	routine55244:?
Routine 0xd7e0	routine55264:?
Routine 0xd7e8	routine55272:?
Routine 0xd818	routine55320:?
Routine 0xd834	routine55348:?
Routine 0xd864	routine55396:?
Routine 0xd874	routine55412:?
Routine 0xd898	routine55448:?
Routine 0xd8c4	routine55492:?
Routine 0xd964	PlacesSub:?
Routine 0xd96c	ObjectsSub:?
Routine 0xd974	routine55668:?
Routine 0xd9f8	VersionSub:?
Routine 0xda80	routine55936:?
Routine 0xdaac	routine55980:?
Routine 0xdaf0	routine56048:?
Routine 0xdb10	routine56080:?
Routine 0xdb60	routine56160:?
Routine 0xdbb0	routine56240:?
Routine 0xdc1c	routine56348:?
Routine 0xdc34	routine56372:?
Routine 0xdc5c	routine56412:?
Routine 0xe294	routine58004:?
Routine 0xe2f0	routine58096:?
Routine 0xe5a0	routine58784:?
Routine 0xe648	routine58952:?
Routine 0xe838	routine59448:?
Routine 0xe8bc	routine59580:?
Routine 0xe8f8	routine59640:?
Routine 0xe908	routine59656:?
