! Auto-generated by Reform.

MD5	ec55791be814db3663ad1aec0d6b7690
Action 31	Action31	! 'clear'/'move'/'press'/'push'/'shift' noun 'to' noun
				! 'transfer' noun 'to' noun
Action 33	Action33	! 'read' noun
				! 'check'/'describe'/'examine'/'watch'/'x//' noun
				! 'l//'/'look' 'at' noun
				! 'l//'/'look' noun
Action 34	Action34	! 'climb'/'scale' 'on' noun
				! 'lie'/'sit' 'on' noun
				! 'lie'/'sit' 'in' noun
				! 'lie'/'sit' 'inside' noun
				! 'cross'/'enter' noun
				! 'go'/'leave'/'run'/'walk' noun
				! 'go'/'leave'/'run'/'walk' 'into' noun
				! 'go'/'leave'/'run'/'walk' 'in' noun
				! 'go'/'leave'/'run'/'walk' 'inside' noun
				! 'go'/'leave'/'run'/'walk' 'through' noun
				! 'stand' 'on' noun
				! 'carry'/'get'/'hold'/'take' 'in' noun
				! 'carry'/'get'/'hold'/'take' 'into' noun
				! 'carry'/'get'/'hold'/'take' 'on' noun
Action 35	Action35	! 'exit'/'out'/'outside'
				! 'stand'
				! 'stand' 'up'
				! 'carry'/'get'/'hold'/'take' 'out'
				! 'carry'/'get'/'hold'/'take' 'off'
				! 'carry'/'get'/'hold'/'take' 'up'
Action 36	Action36	! 'carry'/'get'/'hold'/'take' 'off' noun
Action 37	Action37	! 'go'/'leave'/'run'/'walk'
Action 38	Action38	! 'brief'/'normal'
Action 39	Action39	! 'long'/'verbose'
Action 40	Action40	! 'short'/'superbrie'
Action 41	Action41	! 'search' noun
				! 'l//'/'look' 'inside' noun
				! 'l//'/'look' 'in' noun
				! 'l//'/'look' 'into' noun
				! 'l//'/'look' 'through' noun
Action 42	Action42	! 'l//'/'look' 'under' noun
Action 43	Action43	! 'unlock' noun 'with' held
				! 'open'/'uncover'/'undo'/'unwrap' noun 'with' held
Action 44	Action44	! 'lock' noun 'with' held
Action 45	Action45	! 'flip' noun 'on'
				! 'flip' 'on' noun
				! 'switch' noun
				! 'switch' noun 'on'
				! 'switch' 'on' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'on'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'on' noun
Action 46	Action46	! 'flip' noun 'off'
				! 'flip' 'off' noun
				! 'switch' noun 'off'
				! 'switch' 'off' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'off'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'off' noun
				! 'close'/'cover'/'shut' 'off' noun
Action 47	Action47	! 'open'/'uncover'/'undo'/'unwrap' noun
Action 48	Action48	! 'close'/'cover'/'shut' noun
				! 'close'/'cover'/'shut' 'up'
Action 49	Action49	! 'put' 'on' held
				! 'don'/'wear' held
Action 50	Action50	! 'eat' held
Action 51	Action51	! 'y//'/'yes'
Action 52	Action52	! 'no'
Action 53	Action53	! 'burn'/'light' noun
				! 'burn'/'light' noun 'with' held
Action 54	Action54	! 'pray'
Action 55	Action55	! 'awake'/'awaken'/'wake'
				! 'awake'/'awaken'/'wake' 'up'
Action 56	Action56	! 'awake'/'awaken'/'wake' creature
				! 'awake'/'awaken'/'wake' creature 'up'
				! 'awake'/'awaken'/'wake' 'up' creature
Action 57	Action57	! 'think'
Action 58	Action58	! 'smell'/'sniff'
				! 'smell'/'sniff' noun
Action 59	Action59	! 'hear'/'listen'
				! 'hear'/'listen' noun
				! 'hear'/'listen' 'to' noun
Action 60	Action60	! 'taste' noun
Action 61	Action61	! 'dig' noun
				! 'dig' noun 'with' held
Action 62	Action62	! 'chop'/'cut'/'prune'/'slice' noun
Action 63	Action63	! 'hop'/'jump'/'skip'
Action 64	Action64	! 'hop'/'jump'/'skip' 'over' noun
Action 65	Action65	! 'attach'/'fasten'/'fix'/'tie' noun
				! 'attach'/'fasten'/'fix'/'tie' noun 'to' noun
Action 66	Action66	! 'drink'/'sip'/'swallow' noun
Action 67	Action67	! 'fill' noun
Action 68	Action68	! 'sorry'
Action 69	Action69	! 'damn'/'fuck'/'shit'/'sod'
				! 'damn'/'fuck'/'shit'/'sod' special
Action 70	Action70	! 'bother'/'curses'/'darn'/'drat'
				! 'bother'/'curses'/'darn'/'drat' special
Action 71	Action71	! 'dive'/'swim'
Action 72	Action72	! 'swing' noun
				! 'swing' 'on' noun
Action 73	Action73	! 'blow' held
Action 74	Action74	! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' noun
Action 75	Action75	! 'adjust'/'set' noun
Action 76	Action76	! 'adjust'/'set' noun 'to' special
Action 77	Action77	! 'wave'
Action 78	Action78	! 'buy'/'purchase' noun
Action 79	Action79	! 'sing'
Action 80	Action80	! 'climb'/'scale' 'down' noun
				! 'climb'/'scale' 'up' noun
				! 'climb'/'scale' noun
				! 'climb'/'scale' 'up' noun
				! 'climb'/'scale' 'over' noun
Action 81	Action81	! 'nap'/'sleep'
Action 82	Action82	! 'read' 'about' routine53392 'in' noun
				! 'read' routine53392 'in' noun
				! 'consult' noun 'about' routine53316
				! 'consult' noun 'on' routine53316
				! 'l//'/'look' 'up' routine53392 'in' noun
Action 83	Action83	! 'feel'/'fondle'/'grope'/'touch' noun
Action 84	Action84	! 'wave' noun
Action 85	Action85	! 'drag'/'pull' noun
Action 86	Action86	! 'clear'/'move'/'press'/'push'/'shift' noun
Action 87	Action87	! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun
Action 88	Action88	! 'wait'/'z//'
Action 89	Action89	! 'clear'/'move'/'press'/'push'/'shift' noun noun
Action 90	Action90	! 'squash'/'squeeze' noun
Action 91	Action91	! 'discard'/'drop'/'throw' held 'at' noun
				! 'discard'/'drop'/'throw' held 'against' noun
Action 92	Action92	! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'kill'/'murder'/'punch'/'smash'/'thump'/'torture'/'wreck' noun
Action 93	Action93	! 'embrace'/'hug'/'kiss' creature
Action 94	Action94	! 'nouns'/'pronouns'
Action 95	Action95	! 'version'
Action 97	Action97	! 'i//'/'inv'/'inventory' 'wide'
Action 98	Action98	! 'in'/'inside'
				! 'cross'/'enter'
Action 99	Action99	! 'damn'/'fuck'/'shit'/'sod'
				! 'damn'/'fuck'/'shit'/'sod' noun
Action 100	Action100	! 'read' noun
Action 101	Action101	! 'fill' noun 'with' noun
Action 102	Action102	! 'chop'/'cut'/'prune'/'slice' noun 'with' noun
Action 103	Action103	! 'pour' noun 'in' noun
				! 'pour' noun 'into' noun
Action 104	Action104	! 'strike' noun
Action 105	Action105	! 'about'
Action 106	Action106	! 'flip' noun
Action 107	Action107	! 'jam'/'wedge' noun 'under' noun
				! 'jam'/'wedge' noun 'underneat' noun
				! 'jam'/'wedge' noun 'against' noun
				! 'prop' noun 'under' noun
				! 'prop' noun 'underneat' noun
				! 'prop' noun 'against' noun
				! 'put' noun 'underneat' noun
				! 'put' noun 'under' noun
Action 108	Action108	! 'prop' noun 'up@{38e}th' noun
				! 'prop' 'up' noun 'with' noun
Action 109	Action109	! 'release' noun
Action 110	Action110	! 'draw' noun
				! 'slide' noun
Action 111	Action111	! 'knock' 'on' noun
Action 112	Action112	! 'untie' noun
Action 113	Action113	! 'help'/'instructi'
Action 114	Action114	! 'backgroun'
Action 115	Action115	! 'stay'
				! 'stay' noun
				! 'stay' 'here'
				! 'stay' 'there'
Action 116	Action116	! 'follow' noun
Action 117	Action117	! 'play'
				! 'play' 'with' noun
Action 118	Action118	! 'spin'
				! 'spin' noun
Action 119	Action119	! 'blast' noun
				! 'shoot' noun
Action 120	Action120	! 'l//'/'look' 'on' noun
Action 121	Action121	! 'empty' noun
				! 'empty' noun 'into' noun
				! 'empty' noun 'in' noun

Word	anti-mat	anti-mat
Word	apparatus	apparatus
Word	backgroun	backgroun
Word	battery-	battery-
Word	blackened	blackened
Word	brain-ca	brain-ca
Word	braincase	braincase
Word	colourles	colourles
Word	combinati	combinati
Word	compartme	compartme
Word	coordinat	coordinat
Word	crystalli	crystalli
Word	cylindric	cylindric
Word	electroni	electroni
Word	everythin	everythin
Word	explosive	explosive
Word	extinguis	extinguis
Word	firecrack	firecrack
Word	flashligh	flashligh
Word	footfalls	footfalls
Word	footsteps	footsteps
Word	fullscore	fullscore
Word	gallifrey	gallifrey
Word	generator	generator
Word	incredibl	incredibl
Word	instructi	instructi
Word	instrumen	instrumen
Word	inventory	inventory
Word	lettering	lettering
Word	mechanism	mechanism
Word	northeast	northeast
Word	northwest	northwest
Word	passagewa	passagewa
Word	polyhedro	polyhedro
Word	push-but	push-but
Word	receptacl	receptacl
Word	respirato	respirato
Word	screwdriv	screwdriv
Word	seventeen	seventeen
Word	sisterhoo	sisterhoo
Word	six-side	six-side
Word	smoulderi	smoulderi
Word	southeast	southeast
Word	southwest	southwest
Word	spacecraf	spacecraf
Word	spaceship	spaceship
Word	superbrie	superbrie
Word	televisio	televisio
Word	thrusters	thrusters
Word	underneat	underneat
Word	viewscree	viewscree
Word	workbench	workbench

Routine 0x5c84	routine23684:?
Routine 0x5c8c	routine23692:?
Routine 0x5c94	routine23700:?
Routine 0x5d58	routine23896:?
Routine 0x5ea8	routine24232:?
Routine 0x6990	routine27024:?
Routine 0x6a34	routine27188:?
Routine 0x6b54	routine27476:?
Routine 0x6b6c	routine27500:?
Routine 0x6e24	routine28196:?
Routine 0x7160	routine29024:?
Routine 0x73e4	routine29668:?
Routine 0x74b0	routine29872:?
Routine 0x75dc	routine30172:?
Routine 0x762c	routine30252:?
Routine 0x770c	routine30476:?
Routine 0x77bc	routine30652:?
Routine 0x77f8	routine30712:?
Routine 0x782c	routine30764:?
Routine 0x787c	routine30844:?
Routine 0x78a4	routine30884:?
Routine 0x78c4	routine30916:?
Routine 0x78f4	routine30964:?
Routine 0x7940	routine31040:?
Routine 0x7954	routine31060:?
Routine 0x7970	routine31088:?
Routine 0x79e8	routine31208:?
Routine 0x7a20	routine31264:?
Routine 0x7af8	routine31480:?
Routine 0x7b1c	routine31516:?
Routine 0x7b68	routine31592:?
Routine 0x7c50	routine31824:?
Routine 0x7c84	routine31876:?
Routine 0x7cc0	routine31936:?
Routine 0x7cd8	routine31960:?
Routine 0x7cf4	routine31988:?
