! Auto-generated by Reform.

MD5	bf75b9651cff0e2d04302f19c443588e
Routine 0x85c8	routine34248:?
Routine 0x887c	routine34940:?
Routine 0x8958	routine35160:?
Routine 0x8ac4	routine35524:?
Routine 0x8b10	routine35600:?
Routine 0x8b4c	routine35660:?
Routine 0x8bc4	routine35780:?
Routine 0x8c14	routine35860:?
Routine 0x8c48	routine35912:?
Routine 0x8c98	routine35992:?
Routine 0x8cc0	routine36032:?
Routine 0x8cdc	routine36060:?
Routine 0x8d0c	routine36108:?
Routine 0x8da8	routine36264:?
Routine 0x8dbc	routine36284:?
Routine 0x8dd8	routine36312:?
Routine 0x8e5c	routine36444:?
Routine 0x8e8c	routine36492:?
Routine 0x8f74	routine36724:?
Routine 0x8f98	routine36760:?
Routine 0x8ff0	routine36848:?
Routine 0x901c	routine36892:?
Routine 0x904c	routine36940:?
Routine 0x9094	routine37012:?
Routine 0x90cc	routine37068:?
Routine 0x90e4	routine37092:?
Routine 0x90fc	routine37116:?
Routine 0x9108	routine37128:?
Routine 0x9204	routine37380:?
Routine 0x920c	routine37388:?
Routine 0x9254	routine37460:?
Routine 0x9268	routine37480:?
Routine 0x927c	routine37500:?
Routine 0x9298	routine37528:?
Routine 0x92ec	PronounsSub:?
Routine 0x9398	routine37784:?
Routine 0x93cc	routine37836:?
Routine 0x93fc	routine37884:?
Routine 0x9404	routine37892:?
Routine 0x9430	routine37936:?
! References: obj22__Inform_Library_.play
Routine 0x9498	routine38040:?
! References: obj22__Inform_Library_.end_turn_sequence
Routine 0x97d4	routine38868:?
! References: obj22__Inform_Library_.begin_action
Routine 0x988c	routine39052:?
Routine 0x98c0	routine39104:?
Routine 0x98cc	routine39116:?
Routine 0x9974	routine39284:?
Routine 0x9994	routine39316:?
Routine 0x99c0	routine39360:?
Routine 0x9a08	routine39432:?
Routine 0x9a44	routine39492:?
Routine 0x9a8c	routine39564:?
Routine 0x9ac8	routine39624:?
Routine 0x9ad4	routine39636:?
Routine 0x9af8	routine39672:?
Routine 0x9b58	routine39768:?
Routine 0x9b78	routine39800:?
Routine 0x9b9c	routine39836:?
Routine 0x9bac	routine39852:?
Routine 0x9c08	routine39944:?
Routine 0x9c40	routine40000:?
Routine 0x9c90	routine40080:?
Routine 0x9cb8	routine40120:?
Routine 0x9cd4	routine40148:?
Routine 0x9ce8	routine40168:?
Routine 0x9d04	routine40196:?
Routine 0x9d4c	routine40268:?
Routine 0x9da0	routine40352:?
Routine 0x9dd0	routine40400:?
Routine 0x9e6c	routine40556:?
Routine 0x9ee0	routine40672:?
Routine 0x9fa0	routine40864:?
Routine 0xa038	routine41016:?
Routine 0xa078	routine41080:?
Routine 0xa09c	routine41116:?
Routine 0xa0c0	routine41152:?
Routine 0xa0d4	routine41172:?
Routine 0xa0dc	routine41180:?
Routine 0xa10c	routine41228:?
Routine 0xa128	routine41256:?
Routine 0xa158	routine41304:?
Routine 0xa168	routine41320:?
Routine 0xa170	routine41328:?
Routine 0xa278	routine41592:?
Routine 0xa440	routine42048:?
Routine 0xa4b0	routine42160:?
Routine 0xa978	routine43384:?
Routine 0xaab4	routine43700:?
Routine 0xab28	routine43816:?
Routine 0xace8	routine44264:?
Routine 0xad08	PlacesSub:?
Routine 0xad10	ObjectsSub:?
Routine 0xad18	routine44312:?
Routine 0xad9c	VersionSub:?
Routine 0xae24	routine44580:?
Routine 0xae50	routine44624:?
Routine 0xae94	routine44692:?
Routine 0xaeb4	routine44724:?
Routine 0xaf08	routine44808:?
Routine 0xaf58	routine44888:?
Routine 0xafc4	routine44996:?
Routine 0xafdc	routine45020:?
Routine 0xb004	routine45060:?
Routine 0xb644	routine46660:?
Routine 0xb6a0	routine46752:?
Routine 0xb954	routine47444:?
Routine 0xb9fc	routine47612:?
Routine 0xbbec	routine48108:?
Routine 0xbc70	routine48240:?
Routine 0xbcac	routine48300:?
Routine 0xbcbc	routine48316:?
