! Auto-generated by Reform.

MD5	b732a93a6244ddd92a9b9a3e3a46c687
Action 36	Action36	! 'comman' attrib30
Action 37	Action37	! 'count' object
Action 38	Action38	! 'cross'/'ford' object
Action 39	Action39	! 'cut'/'pierce'/'slice' object 'with'/'using'/'thru'/'throug' attrib29(held,carried)
Action 40	Action40	! 'curse'/'damn'/'fuck'/'shit' attrib30
				! 'curse'/'damn'/'fuck'/'shit'
Action 41	Action41	! 'deflat' object
Action 42	Action42	! 'block'/'break'/'damage'/'destro'/'smash' 'down'/'d//' object(held,carried,in_room,on_ground) 'with'/'using'/'thru'/'throug' object(held,carried,take)
				! 'block'/'break'/'damage'/'destro'/'smash' object(held,carried,in_room,on_ground) 'with'/'using'/'thru'/'throug' object(held,carried,take)
				! 'poke' attrib30(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib29(held,carried,have)
				! 'punctu' attrib30(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib29(held,carried,have)
Action 43	Action43	! 'block'/'break'/'damage'/'destro'/'smash' 'into'/'inside'/'in' object(held,carried,in_room,on_ground)
				! 'open' attrib23(held,carried,in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib28(held,carried,in_room,on_ground,have)
				! 'open' 'up'/'u//' attrib23(held,carried,in_room,on_ground)
				! 'open' attrib23(held,carried,in_room,on_ground)
Action 44	Action44	! 'dig' object(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib28(held,carried,have)
				! 'dig' 'into'/'inside'/'in' object(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib28(held,carried,have)
Action 45	Action45	! 'disemb' attrib27(in_room,on_ground)
				! 'carry'/'catch'/'get'/'grab'/'hold'/'remove'/'take' 'out' attrib27(in_room,on_ground)
Action 46	Action46	! 'disenc' object
Action 47	Action47	! 'drink'/'imbibe'/'swallo' attrib22(held,carried,in_room,on_ground)
Action 48	Action48	! 'drink'/'imbibe'/'swallo' 'from' object(held,carried)
Action 49	Action49	! 'drop'/'releas' object(held,many,have)
				! 'leave' object
				! 'pour'/'spill' object(held,carried) 'from' object
				! 'pour'/'spill' object(held,carried) 'into'/'inside'/'in' object
				! 'pour'/'spill' object(held,carried)
				! 'hide'/'insert'/'place'/'put'/'stuff' 'down'/'d//' object(held,many)
Action 50	Action50	! 'drop'/'releas' object(held,many,have) 'onto'/'on' object
				! 'hide'/'insert'/'place'/'put'/'stuff' object(held,many,have) 'onto'/'on' object
				! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'onto'/'on' object
Action 51	Action51	! 'bite'/'consum'/'eat'/'taste' attrib21(held,carried,in_room,on_ground,take)
Action 52	Action52	! 'echo'
Action 53	Action53	! 'enchan' object(in_room,on_ground)
Action 54	Action54	! 'enter'
Action 55	Action55	! 'exit' object
				! 'exit'
Action 56	Action56	! 'descri'/'examin'/'what'/'whats' object(many)
				! 'gaze'/'l//'/'look'/'stare' 'at' object(held,carried,in_room,on_ground,many)
Action 57	Action57	! 'descri'/'examin'/'what'/'whats' 'onto'/'on' object(held,carried,in_room,on_ground,many)
				! 'descri'/'examin'/'what'/'whats' 'into'/'inside'/'in' object(held,carried,in_room,on_ground,many)
				! 'gaze'/'l//'/'look'/'stare' 'into'/'inside'/'in' object(held,carried,in_room,on_ground,many)
				! 'gaze'/'l//'/'look'/'stare' 'with'/'using'/'thru'/'throug' object(held,carried,in_room,on_ground,many)
Action 58	Action58	! 'banish'/'begone'/'cast'/'drive'/'exorci' 'away' attrib30
				! 'banish'/'begone'/'cast'/'drive'/'exorci' 'out' attrib30
				! 'banish'/'begone'/'cast'/'drive'/'exorci' object
Action 59	Action59	! 'fill' attrib19(held,carried,in_room,on_ground)
				! 'fill' attrib19(held,carried,in_room,on_ground) 'with'/'using'/'thru'/'throug' object
Action 60	Action60	! 'find'/'see'/'seek'/'where' object
				! 'gaze'/'l//'/'look'/'stare' 'for' object
				! 'search' 'for' object
Action 61	Action61	! 'chase'/'come'/'follow'/'pursue' object
				! 'chase'/'come'/'follow'/'pursue'
Action 62	Action62	! 'froboz'
Action 63	Action63	! 'donate'/'feed'/'give'/'offer' object(held,many,have) 'to' attrib30(on_ground)
				! 'hand' object(held,many,have) 'to' attrib30(on_ground)
Action 64	Action64	! 'donate'/'feed'/'give'/'offer' attrib30(on_ground) object(held,many,have)
				! 'hand' attrib30(on_ground) object(held,many,have)
Action 65	Action65	! 'hatch' object
Action 66	Action66	! 'hello'/'hi' object
				! 'hello'/'hi'
Action 67	Action67	! 'chant'/'incant'
Action 68	Action68	! 'is' object 'onto'/'on' object
				! 'is' object 'into'/'inside'/'in' object
Action 69	Action69	! 'dive'/'jump'/'leap' 'off' object
				! 'dive'/'jump'/'leap' 'from' object
				! 'dive'/'jump'/'leap' 'into'/'inside'/'in' object
				! 'dive'/'jump'/'leap' 'across' object
				! 'dive'/'jump'/'leap' 'over' object
				! 'dive'/'jump'/'leap'
				! 'go'/'procee'/'run'/'step'/'walk' 'over' object
Action 70	Action70	! 'kick'/'taunt' object
Action 71	Action71	! 'stab' attrib30(in_room,on_ground)
Action 72	Action72	! 'kiss' attrib30(in_room,on_ground)
Action 73	Action73	! 'knock'/'rap' 'onto'/'on' object
				! 'knock'/'rap' 'at' object
Action 74	Action74	! 'launch' attrib27
Action 75	Action75	! 'lean' 'onto'/'on' object(held,have)
Action 76	Action76	! 'leave'
Action 77	Action77	! 'listen' 'for' object
				! 'listen' 'to' object
Action 78	Action78	! 'lock' object(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib28(held,carried,in_room,on_ground,take)
Action 79	Action79	! 'gaze'/'l//'/'look'/'stare' 'down'/'d//' attrib18
				! 'gaze'/'l//'/'look'/'stare' 'up'/'u//' attrib18
				! 'gaze'/'l//'/'look'/'stare' 'around' attrib18
				! 'gaze'/'l//'/'look'/'stare'
Action 80	Action80	! 'gaze'/'l//'/'look'/'stare' 'onto'/'on' object
Action 81	Action81	! 'gaze'/'l//'/'look'/'stare' 'undern'/'under'/'beneat'/'below' object
Action 82	Action82	! 'gaze'/'l//'/'look'/'stare' 'behind' object
Action 83	Action83	! 'gaze'/'l//'/'look'/'stare' 'at' object(held,carried,in_room,on_ground) 'with'/'using'/'thru'/'throug' object
				! 'read'/'skim' attrib16(held,carried,in_room,on_ground,take) 'with'/'using'/'thru'/'throug' object
				! 'read'/'skim' 'from' attrib16(held,carried,in_room,on_ground,take)
				! 'read'/'skim' attrib16(held,carried,in_room,on_ground,take)
Action 84	Action84	! 'lower' object
Action 85	Action85	! 'grease'/'lubric'/'oil' object 'with'/'using'/'thru'/'throug' object(held,carried)
Action 86	Action86	! 'make' object
Action 87	Action87	! 'liquif'/'melt' object 'with'/'using'/'thru'/'throug' attrib25(held,carried,in_room,on_ground)
Action 88	Action88	! 'move' object(in_room,on_ground)
				! 'roll' object(in_room,on_ground)
				! 'roll' 'up'/'u//' object(in_room,on_ground)
				! 'pull'/'tug'/'yank' 'up'/'u//' object(in_room,on_ground)
				! 'pull'/'tug'/'yank' 'onto'/'on' object(in_room,on_ground)
				! 'pull'/'tug'/'yank' object(in_room,on_ground)
Action 89	Action89	! 'move' object 'with'/'using'/'thru'/'throug' attrib28
				! 'press'/'push' object 'with'/'using'/'thru'/'throug' attrib28
				! 'flip'/'set'/'shut'/'turn' attrib15 'for' object
				! 'flip'/'set'/'shut'/'turn' attrib15 'to' object
				! 'flip'/'set'/'shut'/'turn' attrib15(held,carried,in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib28(held,carried,in_room,on_ground,have)
Action 90	Action90	! 'mumble'/'sigh'
Action 91	Action91	! 'odysse'/'ulysse'
Action 92	Action92	! 'pick' object 'with'/'using'/'thru'/'throug' object
				! 'pick' object
Action 93	Action93	! 'pick' 'up'/'u//' attrib17(on_ground,many)
				! 'carry'/'catch'/'get'/'grab'/'hold'/'remove'/'take' attrib17(carried,in_room,many) 'from' object
				! 'carry'/'catch'/'get'/'grab'/'hold'/'remove'/'take' attrib17(carried,in_room,many) 'off' object
				! 'carry'/'catch'/'get'/'grab'/'hold'/'remove'/'take' attrib17(carried,in_room,many) 'out' object
				! 'carry'/'catch'/'get'/'grab'/'hold'/'remove'/'take' attrib17(in_room,on_ground,many)
Action 94	Action94	! 'play' object
Action 95	Action95	! 'fix'/'glue'/'patch'/'plug'/'repair' object 'with'/'using'/'thru'/'throug' object
Action 96	Action96	! 'plugh'/'xyzzy'
Action 97	Action97	! 'pour'/'spill' object(held,carried) 'onto'/'on' object
Action 98	Action98	! 'pray'
Action 99	Action99	! 'pump' 'up'/'u//' object 'with'/'using'/'thru'/'throug' object
				! 'pump' 'up'/'u//' object
Action 100	Action100	! 'press'/'push' object(in_room,on_ground) 'to' object
				! 'press'/'push' object(in_room,on_ground) object
				! 'slide' object(in_room,on_ground) 'to' object
				! 'slide' object(in_room,on_ground) object
Action 101	Action101	! 'press'/'push' 'onto'/'on' object(in_room,on_ground,many)
				! 'press'/'push' object(in_room,on_ground,many)
Action 102	Action102	! 'press'/'push' object 'undern'/'under'/'beneat'/'below' object
				! 'hide'/'insert'/'place'/'put'/'stuff' object(held,have) 'undern'/'under'/'beneat'/'below' object
				! 'slide' object 'undern'/'under'/'beneat'/'below' object
Action 103	Action103	! 'hide'/'insert'/'place'/'put'/'stuff' 'onto'/'on' object(carried,in_room,on_ground,many)
				! 'wear' object
Action 104	Action104	! 'hide'/'insert'/'place'/'put'/'stuff' object(held,many,have) 'behind' object
Action 105	Action105	! 'lift'/'raise' 'up'/'u//' object
				! 'lift'/'raise' object
Action 106	Action106	! 'molest'/'rape' attrib30
Action 107	Action107	! 'read'/'skim' attrib16(held,carried,in_room,on_ground,take) object
Action 108	Action108	! 'repent'
Action 109	Action109	! 'peal'/'ring' object(take) 'with'/'using'/'thru'/'throug' object
				! 'peal'/'ring' object(take)
Action 110	Action110	! 'feel'/'pat'/'pet'/'rub'/'touch' object 'with'/'using'/'thru'/'throug' object
				! 'feel'/'pat'/'pet'/'rub'/'touch' object
Action 111	Action111	! 'talk' 'to' attrib30(in_room)
				! 'ask'/'tell' attrib30(in_room)
Action 112	Action112	! 'say'
Action 113	Action113	! 'search' 'into'/'inside'/'in' object
				! 'search' object
Action 114	Action114	! 'send' 'for' object
Action 115	Action115	! 'shake' object(have)
Action 116	Action116	! 'hop'/'skip'
Action 117	Action117	! 'smell'/'sniff' object
Action 118	Action118	! 'spin' object
Action 119	Action119	! 'spray' object 'onto'/'on' object
Action 120	Action120	! 'spray' object 'with'/'using'/'thru'/'throug' object
Action 121	Action121	! 'squeez' object
Action 122	Action122	! 'stand' 'up'/'u//' attrib18
				! 'stand'
				! 'carry'/'catch'/'get'/'grab'/'hold'/'remove'/'take' 'up'/'u//' attrib18
Action 123	Action123	! 'stay'
Action 124	Action124	! 'strike' object(held,carried,in_room,on_ground)
Action 125	Action125	! 'bathe'/'swim'/'wade' 'into'/'inside'/'in' object
				! 'bathe'/'swim'/'wade'
Action 126	Action126	! 'swing'/'thrust' attrib29(held,carried,have) 'at' attrib30(in_room,on_ground)
				! 'swing'/'thrust' attrib29(held,carried,have)
Action 127	Action127	! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'with'/'using'/'thru'/'throug' attrib30(in_room,on_ground)
				! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'at' attrib30(in_room,on_ground)
Action 128	Action128	! 'chuck'/'hurl'/'throw'/'toss' object object
Action 129	Action129	! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'over' object
				! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'off' object
Action 130	Action130	! 'attach'/'fasten'/'secure'/'tie' object 'to' object
Action 131	Action131	! 'attach'/'fasten'/'secure'/'tie' 'up'/'u//' attrib30(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib28(held,carried,in_room,on_ground,have)
Action 132	Action132	! 'temple'/'treasu'
Action 133	Action133	! 'unlock' object(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib28(held,carried,in_room,on_ground,take)
Action 134	Action134	! 'free'/'unatta'/'unfast'/'unhook'/'untie' object(held,carried,in_room,on_ground) 'from' object
				! 'free'/'unatta'/'unfast'/'unhook'/'untie' object(held,carried,in_room,on_ground)
Action 135	Action135	! 'wait'/'z//'
Action 136	Action136	! 'awake'/'startl'/'surpri'/'wake' 'up'/'u//' attrib30(in_room,on_ground)
				! 'awake'/'startl'/'surpri'/'wake' attrib30(in_room,on_ground)
Action 137	Action137	! 'go'/'procee'/'run'/'step'/'walk' 'away' object
				! 'go'/'procee'/'run'/'step'/'walk' object
Action 138	Action138	! 'go'/'procee'/'run'/'step'/'walk' 'to' object
Action 139	Action139	! 'go'/'procee'/'run'/'step'/'walk' 'around' object
Action 140	Action140	! 'brandi'/'wave' object(held,carried,take,have) 'at' object
				! 'brandi'/'wave' object(held,carried,take,have)
Action 141	Action141	! 'win'/'winnag'
Action 142	Action142	! 'wind' 'up'/'u//' object
				! 'wind' object
Action 143	Action143	! 'wish'
Action 144	Action144	! 'scream'/'shout'/'yell'
Action 145	Action145	! 'zork'

Word	$ve	$ve
Word	across	across
Word	activa	activa
Word	advent	advent
Word	advert	advert
Word	air-p	air-p
Word	ancien	ancien
Word	answer	answer
Word	antiqu	antiqu
Word	around	around
Word	attach	attach
Word	attack	attack
Word	aviato	aviato
Word	banish	banish
Word	barrow	barrow
Word	basket	basket
Word	bauble	bauble
Word	beauti	beauti
Word	beetle	beetle
Word	begone	begone
Word	behind	behind
Word	beneat	beneat
Word	blessi	blessi
Word	bloody	bloody
Word	boarde	boarde
Word	boards	boards
Word	bodies	bodies
Word	bookle	bookle
Word	bottle	bottle
Word	bracel	bracel
Word	branch	branch
Word	brandi	brandi
Word	breath	breath
Word	broken	broken
Word	bubble	bubble
Word	burned	burned
Word	burnin	burnin
Word	button	button
Word	canary	canary
Word	candle	candle
Word	canvas	canvas
Word	carpet	carpet
Word	carved	carved
Word	casket	casket
Word	chalic	chalic
Word	chests	chests
Word	chimne	chimne
Word	cliffs	cliffs
Word	clockw	clockw
Word	coffin	coffin
Word	coloni	coloni
Word	comman	comman
Word	consum	consum
Word	contai	contai
Word	contro	contro
Word	crawlw	crawlw
Word	cretin	cretin
Word	crysta	crysta
Word	cyclop	cyclop
Word	damage	damage
Word	deflat	deflat
Word	derang	derang
Word	descri	descri
Word	destro	destro
Word	diagno	diagno
Word	diamon	diamon
Word	dinner	dinner
Word	disemb	disemb
Word	disenc	disenc
Word	dispat	dispat
Word	donate	donate
Word	driver	driver
Word	dumbwa	dumbwa
Word	egypti	egypti
Word	elonga	elonga
Word	elvish	elvish
Word	emeral	emeral
Word	enamel	enamel
Word	enchan	enchan
Word	encrus	encrus
Word	engrav	engrav
Word	enormo	enormo
Word	examin	examin
Word	except	except
Word	exorci	exorci
Word	exquis	exquis
Word	exting	exting
Word	fantas	fantas
Word	fasten	fasten
Word	feeble	feeble
Word	fermen	fermen
Word	fiends	fiends
Word	fierce	fierce
Word	figuri	figuri
Word	finepr	finepr
Word	firepr	firepr
Word	flamin	flamin
Word	flathe	flathe
Word	fluore	fluore
Word	follow	follow
Word	foobar	foobar
Word	footpa	footpa
Word	forbid	forbid
Word	forest	forest
Word	freeze	freeze
Word	frigid	frigid
Word	froboz	froboz
Word	fumble	fumble
Word	garlic	garlic
Word	ghosts	ghosts
Word	glamdr	glamdr
Word	golden	golden
Word	gothic	gothic
Word	graces	graces
Word	granit	granit
Word	gratin	gratin
Word	grease	grease
Word	ground	ground
Word	guideb	guideb
Word	hand-	hand-
Word	hemloc	hemloc
Word	hungry	hungry
Word	ignite	ignite
Word	imbibe	imbibe
Word	impass	impass
Word	incant	incant
Word	incine	incine
Word	inflat	inflat
Word	injure	injure
Word	inscri	inscri
Word	insert	insert
Word	inside	inside
Word	intnum	intnum
Word	invent	invent
Word	invisi	invisi
Word	jewele	jewele
Word	jewels	jewels
Word	kitche	kitche
Word	knives	knives
Word	ladder	ladder
Word	lanter	lanter
Word	launch	launch
Word	leafle	leafle
Word	leathe	leathe
Word	leaves	leaves
Word	letter	letter
Word	liquid	liquid
Word	liquif	liquif
Word	listen	listen
Word	lowere	lowere
Word	lubric	lubric
Word	lurkin	lurkin
Word	machin	machin
Word	mailbo	mailbo
Word	mangle	mangle
Word	manual	manual
Word	marble	marble
Word	massiv	massiv
Word	matchb	matchb
Word	matche	matche
Word	materi	materi
Word	mirror	mirror
Word	molest	molest
Word	monste	monste
Word	mounta	mounta
Word	mumble	mumble
Word	murder	murder
Word	myself	myself
Word	narrow	narrow
Word	northe	northe
Word	northw	northw
Word	odysse	odysse
Word	orcris	orcris
Word	orient	orient
Word	overbo	overbo
Word	owners	owners
Word	painti	painti
Word	parchm	parchm
Word	passag	passag
Word	pedest	pedest
Word	pepper	pepper
Word	person	person
Word	pierce	pierce
Word	plasti	plasti
Word	platin	platin
Word	poseid	poseid
Word	prayer	prayer
Word	procee	procee
Word	punctu	punctu
Word	pursue	pursue
Word	quanti	quanti
Word	railin	railin
Word	rainbo	rainbo
Word	reflec	reflec
Word	releas	releas
Word	remain	remain
Word	remove	remove
Word	repair	repair
Word	repent	repent
Word	restar	restar
Word	restor	restor
Word	ricket	ricket
Word	robber	robber
Word	sailor	sailor
Word	sandwi	sandwi
Word	sapphi	sapphi
Word	scarab	scarab
Word	scepte	scepte
Word	sceptr	sceptr
Word	scream	scream
Word	screwd	screwd
Word	script	script
Word	search	search
Word	seawor	seawor
Word	secure	secure
Word	shovel	shovel
Word	silent	silent
Word	silver	silver
Word	sinist	sinist
Word	skelet	skelet
Word	smelly	smelly
Word	songbi	songbi
Word	southe	southe
Word	southw	southw
Word	spirit	spirit
Word	squeez	squeez
Word	stairc	stairc
Word	stairs	stairs
Word	stairw	stairw
Word	startl	startl
Word	stilet	stilet
Word	strang	strang
Word	stream	stream
Word	strike	strike
Word	superb	superb
Word	surpri	surpri
Word	surrou	surrou
Word	suspic	suspic
Word	swallo	swallo
Word	switch	switch
Word	temple	temple
Word	thiefs	thiefs
Word	throug	throug
Word	thrust	thrust
Word	timber	timber
Word	toolch	toolch
Word	trap-	trap-
Word	trapdo	trapdo
Word	treasu	treasu
Word	triden	triden
Word	trophy	trophy
Word	twisti	twisti
Word	ulysse	ulysse
Word	unatta	unatta
Word	undern	undern
Word	unfast	unfast
Word	unhook	unhook
Word	unlock	unlock
Word	unrust	unrust
Word	unscri	unscri
Word	useles	useles
Word	vampir	vampir
Word	verbos	verbos
Word	versio	versio
Word	viciou	viciou
Word	viscou	viscou
Word	vitreo	vitreo
Word	windin	windin
Word	window	window
Word	winnag	winnag
Word	wooden	wooden
Word	wrench	wrench
Word	writin	writin
Word	yellow	yellow
Word	zorkmi	zorkmi
Word	zzmgck	zzmgck

Routine 0x4e38	routine20024:?
Routine 0x4e42	routine20034:?
Routine 0x4e5c	routine20060:?
Routine 0x4e6c	routine20076:?
Routine 0x4eba	routine20154:?
! References: obj143_Clearing.d_to
Routine 0x4ec6	routine20166:?
Routine 0x4eee	routine20206:?
Routine 0x4f04	routine20228:?
Routine 0x4fa2	routine20386:?
Routine 0x5018	routine20504:?
Routine 0x506a	routine20586:?
Routine 0x5092	routine20626:?
Routine 0x50d0	routine20688:?
Routine 0x50d6	routine20694:?
Routine 0x50fa	routine20730:?
Routine 0x5156	routine20822:?
Routine 0x518a	routine20874:?
Routine 0x52b8	routine21176:?
Routine 0x53c6	routine21446:?
Routine 0x5408	routine21512:?
Routine 0x545c	routine21596:?
Routine 0x5472	routine21618:?
Routine 0x5486	routine21638:?
Routine 0x54c4	routine21700:?
Routine 0x552a	routine21802:?
Routine 0x577c	routine22396:?
Routine 0x5880	routine22656:?
Routine 0x5baa	routine23466:?
Routine 0x5bd0	routine23504:?
Routine 0x5db8	routine23992:?
Routine 0x5e42	routine24130:?
Routine 0x5fb0	routine24496:?
Routine 0x5fda	routine24538:?
Routine 0x5ff0	routine24560:?
Routine 0x6040	routine24640:?
Routine 0x60a0	routine24736:?
Routine 0x6256	routine25174:?
Routine 0x6278	routine25208:?
Routine 0x62d4	routine25300:?
Routine 0x62ee	routine25326:?
Routine 0x635e	routine25438:?
Routine 0x638a	routine25482:?
Routine 0x639e	routine25502:?
Routine 0x6402	routine25602:?
Routine 0x6424	routine25636:?
Routine 0x644a	routine25674:?
Routine 0x6456	routine25686:?
Routine 0x64ca	routine25802:?
Routine 0x652c	routine25900:?
Routine 0x657a	routine25978:?
Routine 0x66c2	routine26306:?
Routine 0x687c	routine26748:?
Routine 0x68de	routine26846:?
Routine 0x6950	routine26960:?
Routine 0x6a1e	routine27166:?
Routine 0x6a52	routine27218:?
Routine 0x6aba	routine27322:?
Routine 0x6ad8	routine27352:?
Routine 0x6af4	routine27380:?
Routine 0x6b98	routine27544:?
Routine 0x6c22	routine27682:?
Routine 0x6c4a	routine27722:?
Routine 0x6c62	routine27746:?
Routine 0x6ccc	routine27852:?
Routine 0x6cf4	routine27892:?
Routine 0x6d1c	routine27932:?
Routine 0x6d6a	Action0Sub:?
Routine 0x6d80	Action1Sub:?
Routine 0x6d96	Action2Sub:?
Routine 0x6db0	Action4Sub:?
Routine 0x6dcc	Action5Sub:?
Routine 0x6e0e	Action6Sub:?
Routine 0x6e52	Action7Sub:?
Routine 0x6e68	Action8Sub:?
Routine 0x6e78	Action10Sub:?
Routine 0x6eac	Action11Sub:?
Routine 0x6ee0	Action12Sub:?
Routine 0x6fb8	Action13Sub:?
Routine 0x6ff0	Action96Sub:?
Routine 0x7008	Action15Sub:?
Routine 0x7060	Action136Sub:?
Routine 0x70be	Action16Sub:?
Routine 0x70de	Action19Sub:?
Routine 0x717a	Action20Sub:?
Routine 0x71a0	Action21Sub:?
Routine 0x71ba	PreAction25Sub:?
Routine 0x7224	Action25Sub:?
Routine 0x7244	Action24Sub:?
Routine 0x724e	Action26Sub:?
Routine 0x726a	Action27Sub:?
Routine 0x7298	PreAction28Sub:?
Routine 0x72b2	Action28Sub:?
Routine 0x732e	Action29Sub:?
Routine 0x733a	Action31Sub:?
Routine 0x7344	Action32Sub:?
Routine 0x734e	Action33Sub:?
Routine 0x736e	Action30Sub:?
Routine 0x7422	Action35Sub:?
Routine 0x74b2	Action36Sub:?
Routine 0x74d6	Action37Sub:?
Routine 0x7504	Action38Sub:?
Routine 0x7510	Action40Sub:?
Routine 0x7562	Action39Sub:?
Routine 0x761e	Action41Sub:?
Routine 0x762a	Action44Sub:?
Routine 0x7682	Action45Sub:?
Routine 0x76ce	Action46Sub:?
! References: obj6_blast_of_air.prop18
Routine 0x76dc	Action47Sub:?
Routine 0x76e4	Action48Sub:?
Routine 0x76f0	PreAction49Sub:?
Routine 0x7700	Action49Sub:?
Routine 0x7712	Action51Sub:?
Routine 0x780e	routine30734:?
Routine 0x7848	Action52Sub:?
Routine 0x78ae	Action53Sub:?
Routine 0x78ba	routine30906:?
Routine 0x78ec	Action54Sub:?
Routine 0x78f4	Action56Sub:?
Routine 0x7928	Action55Sub:?
Routine 0x7930	Action58Sub:?
Routine 0x7944	PreAction59Sub:?
Routine 0x7984	Action59Sub:?
Routine 0x79d8	Action60Sub:?
Routine 0x7a8e	Action61Sub:?
Routine 0x7a96	Action62Sub:?
Routine 0x7ac4	PreAction63Sub:?
Routine 0x7af2	Action63Sub:?
Routine 0x7b20	Action65Sub:?
Routine 0x7b2a	Action66Sub:?
Routine 0x7b88	Action67Sub:?
Routine 0x7bb6	Action23Sub:?
Routine 0x7bc6	Action68Sub:?
Routine 0x7bf4	Action70Sub:?
Routine 0x7bfe	Action72Sub:?
Routine 0x7c12	Action73Sub:?
Routine 0x7c34	Action22Sub:?
Routine 0x7c84	Action14Sub:?
Routine 0x7cc6	Action74Sub:?
Routine 0x7cf6	Action75Sub:?
Routine 0x7d04	Action69Sub:?
Routine 0x7dda	Action76Sub:?
Routine 0x7de2	Action77Sub:?
Routine 0x7df6	Action78Sub:?
Routine 0x7e04	Action79Sub:?
Routine 0x7e16	Action82Sub:?
Routine 0x7e28	Action57Sub:?
Routine 0x7ebe	Action80Sub:?
Routine 0x7edc	Action81Sub:?
Routine 0x7eea	Action84Sub:?
Routine 0x7ef4	Action86Sub:?
Routine 0x7efe	Action87Sub:?
Routine 0x7f18	PreAction88Sub:?
Routine 0x7f40	Action88Sub:?
Routine 0x7f6c	Action90Sub:?
Routine 0x7f90	PreAction42Sub:?
Routine 0x7fd2	Action42Sub:?
Routine 0x7fe8	Action91Sub:?
Routine 0x806a	Action85Sub:?
Routine 0x8084	Action43Sub:?
Routine 0x8136	Action128Sub:?
Routine 0x8170	Action92Sub:?
Routine 0x817c	Action94Sub:?
Routine 0x818a	Action95Sub:?
Routine 0x8196	Action97Sub:?
Routine 0x81fc	Action98Sub:?
Routine 0x8228	Action99Sub:?
Routine 0x825e	Action101Sub:?
Routine 0x8268	Action100Sub:?
Routine 0x827a	PreAction18Sub:?
Routine 0x828a	Action18Sub:?
Routine 0x8354	Action104Sub:?
Routine 0x836c	Action50Sub:?
Routine 0x839e	Action102Sub:?
Routine 0x83a8	Action105Sub:?
Routine 0x83b0	Action106Sub:?
Routine 0x83c8	PreAction83Sub:?
Routine 0x83fa	Action83Sub:?
Routine 0x841c	Action107Sub:?
Routine 0x8426	Action108Sub:?
Routine 0x843c	Action17Sub:?
Routine 0x8464	Action109Sub:?
! References: obj137_pot_of_gold.prop18
Routine 0x847a	Action110Sub:?
Routine 0x8484	Action112Sub:?
