! Auto-generated by Reform.

MD5	53bf7a60017e06998cc1542cf35f76fa
				! 'discard'/'drop'/'throw' noun 'over' noun
				! 'discard'/'drop'/'throw' noun 'to' noun
				! 'discard'/'drop'/'throw' noun noun=routine128412
Action 82	Tell		! 'tell' creature 'about' topic
Action 84	Ask		! 'ask' creature 'about' topic
Action 85	Buy		! 'buy'/'purchase' noun
Action 86	Sing		! 'sing'
Action 87	Climb		! 'climb'/'scale' noun
				! 'climb'/'scale' 'up'/'over' noun
Action 88	Wait		! 'wait'/'z//'
Action 89	Sleep		! 'nap'/'sleep'
Action 90	Consult		! 'read' 'about' topic 'in' noun
				! 'read' topic 'in' noun
				! 'consult' noun 'about' topic
				! 'consult' noun 'on' topic
				! 'l//'/'look' 'up' topic 'in' noun
Action 91	AskFor		! 'ask' creature 'for' noun
Action 94	LookAtThrough	! 'check'/'describe'/'examine'/'watch'/'x//' noun 'in' noun
				! 'check'/'describe'/'examine'/'watch'/'x//' noun 'through' noun
				! 'l//'/'look' 'at' noun 'in' noun
				! 'l//'/'look' 'at' noun 'with' noun
				! 'l//'/'look' 'at' noun 'using' noun
				! 'l//'/'look' 'at' noun 'through' noun
Action 95	Coo		! 'coo'
Action 96	Chirrup		! 'chirrup'
Action 97	Untie		! 'untie' noun
Action 98	Learn		! 'learn'/'memorise'/'memorize' scope=routine76340
Action 99	Cast		! 'cast' is_spell
				! 'cast' is_spell 'at' noun
				! 'cast' is_spell 'on' noun
Action 100	Count		! 'count'/'enumerate' noun
Action 101	Shoot		! 'fire' 'at' noun
				! 'fire' 'arrow' 'at' noun
				! 'fire' 'an' 'arrow' 'at' noun
				! 'shoot' noun
				! 'shoot' 'at' noun
				! 'shoot' 'arrow' 'at' noun
				! 'shoot' 'an' 'arrow' 'at' noun
Action 102	CastOne		! 'c,cast'
				! 'c,cast' noun
Action 103	Grind		! 'grind' noun 'with' noun
Action 104	TurnTo		! 'rotate'/'screw'/'swivel'/'turn'/'twist'/'unscrew' noun 'to' routine128860
				! 'rotate'/'screw'/'swivel'/'turn'/'twist'/'unscrew' noun 'to' routine128860 'degrees'
				! 'adjust'/'set' noun 'to' routine128860
				! 'adjust'/'set' noun 'to' routine128860 'degrees'
Action 105	Bite		! 'bite'/'chew' noun
Action 106	Bark		! 'bark'/'howl'/'woof'
				! 'bark'/'howl'/'woof' special
Action 107	Version		! 'version'
Action 108	Empty		! 'empty' noun
				! 'empty' 'out' noun
				! 'empty' noun 'out'
Action 109	InvTall		! 'i//'/'inv'/'inventory' 'tall'
Action 110	InvWide		! 'i//'/'inv'/'inventory' 'wide'
Action 111	GoIn		! 'in'/'inside'
				! 'cross'/'enter'
Action 112	Help		! 'help'/'hint'/'hints'
Action 113	LookAtThroughB	! 'l//'/'look' 'through' noun 'at' noun
Action 114	Shoot2		! 'fire' noun 'at' noun
				! 'shoot' noun 'at' noun
Action 115	DontSay		! 'answer'/'say'/'shout'/'speak'
				! 'answer'/'say'/'shout'/'speak' special
Action 116	PoisonV		! 'poison' noun
Action 117	Spells		! 'memory'/'spells'

Word	adventure	adventure
Word	alabaster	alabaster
Word	ambassado	ambassado
Word	amelia's	amelia's
Word	beautiful	beautiful
Word	black-ir	black-ir
Word	boomerang	boomerang
Word	brimstone	brimstone
Word	burnished	burnished
Word	calibrate	calibrate
Word	calibrati	calibrati
Word	chimney-	chimney-
Word	clotspinn	clotspinn
Word	collioure	collioure
Word	credentia	credentia
Word	cultivate	cultivate
Word	cushioned	cushioned
Word	destructi	destructi
Word	distincti	distincti
Word	drum-lik	drum-lik
Word	dung-bee	dung-bee
Word	elephants	elephants
Word	embryonic	embryonic
Word	enchanted	enchanted
Word	enumerate	enumerate
Word	everythin	everythin
Word	experimen	experimen
Word	fir-cone	fir-cone
Word	fireplace	fireplace
Word	flagstone	flagstone
Word	foodstuff	foodstuff
Word	formation	formation
Word	four-pos	four-pos
Word	fragments	fragments
Word	fullscore	fullscore
Word	furniture	furniture
Word	glistenin	glistenin
Word	guidebook	guidebook
Word	handwritt	handwritt
Word	hatchling	hatchling
Word	hornet-t	hornet-t
Word	impassive	impassive
Word	improvise	improvise
Word	inscripti	inscripti
Word	instrumen	instrumen
Word	inventory	inventory
Word	irregular	irregular
Word	keeper's	keeper's
Word	limestone	limestone
Word	lintel-s	lintel-s
Word	lodestone	lodestone
Word	long-hai	long-hai
Word	magnesium	magnesium
Word	magnifice	magnifice
Word	meadowlan	meadowlan
Word	misshapen	misshapen
Word	nasty-lo	nasty-lo
Word	newly-wr	newly-wr
Word	northeast	northeast
Word	northland	northland
Word	northwest	northwest
Word	oil-snak	oil-snak
Word	parchment	parchment
Word	philosoph	philosoph
Word	phosphore	phosphore
Word	phosphoru	phosphoru
Word	potato-p	potato-p
Word	processio	processio
Word	professor	professor
Word	provision	provision
Word	pulsating	pulsating
Word	remembran	remembran
Word	scree-fa	scree-fa
Word	seventeen	seventeen
Word	short-bo	short-bo
Word	southeast	southeast
Word	southwest	southwest
Word	spellbook	spellbook
Word	splashing	splashing
Word	statuette	statuette
Word	stock-ke	stock-ke
Word	superbrie	superbrie
Word	tasselled	tasselled
Word	telescope	telescope
Word	terracott	terracott
Word	throbbing	throbbing
Word	traveller	traveller
Word	treasures	treasures
Word	treehouse	treehouse
Word	triangula	triangula
Word	undergrou	undergrou
Word	unwritten	unwritten
Word	upside-d	upside-d
Word	valuables	valuables
Word	variegate	variegate
Word	water-li	water-li
Word	waterfall	waterfall
Word	waterlily	waterlily
Word	wickerwor	wickerwor
Word	windowpan	windowpan

Routine 0x63d4	routine25556:?
Routine 0x63dc	routine25564:?
Routine 0x63e8	routine25576:?
Routine 0x63ec	routine25580:?
Routine 0x6410	routine25616:?
Routine 0x64b0	routine25776:?
Routine 0x6688	routine26248:?
Routine 0x66c4	routine26308:?
Routine 0x6700	routine26368:?
Routine 0x6714	routine26388:?
Routine 0x6728	routine26408:?
Routine 0x6738	routine26424:?
Routine 0x674c	routine26444:?
Routine 0x6764	routine26468:?
Routine 0x8be4	routine35812:?
Routine 0x8bf0	routine35824:?
Routine 0x8bfc	routine35836:?
Routine 0x8c08	routine35848:?
Routine 0x8c28	routine35880:?
! References: obj21__Inform_Parser_.parse_input
Routine 0x8cb8	routine36024:?
Routine 0x8cc0	routine36032:?
Routine 0x8e14	routine36372:?
Routine 0x94f8	routine38136:?
Routine 0x9514	routine38164:?
Routine 0x9640	routine38464:?
Routine 0x9658	routine38488:?
Routine 0x969c	routine38556:?
Routine 0x9aa4	routine39588:?
Routine 0x9e40	routine40512:?
Routine 0xa0e0	routine41184:?
Routine 0xa1b0	routine41392:?
Routine 0xa2c4	routine41668:?
Routine 0xa30c	routine41740:?
Routine 0xa3ec	routine41964:?
Routine 0xa470	routine42096:?
Routine 0xa4ac	routine42156:?
Routine 0xa4e0	routine42208:?
Routine 0xa530	routine42288:?
Routine 0xa558	routine42328:?
Routine 0xa570	routine42352:?
Routine 0xa5a0	routine42400:?
Routine 0xa5ec	routine42476:?
Routine 0xa600	routine42496:?
Routine 0xa61c	routine42524:?
Routine 0xa694	routine42644:?
Routine 0xa6c4	routine42692:?
Routine 0xa794	routine42900:?
Routine 0xa7b8	routine42936:?
Routine 0xa804	routine43012:?
Routine 0xa914	routine43284:?
Routine 0xa960	routine43360:?
Routine 0xa98c	routine43404:?
Routine 0xa9bc	routine43452:?
Routine 0xaa04	routine43524:?
Routine 0xaa50	routine43600:?
Routine 0xaa68	routine43624:?
Routine 0xaa80	routine43648:?
Routine 0xaa8c	routine43660:?
Routine 0xab88	routine43912:?
Routine 0xab90	routine43920:?
Routine 0xabd8	routine43992:?
Routine 0xabec	routine44012:?
Routine 0xac00	routine44032:?
Routine 0xac1c	routine44060:?
Routine 0xac7c	PronounsSub:?
Routine 0xad28	routine44328:?
Routine 0xad6c	routine44396:?
Routine 0xad9c	routine44444:?
Routine 0xada4	routine44452:?
! References: obj22__Inform_Library_6_3_.play
Routine 0xae14	routine44564:?
! References: obj22__Inform_Library_6_3_.end_turn_sequence
Routine 0xb1b4	routine45492:?
! References: obj22__Inform_Library_6_3_.begin_action
Routine 0xb280	routine45696:?
Routine 0xb2c4	routine45764:?
Routine 0xb2e4	routine45796:?
Routine 0xb334	routine45876:?
Routine 0xb378	routine45944:?
Routine 0xb3bc	routine46012:?
Routine 0xb3f0	routine46064:?
Routine 0xb3fc	routine46076:?
Routine 0xb420	routine46112:?
Routine 0xb480	routine46208:?
Routine 0xb4a0	routine46240:?
Routine 0xb4c4	routine46276:?
Routine 0xb4d4	routine46292:?
Routine 0xb530	routine46384:?
Routine 0xb564	routine46436:?
Routine 0xb5b8	routine46520:?
Routine 0xb5e0	routine46560:?
Routine 0xb5fc	routine46588:?
Routine 0xb610	routine46608:?
Routine 0xb62c	routine46636:?
Routine 0xb674	routine46708:?
Routine 0xb6b0	routine46768:?
Routine 0xb738	routine46904:?
Routine 0xb7c4	routine47044:?
Routine 0xb850	routine47184:?
Routine 0xb8f8	routine47352:?
Routine 0xbae8	routine47848:?
Routine 0xbb94	routine48020:?
Routine 0xbc24	routine48164:?
Routine 0xbc5c	routine48220:?
Routine 0xbc7c	routine48252:?
Routine 0xbc9c	routine48284:?
Routine 0xbcac	routine48300:?
Routine 0xbcb4	routine48308:?
Routine 0xbce4	routine48356:?
Routine 0xbd00	routine48384:?
Routine 0xbd30	routine48432:?
Routine 0xbde0	VersionSub:?
Routine 0xbe24	routine48676:?
Routine 0xbe50	PlacesSub:?
Routine 0xbe58	ObjectsSub:?
Routine 0xbe60	routine48736:?
Routine 0xbf04	routine48900:?
Routine 0xbf24	routine48932:?
Routine 0xbf78	routine49016:?
Routine 0xbfc4	routine49092:?
Routine 0xc028	routine49192:?
Routine 0xc088	routine49288:?
Routine 0xc614	routine50708:?
Routine 0xc65c	routine50780:?
Routine 0xc8f0	routine51440:?
Routine 0xc958	routine51544:?
Routine 0xc990	routine51600:?
Routine 0xc9a0	routine51616:?
