! Auto-generated by Reform.

MD5	ffda9ee2d428fa2fa8e75a1914ff6959
Action 66	Action66	! 'gaze'/'l//'/'look'/'stare' 'behind' object
Action 67	Action67	! 'gaze'/'l//'/'look'/'stare' 'at' object(held,carried,in_room,on_ground,many) 'with'/'using'/'throug' object
				! 'read'/'skim' attrib14(held,carried,in_room,on_ground) 'with'/'using'/'throug' object
				! 'read'/'skim' attrib14(held,carried,in_room,on_ground)
Action 68	Action68	! 'search' 'into'/'inside'/'in' object
				! 'search' object
Action 69	Action69	! 'lower' object
Action 70	Action70	! 'make' object
Action 71	Action71	! 'liquif'/'melt' object 'with'/'using'/'throug' attrib6(held,carried,in_room,on_ground)
Action 72	Action72	! 'move' object(in_room,on_ground)
				! 'roll' 'up'/'u//' object(in_room,on_ground)
				! 'pull'/'tug' 'onto'/'on' object(in_room,on_ground)
				! 'pull'/'tug' object(in_room,on_ground)
Action 73	Action73	! 'play' object
Action 74	Action74	! 'mumble'/'sigh'
Action 75	Action75	! 'block'/'break'/'damage'/'destro'/'smash' 'down'/'d//' object(held,carried,in_room,on_ground) 'with'/'using'/'throug' object(held,carried,take)
				! 'block'/'break'/'damage'/'destro'/'smash' object(held,carried,in_room,on_ground) 'with'/'using'/'throug' object(held,carried,take)
				! 'blind'/'jab'/'poke' attrib21(in_room,on_ground) 'with'/'using'/'throug' attrib18(held,carried,have)
Action 76	Action76	! 'grease'/'lubric'/'oil' object 'with'/'using'/'throug' object(held,carried)
Action 77	Action77	! 'open' attrib9(held,carried,in_room,on_ground) 'with'/'using'/'throug' attrib23(held,carried,in_room,on_ground,have)
				! 'open' 'up'/'u//' attrib9(held,carried,in_room,on_ground)
				! 'open' attrib9(held,carried,in_room,on_ground)
Action 78	Action78	! 'pick' object 'with'/'using'/'throug' object
				! 'pick' object
Action 79	Action79	! 'pick' 'up'/'u//' attrib20(on_ground,many)
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' attrib20(carried,in_room,many) 'from' object
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' attrib20(carried,in_room,many) 'off' object
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' attrib20(carried,in_room,many) 'out' object
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' attrib20(in_room,on_ground,many)
Action 80	Action80	! 'fix'/'glue'/'patch'/'plug'/'repair' object 'with'/'using'/'throug' object
Action 81	Action81	! 'plugh'/'xyzzy'
Action 82	Action82	! 'pour'/'spill' object(held,carried) 'onto'/'on' object
Action 83	Action83	! 'pray'
Action 84	Action84	! 'pump' 'up'/'u//' object 'with'/'using'/'throug' object
				! 'pump' 'up'/'u//' object
Action 85	Action85	! 'press'/'push' 'onto'/'on' object(in_room,on_ground,many)
				! 'press'/'push' object(in_room,on_ground,many)
				! 'slide' object
Action 86	Action86	! 'press'/'push' object(in_room,on_ground) 'to' object
				! 'press'/'push' object(in_room,on_ground) object
				! 'slide' object(in_room,on_ground) 'to' object
				! 'slide' object(in_room,on_ground) object
Action 87	Action87	! 'press'/'push' object 'undern'/'under'/'beneat'/'below' object
				! 'hide'/'insert'/'place'/'put'/'stuff' object(held,many,have) 'undern'/'under'/'beneat'/'below' object
				! 'slide' object 'undern'/'under'/'beneat'/'below' object
Action 88	Action88	! 'hide'/'insert'/'place'/'put'/'stuff' object(held,many,have) 'onto'/'on' object
Action 89	Action89	! 'hide'/'insert'/'place'/'put'/'stuff' 'onto'/'on' object(carried,in_room,on_ground,many)
				! 'wear' object
Action 90	Action90	! 'hide'/'insert'/'place'/'put'/'stuff' object(held,many,have) 'behind' object
Action 91	Action91	! 'lift'/'raise' 'up'/'u//' object
				! 'lift'/'raise' object
Action 92	Action92	! 'molest'/'rape' attrib11
Action 93	Action93	! 'repent'
Action 94	Action94	! 'feel'/'pat'/'pet'/'rub'/'touch' object 'with'/'using'/'throug' object
				! 'feel'/'pat'/'pet'/'rub'/'touch' object
Action 95	Action95	! 'script'
Action 96	Action96	! 'unscri'
Action 97	Action97	! 'send' 'for' object
Action 98	Action98	! 'shake' object
Action 99	Action99	! 'hop'/'skip'
Action 100	Action100	! 'smell'/'sniff' object
Action 101	Action101	! 'spin' object
Action 102	Action102	! 'spray' object 'onto'/'on' object
Action 103	Action103	! 'spray' object 'with'/'using'/'throug' object
Action 104	Action104	! 'squeez' object
Action 105	Action105	! 'stand' 'up'/'u//' attrib29
				! 'stand'
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' 'up'/'u//' attrib29
Action 106	Action106	! 'stay'
Action 107	Action107	! 'bathe'/'swim'/'wade' 'into'/'inside'/'in' object
				! 'bathe'/'swim'/'wade'
Action 108	Action108	! 'swing'/'thrust' attrib18(held,carried,have) 'at' attrib21(in_room,on_ground)
				! 'swing'/'thrust' attrib18(held,carried,have)
Action 109	Action109	! 'ask'/'tell' attrib11(in_room)
				! 'say'/'talk' 'to' attrib11(in_room)
Action 110	Action110	! 'say'/'talk'
Action 111	Action111	! 'chant'/'incant'
Action 112	Action112	! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'over' object
				! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'off' object
Action 113	Action113	! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'with'/'using'/'throug' object(in_room,on_ground)
				! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'at' object(in_room,on_ground)
Action 114	Action114	! 'attach'/'fasten'/'secure'/'tie' object 'to' object
Action 115	Action115	! 'attach'/'fasten'/'secure'/'tie' 'up'/'u//' attrib11(in_room,on_ground) 'with'/'using'/'throug' attrib23(held,carried,in_room,on_ground,have)
Action 116	Action116	! 'flip'/'set'/'shut'/'turn' attrib8(held,carried,in_room,on_ground) 'with'/'using'/'throug' attrib23(held,carried,in_room,on_ground,have)
				! 'flip'/'set'/'shut'/'turn' attrib8
				! 'flip'/'set'/'shut'/'turn' attrib8 'for' object
				! 'flip'/'set'/'shut'/'turn' attrib8 'to' object
Action 117	Action117	! 'unlock' object(in_room,on_ground) 'with'/'using'/'throug' attrib23(held,carried,in_room,on_ground,take)
Action 118	Action118	! 'free'/'unatta'/'unfast'/'unhook'/'untie' object(held,carried,in_room,on_ground) 'from' object
				! 'free'/'unatta'/'unfast'/'unhook'/'untie' object(held,carried,in_room,on_ground)
Action 119	Action119	! 'wait'/'z//'
Action 120	Action120	! 'awake'/'startl'/'surpri'/'wake' 'up'/'u//' attrib11(in_room,on_ground)
				! 'awake'/'startl'/'surpri'/'wake' attrib11(in_room,on_ground)
Action 121	Action121	! 'go'/'procee'/'run'/'step'/'walk' object
Action 122	Action122	! 'go'/'procee'/'run'/'step'/'walk' 'around' object
Action 123	Action123	! 'go'/'procee'/'run'/'step'/'walk' 'to' object
Action 124	Action124	! 'brandi'/'wave' object(held,carried) 'at' object
				! 'brandi'/'wave' object(held,carried)
Action 125	Action125	! 'win'/'winnag'
Action 126	Action126	! 'wind' 'up'/'u//' object
				! 'wind' object
Action 127	Action127	! 'scream'/'shout'/'yell'
Action 128	Action128	! 'zork'
Action 129	Action129	! 'is' object 'onto'/'on' object
				! 'is' object 'into'/'inside'/'in' object

Word	$ve	$ve
Word	across	across
Word	advent	advent
Word	amulet	amulet
Word	answer	answer
Word	antiqu	antiqu
Word	aquedu	aquedu
Word	around	around
Word	assort	assort
Word	attach	attach
Word	attack	attack
Word	banish	banish
Word	begone	begone
Word	behind	behind
Word	beneat	beneat
Word	blessi	blessi
Word	bottom	bottom
Word	boulde	boulde
Word	brandi	brandi
Word	broken	broken
Word	bronze	bronze
Word	burned	burned
Word	button	button
Word	carved	carved
Word	carvin	carvin
Word	center	center
Word	channe	channe
Word	cloake	cloake
Word	compas	compas
Word	consol	consol
Word	consum	consum
Word	conten	conten
Word	crawlw	crawlw
Word	cretin	cretin
Word	crysta	crysta
Word	damage	damage
Word	dangli	dangli
Word	debris	debris
Word	deflat	deflat
Word	descri	descri
Word	destro	destro
Word	device	device
Word	diagno	diagno
Word	disemb	disemb
Word	dispat	dispat
Word	displa	displa
Word	donate	donate
Word	dungeo	dungeo
Word	easter	easter
Word	elvish	elvish
Word	engrav	engrav
Word	examin	examin
Word	except	except
Word	exorci	exorci
Word	exting	exting
Word	fasten	fasten
Word	figure	figure
Word	flamin	flamin
Word	flathe	flathe
Word	follow	follow
Word	foobar	foobar
Word	forest	forest
Word	friend	friend
Word	glamdr	glamdr
Word	golden	golden
Word	graces	graces
Word	grease	grease
Word	ground	ground
Word	guardi	guardi
Word	guards	guards
Word	handgr	handgr
Word	hooded	hooded
Word	hungry	hungry
Word	ignite	ignite
Word	imbibe	imbibe
Word	incant	incant
Word	incine	incine
Word	indica	indica
Word	inflat	inflat
Word	injure	injure
Word	insert	insert
Word	inside	inside
Word	intdir	intdir
Word	intnum	intnum
Word	invent	invent
Word	invisi	invisi
Word	jewell	jewell
Word	jewels	jewels
Word	ladder	ladder
Word	lanter	lanter
Word	launch	launch
Word	lichen	lichen
Word	liquid	liquid
Word	liquif	liquif
Word	listen	listen
Word	locked	locked
Word	lubric	lubric
Word	lurkin	lurkin
Word	machin	machin
Word	mahoga	mahoga
Word	manhol	manhol
Word	marble	marble
Word	massiv	massiv
Word	master	master
Word	mgckjk	mgckjk
Word	mirror	mirror
Word	molest	molest
Word	motors	motors
Word	mumble	mumble
Word	murder	murder
Word	myself	myself
Word	narrow	narrow
Word	northe	northe
Word	northw	northw
Word	object	object
Word	offici	offici
Word	orcris	orcris
Word	parape	parape
Word	passag	passag
Word	pedest	pedest
Word	pierce	pierce
Word	plants	plants
Word	plaque	plaque
Word	pointe	pointe
Word	potion	potion
Word	pressu	pressu
Word	procee	procee
Word	pursue	pursue
Word	quanti	quanti
Word	quicks	quicks
Word	ravine	ravine
Word	releas	releas
Word	remove	remove
Word	render	render
Word	repair	repair
Word	repell	repell
Word	repent	repent
Word	restar	restar
Word	restor	restor
Word	ricket	ricket
Word	rubble	rubble
Word	sailor	sailor
Word	sceptr	sceptr
Word	scream	scream
Word	script	script
Word	search	search
Word	secret	secret
Word	secure	secure
Word	shadow	shadow
Word	sickly	sickly
Word	silent	silent
Word	sinist	sinist
Word	smelli	smelli
Word	southe	southe
Word	southw	southw
Word	squeez	squeez
Word	stairc	stairc
Word	stairs	stairs
Word	stalag	stalag
Word	startl	startl
Word	statue	statue
Word	strang	strang
Word	strike	strike
Word	struct	struct
Word	sundia	sundia
Word	superb	superb
Word	surfac	surfac
Word	surpri	surpri
Word	swallo	swallo
Word	t-bar	t-bar
Word	tempor	tempor
Word	throug	throug
Word	thrust	thrust
Word	timber	timber
Word	torche	torche
Word	treasu	treasu
Word	unatta	unatta
Word	undern	undern
Word	unfast	unfast
Word	unhook	unhook
Word	unlock	unlock
Word	unscri	unscri
Word	valuab	valuab
Word	verbos	verbos
Word	versio	versio
Word	viewin	viewin
Word	viking	viking
Word	voices	voices
Word	warnin	warnin
Word	washin	washin
Word	waterf	waterf
Word	waybre	waybre
Word	wester	wester
Word	windin	windin
Word	winnag	winnag
Word	wooden	wooden
Word	yellow	yellow

Routine 0x4846	routine18502:?
Routine 0x4860	routine18528:?
Routine 0x4870	routine18544:?
Routine 0x4886	routine18566:?
Routine 0x489a	routine18586:?
Routine 0x48d8	routine18648:?
Routine 0x4936	routine18742:?
Routine 0x4b2c	routine19244:?
Routine 0x4cba	routine19642:?
Routine 0x4d9c	routine19868:?
Routine 0x506e	routine20590:?
Routine 0x5094	routine20628:?
Routine 0x5254	routine21076:?
Routine 0x52de	routine21214:?
Routine 0x53d6	routine21462:?
Routine 0x53f6	routine21494:?
Routine 0x540c	routine21516:?
Routine 0x545c	routine21596:?
Routine 0x54bc	routine21692:?
Routine 0x565c	routine22108:?
Routine 0x56b8	routine22200:?
Routine 0x56d0	routine22224:?
Routine 0x573e	routine22334:?
Routine 0x576a	routine22378:?
Routine 0x577e	routine22398:?
Routine 0x57e2	routine22498:?
Routine 0x5804	routine22532:?
Routine 0x582a	routine22570:?
Routine 0x5836	routine22582:?
Routine 0x5886	routine22662:?
Routine 0x58e8	routine22760:?
Routine 0x5936	routine22838:?
Routine 0x5a78	routine23160:?
Routine 0x5c80	routine23680:?
Routine 0x5cce	routine23758:?
Routine 0x5d9c	routine23964:?
Routine 0x5dd0	routine24016:?
Routine 0x5e38	routine24120:?
Routine 0x5e56	routine24150:?
Routine 0x5e72	routine24178:?
Routine 0x5ee6	routine24294:?
Routine 0x5f70	routine24432:?
Routine 0x5f98	routine24472:?
Routine 0x5fb0	routine24496:?
Routine 0x5ffe	routine24574:?
Routine 0x6026	routine24614:?
Routine 0x604e	routine24654:?
Routine 0x609c	routine24732:?
Routine 0x617a	routine24954:?
Routine 0x6196	Action11Sub:?
Routine 0x61ac	Action0Sub:?
Routine 0x61c2	Action1Sub:?
Routine 0x61dc	Action64Sub:?
Routine 0x61ee	routine25070:?
Routine 0x6200	Action43Sub:?
Routine 0x6232	routine25138:?
Routine 0x6324	routine25380:?
Routine 0x6354	routine25428:?
Routine 0x63ee	routine25582:?
Routine 0x6502	routine25858:?
Routine 0x6548	Action8Sub:?
Routine 0x6588	routine25992:?
Routine 0x6590	Action4Sub:?
Routine 0x65d2	routine26066:?
Routine 0x65ea	Action10Sub:?
Routine 0x6684	routine26244:?
Routine 0x6694	Action12Sub:?
Routine 0x66e8	routine26344:?
Routine 0x6a00	routine27136:?
Routine 0x6a24	routine27172:?
Routine 0x6a56	Action6Sub:?
Routine 0x6a6c	Action7Sub:?
Routine 0x6a7c	Action5Sub:?
Routine 0x6ac0	Action122Sub:?
Routine 0x6ad8	Action59Sub:?
Routine 0x6b10	routine27408:?
Routine 0x6b26	routine27430:?
Routine 0x6b4e	Action121Sub:?
Routine 0x6c78	routine27768:?
Routine 0x6c84	Action3Sub:?
Routine 0x6c9e	PreAction79Sub:?
Routine 0x6d0c	Action79Sub:?
Routine 0x6d34	routine27956:?
Routine 0x6e0e	Action88Sub:?
Routine 0x6e34	PreAction15Sub:?
Routine 0x6e4a	Action15Sub:?
Routine 0x6eee	routine28398:?
Routine 0x6efe	PreAction50Sub:?
Routine 0x6f28	PreAction51Sub:?
Routine 0x6f32	routine28466:?
Routine 0x6f4e	Action50Sub:?
Routine 0x6f7c	Action51Sub:?
Routine 0x6f88	Action37Sub:?
Routine 0x6f9a	Action113Sub:?
Routine 0x6faa	routine28586:?
Routine 0x6ff0	Action77Sub:?
Routine 0x70a8	routine28840:?
Routine 0x70d8	Action27Sub:?
Routine 0x7150	routine29008:?
Routine 0x7168	routine29032:?
Routine 0x7198	Action20Sub:?
Routine 0x71e2	Action95Sub:?
Routine 0x71fe	Action96Sub:?
Routine 0x721c	PreAction72Sub:?
Routine 0x7236	Action72Sub:?
Routine 0x7262	Action61Sub:?
Routine 0x72a2	Action46Sub:?
Routine 0x72f8	Action119Sub:?
Routine 0x7326	PreAction19Sub:?
Routine 0x7370	Action19Sub:?
Routine 0x7390	Action34Sub:?
Routine 0x73f0	Action18Sub:?
Routine 0x7406	routine29702:?
Routine 0x751c	Action17Sub:?
Routine 0x7546	PreAction82Sub:?
Routine 0x7558	Action82Sub:?
Routine 0x755e	Action102Sub:?
Routine 0x7566	Action103Sub:?
Routine 0x7570	Action104Sub:?
Routine 0x75a4	PreAction76Sub:?
Routine 0x75c2	Action76Sub:?
Routine 0x75d2	routine30162:?
Routine 0x760e	Action47Sub:?
Routine 0x7654	Action81Sub:?
Routine 0x766c	Action35Sub:?
Routine 0x7674	Action39Sub:?
Routine 0x7760	Action31Sub:?
! References: obj214_dust_and_debris.prop17
Routine 0x77b6	Action62Sub:?
Routine 0x77ca	Action49Sub:?
Routine 0x77d6	Action106Sub:?
Routine 0x77e8	Action83Sub:?
Routine 0x7808	Action54Sub:?
Routine 0x7898	Action99Sub:?
Routine 0x78a4	Action60Sub:?
Routine 0x78ac	Action52Sub:?
Routine 0x7902	PreAction67Sub:?
Routine 0x793a	Action67Sub:?
! References: obj132_runes.prop17
Routine 0x795a	Action65Sub:?
Routine 0x796a	Action66Sub:?
Routine 0x797c	Action44Sub:?
Routine 0x7a1c	routine31260:?
! References: obj47_fish.prop17
Routine 0x7a2c	Action93Sub:?
Routine 0x7a40	PreAction21Sub:?
Routine 0x7a5a	Action21Sub:?
Routine 0x7aae	PreAction116Sub:?
Routine 0x7abe	Action116Sub:?
Routine 0x7aca	Action84Sub:?
Routine 0x7ad8	Action53Sub:?
Routine 0x7aea	Action32Sub:?
Routine 0x7af6	Action63Sub:?
Routine 0x7b04	Action78Sub:?
Routine 0x7b10	Action117Sub:?
Routine 0x7b18	Action30Sub:?
Routine 0x7bb8	Action56Sub:?
Routine 0x7bc2	routine31682:?
Routine 0x7c72	Action16Sub:?
Routine 0x7c7c	Action108Sub:?
Routine 0x7c90	Action55Sub:?
Routine 0x7c9a	Action124Sub:?
Routine 0x7ca4	Action91Sub:?
Routine 0x7cae	Action69Sub:?
Routine 0x7cb8	Action94Sub:?
Routine 0x7cc2	Action85Sub:?
Routine 0x7ccc	Action86Sub:?
Routine 0x7cde	PreAction75Sub:?
Routine 0x7d48	Action75Sub:?
Routine 0x7d52	routine32082:?
Routine 0x7d7a	routine32122:?
Routine 0x7d9c	Action58Sub:?
Routine 0x7dce	Action22Sub:?
Routine 0x7dec	routine32236:?
Routine 0x7e1a	Action125Sub:?
Routine 0x7e24	Action127Sub:?
Routine 0x7e3a	Action80Sub:?
! References: obj218_random_object.prop17
Routine 0x7e46	Action45Sub:?
Routine 0x7e58	Action98Sub:?
Routine 0x7eea	PreAction33Sub:?
Routine 0x7f0c	Action33Sub:?
Routine 0x7f1c	Action100Sub:?
Routine 0x7f32	routine32562:?
Routine 0x7f50	Action107Sub:?
Routine 0x7faa	Action118Sub:?
Routine 0x7fc0	PreAction114Sub:?
Routine 0x7fd6	Action114Sub:?
Routine 0x7fea	Action115Sub:?
! References: obj185_very_ancient_book.prop17
Routine 0x8006	Action71Sub:?
Routine 0x8022	Action74Sub:?
Routine 0x8046	Action120Sub:?
Routine 0x807c	Action128Sub:?
Routine 0x8088	routine32904:?
Routine 0x8096	routine32918:?
! References: obj179_dungeon_master.prop17, obj180_dungeon_master.prop17
Routine 0x80bc	Action26Sub:?
Routine 0x80dc	Action25Sub:?
! References: obj221.prop17
Routine 0x80f4	Action23Sub:?
Routine 0x8150	Action24Sub:?
Routine 0x8158	Action97Sub:?
Routine 0x817e	Action126Sub:?
Routine 0x8190	Action28Sub:?
Routine 0x81c4	Action87Sub:?
Routine 0x81d0	Action73Sub:?
Routine 0x821e	Action70Sub:?
Routine 0x822a	Action40Sub:?
Routine 0x8232	Action42Sub:?
Routine 0x823a	Action29Sub:?
Routine 0x8248	Action68Sub:?
Routine 0x8256	Action48Sub:?
Routine 0x8300	Action109Sub:?
Routine 0x8326	Action13Sub:?
Routine 0x8346	Action14Sub:?
Routine 0x836e	Action129Sub:?
Routine 0x839c	Action57Sub:?
! References: obj89_black_machine.prop17
Routine 0x83b0	Action92Sub:?
Routine 0x83c4	routine33732:?
Routine 0x83de	Action110Sub:?
Routine 0x8478	Action111Sub:?
Routine 0x84a4	Action101Sub:?
Routine 0x84b0	Action41Sub:?
Routine 0x8520	Action89Sub:?
Routine 0x853c	Action112Sub:?
Routine 0x854e	Action9Sub:?
Routine 0x8588	Action105Sub:?
Routine 0x85ae	Action90Sub:?
Routine 0x85c6	routine34246:?
Routine 0x85d4	Action123Sub:?
Routine 0x8604	routine34308:?
Routine 0x862a	Action36Sub:?
Routine 0x8636	Action38Sub:?
Routine 0x864a	routine34378:?
Routine 0x86b8	routine34488:?
Routine 0x8786	routine34694:?
Routine 0x87b0	routine34736:?
Routine 0x87f8	routine34808:?
Routine 0x888c	routine34956:?
Routine 0x88fa	routine35066:?
Routine 0x892e	routine35118:?
Routine 0x8948	routine35144:?
Routine 0x8974	routine35188:?
! References: obj193_Room_in_a_Puzzle.u_to, obj193_Room_in_a_Puzzle.southw_to, obj193_Room_in_a_Puzzle.se_to, obj193_Room_in_a_Puzzle.northw_to, obj193_Room_in_a_Puzzle.ne_to, obj193_Room_in_a_Puzzle.s_to, obj193_Room_in_a_Puzzle.w_to, obj193_Room_in_a_Puzzle.e_to, obj193_Room_in_a_Puzzle.n_to
Routine 0x8aa0	routine35488:?
Routine 0x8be2	routine35810:?
Routine 0x8c16	routine35862:?
! References: obj100_Royal_Puzzle_Entrance.d_to, obj201_Royal_Puzzle_Entrance.d_to
Routine 0x8c36	routine35894:?
Routine 0x8c5e	routine35934:?
Routine 0x8d3a	routine36154:?
Routine 0x8db4	routine36276:?
Routine 0x8ff4	routine36852:?
Routine 0x9072	routine36978:?
Routine 0x9090	routine37008:?
Routine 0x914c	routine37196:?
Routine 0x91a8	routine37288:?
Routine 0x91b8	routine37304:?
Routine 0x91ca	routine37322:?
Routine 0x937a	routine37754:?
Routine 0x9394	routine37780:?
Routine 0x93ea	routine37866:?
Routine 0x9508	routine38152:?
! References: obj144_Dungeon_Entrance.s_to, obj155_Beam_Room.northw_to, obj155_Beam_Room.ne_to, obj155_Beam_Room.n_to, obj169_Hallway.northw_to, obj169_Hallway.ne_to, obj169_Hallway.n_to, obj170_Hallway.southw_to, obj170_Hallway.se_to, obj170_Hallway.northw_to, obj170_Hallway.ne_to, obj170_Hallway.s_to, obj170_Hallway.n_to, obj171_Hallway.southw_to, obj171_Hallway.se_to, obj171_Hallway.northw_to, obj171_Hallway.ne_to, obj171_Hallway.s_to, obj171_Hallway.n_to, obj172_Hallway.southw_to, obj172_Hallway.se_to, obj172_Hallway.northw_to, obj172_Hallway.ne_to, obj172_Hallway.s_to, obj172_Hallway.n_to, obj174_Hallway.southw_to, obj174_Hallway.se_to, obj174_Hallway.s_to
Routine 0x9566	routine38246:?
Routine 0x95d4	routine38356:?
Routine 0x9622	routine38434:?
Routine 0x963c	routine38460:?
Routine 0x96dc	routine38620:?
Routine 0x96fc	routine38652:?
Routine 0x971c	routine38684:?
Routine 0x973a	routine38714:?
Routine 0x9756	routine38742:?
Routine 0x99de	routine39390:?
Routine 0x99ee	routine39406:?
Routine 0x99fe	routine39422:?
Routine 0x9a0e	routine39438:?
Routine 0x9a1e	routine39454:?
Routine 0x9a34	routine39476:?
Routine 0x9bac	routine39852:?
Routine 0x9bf2	routine39922:?
Routine 0x9c2e	routine39982:?
Routine 0x9c8c	routine40076:?
Routine 0x9e0c	routine40460:?
! References: obj158_Inside_Mirror.out_to, obj158_Inside_Mirror.southw_to, obj158_Inside_Mirror.se_to, obj158_Inside_Mirror.northw_to, obj158_Inside_Mirror.ne_to, obj158_Inside_Mirror.s_to, obj158_Inside_Mirror.w_to, obj158_Inside_Mirror.e_to, obj158_Inside_Mirror.n_to
Routine 0x9ec6	routine40646:?
Routine 0x9f92	routine40850:?
Routine 0x9fde	routine40926:?
! References: obj159_Narrow_Room.enter_to, obj159_Narrow_Room.e_to, obj160_Narrow_Room.enter_to, obj160_Narrow_Room.w_to, obj161_Narrow_Room.enter_to, obj161_Narrow_Room.e_to, obj162_Narrow_Room.enter_to, obj162_Narrow_Room.w_to, obj163_Narrow_Room.enter_to, obj163_Narrow_Room.e_to, obj164_Narrow_Room.enter_to, obj164_Narrow_Room.w_to, obj165_Narrow_Room.enter_to, obj165_Narrow_Room.e_to, obj166_Narrow_Room.enter_to, obj166_Narrow_Room.w_to, obj167_Narrow_Room.enter_to, obj167_Narrow_Room.w_to, obj168_Narrow_Room.enter_to, obj168_Narrow_Room.w_to, obj169_Hallway.enter_to, obj170_Hallway.enter_to, obj171_Hallway.enter_to, obj172_Hallway.enter_to
Routine 0x9ff2	routine40946:?
Routine 0xa042	routine41026:?
Routine 0xa126	routine41254:?
Routine 0xa13e	routine41278:?
Routine 0xa2c2	routine41666:?
Routine 0xa306	routine41734:?
Routine 0xa350	routine41808:?
Routine 0xa7ce	routine42958:?
Routine 0xa8b6	routine43190:?
Routine 0xaa00	routine43520:?
Routine 0xaa1a	routine43546:?
Routine 0xaaa2	routine43682:?
Routine 0xab72	routine43890:?
Routine 0xae46	routine44614:?
Routine 0xaec4	routine44740:?
Routine 0xaf2a	routine44842:?
Routine 0xaf74	routine44916:?
Routine 0xaf92	routine44946:?
Routine 0xb360	routine45920:?
Routine 0xb392	routine45970:?
Routine 0xb3f6	routine46070:?
Routine 0xb45c	routine46172:?
Routine 0xb4c6	routine46278:?
Routine 0xb63e	routine46654:?
Routine 0xb6f8	routine46840:?
Routine 0xb75c	routine46940:?
Routine 0xb89e	routine47262:?
Routine 0xb904	routine47364:?
Routine 0xb918	routine47384:?
Routine 0xb9b6	routine47542:?
Routine 0xba46	routine47686:?
Routine 0xbaa0	routine47776:?
Routine 0xbaba	routine47802:?
! References: obj147_South_Corridor.n_to
Routine 0xbca6	routine48294:?
Routine 0xbcd0	routine48336:?
Routine 0xbcf8	routine48376:?
Routine 0xbda0	routine48544:?
Routine 0xbdca	routine48586:?
Routine 0xc1a0	routine49568:?
Routine 0xc1c4	routine49604:?
Routine 0xc216	routine49686:?
Routine 0xc258	routine49752:?
Routine 0xc2fa	routine49914:?
Routine 0xc348	routine49992:?
Routine 0xc38c	routine50060:?
Routine 0xc3c6	routine50118:?
Routine 0xc4d6	routine50390:?
Routine 0xc4e2	routine50402:?
Routine 0xc4f4	routine50420:?
Routine 0xc576	routine50550:?
Routine 0xc5ae	routine50606:?
Routine 0xc5ee	routine50670:?
Routine 0xc762	routine51042:?
Routine 0xc778	routine51064:?
Routine 0xc83c	routine51260:?
Routine 0xc85a	routine51290:?
Routine 0xca32	routine51762:?
Routine 0xcd02	routine52482:?
Routine 0xcdca	routine52682:?
Routine 0xce36	routine52790:?
Routine 0xd0ac	routine53420:?
Routine 0xd142	routine53570:?
Routine 0xd1bc	routine53692:?
Routine 0xd1f2	routine53746:?
Routine 0xd31a	routine54042:?
Routine 0xd3e8	routine54248:?
Routine 0xd3fa	routine54266:?
Routine 0xd404	routine54276:?
