! Auto-generated by Reform.

MD5	1ea91a064941a3f612b20833f0a47df7
				! 'break'/'crack'/'damage'/'demoli'/'destro'/'erase'/'smash'/'trash'/'wreck' 'into'/'inside'/'in'/'beyond'/'betwee' object(in_room,on_ground)
				! 'break'/'crack'/'damage'/'demoli'/'destro'/'erase'/'smash'/'trash'/'wreck' 'down'/'d//' object(held,carried,in_room,on_ground) 'with'/'using' object(held,carried,have)
				! 'break'/'crack'/'damage'/'demoli'/'destro'/'erase'/'smash'/'trash'/'wreck' object(in_room,on_ground) 'off' object(in_room,on_ground)
				! 'break'/'crack'/'damage'/'demoli'/'destro'/'erase'/'smash'/'trash'/'wreck' object(held,carried,in_room,on_ground) 'with'/'using' object(held,carried,have)
				! 'break'/'crack'/'damage'/'demoli'/'destro'/'erase'/'smash'/'trash'/'wreck' object(in_room,on_ground)
Action 38	Action38	! 'face'/'flip'/'rotate'/'set'/'spin'/'turn'/'twist'/'whirl' 'off' object(held,carried,in_room,on_ground)
				! 'douse'/'exting'/'quench'/'snuff' attrib9
				! 'blow' 'outsid'/'out' object
				! 'force'/'insert'/'lay'/'load'/'place'/'put'/'stash'/'stuff'/'thread'/'wedge' 'outsid'/'out' object(held,carried,in_room,on_ground)
Action 39	Action39	! 'board'/'embark' attrib8(in_room,on_ground)
Action 40	Action40	! 'burn' 'down'/'d//' object(held,carried,in_room,on_ground) 'with'/'using' attrib9(held,carried)
				! 'burn' object(held,carried,in_room,on_ground) 'with'/'using' attrib9(held,carried)
				! 'ignite'/'light' object(held,carried,in_room,on_ground) 'with'/'using' object(held,carried)
Action 41	Action41	! 'buy' object 'with'/'using' object(held,have)
				! 'buy' object
Action 42	Action42	! 'call'/'dial'/'phone' 'up'/'u//' object
				! 'call'/'dial'/'phone' object 'onto'/'on' object
				! 'call'/'dial'/'phone' object
Action 43	Action43	! 'brush'/'clean'/'sweep' 'off' object
				! 'brush'/'clean'/'sweep' object
Action 44	Action44	! 'climb'/'scale' 'onto'/'on' object(in_room,on_ground)
				! 'swing' 'onto'/'on' object
				! 'carry'/'catch'/'confis'/'get'/'grab'/'hold'/'seize'/'snatch'/'steal'/'take' 'onto'/'on' object(in_room,on_ground)
Action 45	Action45	! 'climb'/'scale' 'down'/'d//' attrib19(in_room,on_ground)
				! 'go' 'down'/'d//' attrib19(in_room,on_ground)
				! 'descen' attrib19(in_room,on_ground)
				! 'advanc'/'crawl'/'hike'/'hop'/'procee'/'run'/'skip'/'step'/'tramp'/'trudge'/'walk' 'down'/'d//' attrib19(in_room,on_ground)
Action 46	Action46	! 'climb'/'scale' 'over'/'across' attrib19(in_room,on_ground)
Action 47	Action47	! 'climb'/'scale' 'into'/'inside'/'in'/'beyond'/'betwee' attrib19(in_room,on_ground)
				! 'climb'/'scale' 'thru'/'throug' object(in_room,on_ground)
				! 'climb'/'scale' 'undern'/'under'/'beneat'/'below' object(in_room,on_ground)
				! 'go' 'undern'/'under'/'beneat'/'below' object
				! 'go' 'thru'/'throug' object
				! 'go' 'into'/'inside'/'in'/'beyond'/'betwee' attrib19
				! 'sit'/'squat' 'into'/'inside'/'in'/'beyond'/'betwee' object(in_room,on_ground)
				! 'enter' attrib19
				! 'carry'/'catch'/'confis'/'get'/'grab'/'hold'/'seize'/'snatch'/'steal'/'take' 'into'/'inside'/'in'/'beyond'/'betwee' attrib19(in_room,on_ground)
				! 'dive'/'jump'/'leap' 'into'/'inside'/'in'/'beyond'/'betwee' attrib19
				! 'advanc'/'crawl'/'hike'/'hop'/'procee'/'run'/'skip'/'step'/'tramp'/'trudge'/'walk' 'undern'/'under'/'beneat'/'below' object
				! 'advanc'/'crawl'/'hike'/'hop'/'procee'/'run'/'skip'/'step'/'tramp'/'trudge'/'walk' 'thru'/'throug' object
				! 'advanc'/'crawl'/'hike'/'hop'/'procee'/'run'/'skip'/'step'/'tramp'/'trudge'/'walk' 'into'/'inside'/'in'/'beyond'/'betwee' attrib19
Action 48	Action48	! 'climb'/'scale' 'outsid'/'out' attrib19
				! 'depart'/'exit'/'scram'/'withdr' attrib19
				! 'go' 'outsid'/'out' attrib19
				! 'dive'/'jump'/'leap' 'outsid'/'out' attrib19
				! 'advanc'/'crawl'/'hike'/'hop'/'procee'/'run'/'skip'/'step'/'tramp'/'trudge'/'walk' 'outsid'/'out' attrib19
Action 49	Action49	! 'close'/'shut'/'slam' attrib3(held,carried,in_room,on_ground)
Action 50	Action50	! 'compar' object 'toward'/'to' object
Action 51	Action51	! 'count'/'tally' object
Action 52	Action52	! 'cover' object 'with'/'using' object(held,have)
Action 53	Action53	! 'go' 'over'/'across' object
				! 'cross'/'traver' object
				! 'advanc'/'crawl'/'hike'/'hop'/'procee'/'run'/'skip'/'step'/'tramp'/'trudge'/'walk' 'over'/'across' object
Action 54	Action54	! 'clip'/'cut'/'slash' 'thru'/'throug' object 'with'/'using' object(held,carried)
				! 'clip'/'cut'/'slash' object 'with'/'using' object(held,carried)
Action 55	Action55	! 'dig'/'excava' object(in_room,on_ground) 'into'/'inside'/'in'/'beyond'/'betwee' object
				! 'dig'/'excava' 'into'/'inside'/'in'/'beyond'/'betwee' object(in_room,on_ground) 'with'/'using' object(held,carried,have)
				! 'dig'/'excava' object(in_room,on_ground) 'with'/'using' object(held,carried,have)
				! 'dig'/'excava' 'thru'/'throug' object
				! 'dig'/'excava' 'up'/'u//' object
				! 'dig'/'excava' 'at' object
				! 'dig'/'excava' 'into'/'inside'/'in'/'beyond'/'betwee' object
Action 56	Action56	! 'dig'/'excava' 'with'/'using' object
Action 57	Action57	! 'debark'/'disemb' attrib8(in_room,on_ground)
				! 'carry'/'catch'/'confis'/'get'/'grab'/'hold'/'seize'/'snatch'/'steal'/'take' 'outsid'/'out' object
				! 'advanc'/'crawl'/'hike'/'hop'/'procee'/'run'/'skip'/'step'/'tramp'/'trudge'/'walk' 'off' object
Action 58	Action58	! 'drink'/'guzzle'/'sip' object(held,carried,in_room,on_ground)
Action 59	Action59	! 'drink'/'guzzle'/'sip' 'from' object(held,carried)
Action 60	Action60	! 'drop'/'dump' object(held,many)
				! 'force'/'insert'/'lay'/'load'/'place'/'put'/'stash'/'stuff'/'thread'/'wedge' 'down'/'d//' object(held,carried,many,have)
Action 61	Action61	! 'crush'/'squash'/'squeez' object(held) 'onto'/'on' object
				! 'leave' object(held,carried,many,have) 'into'/'inside'/'in'/'beyond'/'betwee' object(carried,in_room,on_ground)
				! 'drop'/'dump' object(held,many) 'into'/'inside'/'in'/'beyond'/'betwee' object
				! 'drop'/'dump' object(held,many) 'down'/'d//' object
				! 'chuck'/'fling'/'hurl'/'pitch'/'throw'/'toss' object(held,carried,many,have) 'outsid'/'out' object(in_room,on_ground)
				! 'chuck'/'fling'/'hurl'/'pitch'/'throw'/'toss' object(held,carried,many,have) 'onto'/'on' object(in_room,on_ground)
				! 'chuck'/'fling'/'hurl'/'pitch'/'throw'/'toss' object(held,carried,many,have) 'into'/'inside'/'in'/'beyond'/'betwee' object(in_room,on_ground)
				! 'chuck'/'fling'/'hurl'/'pitch'/'throw'/'toss' object(held,carried,many,have) 'thru'/'throug' object(in_room,on_ground)
				! 'force'/'insert'/'lay'/'load'/'place'/'put'/'stash'/'stuff'/'thread'/'wedge' object(held,carried,many,have) 'down'/'d//' object(held,carried,in_room,on_ground)
				! 'force'/'insert'/'lay'/'load'/'place'/'put'/'stash'/'stuff'/'thread'/'wedge' object(held,carried,many,have) 'into'/'inside'/'in'/'beyond'/'betwee' object(held,carried,in_room,on_ground)
Action 62	Action62	! 'leave' object(held,carried,many,have) 'onto'/'on' object(carried,in_room,on_ground)
				! 'drop'/'dump' object(held,many) 'onto'/'on' object
				! 'force'/'insert'/'lay'/'load'/'place'/'put'/'stash'/'stuff'/'thread'/'wedge' object(held,carried,many,have) 'over'/'across' object(held,carried,in_room,on_ground)
				! 'force'/'insert'/'lay'/'load'/'place'/'put'/'stash'/'stuff'/'thread'/'wedge' object(held,carried,many,have) 'onto'/'on' object(held,carried,in_room,on_ground)
Action 63	Action63	! 'consum'/'devour'/'eat'/'gobble'/'nibble'/'swallo' object(held,carried,in_room,on_ground)
Action 64	Action64	! 'empty' 'outsid'/'out' object(held,carried)
				! 'empty' object(held,carried)
Action 65	Action65	! 'empty' object 'outsid'/'out' object
				! 'empty' object 'from' object
				! 'pick' 'up'/'u//' attrib17(on_ground,many)
				! 'carry'/'catch'/'confis'/'get'/'grab'/'hold'/'seize'/'snatch'/'steal'/'take' attrib17(carried,in_room,many) 'onto'/'on' object
				! 'carry'/'catch'/'confis'/'get'/'grab'/'hold'/'seize'/'snatch'/'steal'/'take' attrib17(carried,in_room,many) 'into'/'inside'/'in'/'beyond'/'betwee' object
				! 'carry'/'catch'/'confis'/'get'/'grab'/'hold'/'seize'/'snatch'/'steal'/'take' attrib17(carried,in_room,many) 'from' object
				! 'carry'/'catch'/'confis'/'get'/'grab'/'hold'/'seize'/'snatch'/'steal'/'take' attrib17(carried,in_room,many) 'off' object
				! 'carry'/'catch'/'confis'/'get'/'grab'/'hold'/'seize'/'snatch'/'steal'/'take' attrib17(carried,in_room,many) 'outsid'/'out' object
				! 'carry'/'catch'/'confis'/'get'/'grab'/'hold'/'seize'/'snatch'/'steal'/'take' attrib17(in_room,on_ground,many)
				! 'drag'/'pull'/'shove'/'tug'/'yank' attrib17 'outsid'/'out' object(in_room,on_ground)
Action 66	Action66	! 'check'/'descri'/'examin'/'inspec'/'observ'/'see'/'study'/'survey'/'watch' object(held,carried,in_room,on_ground)
				! 'gaze'/'l//'/'look'/'peek'/'peer'/'stare' 'at' object(held,carried,in_room,on_ground)
Action 67	Action67	! 'check'/'descri'/'examin'/'inspec'/'observ'/'see'/'study'/'survey'/'watch' 'into'/'inside'/'in'/'beyond'/'betwee' object(held,carried,in_room,on_ground)
				! 'gaze'/'l//'/'look'/'peek'/'peer'/'stare' 'outsid'/'out' object
				! 'gaze'/'l//'/'look'/'peek'/'peer'/'stare' 'into'/'inside'/'in'/'beyond'/'betwee' object(held,carried,in_room,on_ground)
				! 'gaze'/'l//'/'look'/'peek'/'peer'/'stare' 'thru'/'throug' object(held,carried,in_room,on_ground)
Action 68	Action68	! 'check'/'descri'/'examin'/'inspec'/'observ'/'see'/'study'/'survey'/'watch' 'onto'/'on' object(held,carried,in_room,on_ground)
				! 'gaze'/'l//'/'look'/'peek'/'peer'/'stare' 'onto'/'on' object(held,carried,in_room,on_ground)
Action 69	Action69	! 'check'/'descri'/'examin'/'inspec'/'observ'/'see'/'study'/'survey'/'watch' 'for' object
				! 'gaze'/'l//'/'look'/'peek'/'peer'/'stare' 'for' object
				! 'frisk'/'ransac'/'rummag'/'search' 'for' object
				! 'find'/'seek' object
Action 70	Action70	! 'check'/'descri'/'examin'/'inspec'/'observ'/'see'/'study'/'survey'/'watch' object(held,carried,in_room,on_ground) 'with'/'using' object(held,carried,in_room,on_ground)
				! 'check'/'descri'/'examin'/'inspec'/'observ'/'see'/'study'/'survey'/'watch' object(held,carried,in_room,on_ground) 'thru'/'throug' object(held,carried,in_room,on_ground)
				! 'gaze'/'l//'/'look'/'peek'/'peer'/'stare' 'at' object(held,carried,in_room,on_ground) 'thru'/'throug' object
				! 'read'/'skim' attrib4(held,carried,in_room,on_ground) 'thru'/'throug' object
Action 71	Action71	! 'feed' attrib18(in_room,on_ground) object(held)
				! 'feed' attrib18(in_room,on_ground) 'with'/'using' object(held)
Action 72	Action72	! 'feed' object(held) 'toward'/'to' attrib18(in_room,on_ground)
Action 73	Action73	! 'fill' attrib3(held,carried,have) 'with'/'using' object
				! 'fill' attrib3(held,carried,have)
Action 74	Action74	! 'flush' object
Action 75	Action75	! 'fly' 'with'/'using' object
				! 'fly' 'onto'/'on' object
				! 'fly' object
				! 'fly'
Action 76	Action76	! 'focus' object
Action 77	Action77	! 'chase'/'follow'/'pursue' object
Action 78	Action78	! 'bestow'/'delive'/'donate'/'give'/'hand'/'offer'/'presen' object(held) 'toward'/'to' attrib18(in_room,on_ground)
Action 79	Action79	! 'bestow'/'delive'/'donate'/'give'/'hand'/'offer'/'presen' attrib18(in_room,on_ground) object(held)
Action 80	Action80	! 'go' object
				! 'advanc'/'crawl'/'hike'/'hop'/'procee'/'run'/'skip'/'step'/'tramp'/'trudge'/'walk' object
Action 81	Action81	! 'go' 'toward'/'to' object
				! 'advanc'/'crawl'/'hike'/'hop'/'procee'/'run'/'skip'/'step'/'tramp'/'trudge'/'walk' 'toward'/'to' object
Action 82	Action82	! 'hang' 'up'/'u//' object 'from' object
				! 'hang' object 'from' object
				! 'hang' 'up'/'u//' object 'onto'/'on' object
				! 'hang' object 'onto'/'on' object
				! 'hang' 'up'/'u//' object
				! 'hang' object
Action 83	Action83	! 'listen' 'for' object(held,carried,in_room,on_ground)
				! 'listen' 'into'/'inside'/'in'/'beyond'/'betwee' object(held,carried,in_room,on_ground)
				! 'listen' 'toward'/'to' object(held,carried,in_room,on_ground)
				! 'listen' attrib19
				! 'hear' object
Action 84	Action84	! 'aftern'/'bye'/'farewe'/'goodby'/'greet'/'greeti'/'hello'/'hi'/'salute' object
				! 'aftern'/'bye'/'farewe'/'goodby'/'greet'/'greeti'/'hello'/'hi'/'salute'
				! 'affirm'/'aye'/'naw'/'nay'/'negati'/'no'/'nope'/'ok'/'okay'/'positi'/'sure'/'y//'/'yes'/'yup' attrib18
				! 'affirm'/'aye'/'naw'/'nay'/'negati'/'no'/'nope'/'ok'/'okay'/'positi'/'sure'/'y//'/'yes'/'yup'
Action 85	Action85	! 'hint'/'hints'
				! 'aid'/'help'
				! 'pray'
Action 86	Action86	! 'concea'/'hide' object(held,have) 'undern'/'under'/'beneat'/'below' object
				! 'concea'/'hide' object(held,have) 'behind' object
				! 'concea'/'hide' object(held,have) 'from' object
				! 'concea'/'hide' 'behind' object
				! 'concea'/'hide' 'undern'/'under'/'beneat'/'below' object
				! 'concea'/'hide' attrib19
Action 87	Action87	! 'dive'/'jump'/'leap' 'off' object
				! 'dive'/'jump'/'leap' 'from' object
				! 'dive'/'jump'/'leap' 'over'/'across' object
				! 'dive'/'jump'/'leap' attrib19
Action 88	Action88	! 'rise'/'stand' 'onto'/'on' object
				! 'dive'/'jump'/'leap' 'onto'/'on' object
				! 'advanc'/'crawl'/'hike'/'hop'/'procee'/'run'/'skip'/'step'/'tramp'/'trudge'/'walk' 'onto'/'on' object
Action 89	Action89	! 'kick' 'down'/'d//' object
				! 'kick' 'into'/'inside'/'in'/'beyond'/'betwee' object
				! 'kick' object
Action 90	Action90	! 'assaul'/'attack'/'fight'/'hit'/'hurt'/'injure'/'kill'/'murder'/'punch'/'slap'/'slay'/'stab'/'strike'/'whack'/'wound' attrib18(in_room,on_ground) 'with'/'using' object(held,carried,have)
				! 'assaul'/'attack'/'fight'/'hit'/'hurt'/'injure'/'kill'/'murder'/'punch'/'slap'/'slay'/'stab'/'strike'/'whack'/'wound' attrib18(in_room,on_ground)
				! 'knock'/'pound'/'rap' 'down'/'d//' attrib18(in_room,on_ground)
Action 91	Action91	! 'kiss'/'smooch' attrib18(in_room,on_ground)
Action 92	Action92	! 'knock'/'pound'/'rap' 'onto'/'on' object
				! 'knock'/'pound'/'rap' 'at' object
Action 93	Action93	! 'leave' attrib19
Action 94	Action94	! 'releas' object(held,many)
				! 'let' 'go' object(held,many)
Action 95	Action95	! 'nap'/'rest'/'sleep'/'snooze' 'onto'/'on' object(in_room,on_ground)
				! 'nap'/'rest'/'sleep'/'snooze' 'into'/'inside'/'in'/'beyond'/'betwee' object(in_room,on_ground)
				! 'lie'/'reclin' 'into'/'inside'/'in'/'beyond'/'betwee' object
				! 'lie'/'reclin' 'onto'/'on' object
				! 'lie'/'reclin' 'down'/'d//' attrib19
Action 96	Action96	! 'face'/'flip'/'rotate'/'set'/'spin'/'turn'/'twist'/'whirl' 'onto'/'on' attrib2(held,carried,in_room,on_ground)
				! 'ignite'/'light' attrib2(held,carried,take)
Action 97	Action97	! 'lock' object(in_room,on_ground) 'with'/'using' object(held,have)
				! 'lock' object(in_room,on_ground)
Action 98	Action98	! 'gaze'/'l//'/'look'/'peek'/'peer'/'stare' 'around'/'along' attrib19
				! 'gaze'/'l//'/'look'/'peek'/'peer'/'stare'
Action 99	Action99	! 'gaze'/'l//'/'look'/'peek'/'peer'/'stare' 'down'/'d//' attrib19
Action 100	Action100	! 'gaze'/'l//'/'look'/'peek'/'peer'/'stare' 'up'/'u//' attrib19
Action 101	Action101	! 'gaze'/'l//'/'look'/'peek'/'peer'/'stare' object(held,carried,in_room,on_ground)
Action 102	Action102	! 'gaze'/'l//'/'look'/'peek'/'peer'/'stare' 'undern'/'under'/'beneat'/'below' object
				! 'frisk'/'ransac'/'rummag'/'search' 'undern'/'under'/'beneat'/'below' object
Action 103	Action103	! 'gaze'/'l//'/'look'/'peek'/'peer'/'stare' 'behind' object
Action 104	Action104	! 'lower' object
				! 'drag'/'pull'/'shove'/'tug'/'yank' 'down'/'d//' object
Action 105	Action105	! 'move'/'roll'/'shift' attrib19(in_room,on_ground)
Action 106	Action106	! 'nudge'/'press'/'push'/'ring'/'thrust' object(in_room,on_ground) 'toward'/'to' object
				! 'nudge'/'press'/'push'/'ring'/'thrust' object(in_room,on_ground) object
				! 'nudge'/'press'/'push'/'ring'/'thrust' object(in_room,on_ground) 'up'/'u//' object(in_room,on_ground)
				! 'move'/'roll'/'shift' object(in_room,on_ground) 'toward'/'to' object
				! 'move'/'roll'/'shift' object(in_room,on_ground) object
Action 107	Action107	! 'nudge'/'press'/'push'/'ring'/'thrust' 'down'/'d//' object(in_room,on_ground)
				! 'nudge'/'press'/'push'/'ring'/'thrust' object(in_room,on_ground) 'down'/'d//' object(in_room,on_ground)
				! 'chuck'/'fling'/'hurl'/'pitch'/'throw'/'toss' object(held,carried,many,have) 'down'/'d//' object(in_room,on_ground)
				! 'move'/'roll'/'shift' object(in_room,on_ground) 'down'/'d//' object
Action 108	Action108	! 'move'/'roll'/'shift' 'up'/'u//' object(in_room,on_ground)
Action 109	Action109	! 'open'/'pry'/'unseal' attrib10(held,carried,in_room,on_ground) 'with'/'using' object(held,carried,in_room,on_ground,have)
				! 'open'/'pry'/'unseal' 'up'/'u//' attrib10(held,carried,in_room,on_ground)
				! 'open'/'pry'/'unseal' attrib10(held,carried,in_room,on_ground)
Action 110	Action110	! 'pick' object 'with'/'using' object
				! 'pick' object
Action 111	Action111	! 'play' object 'onto'/'on' object
				! 'play' object
				! 'play'
Action 112	Action112	! 'drip'/'pour'/'spill'/'sprink' 'outsid'/'out' object(held,carried) 'into'/'inside'/'in'/'beyond'/'betwee' object
				! 'drip'/'pour'/'spill'/'sprink' object(held,carried) 'into'/'inside'/'in'/'beyond'/'betwee' object
				! 'drip'/'pour'/'spill'/'sprink' object(held,carried) 'from' object
				! 'drip'/'pour'/'spill'/'sprink' object(held,carried) 'onto'/'on' object
Action 113	Action113	! 'drag'/'pull'/'shove'/'tug'/'yank' 'onto'/'on' object(in_room,on_ground)
				! 'drag'/'pull'/'shove'/'tug'/'yank' object(in_room,on_ground)
Action 114	Action114	! 'elevat'/'hoist'/'lift'/'raise' 'up'/'u//' object
				! 'elevat'/'hoist'/'lift'/'raise' object
				! 'carry'/'catch'/'confis'/'get'/'grab'/'hold'/'seize'/'snatch'/'steal'/'take' 'up'/'u//' attrib19
				! 'drag'/'pull'/'shove'/'tug'/'yank' 'up'/'u//' object(in_room,on_ground)
Action 115	Action115	! 'nudge'/'press'/'push'/'ring'/'thrust' 'onto'/'on' object(in_room,on_ground)
				! 'nudge'/'press'/'push'/'ring'/'thrust' object(in_room,on_ground)
Action 116	Action116	! 'nudge'/'press'/'push'/'ring'/'thrust' 'up'/'u//' object(in_room,on_ground)
Action 117	Action117	! 'nudge'/'press'/'push'/'ring'/'thrust' object 'undern'/'under'/'beneat'/'below' object
				! 'force'/'insert'/'lay'/'load'/'place'/'put'/'stash'/'stuff'/'thread'/'wedge' object(held,carried,many,have) 'undern'/'under'/'beneat'/'below' object(held,carried,in_room,on_ground)
Action 118	Action118	! 'don'/'wear' object
				! 'force'/'insert'/'lay'/'load'/'place'/'put'/'stash'/'stuff'/'thread'/'wedge' 'onto'/'on' object(held,carried,in_room,on_ground)
Action 119	Action119	! 'force'/'insert'/'lay'/'load'/'place'/'put'/'stash'/'stuff'/'thread'/'wedge' object(held,carried,many,have) 'behind' object(held,carried,in_room,on_ground)
Action 120	Action120	! 'defile'/'molest'/'rape' attrib18
Action 121	Action121	! 'reach' 'into'/'inside'/'in'/'beyond'/'betwee' object(in_room,on_ground)
Action 122	Action122	! 'read'/'skim' attrib4(held,carried,in_room,on_ground)
Action 123	Action123	! 'read'/'skim' attrib4(held,carried,in_room,on_ground) 'toward'/'to' object
Action 124	Action124	! 'doff'/'remove'/'shed' attrib14
Action 125	Action125	! 'doff'/'remove'/'shed' object 'from' object
Action 126	Action126	! 'replac' object
Action 127	Action127	! 'ride' 'onto'/'on' object
				! 'ride' 'into'/'inside'/'in'/'beyond'/'betwee' object
				! 'ride' object
Action 128	Action128	! 'say'/'speak'/'talk'/'utter' attrib19
Action 129	Action129	! 'scrape' object 'off' object
				! 'scrape' 'off' object
Action 130	Action130	! 'frisk'/'ransac'/'rummag'/'search' 'into'/'inside'/'in'/'beyond'/'betwee' object
				! 'frisk'/'ransac'/'rummag'/'search' object
Action 131	Action131	! 'jostle'/'rattle'/'shake' object
Action 132	Action132	! 'fire'/'shoot' object(held,carried,in_room,on_ground) 'at' object
				! 'fire'/'shoot' object(held,carried,in_room,on_ground)
Action 133	Action133	! 'fire'/'shoot' object 'with'/'using' object(held,carried,in_room,on_ground)
Action 134	Action134	! 'show' attrib18 object
				! 'show' object 'toward'/'to' attrib18
Action 135	Action135	! 'sit'/'squat' 'at' object
				! 'sit'/'squat' 'down'/'d//' attrib19(in_room,on_ground)
				! 'sit'/'squat' 'onto'/'on' object(in_room,on_ground)
				! 'sit'/'squat' attrib19(in_room,on_ground)
Action 136	Action136	! 'ski' 'down'/'d//' object
				! 'ski' object
Action 137	Action137	! 'nap'/'rest'/'sleep'/'snooze'
Action 138	Action138	! 'smell'/'sniff' attrib19
Action 139	Action139	! 'splice' object 'with'/'using' object
				! 'splice' object
Action 140	Action140	! 'crush'/'squash'/'squeez' object
Action 141	Action141	! 'rise'/'stand' 'up'/'u//' attrib19
				! 'rise'/'stand'
Action 142	Action142	! 'rise'/'stand' 'undern'/'under'/'beneat'/'below' object
Action 143	Action143	! 'bathe'/'swim' 'toward'/'to' object
				! 'bathe'/'swim' 'into'/'inside'/'in'/'beyond'/'betwee' object
				! 'bathe'/'swim' object
				! 'bathe'/'swim'
Action 144	Action144	! 'swing' object(held,carried,have) 'at' attrib18(in_room,on_ground)
				! 'swing' object(held,carried,have)
Action 145	Action145	! 'carry'/'catch'/'confis'/'get'/'grab'/'hold'/'seize'/'snatch'/'steal'/'take' 'off' object
Action 146	Action146	! 'taste' object
Action 147	Action147	! 'tell' attrib18(in_room) 'about' object
				! 'tell' attrib18(in_room)
Action 148	Action148	! 'chuck'/'fling'/'hurl'/'pitch'/'throw'/'toss' object(held,carried,many,have) 'toward'/'to' object(in_room,on_ground)
				! 'chuck'/'fling'/'hurl'/'pitch'/'throw'/'toss' object(held,carried,many,have) 'at' object(in_room,on_ground)
				! 'chuck'/'fling'/'hurl'/'pitch'/'throw'/'toss' object(held,carried,many,have)
Action 149	Action149	! 'chuck'/'fling'/'hurl'/'pitch'/'throw'/'toss' object(held,carried,many,have) 'over'/'across' object
				! 'chuck'/'fling'/'hurl'/'pitch'/'throw'/'toss' object(held,carried,many,have) 'off' object
Action 150	Action150	! 'attach'/'fasten'/'hook'/'secure'/'tie' object(held,carried,have) 'toward'/'to' object
Action 151	Action151	! 'attach'/'fasten'/'hook'/'secure'/'tie' 'up'/'u//' attrib18(in_room,on_ground) 'with'/'using' object(held,carried,in_room,on_ground,have)
Action 152	Action152	! 'distur'/'feel'/'pat'/'pet'/'rub'/'touch' object 'with'/'using' object
				! 'distur'/'feel'/'pat'/'pet'/'rub'/'touch' object
Action 153	Action153	! 'face'/'flip'/'rotate'/'set'/'spin'/'turn'/'twist'/'whirl' object 'with'/'using' object(have)
				! 'face'/'flip'/'rotate'/'set'/'spin'/'turn'/'twist'/'whirl' object(in_room,on_ground) object
				! 'face'/'flip'/'rotate'/'set'/'spin'/'turn'/'twist'/'whirl' object(in_room,on_ground) 'toward'/'to' object
				! 'face'/'flip'/'rotate'/'set'/'spin'/'turn'/'twist'/'whirl' object
Action 154	Action154	! 'face'/'flip'/'rotate'/'set'/'spin'/'turn'/'twist'/'whirl' object(in_room,on_ground) 'left'/'counte' attrib19
Action 155	Action155	! 'face'/'flip'/'rotate'/'set'/'spin'/'turn'/'twist'/'whirl' object(in_room,on_ground) 'right'/'clockw' attrib19
Action 156	Action156	! 'unlock' object(in_room,on_ground) 'with'/'using' attrib12
				! 'unlock' object(in_room,on_ground)
Action 157	Action157	! 'unroll' object(held,carried,in_room,on_ground)
Action 158	Action158	! 'detach'/'free'/'unatta'/'undo'/'unfast'/'unhook'/'untie' object(held,carried,in_room,on_ground) 'from' object
				! 'detach'/'free'/'unatta'/'undo'/'unfast'/'unhook'/'untie' object(held,carried,in_room,on_ground)
Action 159	Action159	! 'employ'/'exploi'/'use' object
Action 160	Action160	! 'loiter'/'wait'/'z//'
Action 161	Action161	! '$wa' object
Action 162	Action162	! 'loiter'/'wait'/'z//' 'for' object
Action 163	Action163	! 'awake'/'awaken'/'rouse'/'startl'/'surpri'/'wake' 'up'/'u//' attrib19
				! 'awake'/'awaken'/'rouse'/'startl'/'surpri'/'wake' attrib19
Action 164	Action164	! 'grin'/'laugh'/'nod'/'smile'/'sneer'/'wave' 'toward'/'to' object
				! 'grin'/'laugh'/'nod'/'smile'/'sneer'/'wave' 'at' object
Action 165	Action165	! 'howl'/'scream'/'shout'/'yell' 'toward'/'to' object
				! 'howl'/'scream'/'shout'/'yell' 'at' object
				! 'howl'/'scream'/'shout'/'yell' attrib19

Word	$ca	$ca
Word	$de	$de
Word	$he	$he
Word	$hn	$hn
Word	$mo	$mo
Word	$of	$of
Word	$on	$on
Word	$tr	$tr
Word	$ve	$ve
Word	$wa	$wa
Word	#comm	#comm
Word	#rand	#rand
Word	#reco	#reco
Word	#unre	#unre
Word	across	across
Word	advanc	advanc
Word	affirm	affirm
Word	aftern	aftern
Word	airpla	airpla
Word	answer	answer
Word	around	around
Word	ascend	ascend
Word	assaul	assaul
Word	asshol	asshol
Word	atomic	atomic
Word	attach	attach
Word	attack	attack
Word	automa	automa
Word	awaken	awaken
Word	bastar	bastar
Word	bazook	bazook
Word	beaumo	beaumo
Word	behind	behind
Word	beneat	beneat
Word	bestow	bestow
Word	betwee	betwee
Word	beyond	beyond
Word	billio	billio
Word	blurre	blurre
Word	boomar	boomar
Word	bucket	bucket
Word	burban	burban
Word	busine	busine
Word	button	button
Word	buzzer	buzzer
Word	camelo	camelo
Word	candle	candle
Word	cannon	cannon
Word	carpet	carpet
Word	carrie	carrie
Word	caster	caster
Word	catche	catche
Word	ceilin	ceilin
Word	cellar	cellar
Word	centra	centra
Word	chairs	chairs
Word	cheese	cheese
Word	chihua	chihua
Word	chimne	chimne
Word	christ	christ
Word	clippe	clippe
Word	clockw	clockw
Word	closet	closet
Word	coatin	coatin
Word	cocksu	cocksu
Word	compar	compar
Word	compas	compas
Word	comput	comput
Word	concea	concea
Word	confis	confis
Word	consum	consum
Word	corman	corman
Word	corpse	corpse
Word	counte	counte
Word	cousin	cousin
Word	damage	damage
Word	damned	damned
Word	debark	debark
Word	defile	defile
Word	delive	delive
Word	demoli	demoli
Word	depart	depart
Word	descen	descen
Word	descri	descri
Word	destro	destro
Word	detach	detach
Word	devour	devour
