! Auto-generated by Reform.

MD5	808039c4e9554bdd15d7793539b3bd97
Attribute 2	attrib2			! obj1_compass obj15_yourself obj161_line obj168_glass_wall obj350_fire_spirit obj360_people obj405_barbarians obj498_water_spirit obj602_air_spirit obj620_natives obj651_earth_spirit
Attribute 3	attrib3			! obj34_brazier obj65_cauldron obj86_broken_stone_top obj95_nest obj120_icebox obj121_blue_cereal_box obj122_navy_blue_cereal_box obj123_royal_blue_cereal_box obj150_plastic_wrapper obj174_flower_vase obj186_western_niche obj187_southern_niche obj188_eastern_niche obj189_southern_niche obj190_western_niche obj191_eastern_niche obj192_southern_niche obj193_northern_niche obj194_western_niche obj195_southern_niche obj196_northern_niche obj197_eastern_niche obj198_western_niche obj199_southern_niche obj200_eastern_niche obj201_northern_niche obj202_southern_niche obj203_northern_niche obj204_western_niche obj205_northern_niche obj206_western_niche obj207_eastern_niche obj208_northern_niche obj209_eastern_niche obj243_southern_niche obj244_western_niche obj245_eastern_niche obj246_southern_niche obj247_western_niche obj248_eastern_niche obj249_southern_niche obj250_northern_niche obj251_western_niche obj252_southern_niche obj253_northern_niche obj254_eastern_niche obj255_western_niche obj256_southern_niche obj257_eastern_niche obj258_northern_niche obj259_southern_niche obj260_northern_niche obj261_western_niche obj262_northern_niche obj263_western_niche obj264_eastern_niche obj265_northern_niche obj266_eastern_niche obj300_southern_niche obj301_western_niche obj302_eastern_niche obj303_southern_niche obj304_western_niche obj305_eastern_niche obj306_southern_niche obj307_northern_niche obj308_western_niche obj309_southern_niche obj310_northern_niche obj311_eastern_niche obj312_western_niche obj313_southern_niche obj314_eastern_niche obj315_northern_niche obj316_southern_niche obj317_northern_niche obj318_western_niche obj319_northern_niche obj320_western_niche obj321_eastern_niche obj322_northern_niche obj323_eastern_niche obj348_large_round_hole obj364_cabinet obj367_prison_cell obj380_viewing_telescope obj386_toolshed obj398_small_flower_pot obj400_fountain obj414_square_hole obj442_bag obj455_interest_vault obj456_overhead_vault obj457_basis_vault obj458_loans_vault obj486_small_sailboat obj491_water obj502_fur_sack obj519_river obj523_wicker_cage obj553_circular_depression obj554_circular_depression obj555_circular_depression obj556_circular_depression obj585_notebook obj632_opening obj640_opening obj641_pool obj644_opening obj647_mailbox obj672_portion_of_wall obj675_dusty_metal_box obj679_GUE_Automatic_oven obj683_baking_pan obj700_metal_slot obj702_metal_slot obj704_metal_slot obj706_metal_slot obj708_metal_slot obj710_metal_slot obj712_metal_slot obj803_briefcase
Attribute 4	attrib4			! obj60_steeple_window obj72_trapdoor obj73_trapdoor obj142_door obj163_huge_entrance_gate obj375_strange_door obj574_northern_door obj575_southern_door obj579_door obj593_lab_door obj699_platform_gate obj701_platform_gate obj703_platform_gate obj705_platform_gate obj707_platform_gate obj709_platform_gate obj711_platform_gate obj782_door
Attribute 5	attrib5			! obj70_sack_of_flour obj96_corbie_egg obj124_crunchy_cereal obj125_sugary_cereal obj126_flaky_cereal obj127_packet_of_baking_powder obj128_stick_of_butter obj422_bunch_of_dornberries obj570_sugar_cube obj685_lump_of_dough obj686_cake obj756_pile_of_fettucini_carbonari
Attribute 6	attrib6			! obj24_sleeping_pallet obj131_couch obj348_large_round_hole obj361_throne obj367_prison_cell obj486_small_sailboat obj723_subway_seat obj725_subway_seat obj727_subway_seat obj748_large_bed obj761_rectangular_hole obj763_square_of_ice obj765_black_hole obj772_depression obj775_set_of_curtains obj806_strange_contraption obj817_Ball_of_flame
Attribute 7	attrib7			! obj145_receptionist obj430_Morgan_the_Ranger obj600_librarian
Attribute 9	attrib9			! obj20_Monastery_Chapel obj22_Your_Quarters obj25_Hallway__near_your_quarters_ obj26_Hallway__near_quarters_of_Palemon_and_TuffBerry_ obj27_Hallway__east_end_ obj28_Hallway__west_end_ obj29_Monastery_Gardens obj31_Cloister_Walkway obj32_Entrance_Hall obj33_Main_Hall obj35_Monastery_Chapel obj40_Brother_Palemon_s_Quarters obj45_Brother_TuffBerry_s_Quarters obj47_Brother_Toolbox_s_Quarters obj51_Hallway__second_floor__west_ obj52_Hallway__second_floor__east_ obj53_Private_Meditation_Room obj54_Monastery_Library obj58_Steeple_Room obj59_Steeple_Roof obj62_Hallway__basement_ obj63_Refectory obj64_Monastery_Kitchen obj68_Storeroom obj76_Cliff_Face obj77_Covered_Trail obj78_Mountain_Peak obj79_Snowy_Outcropping obj82_Rocky_Mountain_Trail obj83_Snowy_Intersection obj85_Snowy_Intersection obj87_Top_of_Snowy_Slope obj90_Bottom_of_Snowy_Slope obj93_Top_of_tree obj99_North_of_Frozen_River obj100_On_Frozen_River obj101_On_Frozen_River obj104_South_of_Frozen_River obj105_Valley_Trail obj106_Frostham_Outskirts obj107_Frostham obj108_General_Store obj112_North_end_of_Hallway obj113_South_end_of_Hallway obj114_Stockroom obj115_Attic obj129_Ski_Resort obj130_Governor_s_House__Waiting_Room obj140_Governor_s_Office obj143_Subway_Entrance obj159_Aragain_North obj160_Aragain_Entrance obj164_Courtyard obj166_Royal_Museum obj167_North_Exhibit_Room obj172_South_Exhibit_Room obj175_Warm_Room obj177_On_Giant_White_Cube obj178_On_Giant_White_Cube obj179_On_Giant_White_Cube obj180_On_Giant_White_Cube obj181_On_Giant_White_Cube obj182_On_Giant_White_Cube obj183_On_Giant_White_Cube obj184_On_Giant_White_Cube obj185_On_Giant_White_Cube obj234_On_Giant_White_Cube obj235_On_Giant_White_Cube obj236_On_Giant_White_Cube obj237_On_Giant_White_Cube obj238_On_Giant_White_Cube obj239_On_Giant_White_Cube obj240_On_Giant_White_Cube obj241_On_Giant_White_Cube obj242_On_Giant_White_Cube obj291_On_Giant_White_Cube obj292_On_Giant_White_Cube obj293_On_Giant_White_Cube obj294_On_Giant_White_Cube obj295_On_Giant_White_Cube obj296_On_Giant_White_Cube obj297_On_Giant_White_Cube obj298_On_Giant_White_Cube obj299_On_Giant_White_Cube obj351_On_wood_beam obj352_On_wood_beam obj353_On_wood_beam obj354_On_wood_beam obj355_On_wood_beam obj356_On_wood_beam obj358_Palace_Entrance_Hall obj359_Audience_Hall obj362_Royal_Bedroom obj366_Palace_Dungeons obj376_Entrance_to_Greater_Anthar obj377_Anthar_West obj378_Anthar_East obj379_Swank_Waterfront obj381_Conservatory_Entrance obj382_Desert_Garden obj383_Flower_Garden obj385_Gardener_s_Storehouse obj391_Decorative_Plants_Garden obj392_Forest_Garden obj394_Jungle_Garden obj397_Nursery obj399_Fountain obj404_Delbin_s_Pub obj410_Entrance_to_Flathead_Stadium obj411_Entrance_to_Flathead_Stadium obj415_In_Flathead_Stadium__upper_seats obj416_In_Flathead_Stadium__lower_seats obj417_Near_Locker_Room obj418_Locker_Room obj419_Flathead_Field obj453_Southern_Fublio_Valley obj454_Abandoned_Bank obj480_Farm obj482_Oyster_Farm obj485_Grassland_Beach obj487_On_Fublio_Bay obj488_Lost_at_Sea obj489_On_Peninsula obj490_Bottom_of_Lighthouse obj492_Near_Submerged_Lighthouse obj493_Volcanic_Island obj494_South_Part_of_Island obj496_Lighthouse__upper_level obj506_Downtown_New_Borphee obj507_Business_District obj508_City_Streets obj510_Inside_Skyscraper obj514_Suburbs obj515_Outskirts obj516_Forest obj517_Over_River obj520_Forest_Trail obj521_Ravine_Pass obj531_Forest_Clearing obj533_Forest_Brambles obj534_In_front_of_cave obj547_Secret_Trophy_Room obj557_GUE_Entrance obj559_South_Quad obj560_Center_of_Quad obj562_North_Quad obj563_Gymnasium obj566_Humanities_Building obj568_Cafeteria obj571_Library obj573_Dorms obj578_Dorm_room obj581_Enchanter_Hall__top_ obj582_Enchanter_Hall__bottom_ obj587_Science_Center obj588_Engineering_Labs obj590_Office obj599_Strange_Lab obj609_Mizniaport obj610_Miznia_Suburbs obj611_Swank_Boutique obj613_City_Limits obj615_Edge_of_Jungle obj616_Deep_Jungle obj617_Swamp obj619_Jungle_Clearing obj621_Hidden_Ruins obj643_Low_Chamber obj646_In_Front_of_Swank_House obj657_Gurth_City_Streets obj659_North_District obj660_Forest_Edge obj664_Market_District obj666_South_District obj667_Front_of_House obj668_Front_of_House obj670_Construction_Site obj673_Entrance_Room obj678_Kitchen obj682_Pantry obj691_Frostham_GUS_Station obj692_Aragain_GUS_Station obj693_Fublio_Valley_GUS_Station obj694_Greater_Anthar_GUS_Station obj695_Gurth_City_GUS_Station obj696_New_Borphee_GUS_Station obj697_Miznia_GUS_Station obj698_Frostham_Train_Platform obj714_Aragain_Train_Platform obj715_Aragain_Train_Platform__lower_ obj716_Fublio_Valley_Train_Platform obj717_Gurth_City_Train_Platform__lower_ obj718_Greater_Anthar_Train_Platform obj719_New_Borphee_Train_Platform obj720_Miznia_Train_Platform obj721_Gurth_City_Train_Platform obj722_Subway_car obj724_Subway_car obj726_Subway_car obj738_Entrance_Foyer obj739_Parlor obj741_Lounge obj742_Study obj747_Bedroom obj749_Wondrous_Stairway obj750_Fancy_Hall obj751_Magnificent_Foyer obj752_Fancy_Lounge obj754_Workroom obj759_Ethereal_Plane_of_Atrii obj760_Ethereal_Plane_of_Atrii obj762_Ethereal_Plane_of_Atrii obj764_Ethereal_Plane_of_Atrii obj768_Ethereal_Plane_of_Atrii obj770_Ethereal_Plane_of_Atrii obj771_Ethereal_Plane_of_Atrii obj773_Ethereal_Plane_of_Atrii obj774_Strange_Room obj776_Strange_Kitchen obj779_Strange_Bedroom obj783_Mystical_Cave obj787_Giant_Cavern obj788_On_strange_boat obj790_Nothingness obj792_On_Giant_Cube obj793_Top_of_Pyramid obj812_Hades obj813_Hades obj814_Hades obj815_Hades obj816_Hades
Attribute 10	attrib10		! obj120_icebox obj142_door obj364_cabinet obj386_toolshed obj574_northern_door obj575_southern_door obj579_door obj593_lab_door
Attribute 11	attrib11		! obj120_icebox obj163_huge_entrance_gate obj364_cabinet obj386_toolshed obj574_northern_door obj593_lab_door
Attribute 14	attrib14		! obj34_brazier obj65_cauldron obj86_broken_stone_top obj95_nest obj174_flower_vase obj186_western_niche obj187_southern_niche obj188_eastern_niche obj189_southern_niche obj190_western_niche obj191_eastern_niche obj192_southern_niche obj193_northern_niche obj194_western_niche obj195_southern_niche obj196_northern_niche obj197_eastern_niche obj198_western_niche obj199_southern_niche obj200_eastern_niche obj201_northern_niche obj202_southern_niche obj203_northern_niche obj204_western_niche obj205_northern_niche obj206_western_niche obj207_eastern_niche obj208_northern_niche obj209_eastern_niche obj243_southern_niche obj244_western_niche obj245_eastern_niche obj246_southern_niche obj247_western_niche obj248_eastern_niche obj249_southern_niche obj250_northern_niche obj251_western_niche obj252_southern_niche obj253_northern_niche obj254_eastern_niche obj255_western_niche obj256_southern_niche obj257_eastern_niche obj258_northern_niche obj259_southern_niche obj260_northern_niche obj261_western_niche obj262_northern_niche obj263_western_niche obj264_eastern_niche obj265_northern_niche obj266_eastern_niche obj300_southern_niche obj301_western_niche obj302_eastern_niche obj303_southern_niche obj304_western_niche obj305_eastern_niche obj306_southern_niche obj307_northern_niche obj308_western_niche obj309_southern_niche obj310_northern_niche obj311_eastern_niche obj312_western_niche obj313_southern_niche obj314_eastern_niche obj315_northern_niche obj316_southern_niche obj317_northern_niche obj318_western_niche obj319_northern_niche obj320_western_niche obj321_eastern_niche obj322_northern_niche obj323_eastern_niche obj348_large_round_hole obj398_small_flower_pot obj400_fountain obj414_square_hole obj442_bag obj455_interest_vault obj456_overhead_vault obj457_basis_vault obj458_loans_vault obj486_small_sailboat obj491_water obj553_circular_depression obj554_circular_depression obj555_circular_depression obj556_circular_depression obj632_opening obj640_opening obj641_pool obj644_opening obj672_portion_of_wall obj683_baking_pan obj699_platform_gate obj700_metal_slot obj701_platform_gate obj702_metal_slot obj703_platform_gate obj704_metal_slot obj705_platform_gate obj706_metal_slot obj707_platform_gate obj708_metal_slot obj709_platform_gate obj710_metal_slot obj711_platform_gate obj712_metal_slot obj817_Ball_of_flame
Attribute 15	attrib15		! obj60_steeple_window obj72_trapdoor obj73_trapdoor obj120_icebox obj121_blue_cereal_box obj122_navy_blue_cereal_box obj123_royal_blue_cereal_box obj142_door obj150_plastic_wrapper obj163_huge_entrance_gate obj364_cabinet obj367_prison_cell obj375_strange_door obj380_viewing_telescope obj386_toolshed obj502_fur_sack obj574_northern_door obj575_southern_door obj579_door obj580_textbook obj585_notebook obj593_lab_door obj647_mailbox obj658_umbrella obj675_dusty_metal_box obj679_GUE_Automatic_oven obj782_door obj803_briefcase
Attribute 16	attrib16		! obj15_yourself obj36_Joseph obj56_a_copy_of_the_Holy_Scriptures obj430_Morgan_the_Ranger obj431_Frobar obj434_Delbin
Attribute 17	attrib17		! obj2_north_wall obj3_south_wall obj4_east_wall obj5_west_wall obj6_northeast_wall obj7_southeast_wall obj8_northwest_wall obj9_southwest_wall obj10_ceiling obj11_floor obj12_outside obj13_inside obj21_the_Order obj34_brazier obj38_altar obj55_shelves obj61_long_table obj65_cauldron obj88_tree obj89_nest obj94_tree obj97_branch obj98_snow obj103_river_ice obj116_floorboards obj134_desk obj141_desk obj165_topiary obj173_platform obj357_wood_beam obj361_throne obj384_flowers obj393_plants obj395_plants obj400_fountain obj407_bar obj481_farmhouse obj483_oyster_beds obj491_water obj509_arch obj519_river obj546_depression obj552_lettering obj558_archway obj561_statue obj564_equipment obj618_grasses obj631_hole obj637_engravings obj639_hole obj640_opening obj644_opening obj661_storm obj700_metal_slot obj702_metal_slot obj704_metal_slot obj706_metal_slot obj708_metal_slot obj710_metal_slot obj712_metal_slot obj713_train_tracks obj723_subway_seat obj725_subway_seat obj727_subway_seat obj728_subway_car obj729_metal_fence obj755_precious_treasures obj761_rectangular_hole obj763_square_of_ice obj765_black_hole obj767_tracks obj772_depression obj780_desk obj789_sailors obj791_void
Attribute 18	attrib18		! obj37_holy_amulet obj43_dusty_scroll obj49_folded_scroll obj80_dirty_scroll obj96_corbie_egg obj153_waxy_scroll obj155_sugar_coated_scroll obj349_smoke_rod_piece obj371_crumpled_scroll obj374_brown_sphere obj422_bunch_of_dornberries obj435_musty_scroll obj437_pale_scroll obj439_glossy_scroll obj441_trophy obj500_spotted_scroll obj504_gray_rod_piece obj505_silver_sphere obj603_flour_coated_scroll obj605_pen_marked_scroll obj607_white_rod_piece obj608_green_sphere obj652_white_scroll obj654_muddy_scroll obj656_black_rod_piece obj688_gray_scroll obj690_red_sphere obj801_fancy_scroll obj804_red_scroll obj807_silver_rod_piece obj808_red_rod_piece obj809_green_rod_piece obj810_brown_rod_piece obj811_golden_rod
Attribute 19	attrib19		! obj60_steeple_window obj66_preparing_table obj72_trapdoor obj73_trapdoor obj75_steel_wall obj84_stone_marker obj86_broken_stone_top obj91_large_boulder obj95_nest obj109_dusty_crate obj110_moldy_crate obj111_filthy_crate obj117_loose_board obj120_icebox obj131_couch obj137_knob obj138_hands obj139_bells obj142_door obj162_large_sign obj163_huge_entrance_gate obj168_glass_wall obj171_plaque obj176_large_sign obj186_western_niche obj187_southern_niche obj188_eastern_niche obj189_southern_niche obj190_western_niche obj191_eastern_niche obj192_southern_niche obj193_northern_niche obj194_western_niche obj195_southern_niche obj196_northern_niche obj197_eastern_niche obj198_western_niche obj199_southern_niche obj200_eastern_niche obj201_northern_niche obj202_southern_niche obj203_northern_niche obj204_western_niche obj205_northern_niche obj206_western_niche obj207_eastern_niche obj208_northern_niche obj209_eastern_niche obj243_southern_niche obj244_western_niche obj245_eastern_niche obj246_southern_niche obj247_western_niche obj248_eastern_niche obj249_southern_niche obj250_northern_niche obj251_western_niche obj252_southern_niche obj253_northern_niche obj254_eastern_niche obj255_western_niche obj256_southern_niche obj257_eastern_niche obj258_northern_niche obj259_southern_niche obj260_northern_niche obj261_western_niche obj262_northern_niche obj263_western_niche obj264_eastern_niche obj265_northern_niche obj266_eastern_niche obj300_southern_niche obj301_western_niche obj302_eastern_niche obj303_southern_niche obj304_western_niche obj305_eastern_niche obj306_southern_niche obj307_northern_niche obj308_western_niche obj309_southern_niche obj310_northern_niche obj311_eastern_niche obj312_western_niche obj313_southern_niche obj314_eastern_niche obj315_northern_niche obj316_southern_niche obj317_northern_niche obj318_western_niche obj319_northern_niche obj320_western_niche obj321_eastern_niche obj322_northern_niche obj323_eastern_niche obj348_large_round_hole obj364_cabinet obj367_prison_cell obj380_viewing_telescope obj386_toolshed obj396_small_waterfall obj412_stadium_sign obj413_stadium_statue obj414_square_hole obj421_Dornberry_bush obj423_plaque obj455_interest_vault obj456_overhead_vault obj457_basis_vault obj458_loans_vault obj486_small_sailboat obj495_old_shipwreck obj511_sign obj513_sign obj523_wicker_cage obj524_lever obj553_circular_depression obj554_circular_depression obj555_circular_depression obj556_circular_depression obj569_mess obj574_northern_door obj575_southern_door obj579_door obj583_switch obj584_large_desk obj591_desk obj593_lab_door obj594_set_of_dials obj595_left_dial obj596_center_dial obj597_right_dial obj598_green_button obj612_small_sign obj624_large_statue obj626_stone_rollers obj632_opening obj641_pool obj647_mailbox obj663_log_cabin obj672_portion_of_wall obj675_dusty_metal_box obj677_foundation obj679_GUE_Automatic_oven obj680_oven_dial obj681_oven_button obj699_platform_gate obj701_platform_gate obj703_platform_gate obj705_platform_gate obj707_platform_gate obj709_platform_gate obj711_platform_gate obj735_Sign obj740_large_potted_plant obj743_large_bookshelf obj746_large_wood_desk obj748_large_bed obj775_set_of_curtains obj781_strange_machine obj782_door obj784_purple_sphere obj785_skeleton obj806_strange_contraption obj817_Ball_of_flame
Attribute 20	attrib20		! obj24_sleeping_pallet obj38_altar obj55_shelves obj61_long_table obj66_preparing_table obj69_large_barrel obj91_large_boulder obj103_river_ice obj131_couch obj134_desk obj141_desk obj173_platform obj407_bar obj421_Dornberry_bush obj529_speckled_windcat obj530_spotted_windcat obj584_large_desk obj591_desk obj743_large_bookshelf obj746_large_wood_desk obj748_large_bed obj780_desk obj806_strange_contraption
Attribute 21	attrib21		! obj583_switch
Attribute 23	attrib23		! obj15_yourself obj95_nest obj136_alarm_clock obj144_ski_instructor obj146_governor obj150_plastic_wrapper obj367_prison_cell obj370_young_child obj398_small_flower_pot obj425_tough_looking_coach obj455_interest_vault obj456_overhead_vault obj457_basis_vault obj458_loans_vault obj499_mad_hermit obj523_wicker_cage obj594_set_of_dials obj699_platform_gate obj701_platform_gate obj703_platform_gate obj705_platform_gate obj707_platform_gate obj709_platform_gate obj711_platform_gate
Attribute 27	attrib27		! obj349_smoke_rod_piece obj504_gray_rod_piece obj607_white_rod_piece obj656_black_rod_piece obj807_silver_rod_piece obj808_red_rod_piece obj809_green_rod_piece obj810_brown_rod_piece obj811_golden_rod
Attribute 28	attrib28		! obj374_brown_sphere obj505_silver_sphere obj608_green_sphere obj690_red_sphere
Attribute 29	attrib29		! obj525_red_flag obj526_red_flag obj527_blue_flag obj528_blue_flag
Attribute 30	attrib30		! obj186_western_niche obj187_southern_niche obj188_eastern_niche obj189_southern_niche obj190_western_niche obj191_eastern_niche obj192_southern_niche obj193_northern_niche obj194_western_niche obj195_southern_niche obj196_northern_niche obj197_eastern_niche obj198_western_niche obj199_southern_niche obj200_eastern_niche obj201_northern_niche obj202_southern_niche obj203_northern_niche obj204_western_niche obj205_northern_niche obj206_western_niche obj207_eastern_niche obj208_northern_niche obj209_eastern_niche obj243_southern_niche obj244_western_niche obj245_eastern_niche obj246_southern_niche obj247_western_niche obj248_eastern_niche obj249_southern_niche obj250_northern_niche obj251_western_niche obj252_southern_niche obj253_northern_niche obj254_eastern_niche obj255_western_niche obj256_southern_niche obj257_eastern_niche obj258_northern_niche obj259_southern_niche obj260_northern_niche obj261_western_niche obj262_northern_niche obj263_western_niche obj264_eastern_niche obj265_northern_niche obj266_eastern_niche obj300_southern_niche obj301_western_niche obj302_eastern_niche obj303_southern_niche obj304_western_niche obj305_eastern_niche obj306_southern_niche obj307_northern_niche obj308_western_niche obj309_southern_niche obj310_northern_niche obj311_eastern_niche obj312_western_niche obj313_southern_niche obj314_eastern_niche obj315_northern_niche obj316_southern_niche obj317_northern_niche obj318_western_niche obj319_northern_niche obj320_western_niche obj321_eastern_niche obj322_northern_niche obj323_eastern_niche
Attribute 31	attrib31		! obj133_coin obj148_coin obj157_coin obj158_coin obj170_coin obj402_coin obj443_coin obj444_coin obj445_coin obj446_coin obj447_coin obj448_coin obj449_coin obj450_coin obj451_coin obj452_coin obj460_coin obj461_coin obj462_coin obj463_coin obj464_coin obj465_coin obj466_coin obj467_coin obj468_coin obj469_coin obj470_coin obj471_coin obj472_coin obj473_coin obj474_coin obj475_coin obj476_coin obj477_coin obj478_coin obj479_coin obj518_coin obj614_coin obj665_coin obj732_coin obj733_coin obj734_coin obj757_coin
Attribute 32	attrib32		! obj17_copy_a_chant_into_your_prayer_book obj19_cause_an_object_to_give_off_light obj44_deliver_magnificent_sermon__glue_audience_to_seats_ obj50_deliver_dull_sermon__cause_sleep_ obj81_banish_spirit obj154_create_waxy_build_up_on_wood obj156_triplicate_object obj372_detect_forgery obj436_make_boat_sea_worthy obj438_call_lightning_from_storm obj440_allow_creature_to_resist_gravity obj501_turn_iron_to_rust obj604_fold_dough_83_times obj606_heal_wounds obj653_send_object_to_higher_plane obj655_grow_plant obj689_turn_granite_to_pasta obj802_turn_undead obj805_send_object_to_lower_plane
Attribute 34	attrib34		! obj43_dusty_scroll obj49_folded_scroll obj80_dirty_scroll obj153_waxy_scroll obj155_sugar_coated_scroll obj371_crumpled_scroll obj435_musty_scroll obj437_pale_scroll obj439_glossy_scroll obj500_spotted_scroll obj603_flour_coated_scroll obj605_pen_marked_scroll obj652_white_scroll obj654_muddy_scroll obj688_gray_scroll obj801_fancy_scroll obj804_red_scroll
Attribute 35	attrib35		! obj18_prayer_book
Attribute 36	attrib36		! obj210_ebony_beam obj211_ebony_beam obj212_ebony_beam obj213_ebony_beam obj214_pine_beam obj215_pine_beam obj216_pine_beam obj217_pine_beam obj218_pine_beam obj219_pine_beam obj220_pine_beam obj221_pine_beam obj222_pine_beam obj223_pine_beam obj224_balsa_beam obj225_balsa_beam obj226_balsa_beam obj227_balsa_beam obj228_balsa_beam obj229_balsa_beam obj230_balsa_beam obj231_balsa_beam obj232_balsa_beam obj233_balsa_beam obj267_ebony_beam obj268_ebony_beam obj269_pine_beam obj270_pine_beam obj271_pine_beam obj272_pine_beam obj273_pine_beam obj274_pine_beam obj275_pine_beam obj276_pine_beam obj277_balsa_beam obj278_balsa_beam obj279_balsa_beam obj280_balsa_beam obj281_balsa_beam obj282_balsa_beam obj283_balsa_beam obj284_balsa_beam obj285_balsa_beam obj286_balsa_beam obj287_balsa_beam obj288_balsa_beam obj289_balsa_beam obj290_balsa_beam obj324_pine_beam obj325_pine_beam obj326_balsa_beam obj327_balsa_beam obj328_balsa_beam obj329_balsa_beam obj330_balsa_beam obj331_balsa_beam obj332_balsa_beam obj333_balsa_beam obj334_balsa_beam obj335_balsa_beam obj336_balsa_beam obj337_balsa_beam obj338_balsa_beam obj339_balsa_beam obj340_balsa_beam obj341_balsa_beam obj342_balsa_beam obj343_balsa_beam obj344_balsa_beam obj345_balsa_beam obj346_balsa_beam obj347_balsa_beam

Property 1	prop1:dictwords
Property 2	prop2:?
Property 3	prop3:?
Property 4	prop4:?
Property 5	prop5:thing
Property 6	prop6:?
Property 7	prop7:?
Property 8	prop8:?
Property 9	prop9:thing
Property 10	prop10:thing
Property 11	prop11:thing
Property 12	prop12:things
Property 13	prop13:thing
Property 14	prop14:thing
Property 15	prop15:thing
Property 16	prop16:thing
Property 17	prop17:thing
Property 18	prop18:thing
Property 19	prop19:?
Property 20	prop20:?
Property 21	prop21:thing
Property 22	prop22:string
Property 23	prop23:string
Property 24	prop24:things
Property 25	prop25:?
Property 26	prop26:?
Property 27	prop27:?
Property 28	prop28:?
Property 29	prop29:?
Property 30	prop30:thing
Property 31	prop31:thing
Property 32	prop32:?
Property 33	prop33:?
Property 34	prop34:thing

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
