! Auto-generated by Reform.

MD5	aaf0b90fbb31717481c02832bf412070
Attribute 23	scenery			! CompassDirection obj7_north obj8_south obj9_east obj10_west obj11_northeast obj12_northwest obj13_southeast obj14_southwest obj15_up_above obj16_ground obj17_inside obj18_outside Thing Topic Fruit obj65_Fruit_1 obj66_Fruit_2 obj67_Fruit_3 obj68_Fruit_4 obj69_Fruit_5 obj70_Fruit_6 obj71_Fruit_7 obj72_Fruit_8 obj73_Fruit_9 obj74_Fruit_10 obj75_Fruit_11 obj76_Fruit_12 obj77_Fruit_13 obj78_Fruit_14 obj79_Fruit_15 obj80_Fruit_16 obj81_Fruit_17 obj87_Grunk obj88_part_of_Grunk_body obj89_stone obj90_dark obj94_moon obj95_wall obj96_field obj97_forest obj98_noise obj99_tracks obj100_farm obj101__missingOutside_ obj103_broken_stair obj105_tunnel obj106_curly_bit obj107_hole obj108_crack obj112__missingBR_ obj113_glowing_wall obj114_tunnel_to_west obj115_tunnel_to_east obj117_squirty_part obj118_little_bit obj119_fountain_drain obj120_fountain_bowl obj122_water_that_not_in_fountain obj123_soup_that_not_in_fountain obj125_picture_of_gnome obj126_picture_of_cave obj129_picture_on_west_wall obj130_black_powder_in_picture obj131_fire_in_picture obj132_water_in_picture obj133_picture_on_east_wall obj134_pole_in_picture obj135_yellow_thing_in_picture obj136_pie_in_picture obj137_north_wall obj138_south_wall obj139_statue_head obj141_statue_shoes obj142_statue_suit obj143_statue_hand obj144_block obj148_table obj149_slot obj150_lever obj151_basket obj152_dent obj155_cards obj158_shelfs obj159_top_shelf obj162_keyhole obj167_cave obj168_tunnel obj169_stream obj171_mud obj173_other_side_of_stream obj175_wall obj176_pretty_picture obj178_cave obj179_grue obj182_pointy_rock obj184__watcher_ obj185_tunnel obj186_tunnel obj188_hole obj192_trunk obj195_shadow obj197_bed obj198_desk obj199_stool obj200_shelf obj202_trunk obj203_help obj204_money obj205_paint_or_dye obj206_pipe obj208_smoke obj215_gnome obj216_dress obj217_slipper obj218_hair obj219_ear obj220_nose obj236_Ghogg obj237_rar obj238_adventure obj239_genius obj240_spark obj241_time obj242_machine obj243_love obj244_mimesis obj245_singing obj246_Z_Machine obj247_flying obj248_reading obj249_threat obj250_grumbling obj251_Internet obj252_Gunther obj253_Bug obj254_Floyd obj255_golem obj256_paint_or_dye obj257_changing_color obj258_L__Ross_Raszewski obj259_ifMUD obj260_what_gnome_doing obj261_yay obj262_smile obj263_frown obj264_help obj265_color_red obj266_color_green obj267_color_blue obj268_color_orange obj269_color_yellow obj270_color_purple obj271_color_pink obj272_color_grey obj273_color_brown obj274_where obj275_maga obj276_philosopher_s_stone obj277_Fullmetal_Alchemist obj278__hermesT_ obj279_myth obj280_Hugo obj281_Inform obj282_TADS obj283_bear obj284_Zork obj285_Zarf obj286_Graham_Nelson obj287_Emily obj288_Jacqueline obj289_inky obj290_thank obj291_grue obj292_urglyburgle obj293_what_gnome_looking_for obj294_God obj295_why obj296_any_thing obj297_error obj298_secret obj299_chemistry obj300_element obj301_____ obj302_darn obj303_confusing_thing obj304_magic_word obj305_Sargent obj306_Prgukar_and_Kogluk_and_them obj307_story_contest obj308_Jota obj309_yes obj310_no obj311_sorry obj312_name obj313_Zzoborf obj315_eldritch_horror obj316_bad_breath obj317_carrying_water obj318_dent obj319_independence obj320_opportunity obj321_irony obj322_mud obj323_trap obj324_component obj325_royalty obj326_pumpkin obj327_addictive obj328_mites_and_tights obj329_stuff_on_tray obj330_glowing_plant obj331_brown_water obj332_explosion obj333_opposite obj334_language obj335_money obj336_dross obj337_economy obj338_relax obj339_exhibit obj340_text obj341_treasure obj342_digestive_tract obj343_dress obj344_gnome_clothes obj345_hair obj346_ear_and_nose obj347_bed obj348_trunk obj349_desk obj350_stool obj351_snoring obj352_tourist obj353_pointy_rock obj354_windy_tunnel obj355_crossing_stream obj356_stream obj357_bench obj358_red_thing obj359_key obj360_key obj361_pretty_picture obj362_shelf_room obj363_chest obj364_answer obj365_hobby obj366_Zobleb obj367_death_ray obj368_eight obj369_counting obj370_math obj371_cat obj372_animal obj373_thinking obj374_project obj375_talking obj376_turning_off_orb obj377_Belkar obj378_monster obj379_beholder obj380_art obj381_people obj382_philosophy obj383_pyromania obj384_deja_vu obj385_tool obj386_strange_helmet obj387_book obj388_book obj389_recipe obj390_goo obj391_helmet obj392_smoking obj393_bottle_of_black_water obj394_drawing obj395_pure obj396_material obj397_transmutation obj398_lightning obj399_writing obj400_Mogglev obj401_killing obj402_ball obj403_light obj404_looter obj405_chair obj406_history obj407_mark_on_wall obj408_metal_box obj409_table_room obj410_world obj411_picture_near_statue obj412_pole obj413_pie obj414_mark_on_block obj415_hat obj416_equinox obj417_plumber obj418_coin obj419_fountain obj420_curtain obj421_glowing_wall obj422_heat obj423_hunger obj424_fundamental_quality obj425_mark_on_paper obj426_missing_page obj427_piece_of_paper obj428_classical_alchemy obj429_tube obj430_crack obj431_entrance obj432_black_powder obj433_brick obj434_hard_work obj435_age obj436_alchemical_reagent obj437_heroes_and_villains obj438_ztorf obj439_rhetorical obj440_rust_proof_paper obj441_daffodil obj442_principles obj443_idea obj444_statue obj445_science obj446_nature obj447_flint_and_steel obj448_army obj449_color_magnet obj450_dehydrated_fire obj451_autobaker obj452_mossfuressence obj453_proof_paper obj454_thermomechanics obj455_Zugilbor_Galrogginpots_sem_Endali_dec_Frebensalbibit obj456_alchemy obj457_job obj458_quest obj459_invention obj460_alchemist obj461_how_long_gnome_here_for obj463_ground obj464_noise obj465_gate obj466_soot obj467_orc obj468_black_and_white obj469_color obj470_exit obj471_sky obj472_cave obj473_dark obj474_life obj475_goodbye obj476_air obj477_wood obj478_forest obj479_water obj480_torch obj481_pants obj482_family obj483_making_fire obj484_food obj485_food obj486_rock obj487_metal obj488_magic obj489_night obj490_sun obj491_pig obj492_farm obj493_greeting obj495_Grunk obj496_gnome obj497_this_place obj499_oink
Attribute 25	static			! Fluid Powder obj34_Powder_1 obj35_Powder_2 obj36_Powder_3 obj37_Powder_4 Water obj39_Water_1 obj40_Water_2 obj41_Water_3 obj42_Water_4 obj116_fountain obj124_curtain obj145_statue_of_gnome obj146_north_wall obj153_metal_box obj154_marks_on_wall obj161__chestPowder_ obj170__streamWater_ obj180_windy_tunnel obj181_secret_door obj207_little_bag obj209_strange_helmet obj210_little_box obj211_tray_full_of_stuff obj212_pile_of_paper obj213_bottle obj214_pen obj221_book
Attribute 26	supporter		! obj95_wall obj103_broken_stair obj139_statue_head obj148_table obj156_chair obj158_shelfs obj159_top_shelf obj172_bench obj197_bed obj198_desk obj199_stool obj200_shelf obj211_tray_full_of_stuff
Attribute 28	talkable		! obj98_noise obj154_marks_on_wall obj169_stream obj236_Ghogg obj246_Z_Machine obj251_Internet obj252_Gunther obj253_Bug obj254_Floyd obj258_L__Ross_Raszewski obj259_ifMUD obj275_maga obj277_Fullmetal_Alchemist obj280_Hugo obj281_Inform obj284_Zork obj285_Zarf obj286_Graham_Nelson obj287_Emily obj288_Jacqueline obj289_inky obj306_Prgukar_and_Kogluk_and_them obj307_story_contest obj308_Jota obj328_mites_and_tights obj351_snoring obj353_pointy_rock obj354_windy_tunnel obj356_stream obj357_bench obj358_red_thing obj360_key obj361_pretty_picture obj362_shelf_room obj366_Zobleb obj367_death_ray obj369_counting obj388_book obj391_helmet obj405_chair obj407_mark_on_wall obj408_metal_box obj409_table_room obj411_picture_near_statue obj412_pole obj413_pie obj418_coin obj419_fountain obj420_curtain obj421_glowing_wall obj427_piece_of_paper obj429_tube obj430_crack obj431_entrance obj432_black_powder obj433_brick obj465_gate obj466_soot obj471_sky obj473_dark obj478_forest obj480_torch obj481_pants obj489_night obj491_pig obj492_farm obj495_Grunk
Attribute 29	transparent		! obj20__self_object_ obj215_gnome
Attribute 32	worn			! obj91_pants
Attribute 33	male			! obj191_gnome
Attribute 35	neuter			! obj127_pig obj145_statue_of_gnome obj195_shadow
Attribute 36	pluralname		! obj91_pants obj98_noise obj106_curly_bit obj113_glowing_wall obj118_little_bit obj152_dent obj154_marks_on_wall obj155_cards obj158_shelfs obj182_pointy_rock obj195_shadow

Property 1	name:dictwords
Property 2	prop2:?
Property 4	npc_before:things
Property 5	npc_life:things
Property 6	npc_preact:things
Property 7	compass_look:things
Property 8	adj:?
Property 9	knowTopic:?
Property 10	showTopic:?
Property 11	prefix:string
Property 12	suffix:string
Property 13	obj:?
Property 14	gnomeTalk:?
Property 15	desc:?
Property 16	dimdesc:string
Property 17	before:?
Property 18	after:things
Property 19	life:things
Property 20	n_to:thing
Property 21	s_to:thing
Property 22	e_to:thing
Property 23	w_to:thing
Property 24	ne_to:thing
Property 25	nw_to:thing
Property 26	se_to:?
Property 27	sw_to:thing
Property 28	u_to:?
Property 29	d_to:string
Property 32	door_to:thing
Property 33	with_key:?
Property 34	door_dir:?
Property 35	invent:?
Property 36	plural:string
Property 37	add_to_scope:?
Property 39	react_before:?
Property 42	orders:things
Property 43	initial:thing
Property 44	when_open:string
Property 45	when_closed:string
Property 48	description:?
Property 49	describe:string
Property 50	article:string
Property 51	cant_go:string
Property 52	found_in:things
Property 53	time_left:?
Property 54	number:?
Property 55	time_out:string
Property 56	daemon:thing
Property 57	each_turn:?
Property 58	capacity:?
Property 59	short_name:?
Property 61	parse_name:?
Property 64	create:thing
Property 66	destroy:thing
Property 72	cName:routine
Property 73	before_implicit:dictword
Property 74	parse_input:routine
Property 75	play:routine
Property 76	end_turn_sequence:routine
Property 77	begin_action:routine
Property 78	RunAll:routine
Property 79	RunUntil:routine
Property 80	RunWhile:routine
Property 81	ext_initialise:?
Property 82	ext_messages:?
Property 83	emblazon:routine
Property 84	select:?
Property 85	isBright:routine
Property 86	exits:?
Property 87	local:?
Property 88	cLocal:thing
Property 89	lName:string
Property 90	burntDesc:thing
Property 91	burningDesc:thing
Property 92	getClass:routine
Property 93	npc_react:?
Property 94	npc_daemon:thing
Property 95	refreshTopics:thing
Property 96	listTopics:routine
Property 97	target:?
Property 98	plurals:dictword
Property 99	split_brick:string
Property 100	consume_brick:string
Property 101	prime:string
Property 102	confirm:string
Property 103	laugh:string
Property 104	invy:string
Property 105	misc:?
Property 106	topicHolder:?
Property 107	sing_count:?
Property 108	identify:string
Property 109	contents_redirect:?
Property 110	unburntDesc:string
Property 111	wetDesc:string
Property 112	check_nearby:string
Property 113	do_sing:string
Property 114	bites_left:string
Property 115	near_brick:string
Property 116	depart:string
Property 117	reveal:string
Property 118	open_secret:string
Property 119	new_brick:string
Property 120	dispense:string
Property 121	commonDesc:string
Property 122	isVisible:string
Property 123	seen:string
Property 124	name1:string
Property 125	name2:string
Property 126	desc1:string
Property 127	desc2:string
Property 128	desc3:string
Property 129	follow_gnome:string
Property 130	before_msg:string
Property 131	escape:string
Property 132	populate:string
Property 133	wakeGnome:string
Property 134	open_name:dictwords
Property 135	open_adj:dictwords
Property 136	owns:string
Property 137	free:string
Property 138	activity:?
Property 139	change:string
Property 140	pantsy:?
Property 141	pipeAct:string
Property 142	capAct:string
Property 143	trayAct:string
Property 144	bookAct:string
Property 145	writeAct:string
Property 146	suffice:string
Property 147	Ask:dictwords
Property 148	showHint:string

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Look		! 'l//'/'look'
Action 1	Answer		! 'answer' topic 'to' creature
				! 'say'/'speak' topic 'to' creature
				! 'shout' topic 'at'/'to' creature
				!  topic 'to' creature
Action 3	Attack		! 'beat'/'kick'/'poke'/'prod'/'slap'/'spank' noun
				! 'beat'/'kick'/'poke'/'prod'/'slap'/'spank' noun 'with' scope=routine161808
				! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'murder'/'punch'/'smash'/'thump'/'wreck' noun
				! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'murder'/'punch'/'smash'/'thump'/'wreck' noun 'with' scope=routine161808
Action 4	Blow		! 'huff'/'puff' 'at' noun
				! 'huff'/'puff' 'and' 'puff' 'at' noun
				! 'blow' 'on'/'at'/'in' noun
				! 'blow' noun
Action 5	Burn		! 'cook' noun
				! 'cook' noun 'with' scope=routine161968
				! 'cook' scope=routine161968 'with' noun
				! 'cook' noun 'with' held
				! 'cook' held 'with' noun
				! 'adjust'/'set' noun 'on' 'fire'
				! 'adjust'/'set' noun 'on' 'fire' 'with'/'using' scope=routine161968
				! 'adjust'/'set' scope=routine161968 'on' 'fire' 'with'/'using' noun
				! 'adjust'/'set' noun 'on' 'fire' 'with'/'using' held
				! 'adjust'/'set' held 'on' 'fire' 'with'/'using' noun
				! 'burn'/'light' noun
				! 'burn'/'light' noun 'with' scope=routine161968
				! 'burn'/'light' scope=routine161968 'with' noun
				! 'burn'/'light' noun 'with' held
				! 'burn'/'light' held 'with' noun
				! 'burn'/'light' noun
				! 'burn'/'light' noun 'on' 'fire'
				! 'burn'/'light' noun 'with'/'using' scope=routine161968
				! 'burn'/'light' scope=routine161968 'with'/'using' noun
				! 'burn'/'light' noun 'with'/'using' held
				! 'burn'/'light' held 'with'/'using' noun
				! 'burn'/'light' noun 'on' 'fire' 'with'/'using' scope=routine161968
				! 'burn'/'light' scope=routine161968 'on' 'fire' 'with'/'using' noun
				! 'burn'/'light' noun 'on' 'fire' 'with'/'using' held
				! 'burn'/'light' held 'on' 'fire' 'with'/'using' noun
Action 6	Buy		! 'buy'/'purchase' noun
Action 7	Climb		! 'climb'/'scale' noun
				! 'climb'/'scale' 'up'/'over' noun
Action 8	Close		! 'close'/'cover'/'shut' noun
				! 'close'/'cover'/'shut' 'up' noun
Action 9	CommandsOff	! 'recording' 'off'
Action 10	CommandsOn	! 'recording'
				! 'recording' 'on'
Action 11	CommandsRead	! 'replay'
Action 12	Consult		! 'l//'/'look' 'up' topic 'in' noun
				! 'consult' noun 'about' topic
				! 'consult' noun 'on' topic
Action 13	Cut		! 'chop'/'cut'/'prune'/'slice' noun
Action 14	Dig		! 'dig'
Action 15	Disrobe		! 'take' 'off' worn
				! 'take' worn 'off'
				!  'off' worn
				!  worn 'off'
				! 'disrobe'/'doff'/'shed' held
				! 'remove' held
Action 16	Drink		! 'drink'/'sip' 'from' noun
				! 'drink'/'sip' noun
Action 17	Drop		! 'put' 'down' multiheld
				! 'put' multiheld 'down'
				! 'discard'/'drop' multiheld
Action 18	Eat		! 'bite' scope=routine161584
				! 'bite' held
				! 'chew'/'lick' scope=routine161584
				! 'chew'/'lick' held
				! 'taste' scope=routine161584
				! 'taste' held
				! 'eat' scope=routine161584
				! 'eat' held
Action 20	Enter		! 'get' 'in'/'into'/'on'/'onto' noun
				! 'step' 'in'/'into' noun
				! 'stand' 'in' noun
				! 'lie'/'sit' 'on' 'top' 'of' noun
				! 'lie'/'sit' 'on'/'in'/'inside' noun
				! 'leave' 'into'/'in'/'inside'/'through' noun
				! 'go'/'run'/'walk' noun
				! 'go'/'run'/'walk' 'into'/'in'/'inside'/'through' noun
				!  'in'/'into'/'on'/'onto' noun
				! 'enter' noun
				! 'climb'/'scale' 'into'/'in'/'inside' noun
Action 21	Examine		! 'l//'/'look' 'at' noun
				! 'l//'/'look' noun=routine167784
				! 'l//'/'look' 'to' noun=routine167784
				! 'check'/'describe'/'examine'/'watch'/'x//' noun
Action 22	Exit		! 'get' 'down'
				! 'get' 'out'/'off'/'up'
				! 'leave' noun
				!  'out'/'off'/'up'
				! 'exit'/'out'/'outside'
				! 'exit'/'out'/'outside' noun
Action 23	Fill		! 'scoop' noun 'with'/'into' noun
				! 'scoop' 'up' noun 'with'/'into' noun
				! 'scoop' noun 'up' 'with'/'into' noun
				! 'pour' noun 'into'/'in' noun
				! 'pour' 'out' noun 'into'/'in' noun
				! 'transfer' noun 'to' noun
				! 'fill' noun
				! 'fill' noun 'from'/'with' noun
				! 'empty' noun 'to'/'in'/'into' noun
				! 'empty' noun 'on'/'onto' noun
Action 24	FullScore	! 'full'/'fullscore'
				! 'full'/'fullscore' 'score'
Action 25	GetOff		! 'get' 'off' noun
				!  'off' noun
Action 26	Give		! 'feed' creature held
				! 'feed' creature scope=routine161752
				! 'feed' held 'to' creature
				! 'feed' scope=routine161752 'to' creature
				! 'give'/'offer'/'pay' scope=routine161752 'to' creature
				! 'give'/'offer'/'pay' creature scope=routine161752
				! 'give'/'offer'/'pay' 'over' scope=routine161752 'to' creature
				! 'give'/'offer'/'pay' held 'to' creature
				! 'give'/'offer'/'pay' creature held
				! 'give'/'offer'/'pay' 'over' held 'to' creature
Action 27	Go		! 'leave' noun=routine167784
				! 'go'/'run'/'walk' noun=routine167784
Action 28	Insert		! 'dip'/'dunk' held 'in'/'inside'/'into' noun
				! 'toss' multiexcept 'in'/'inside'/'into' noun
				! 'throw' multiexcept 'in'/'inside'/'into' noun
				! 'stick' multiexcept 'in'/'inside'/'into' noun
				! 'reach' 'into'/'in' noun 'with' held
				! 'reach' held 'in'/'into' noun
				! 'feel'/'fondle'/'grope'/'touch' 'in'/'inside' noun 'with' held
				! 'put' multiexcept 'in'/'inside'/'into' noun
				! 'insert' multiexcept 'in'/'into' noun
				! 'discard'/'drop' multiexcept 'in'/'into'/'down' noun
Action 29	Inv		! 'i//'
				! 'take' 'inventory'
				!  'inventory'
				! 'inv'/'inventory'
Action 30	Jump		! 'hop'/'jump'/'skip'
Action 31	JumpOver	! 'vault' noun
				! 'vault' noun 'with' held
				! 'vault' 'over' noun
				! 'vault' 'over' noun 'with' held
				! 'cross' noun
				! 'hop'/'jump'/'skip' 'over' noun
				! 'hop'/'jump'/'skip' noun
Action 32	Tie		! 'attach'/'fasten'/'tie' noun
				! 'attach'/'fasten'/'tie' noun 'to' noun
Action 33	Kiss		! 'molest' creature
				! 'embrace'/'hug'/'kiss' creature
Action 34	Listen		! 'hear'/'listen'
				! 'hear'/'listen' noun
				! 'hear'/'listen' 'to' noun
				! 'hear'/'listen' 'for' noun
Action 36	LMode2		! 'short'/'superbrie'
				! 'long'/'verbose'
				! 'brief'/'normal'
Action 38	Lock		! 'lock' noun 'with' held
Action 39	LookUnder	! 'l//'/'look' 'under' noun
Action 40	Mild		! 'dross'
				! 'dummy'/'idiot'/'stupid' topic
				! 'bother'/'curses'/'darn'/'drat'
				! 'bother'/'curses'/'darn'/'drat' topic
Action 41	No		! 'nah'/'never'/'nope'
				! 'no'
Action 42	Yes		! 'nod'/'ok'/'sure'/'yeah'/'yup'
				! 'y//'/'yes'
Action 43	NotifyOff	! 'notify' 'off'
Action 44	NotifyOn	! 'notify'
				! 'notify' 'on'
Action 45	Objects		! 'objects'
Action 46	Open		! 'open'/'uncover'/'undo'/'unwrap' noun
Action 47	Places		! 'places'
Action 48	Pray		! 'pray'
Action 49	Pronouns	! 'nouns'/'pronouns'
Action 50	Pull		! 'drag'/'pull' noun
Action 51	Push		! 'nudge'/'straighte' noun
				! 'clear'/'move'/'press'/'push'/'shift' noun
Action 52	Turn		! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun
Action 53	PushDir		! 'clear'/'move'/'press'/'push'/'shift' noun noun
Action 54	PutOn		! 'stick' multiexcept 'on'/'onto' noun
				! 'stick' held 'over'/'across' noun
				! 'put' multiexcept 'on'/'onto' noun
				! 'put' held 'over'/'across' noun
				! 'discard'/'drop' multiexcept 'on'/'onto' noun
Action 55	Quit		! 'die'/'q//'/'quit'
Action 56	Remove		! 'get' multiinside 'from' noun
				! 'catch'/'grab'/'pin'/'steal'/'swipe'/'trap' multiinside 'from' noun
				! 'catch'/'grab'/'pin'/'steal'/'swipe'/'trap' multiinside 'off' noun
				! 'take' multiinside 'from' noun
				! 'take' multiinside 'off' 'of' noun
				! 'take' multiinside 'off' noun
				!  multiinside 'from' noun
				!  multiinside 'off' 'of' noun
				!  multiinside 'off' noun
				! 'remove' multiinside 'from' noun
				!  multiinside 'from' noun
Action 57	Restart		! 'restart'
Action 58	Restore		! 'restore'
Action 59	Rub		! 'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' noun
Action 60	Save		! 'save'
Action 61	Score		! 'score'
Action 62	ScriptOff	! 'noscript'/'unscript'
				! 'script'/'transcrip' 'off'
Action 63	ScriptOn	! 'script'/'transcrip'
				! 'script'/'transcrip' 'on'
Action 64	Search		! 'search' noun
				! 'l//'/'look' 'inside'/'in'/'into'/'through'/'on' noun
Action 65	Set		! 'adjust'/'set' noun
Action 66	SetTo		! 'adjust'/'set' noun 'to' special
Action 67	Show		! 'display'/'present'/'show' creature scope=routine161752
				! 'display'/'present'/'show' scope=routine161752 'to' creature
				! 'display'/'present'/'show' creature held
				! 'display'/'present'/'show' held 'to' creature
Action 68	Sing		! 'la'/'lalala'
				! 'la'/'lalala' 'la'
				! 'la'/'lalala' 'la' 'la'
				! 'torture' creature
				! 'sing'
				! 'sing' 'at'/'to' noun
Action 69	Sleep		! 'snooze'
				! 'nap'/'sleep'
Action 70	Smell		! 'snort' noun
				! 'smell'/'sniff'
				! 'smell'/'sniff' noun
Action 71	Sorry		! 'apologise'/'apologize' 'to' creature
				! 'sorry'
Action 72	Squeeze		! 'wring' noun
				! 'wring' 'out' noun
				! 'wring' noun 'out'
				! 'wring' noun 'over'/'into' noun
				! 'wring' noun 'out' 'over'/'into' noun
				! 'squidge'/'squish' noun
				! 'squidge'/'squish' noun 'over'/'into' noun
				! 'squash'/'squeeze' noun
				! 'squash'/'squeeze' 'out' noun
				! 'squash'/'squeeze' noun 'out'
				! 'squash'/'squeeze' noun 'over'/'into' noun
				! 'squash'/'squeeze' noun 'out' 'over'/'into' noun
Action 73	Strong		! 'curse'
				! 'curse' topic
				! 'dummy'/'idiot'/'stupid'
				! 'dummy'/'idiot'/'stupid' creature
				! 'damn'/'fuck'/'shit'/'sod'
				! 'damn'/'fuck'/'shit'/'sod' topic
Action 74	Swim		! 'have' 'bath'
				! 'have' 'a//' 'bath'
				! 'take' 'bath'
				! 'take' 'a//' 'bath'
				! 'bathe'
				! 'dive'/'swim'
				! 'dive'/'swim' 'in' noun
				! 'dive'/'swim' noun
Action 75	Swing		! 'wave' held
				! 'swing' held
Action 76	SwitchOff	! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'off'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'off' noun
				! 'switch' noun 'off'
				! 'switch' 'off' noun
				! 'close'/'cover'/'shut' 'off' noun
Action 77	SwitchOn	! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'on'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'on' noun
				! 'switch' noun
				! 'switch' noun 'on'
				! 'switch' 'on' noun
Action 78	Take		! 'waylay' creature
				! 'wrestle' creature
				! 'wrestle' 'with' creature
				! 'get' multi
				! 'get' noun 'with' scope=routine161808
				! 'get' noun 'in' scope=routine161808
				! 'catch'/'grab'/'pin'/'steal'/'swipe'/'trap' multi
				! 'catch'/'grab'/'pin'/'steal'/'swipe'/'trap' noun 'with' scope=routine161808
				! 'take' multi
				! 'take' noun 'with' scope=routine161808
				! 'take' noun 'in' scope=routine161808
				! 'scoop' noun
				! 'scoop' 'up' noun
				!  multi
				!  noun 'with' scope=routine161808
