! Auto-generated by Reform.

MD5	c632204be3849d6c5bb6f4eb5aca3cc0
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Pronouns	! 'nouns'/'pronouns'
Action 1	Quit		! 'die'/'q//'/'quit'
Action 2	Restart		! 'restart'
Action 3	Restore		! 'restore'
Action 4	Save		! 'save'
Action 5	Verify		! 'verify'
Action 6	ScriptOn	! 'script'/'transcrip'
				! 'script'/'transcrip' 'on'
Action 7	ScriptOff	! 'noscript'/'unscript'
				! 'script'/'transcrip' 'off'
Action 8	NotifyOn	! 'notify' 'on'
Action 9	NotifyOff	! 'notify' 'off'
Action 10	Places		! 'places'
Action 11	Objects		! 'objects'
Action 12	Score		! 'score'
Action 13	FullScore	! 'full'/'fullscore'
				! 'full'/'fullscore' 'score'
Action 14	Inv		! 'i//'/'inv'/'inventory'
				! 'carry'/'hold'/'take' 'inventory'
Action 15	Take		! 'peel' noun
				! 'peel' 'off' noun
				! 'remove' multi
				! 'pick' 'up' multi
				! 'pick' multi 'up'
				! 'get' multi
				! 'carry'/'hold'/'take' multi
Action 16	Drop		! 'discard'/'drop' multiheld
				! 'put' 'down' multiheld
				! 'put' multiheld 'down'
Action 17	Remove		! 'remove' multiinside 'from' noun
				! 'get' multiinside 'from' noun
				! 'carry'/'hold'/'take' multiinside 'from' noun
				! 'carry'/'hold'/'take' multiinside 'off' noun
Action 18	PutOn		! 'throw' multiexcept 'on'/'onto' noun
				! 'discard'/'drop' multiexcept 'on'/'onto' noun
				! 'put' multiexcept 'on'/'onto' noun
Action 19	Insert		! 'link' noun 'with' held
				! 'throw' multiexcept 'in'/'into'/'down' noun
				! 'drag'/'pull' noun 'with' held
				! 'discard'/'drop' multiexcept 'in'/'into'/'down' noun
				! 'insert' multiexcept 'in'/'into' noun
				! 'put' multiexcept 'in'/'inside'/'into' noun
				! 'carry'/'hold'/'take' multiexcept 'in' noun
Action 20	EmptyT		! 'empty' noun 'to'/'into'/'on'/'onto' noun
Action 21	Give		! 'feed'/'give'/'offer'/'pay' held 'to' creature
				! 'feed'/'give'/'offer'/'pay' creature held
				! 'feed'/'give'/'offer'/'pay' 'over' held 'to' creature
Action 22	Show		! 'display'/'present'/'show' creature held
				! 'display'/'present'/'show' held 'to' creature
Action 23	Enter		! 'lie'/'sit' 'on' 'top' 'of' noun
				! 'lie'/'sit' 'on'/'in'/'inside' noun
				! 'cross'/'enter' noun
				! 'leave' 'into'/'in'/'inside'/'through' noun
				! 'go'/'run'/'walk' noun
				! 'go'/'run'/'walk' 'into'/'in'/'inside'/'through' noun
				! 'stand' 'on' noun
				! 'get' 'in'/'into'/'on'/'onto' noun
Action 24	GetOff		! 'get' 'off' noun
Action 25	Exit		! 'exit'/'out'/'outside'
				! 'leave' noun
				! 'stand'
				! 'stand' 'up'
				! 'get' 'out'/'off'/'up'
Action 26	VagueGo		! 'leave'
				! 'go'/'run'/'walk'
Action 27	Go		! 'leave' noun=routine73512
				! 'go'/'run'/'walk' noun=routine73512
Action 28	LMode1		! 'brief'/'normal'
Action 29	LMode2		! 'long'/'verbose'
Action 30	LMode3		! 'short'/'superbrie'
Action 31	Look		! 'l//'/'look'
Action 32	Examine		! 'read' noun
				! 'check'/'describe'/'examine'/'study'/'watch'/'x//' noun
				! 'l//'/'look' 'at' noun
Action 33	LookUnder	! 'l//'/'look' 'under' noun
Action 34	Search		! 'search' noun
				! 'l//'/'look' 'inside'/'in'/'into'/'through' noun
Action 35	Unlock		! 'unlock' noun 'with' held
				! 'open'/'uncover'/'undo'/'unwrap' noun 'with' held
Action 36	Lock		! 'lock' noun 'with' held
Action 37	SwitchOn	! 'switch' noun
				! 'switch' noun 'on'
				! 'switch' 'on' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'on'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'on' noun
Action 38	SwitchOff	! 'switch' noun 'off'
				! 'switch' 'off' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'off'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'off' noun
				! 'close'/'cover'/'shut' 'off' noun
Action 39	Open		! 'open'/'uncover'/'undo'/'unwrap' noun
Action 40	Close		! 'close'/'cover'/'shut' noun
				! 'close'/'cover'/'shut' 'up' noun
Action 41	Disrobe		! 'disrobe'/'doff'/'shed' held
				! 'remove' held
				! 'carry'/'hold'/'take' 'off' worn
Action 42	Wear		! 'put' 'on' held
				! 'don'/'wear' held
Action 43	Eat		! 'eat' held
Action 44	Yes		! 'y//'/'yes'
Action 45	No		! 'no'
Action 46	Burn		! 'burn'/'light' noun
				! 'burn'/'light' noun 'with' held
Action 47	Pray		! 'pray'
Action 48	Wake		! 'awake'/'awaken'/'wake'
				! 'awake'/'awaken'/'wake' 'up'
Action 49	WakeOther	! 'awake'/'awaken'/'wake' creature
				! 'awake'/'awaken'/'wake' creature 'up'
				! 'awake'/'awaken'/'wake' 'up' creature
Action 50	Kiss		! 'embrace'/'hug'/'kiss' creature
Action 51	Think		! 'think'
Action 52	Smell		! 'smell'/'sniff'
				! 'smell'/'sniff' noun
Action 53	Listen		! 'hear'/'listen'
				! 'hear'/'listen' noun
				! 'hear'/'listen' 'to' noun
Action 54	Taste		! 'taste' noun
Action 55	Touch		! 'feel'/'fondle'/'grope'/'touch' noun
Action 56	Dig		! 'dig' noun
				! 'dig' noun 'with' held
Action 57	Cut		! 'chop'/'cut'/'prune'/'slice' noun
Action 58	Jump		! 'hop'/'jump'/'skip'
Action 59	JumpOver	! 'hop'/'jump'/'skip' 'over' noun
Action 60	Tie		! 'attach'/'fasten'/'fix'/'tie' noun
				! 'attach'/'fasten'/'fix'/'tie' noun 'to' noun
				! 'attach'/'fasten'/'fix'/'tie' noun 'with' noun
Action 61	Drink		! 'drink'/'sip'/'swallow' noun
Action 62	Fill		! 'fill' noun
Action 63	Sorry		! 'sorry'
Action 64	Strong		! 'damn'/'fuck'/'shit'/'sod'
				! 'damn'/'fuck'/'shit'/'sod' topic
Action 65	Mild		! 'bother'/'curses'/'darn'/'drat'
				! 'bother'/'curses'/'darn'/'drat' topic
Action 66	Attack		! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'kill'/'murder'/'punch'/'smash'/'thump'/'torture'/'wreck' noun
Action 67	Swim		! 'dive'/'swim'
Action 68	Swing		! 'swing' noun
				! 'swing' 'on' noun
Action 69	Blow		! 'blow' held
Action 70	Rub		! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' noun
Action 71	Set		! 'adjust'/'set' noun
Action 72	SetTo		! 'adjust'/'set' noun 'to' special
Action 73	WaveHands	! 'wave'
Action 74	Wave		! 'wave' noun
Action 75	Pull		! 'clear'/'move'/'press'/'push'/'shift' noun 'together'
				! 'drag'/'pull' noun
				! 'drag'/'pull' noun 'together'
Action 76	Push		! 'clear'/'move'/'press'/'push'/'shift' noun
Action 77	Turn		! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun
Action 78	PushDir		! 'clear'/'move'/'press'/'push'/'shift' noun noun
Action 79	Squeeze		! 'squash'/'squeeze' noun
Action 80	ThrowAt		! 'throw' held 'at'/'against'/'on'/'onto' noun
				! 'discard'/'drop' held 'at'/'against'/'on'/'onto' noun
Action 81	Tell		! 'tell' creature 'about' topic
Action 82	Answer		! 'answer'/'say'/'shout'/'speak' topic 'to' creature
Action 83	Ask		! 'ask' creature 'about' topic
Action 84	Buy		! 'buy'/'purchase' noun
Action 85	Sing		! 'sing'
Action 86	Climb		! 'climb'/'scale' noun
				! 'climb'/'scale' 'up'/'over' noun
Action 87	Wait		! 'wait'/'z//'
Action 88	Sleep		! 'nap'/'sleep'
Action 89	Consult		! 'read' 'about' topic 'in' noun
				! 'read' topic 'in' noun
				! 'consult' noun 'about' topic
				! 'consult' noun 'on' topic
				! 'l//'/'look' 'up' topic 'in' noun
Action 90	AskFor		! 'ask' creature 'for' noun
Action 93	Transfer	! 'clear'/'move'/'press'/'push'/'shift' noun 'to' noun
				! 'transfer' noun 'to' noun
Action 94	Version		! 'version'
Action 95	Empty		! 'empty' noun
				! 'empty' 'out' noun
				! 'empty' noun 'out'
Action 96	InvTall		! 'i//'/'inv'/'inventory' 'tall'
Action 97	InvWide		! 'i//'/'inv'/'inventory' 'wide'
Action 98	GoIn		! 'in'/'inside'
				! 'cross'/'enter'
Action 99	HelpOff		! 'clue'/'clues'/'help'/'hint'/'hints' 'off'
Action 100	Help		! 'clue'/'clues'/'help'/'hint'/'hints'
Action 101	Talk		! 't//'
				! 'talk'
				! 'answer'/'say'/'shout'/'speak'
Action 102	Activate	! 'activate'/'trigger' noun
Action 103	Deactivate	! 'deactivat' noun
Action 104	win		! 'lose'/'win'
Action 105	Frown		! 'frown'/'glare'
				! 'frown'/'glare' 'at' creature
Action 106	Nod		! 'nod'
				! 'nod' 'at' creature
				! 'nod' 'to' creature
Action 107	Wink		! 'wink'
				! 'wink' 'at' creature
Action 108	Smile		! 'grin'/'smile'/'smirk'
				! 'grin'/'smile'/'smirk' 'at' creature
Action 109	Laugh		! 'cackle'/'chuckle'/'giggle'/'laugh'/'snicker'
				! 'cackle'/'chuckle'/'giggle'/'laugh'/'snicker' 'at' creature
Action 110	Hello		! 'hello'
Action 111	Shoot		! 'fire'/'shoot' noun
Action 112	ShootAt		! 'aim' held 'at' noun
				! 'fire'/'shoot' noun 'with' held
				! 'fire'/'shoot' held 'at' noun
Action 113	Throw		! 'throw' multiheld
Action 114	Probe		! 'probe' noun
Action 115	Cuff		! 'cuff'/'handcuff' noun
Action 116	TouchTo		! 'feel'/'fondle'/'grope'/'touch' held 'to' noun
				! 'feel'/'fondle'/'grope'/'touch' noun 'with' held
				! 'carry'/'hold'/'take' held 'near' noun
Action 117	ProbeWith	! 'probe' noun 'with' held
Action 119	AnswerSomeone	! 'r//' creature
				! 'r//' 'to' creature
				! 'reply'/'respond' 'to' creature
				! 'answer'/'say'/'shout'/'speak' creature
Action 120	TalkTo		! 't//' creature
				! 't//' 'to' creature
				! 'talk' 'to' creature
				! 'answer'/'say'/'shout'/'speak' 'to' creature
Action 121	AnswerGeneral	! 'r//'
				! 'reply'/'respond'
				! 'answer'/'say'/'shout'/'speak'
Action 122	StandNear	! 'approach' noun
				! 'clear'/'move'/'press'/'push'/'shift' 'by' noun
				! 'clear'/'move'/'press'/'push'/'shift' 'near' noun
				! 'clear'/'move'/'press'/'push'/'shift' 'close' 'to' noun
				! 'clear'/'move'/'press'/'push'/'shift' 'closer' 'to' noun
				! 'clear'/'move'/'press'/'push'/'shift' 'next' 'to' noun
				! 'stand' 'by' noun
				! 'stand' 'with' noun
				! 'stand' 'near' noun
				! 'stand' 'close' 'to' noun
				! 'stand' 'closer' 'to' noun
				! 'stand' 'next' 'to' noun
Action 123	PointAt		! 'point' 'at' noun
Action 124	PointThing	! 'point' held 'at' noun
Action 125	About		! 'about'

Word	calibrate	calibrate
Word	calibrati	calibrati
Word	cheryl's	cheryl's
Word	component	component
Word	containme	containme
Word	deactivat	deactivat
Word	electroma	electroma
Word	electropu	electropu
Word	elliptica	elliptica
Word	everythin	everythin
Word	forcefiel	forcefiel
Word	fullscore	fullscore
Word	generator	generator
Word	handcuffs	handcuffs
Word	iconograp	iconograp
Word	indeciphe	indeciphe
Word	indicator	indicator
Word	informati	informati
Word	installat	installat
Word	inventory	inventory
Word	northeast	northeast
Word	northwest	northwest
Word	parallele	parallele
Word	recalibra	recalibra
Word	rectangul	rectangul
Word	seventeen	seventeen
Word	southeast	southeast
Word	southwest	southwest
Word	superbrie	superbrie
Word	transcrip	transcrip
Word	viewscree	viewscree

Routine 0xa0d8	routine41176:?
Routine 0xa0e0	routine41184:?
Routine 0xa0ec	routine41196:?
Routine 0xa0f0	routine41200:?
Routine 0xa114	routine41236:?
Routine 0xa1b4	routine41396:?
Routine 0xa38c	routine41868:?
Routine 0xa3c4	routine41924:?
Routine 0xa400	routine41984:?
Routine 0xa430	routine42032:?
Routine 0xa460	routine42080:?
Routine 0xa474	routine42100:?
Routine 0xa4a8	routine42152:?
Routine 0xa4e4	routine42212:?
! References: obj19__darkness_object_.description
Routine 0xc240	routine49728:?
! References: obj20__self_object_.short_name
Routine 0xc24c	routine49740:?
! References: obj20__self_object_.description
Routine 0xc258	routine49752:?
Routine 0xc264	routine49764:?
Routine 0xc284	routine49796:?
Routine 0xc310	routine49936:?
! References: obj21__Inform_Parser_.parse_input
Routine 0xc324	routine49956:?
Routine 0xc32c	routine49964:?
Routine 0xc33c	routine49980:?
Routine 0xc510	routine50448:?
Routine 0xccfc	routine52476:?
Routine 0xcd30	routine52528:?
Routine 0xcd4c	routine52556:?
Routine 0xce94	routine52884:?
Routine 0xceac	routine52908:?
Routine 0xcefc	routine52988:?
Routine 0xcf20	routine53024:?
Routine 0xd2dc	routine53980:?
Routine 0xd7a0	routine55200:?
Routine 0xda54	routine55892:?
Routine 0xdb30	routine56112:?
Routine 0xdca0	routine56480:?
Routine 0xdcec	routine56556:?
Routine 0xdd28	routine56616:?
Routine 0xde1c	routine56860:?
Routine 0xde94	routine56980:?
Routine 0xdee4	routine57060:?
Routine 0xdf18	routine57112:?
Routine 0xdf68	routine57192:?
Routine 0xdf90	routine57232:?
Routine 0xdfac	routine57260:?
Routine 0xdfdc	routine57308:?
Routine 0xe078	routine57464:?
Routine 0xe08c	routine57484:?
Routine 0xe0a8	routine57512:?
Routine 0xe12c	routine57644:?
Routine 0xe15c	routine57692:?
Routine 0xe244	routine57924:?
Routine 0xe268	routine57960:?
Routine 0xe2b4	routine58036:?
Routine 0xe3d8	routine58328:?
Routine 0xe430	routine58416:?
Routine 0xe45c	routine58460:?
Routine 0xe48c	routine58508:?
Routine 0xe4d4	routine58580:?
Routine 0xe50c	routine58636:?
Routine 0xe524	routine58660:?
Routine 0xe53c	routine58684:?
Routine 0xe548	routine58696:?
Routine 0xe644	routine58948:?
Routine 0xe64c	routine58956:?
Routine 0xe694	routine59028:?
Routine 0xe6a8	routine59048:?
Routine 0xe6bc	routine59068:?
Routine 0xe6d8	routine59096:?
Routine 0xe72c	PronounsSub:?
Routine 0xe7d8	routine59352:?
Routine 0xe80c	routine59404:?
Routine 0xe83c	routine59452:?
Routine 0xe844	routine59460:?
Routine 0xe870	routine59504:?
! References: obj22__Inform_Library_.play
Routine 0xe8d8	routine59608:?
! References: obj22__Inform_Library_.end_turn_sequence
Routine 0xec14	routine60436:?
! References: obj22__Inform_Library_.begin_action
Routine 0xeccc	routine60620:?
Routine 0xed00	routine60672:?
Routine 0xed0c	routine60684:?
Routine 0xedb4	routine60852:?
Routine 0xedd4	routine60884:?
Routine 0xee00	routine60928:?
Routine 0xee48	routine61000:?
Routine 0xee84	routine61060:?
Routine 0xeecc	routine61132:?
Routine 0xef08	routine61192:?
Routine 0xef14	routine61204:?
Routine 0xef38	routine61240:?
Routine 0xef98	routine61336:?
Routine 0xefb8	routine61368:?
Routine 0xefdc	routine61404:?
Routine 0xefec	routine61420:?
Routine 0xf048	routine61512:?
Routine 0xf080	routine61568:?
Routine 0xf0d0	routine61648:?
Routine 0xf0f8	routine61688:?
Routine 0xf114	routine61716:?
Routine 0xf128	routine61736:?
Routine 0xf144	routine61764:?
Routine 0xf18c	routine61836:?
Routine 0xf1e0	routine61920:?
Routine 0xf210	routine61968:?
Routine 0xf2ac	routine62124:?
Routine 0xf320	routine62240:?
Routine 0xf3e0	routine62432:?
Routine 0xf478	routine62584:?
Routine 0xf4b8	routine62648:?
Routine 0xf4dc	routine62684:?
Routine 0xf500	routine62720:?
Routine 0xf514	routine62740:?
Routine 0xf51c	routine62748:?
Routine 0xf54c	routine62796:?
Routine 0xf568	routine62824:?
Routine 0xf598	routine62872:?
Routine 0xf678	routine63096:?
Routine 0xf738	routine63288:?
Routine 0xf8b4	EnterSub:?
Routine 0xf9a8	LookUnderSub:?
Routine 0xf9cc	BurnSub:?
Routine 0xf9f0	SmellSub:?
Routine 0xfa08	TasteSub:?
Routine 0xfa30	DigSub:?
Routine 0xfa58	CutSub:?
Routine 0xfa80	JumpOverSub:?
Routine 0xfa98	routine64152:?
Routine 0xfac0	BlowSub:?
Routine 0xfad8	RubSub:?
Routine 0xfb00	TouchSub:?
Routine 0xfb3c	PullSub:?
Routine 0xfb84	PushSub:?
Routine 0xfbcc	TurnSub:?
Routine 0xfc14	SqueezeSub:?
Routine 0xfc44	AttackSub:?
Routine 0xfc74	KissSub:?
Routine 0xfcac	routine64684:?
Routine 0xfd34	routine64820:?
Routine 0xfd84	routine64900:?
Routine 0xfd90	routine64912:?
Routine 0xfda0	routine64928:?
Routine 0xfe34	routine65076:?
Routine 0xfe38	routine65080:?
Routine 0xfe5c	PlacesSub:?
Routine 0xfe64	ObjectsSub:?
Routine 0xfe6c	VersionSub:?
Routine 0xfef4	routine65268:?
Routine 0xff20	routine65312:?
Routine 0xff64	routine65380:?
Routine 0xff84	routine65412:?
Routine 0xffd8	routine65496:?
Routine 0x10028	routine65576:?
Routine 0x10094	routine65684:?
Routine 0x100ac	routine65708:?
Routine 0x100d4	routine65748:?
Routine 0x10724	routine67364:?
Routine 0x10780	routine67456:?
Routine 0x10a34	routine68148:?
Routine 0x10ab8	routine68280:?
Routine 0x10af4	routine68340:?
Routine 0x10b04	routine68356:?
