! Auto-generated by Reform.

MD5	33dcc5085acb290d1817e07653c13480
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Action0		! 'score'
Action 1	Action1		! 'full'/'fullscore'
				! 'full'/'fullscore' 'score'
				! 'full'/'fullscore' 'score'
Action 2	Action2		! 'die'/'q//'/'quit'
Action 3	Action3		! 'restore'
Action 4	Action4		! 'restart'
Action 5	Action5		! 'verify'
Action 6	Action6		! 'save'
Action 7	Action7		! 'script'
				! 'script' 'on'
Action 8	Action8		! 'noscript'/'unscript'
				! 'script' 'off'
Action 9	Action9		! 'short'/'superbrie'
Action 10	Action10	! 'long'/'verbose'
Action 11	Action11	! 'brief'/'normal'
Action 12	Action12	! 'nouns'/'pronouns'
Action 13	Action13	! 'notify' 'on'
Action 14	Action14	! 'notify' 'off'
Action 15	Action15	! 'credits'
				! 'version'
Action 16	Action16	! 'places'
Action 17	Action17	! 'objects'
Action 18	Action18	! 'climb'/'scale' 'out' noun
				! 'climb'/'scale' 'out' 'of' noun
				! 'exit'/'out'/'outside'
				! 'stand'
				! 'stand' 'up'
				! 'carry'/'get'/'take' 'out'
				! 'carry'/'get'/'take' 'off'
				! 'carry'/'get'/'take' 'up'
Action 19	Action19	! 'grab' noun
				! 'peel' noun
				! 'peel' 'off' noun
				! 'remove' multi
				! 'remove' noun
				! 'pick' 'up' multi
				! 'pick' multi 'up'
				! 'carry'/'get'/'take' multi
Action 20	Action20	! 'remove' multiinside 'from' noun
				! 'carry'/'get'/'take' multiinside 'from' noun
				! 'carry'/'get'/'take' multiinside 'off' noun
Action 21	Action21	! 'lie'/'sit' 'on' noun
				! 'lie'/'sit' 'in' noun
				! 'lie'/'sit' 'inside' noun
				! 'lie'/'sit' 'down' 'on'
				! 'cross'/'enter' noun
				! 'go'/'leave'/'run'/'walk' noun
				! 'go'/'leave'/'run'/'walk' 'into' noun
				! 'go'/'leave'/'run'/'walk' 'in' noun
				! 'go'/'leave'/'run'/'walk' 'inside' noun
				! 'go'/'leave'/'run'/'walk' 'through' noun
				! 'stand' 'on' noun
				! 'stand' 'in'
				! 'stand' 'in' noun
				! 'stand' 'inside' noun
				! 'carry'/'get'/'take' 'in' noun
				! 'carry'/'get'/'take' 'into' noun
				! 'carry'/'get'/'take' 'on' noun
				! 'carry'/'get'/'take' 'into' noun
				! 'carry'/'get'/'take' 'in' 'to' noun
Action 22	Action22	! 'disrobe'/'doff'/'shed' held
				! 'remove' held
				! 'carry'/'get'/'take' 'off' attrib28
Action 23	Action23	! 'carry'/'get'/'take' 'off' noun
Action 24	Action24	! 'i//'/'inv'/'inventory'
				! 'carry'/'get'/'take' 'inventory'
Action 25	Action25	! 'put' 'on' held
				! 'don'/'wear' held
Action 26	Action26	! 'discard'/'drop' multiexcept 'in' noun
				! 'discard'/'drop' multiexcept 'into' noun
				! 'discard'/'drop' multiexcept 'down' noun
				! 'insert' multiexcept 'in' noun
				! 'insert' multiexcept 'into' noun
				! 'put' multiexcept 'in' noun
				! 'put' multiexcept 'inside' noun
				! 'put' multiexcept 'into' noun
Action 27	Action27	! 'discard'/'drop' multiexcept 'on' noun
				! 'discard'/'drop' multiexcept 'onto' noun
				! 'put' multiexcept 'on' noun
				! 'put' multiexcept 'onto' noun
Action 28	Action28	! 'discard'/'drop' multiheld
				! 'put' 'down' multiheld
				! 'put' multiheld 'down'
Action 29	Action29	! 'empty' noun
				! 'empty' 'out' noun
				! 'empty' noun 'out'
Action 30	Action30	! 'empty' noun 'to' noun
				! 'empty' noun 'into' noun
				! 'empty' noun 'on' noun
				! 'empty' noun 'onto' noun
Action 31	Action31	! 'clear'/'move'/'press'/'push'/'shift' noun 'to' noun
				! 'transfer' noun 'to' noun
Action 32	Action32	! 'feed'/'give'/'offer'/'pay' creature held
Action 33	Action33	! 'feed'/'give'/'offer'/'pay' held 'to' creature
				! 'feed'/'give'/'offer'/'pay' 'over' held 'to' creature
Action 34	Action34	! 'display'/'present'/'show' creature held
Action 35	Action35	! 'display'/'present'/'show' held 'to' creature
Action 36	Action36	! 'go'/'leave'/'run'/'walk'
Action 37	Action37	! 'go'/'leave'/'run'/'walk' noun=routine157572
Action 38	Action38	! 'i//'/'inv'/'inventory' 'tall'
Action 39	Action39	! 'i//'/'inv'/'inventory' 'wide'
Action 40	Action40	! 'l//'/'look'
				! 'l//'/'look' 'around'
Action 41	Action41	! 'read' noun
				! 'check'/'describe'/'examine'/'watch'/'x//' noun
				! 'l//'/'look' 'at' noun
Action 42	Action42	! 'search' noun
				! 'l//'/'look' 'inside' noun
				! 'l//'/'look' 'in' noun
				! 'l//'/'look' 'into' noun
				! 'l//'/'look' 'through' noun
				! 'l//'/'look' 'down' noun
				! 'l//'/'look' 'into' noun
Action 43	Action43	! 'l//'/'look' 'under' noun
Action 44	Action44	! 'read' 'about' routine157664 'in' noun
				! 'read' routine157664 'in' noun
				! 'consult' noun 'about' routine157580
				! 'consult' noun 'on' routine157580
				! 'l//'/'look' 'up' routine157664 'in' noun
Action 45	Action45	! 'open'/'uncover'/'undo'/'unwrap' noun
Action 46	Action46	! 'unlock' noun 'with' held
				! 'open'/'uncover'/'undo'/'unwrap' noun 'with' held
Action 47	Action47	! 'close'/'cover'/'shut' noun
				! 'close'/'cover'/'shut' 'up'
Action 48	Action48	! 'switch' noun 'off'
				! 'switch' 'off' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'off'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'off' noun
				! 'close'/'cover'/'shut' 'off' noun
Action 49	Action49	! 'in'/'inside'
				! 'cross'/'enter'
Action 50	Action50	! 'y//'/'yes'
Action 51	Action51	! 'no'
Action 52	Action52	! 'sorry'
Action 53	Action53	! 'damn'/'fuck'/'shit'/'sod' noun
				! 'damn'/'fuck'/'shit'/'sod'
				! 'damn'/'fuck'/'shit'/'sod' special
Action 54	Action54	! 'bother'/'curses'/'darn'/'drat'
				! 'bother'/'curses'/'darn'/'drat' special
Action 55	Action55	! 'wave'
Action 56	Action56	! 'wave' noun
Action 57	Action57	! 'adjust'/'set' noun
Action 58	Action58	! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'to' special
				! 'adjust'/'set' noun 'to' special
Action 59	Action59	! 'drag'/'pull' noun
Action 60	Action60	! 'clear'/'move'/'press'/'push'/'shift' noun
Action 61	Action61	! 'clear'/'move'/'press'/'push'/'shift' noun noun
Action 62	Action62	! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun
Action 63	Action63	! 'switch' noun
				! 'switch' noun 'on'
				! 'switch' 'on' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'on'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'on' noun
Action 64	Action64	! 'lock' noun 'with' held
Action 65	Action65	! 'kick' 'in' noun
				! 'kick' noun
				! 'tear' noun
				! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'kill'/'murder'/'punch'/'smash'/'thump'/'torture'/'wreck' noun
Action 66	Action66	! 'wait'/'z//'
Action 67	Action67	! 'answer'/'say'/'shout'/'speak'/'whisper' routine157580 'to' creature
Action 68	Action68	! 'tell' creature 'about' routine157580
Action 69	Action69	! 'ask' creature 'about' routine157580
Action 70	Action70	! 'ask' creature 'for' noun
Action 71	Action71	! 'eat' noun
Action 72	Action72	! 'nap'/'sleep'
Action 73	Action73	! 'sing'
Action 74	Action74	! 'shinny'/'slide' 'up' noun
				! 'climb'/'scale' noun
				! 'climb'/'scale' 'up' noun
				! 'climb'/'scale' 'over' noun
				! 'go'/'leave'/'run'/'walk' 'up' noun
Action 75	Action75	! 'buy'/'purchase' noun
Action 76	Action76	! 'squash'/'squeeze' noun
Action 77	Action77	! 'dive'/'swim'
Action 78	Action78	! 'swing' noun
				! 'swing' 'on' noun
Action 79	Action79	! 'blow' held
Action 80	Action80	! 'pray'
Action 81	Action81	! 'awake'/'awaken'/'wake'
				! 'awake'/'awaken'/'wake' 'up'
Action 82	Action82	! 'awake'/'awaken'/'wake' creature
				! 'awake'/'awaken'/'wake' creature 'up'
				! 'awake'/'awaken'/'wake' 'up' creature
Action 83	Action83	! 'embrace'/'hug'/'kiss' creature
Action 84	Action84	! 'think'
Action 85	Action85	! 'smell'/'sniff'
				! 'smell'/'sniff' noun
Action 86	Action86	! 'hear'/'listen'
				! 'hear'/'listen' noun
				! 'hear'/'listen' 'to' noun
Action 87	Action87	! 'taste' noun
Action 88	Action88	! 'hold' 'on' 'to' noun
				! 'hold' 'on' noun
				! 'hold' 'onto' noun
				! 'feel'/'fondle'/'grope'/'touch' noun
Action 89	Action89	! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' noun
Action 90	Action90	! 'connect'/'hook' noun
				! 'connect'/'hook' noun 'to' noun
				! 'connect'/'hook' noun 'onto' noun
				! 'attach'/'fasten'/'fix'/'tie' noun
				! 'attach'/'fasten'/'fix'/'tie' noun 'to' noun
				! 'attach'/'fasten'/'fix'/'tie' noun 'onto' noun
Action 91	Action91	! 'burn'/'light' noun
				! 'burn'/'light' noun 'with' held
Action 92	Action92	! 'drink'/'sip'/'swallow' noun
Action 93	Action93	! 'fill' noun
Action 94	Action94	! 'chop'/'cut'/'prune'/'slice' noun
Action 95	Action95	! 'hop'/'jump'/'skip'
Action 96	Action96	! 'hop'/'jump'/'skip' 'over' noun
Action 97	Action97	! 'dig'
				! 'dig' noun
				! 'dig' noun 'with' held
Action 98	Action98	! 'answer'/'say'/'shout'/'speak'/'whisper' special
				! 'answer'/'say'/'shout'/'speak'/'whisper'
Action 99	Action99	! 'biff'/'chuck'/'throw' held 'at' noun
				! 'biff'/'chuck'/'throw' held 'in' noun
				! 'biff'/'chuck'/'throw' held 'into' noun
				! 'biff'/'chuck'/'throw' held 'against' noun
Action 100	Action100	! 'knock' 'on' noun
				! 'knock' noun
Action 101	Action101	! 'read' noun
Action 102	Action102	! 'l//'/'look' 'up'
Action 103	Action103	! 'l//'/'look' 'down'
Action 104	Action104	! 'l//'/'look' 'behind' noun
Action 105	Action105	! 'descend' noun
				! 'shinny'/'slide' 'down' noun
				! 'climb'/'scale' 'down' noun
				! 'go'/'leave'/'run'/'walk' 'down' noun
Action 106	Action106	! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'left'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'to' 'left'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'to' 'the' 'left'
Action 107	Action107	! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'right'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'to' 'right'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'to' 'the' 'right'
Action 108	Action108	! 'time'
Action 109	Action109	! 'hello'/'hi'/'howdy'
				! 'talk' 'to' creature
Action 110	Action110	! 'help'/'hint'/'hints'/'instructi'
				! 'help'/'hint'/'hints'/'instructi' noun
Action 111	Action111	! 'cls'/'dir'/'ls'
Action 112	Action112	! 'grab' 'hold' 'of' noun
				! 'board'/'mount'/'ride' noun
Action 113	Action113	! 'discharge'/'drain'/'pour'/'spill' noun
				! 'discharge'/'drain'/'pour'/'spill' noun 'into' noun
				! 'discharge'/'drain'/'pour'/'spill' noun 'onto' noun
				! 'discharge'/'drain'/'pour'/'spill' noun 'on' 'to' noun
				! 'discharge'/'drain'/'pour'/'spill' noun 'in' noun
				! 'discharge'/'drain'/'pour'/'spill' noun 'over' noun
				! 'discharge'/'drain'/'pour'/'spill' noun 'on' noun
Action 114	Action114	! 'play'/'practice' noun
Action 115	Action115	! 'photograp' noun
				! 'photograp' noun 'with' held
				! 'carry'/'get'/'take' routine157804
				! 'carry'/'get'/'take' routine157804 'of' noun
				! 'carry'/'get'/'take' routine157804 'of' noun 'with' held
Action 116	Action116	! 'abra' 'cadabra'
				! 'agaliarep'/'echo'/'plover'/'plugh'/'xyzzy'/'yoho'
				! 'open'/'uncover'/'undo'/'unwrap' 'sesame'
Action 117	Action117	! 'flick'/'flip' noun
Action 118	Action118	! 'prompt'/'prompting'
Action 119	Action119	! 'wind' noun
Action 120	Action120	! 'search' noun 'through' noun
				! 'check'/'describe'/'examine'/'watch'/'x//' noun 'through' noun
				! 'l//'/'look' 'at' noun 'through' noun
Action 121	Action121	! 'disconnec'/'unattach'/'unhook'/'untie' noun
				! 'disconnec'/'unattach'/'unhook'/'untie' noun 'from' noun

Word	agaliarep	agaliarep
Word	appointme	appointme
Word	architect	architect
Word	automobil	automobil
Word	backgroun	backgroun
Word	birthston	birthston
Word	boardered	boardered
Word	bookcases	bookcases
Word	bookshelf	bookshelf
Word	bookshelv	bookshelv
Word	breathing	breathing
Word	bricked-	bricked-
Word	buildings	buildings
Word	casserole	casserole
Word	ceremonia	ceremonia
Word	chandelie	chandelie
Word	coathooks	coathooks
Word	comfortab	comfortab
Word	conversat	conversat
Word	crossbeam	crossbeam
Word	cupboards	cupboards
Word	curiously	curiously
Word	depressio	depressio
Word	discharge	discharge
Word	disconnec	disconnec
Word	distingui	distingui
Word	doctor's	doctor's
Word	droppings	droppings
Word	electrica	electrica
Word	elizabeth	elizabeth
Word	everythin	everythin
Word	expensive	expensive
Word	eye-like	eye-like
Word	fashioned	fashioned
Word	finely	finely
Word	finely-c	finely-c
Word	fireplace	fireplace
Word	four-pos	four-pos
Word	fullscore	fullscore
Word	furniture	furniture
Word	gentleman	gentleman
Word	gladiator	gladiator
Word	glistenin	glistenin
Word	goblin-l	goblin-l
Word	implement	implement
Word	indistinc	indistinc
Word	instructi	instructi
Word	inventory	inventory
Word	invisible	invisible
Word	irregular	irregular
Word	knick-kn	knick-kn
Word	macpherso	macpherso
Word	magazines	magazines
Word	manager'	manager'
Word	mannequin	mannequin
Word	medallion	medallion
Word	newspaper	newspaper
Word	northeast	northeast
Word	northwest	northwest
Word	old-fash	old-fash
Word	old-styl	old-styl
Word	pain-kil	pain-kil
Word	paintings	paintings
Word	paraphern	paraphern
Word	passagewa	passagewa
Word	patterned	patterned
Word	photograp	photograp
Word	plastered	plastered
Word	portraits	portraits
Word	prompting	prompting
Word	seventeen	seventeen
Word	soldier'	soldier'
Word	southeast	southeast
Word	southwest	southwest
Word	spotlight	spotlight
Word	staircase	staircase
Word	statue's	statue's
Word	stephanie	stephanie
Word	stethosco	stethosco
Word	strangely	strangely
Word	street-l	street-l
Word	superbrie	superbrie
Word	tarnished	tarnished
Word	telepager	telepager
Word	telescope	telescope
Word	trap-doo	trap-doo
Word	wood-pan	wood-pan

Routine 0x7804	routine30724:?
Routine 0x780c	routine30732:?
Routine 0x796c	routine31084:?
Routine 0x889c	routine34972:?
Routine 0x8954	routine35156:?
Routine 0x8a88	routine35464:?
Routine 0x8aa4	routine35492:?
Routine 0x9008	routine36872:?
Routine 0x93d8	routine37848:?
Routine 0x97b0	routine38832:?
Routine 0x9904	routine39172:?
Routine 0x9ac0	routine39616:?
Routine 0x9b60	routine39776:?
Routine 0x9c64	routine40036:?
Routine 0x9d20	routine40224:?
Routine 0x9d60	routine40288:?
Routine 0x9d98	routine40344:?
Routine 0x9de8	routine40424:?
Routine 0x9e10	routine40464:?
Routine 0x9e34	routine40500:?
Routine 0x9e64	routine40548:?
Routine 0x9ec0	routine40640:?
Routine 0x9ed8	routine40664:?
Routine 0x9ef4	routine40692:?
Routine 0xa034	routine41012:?
Routine 0xa078	routine41080:?
Routine 0xa184	routine41348:?
Routine 0xa1ac	routine41388:?
Routine 0xa250	routine41552:?
Routine 0xa3b0	routine41904:?
Routine 0xa3ec	routine41964:?
Routine 0xa434	routine42036:?
Routine 0xa454	routine42068:?
Routine 0xa494	routine42132:?
Routine 0xa4e4	routine42212:?
Routine 0xa4fc	routine42236:?
Routine 0xa514	routine42260:?
Routine 0xa524	routine42276:?
Routine 0xa634	routine42548:?
Routine 0xa65c	routine42588:?
Routine 0xa664	routine42596:?
Routine 0xa680	routine42624:?
Routine 0xa6b8	routine42680:?
Routine 0xa6ec	routine42732:?
Routine 0xa76c	routine42860:?
Routine 0xa78c	routine42892:?
Routine 0xa860	routine43104:?
Routine 0xa87c	routine43132:?
Routine 0xa890	routine43152:?
Routine 0xa8e0	routine43232:?
Routine 0xac94	routine44180:?
Routine 0xacb0	routine44208:?
Routine 0xad04	routine44292:?
Routine 0xad4c	routine44364:?
Routine 0xada0	routine44448:?
Routine 0xade4	routine44516:?
Routine 0xae48	routine44616:?
Routine 0xae58	routine44632:?
Routine 0xaf30	routine44848:?
Routine 0xaf68	routine44904:?
Routine 0xaf98	routine44952:?
Routine 0xafc4	routine44996:?
Routine 0xb040	routine45120:?
Routine 0xb078	routine45176:?
Routine 0xb0e0	routine45280:?
Routine 0xb104	routine45316:?
Routine 0xb1d8	routine45528:?
Routine 0xb22c	routine45612:?
Routine 0xb274	routine45684:?
Routine 0xb314	routine45844:?
Routine 0xb330	Action12Sub:?
Routine 0xb38c	routine45964:?
Routine 0xb448	routine46152:?
Routine 0xb458	routine46168:?
Routine 0xb488	routine46216:?
Routine 0xb4a0	routine46240:?
Routine 0xb4b4	routine46260:?
Routine 0xb4c8	routine46280:?
Routine 0xb51c	routine46364:?
Routine 0xb5d8	routine46552:?
Routine 0xb73c	routine46908:?
Routine 0xb79c	routine47004:?
Routine 0xb85c	routine47196:?
Routine 0xb888	routine47240:?
Routine 0xb8f4	routine47348:?
Routine 0xb948	routine47432:?
Routine 0xb9b0	routine47536:?
Routine 0xba1c	routine47644:?
Routine 0xbff4	routine49140:?
Routine 0xc048	routine49224:?
Routine 0xc38c	routine50060:?
Routine 0xc400	routine50176:?
Routine 0xc440	routine50240:?
Routine 0xc450	Action2Sub:?
Routine 0xc464	Action4Sub:?
Routine 0xc47c	Action3Sub:?
Routine 0xc498	Action6Sub:?
Routine 0xc4b4	Action5Sub:?
Routine 0xc4cc	Action7Sub:?
Routine 0xc4f8	Action8Sub:?
Routine 0xc520	Action13Sub:?
Routine 0xc52c	Action14Sub:?
Routine 0xc538	Action16Sub:?
Routine 0xc588	Action17Sub:?
Routine 0xc658	routine50776:?
Routine 0xc678	routine50808:?
Routine 0xc6b4	Action39Sub:?
Routine 0xc6c4	Action38Sub:?
Routine 0xc6d8	Action24Sub:?
Routine 0xc730	routine50992:?
Routine 0xc8d0	Action28Sub:?
Routine 0xc928	Action20Sub:?
Routine 0xc994	routine51604:?
Routine 0xc9a8	Action27Sub:?
Routine 0xcaa4	Action26Sub:?
Routine 0xcb98	Action31Sub:?
Routine 0xcc5c	Action29Sub:?
Routine 0xcc64	Action30Sub:?
Routine 0xccd8	Action33Sub:?
Routine 0xcd10	Action32Sub:?
Routine 0xcd1c	Action35Sub:?
Routine 0xcd50	Action34Sub:?
Routine 0xcd5c	Action21Sub:?
Routine 0xcddc	Action23Sub:?
Routine 0xcdf4	Action18Sub:?
Routine 0xce70	Action36Sub:?
Routine 0xce78	Action49Sub:?
Routine 0xce80	Action37Sub:?
Routine 0xcfe0	routine53216:?
Routine 0xd018	routine53272:?
Routine 0xd164	routine53604:?
Routine 0xd188	routine53640:?
Routine 0xd1a8	Action40Sub:?
Routine 0xd2ac	Action41Sub:?
Routine 0xd304	Action43Sub:?
Routine 0xd31c	Action42Sub:?
Routine 0xd3b8	Action46Sub:?
Routine 0xd404	Action64Sub:?
Routine 0xd45c	Action63Sub:?
Routine 0xd494	Action48Sub:?
Routine 0xd4cc	Action45Sub:?
Routine 0xd530	Action47Sub:?
Routine 0xd568	Action22Sub:?
Routine 0xd594	Action25Sub:?
Routine 0xd5e0	Action71Sub:?
Routine 0xd60c	Action50Sub:?
Routine 0xd614	Action51Sub:?
Routine 0xd61c	Action91Sub:?
Routine 0xd624	Action80Sub:?
Routine 0xd62c	Action81Sub:?
Routine 0xd634	Action82Sub:?
Routine 0xd648	Action84Sub:?
Routine 0xd650	Action85Sub:?
Routine 0xd658	Action86Sub:?
Routine 0xd660	Action87Sub:?
Routine 0xd668	Action97Sub:?
Routine 0xd670	Action94Sub:?
Routine 0xd678	Action95Sub:?
Routine 0xd680	Action96Sub:?
Routine 0xd688	Action90Sub:?
Routine 0xd690	Action93Sub:?
Routine 0xd698	Action52Sub:?
Routine 0xd6a0	Action53Sub:?
Routine 0xd6a8	Action54Sub:?
Routine 0xd6b0	Action77Sub:?
Routine 0xd6b8	Action78Sub:?
Routine 0xd6c0	Action79Sub:?
Routine 0xd6c8	Action89Sub:?
Routine 0xd6d0	Action57Sub:?
Routine 0xd6d8	Action58Sub:?
Routine 0xd6e0	Action55Sub:?
Routine 0xd6e8	Action75Sub:?
Routine 0xd6f0	Action73Sub:?
Routine 0xd6f8	Action74Sub:?
Routine 0xd700	Action72Sub:?
Routine 0xd708	Action44Sub:?
Routine 0xd714	Action88Sub:?
Routine 0xd738	Action56Sub:?
Routine 0xd754	Action59Sub:?
Routine 0xd788	Action60Sub:?
Routine 0xd7bc	Action62Sub:?
Routine 0xd7f0	Action66Sub:?
Routine 0xd804	Action61Sub:?
Routine 0xd80c	routine55308:?
Routine 0xd84c	Action76Sub:?
Routine 0xd864	Action99Sub:?
Routine 0xd8a4	Action65Sub:?
Routine 0xd8c0	Action83Sub:?
Routine 0xd8e4	Action67Sub:?
Routine 0xd8f8	Action68Sub:?
Routine 0xd91c	Action69Sub:?
Routine 0xd930	Action70Sub:?
Routine 0xd948	routine55624:?
Routine 0xd964	routine55652:?
Routine 0xf318	routine62232:?
Routine 0xf330	routine62256:?
! References: obj19_Help_Credits.prop8
Routine 0xf470	routine62576:?
! References: obj20_Help_Version.prop8
Routine 0xf9b0	routine63920:?
! References: obj21_Help_Legal.prop8
Routine 0xfc10	routine64528:?
! References: obj22_Help_Instructions.prop8
Routine 0xfda8	routine64936:?
! References: obj23_Help_Commands.prop8
Routine 0x119d8	routine72152:?
! References: obj24_Help_General_Hints.prop8
Routine 0x12bc4	routine76740:?
! References: obj25_Help_Generally_Struck.prop8
Routine 0x12e68	routine77416:?
! References: obj26_standard_theatre_doors.prop30
Routine 0x12fd0	routine77776:?
! References: obj26_standard_theatre_doors.prop10
Routine 0x12fd4	routine77780:?
! References: obj109_ragged_skeleton.prop12, obj117_Rienhart_s_corpse.prop12
Routine 0x1302c	routine77868:?
! References: obj27_Help_Lyric.prop8
Routine 0x13120	routine78112:?
! References: obj28_loose_page.prop37, obj29_loose_page.prop37, obj30_loose_page.prop37, obj31_loose_page.prop37, obj32_loose_page.prop37, obj33_loose_page.prop37, obj34_loose_page.prop37, obj35_loose_page.prop37, obj36_loose_page.prop37, obj37_loose_page.prop37, obj38_loose_page.prop37, obj39_loose_page.prop37, obj40_loose_page.prop37, obj41_loose_page.prop37, obj42_loose_page.prop37, obj43_loose_page.prop37, obj44_loose_page.prop37, obj45_loose_page.prop37, obj46_loose_page.prop37, obj47_missing_pages.prop37
Routine 0x188e0	routine100576:?
! References: obj28_loose_page.prop10, obj29_loose_page.prop10, obj30_loose_page.prop10, obj31_loose_page.prop10, obj32_loose_page.prop10, obj33_loose_page.prop10, obj34_loose_page.prop10, obj35_loose_page.prop10, obj36_loose_page.prop10, obj37_loose_page.prop10, obj38_loose_page.prop10, obj39_loose_page.prop10, obj40_loose_page.prop10, obj41_loose_page.prop10, obj42_loose_page.prop10, obj43_loose_page.prop10, obj44_loose_page.prop10, obj45_loose_page.prop10, obj46_loose_page.prop10, obj47_missing_pages.prop10
Routine 0x18918	routine100632:?
! References: obj28_loose_page.prop8
Routine 0x18a34	routine100916:?
! References: obj46_loose_page.prop8
Routine 0x18b4c	routine101196:?
! References: obj366_hedges.prop1
Routine 0x18d58	routine101720:?
Routine 0x18e04	routine101892:?
Routine 0x18e38	routine101944:?
Routine 0x18e50	routine101968:?
! References: obj49_Theatre_Lobby.prop21
Routine 0x18eb4	routine102068:?
! References: obj49_Theatre_Lobby.prop13
Routine 0x18ebc	routine102076:?
! References: obj49_Theatre_Lobby.prop24
Routine 0x18f60	routine102240:?
! References: obj49_Theatre_Lobby.prop14
Routine 0x18f68	routine102248:?
! References: obj49_Theatre_Lobby.prop2
Routine 0x18fb8	routine102328:?
! References: obj50_posters.prop10
Routine 0x19060	routine102496:?
! References: obj51_grand_staircase.prop10
Routine 0x19084	routine102532:?
! References: obj52_Help_Starting_Out.prop8
Routine 0x190a0	routine102560:?
! References: obj53_Cloakroom.prop27, obj203_invisible_monster.prop1
Routine 0x191b4	routine102836:?
! References: obj53_Cloakroom.prop22
Routine 0x1926c	routine103020:?
! References: obj54_row_of_hooks.prop10
Routine 0x19290	routine103056:?
! References: obj54_row_of_hooks.prop11
Routine 0x192dc	routine103132:?
! References: obj55_cleaner_hook.prop10, obj203_invisible_monster.prop1
Routine 0x192f8	routine103160:?
! References: obj56_secret_passage__leading_down.prop10
Routine 0x193a0	routine103328:?
! References: obj57_Manager_s_Office.prop26
Routine 0x19470	routine103536:?
! References: obj57_Manager_s_Office.prop13
Routine 0x19584	routine103812:?
! References: obj57_Manager_s_Office.prop14
Routine 0x19628	routine103976:?
! References: obj57_Manager_s_Office.prop22
Routine 0x19634	routine103988:?
! References: obj58_office_papers.prop10
Routine 0x1965c	routine104028:?
! References: obj59_manager_s_desk.prop26
Routine 0x19698	routine104088:?
! References: obj59_manager_s_desk.prop10
Routine 0x1972c	routine104236:?
! References: obj60_closed_metal_safe.prop26
Routine 0x19750	routine104272:?
! References: obj60_closed_metal_safe.prop10
Routine 0x1978c	routine104332:?
! References: obj61_dial.prop10
Routine 0x197d4	routine104404:?
! References: obj62_handle.prop10
Routine 0x19a98	routine105112:?
! References: obj63_architect_s_plans.prop26
Routine 0x19aa8	routine105128:?
! References: obj63_architect_s_plans.prop11, obj230_lower_left_arm.prop1, obj232_lower_right_arm.prop1
Routine 0x19b44	routine105284:?
! References: obj64_trapdoor.prop27
Routine 0x19bc4	routine105412:?
! References: obj64_trapdoor.prop16
Routine 0x19c24	routine105508:?
! References: obj64_trapdoor.prop13
Routine 0x19c34	routine105524:?
! References: obj65_plastered_over_southern_wall.prop26
Routine 0x19c44	routine105540:?
! References: obj65_plastered_over_southern_wall.prop10
Routine 0x19c8c	routine105612:?
! References: obj66_Help_Office_Safe.prop8
Routine 0x19d88	routine105864:?
! References: obj68_Basement.prop24
Routine 0x19e74	routine106100:?
! References: obj68_Basement.prop21
Routine 0x19e7c	routine106108:?
! References: obj69_street_level_windows.prop10
Routine 0x19e9c	routine106140:?
! References: obj70_electrical_panel.prop10
Routine 0x19f20	routine106272:?
! References: obj71_pager.prop26
Routine 0x19f98	routine106392:?
! References: obj71_pager.prop33
Routine 0x1a0a0	routine106656:?
! References: obj72_barrels.prop10
Routine 0x1a0f8	routine106744:?
! References: obj73_switch.prop10
Routine 0x1a118	routine106776:?
