! Auto-generated by Reform.

MD5	6ae4fd54b7e55675ec7e54ec4dd26462
				! 'procee'/'run'/'sidle'/'step'/'walk' 'outsid'/'out' object
				! 'procee'/'run'/'sidle'/'step'/'walk' 'into'/'inside'/'in' object
Action 36	Action36	! 'climb'/'crawl'/'scale' 'undern'/'under'/'beneat'/'below' object
				! 'duck'/'go'/'wade' 'undern'/'under'/'beneat'/'below' object
Action 37	Action37	! 'close'/'shut' object 'onto'/'on' attrib31
				! 'close'/'shut' attrib26(held,carried,in_room,on_ground)
Action 38	Action38	! 'close'/'shut' 'upstai'/'up'/'u//' attrib30
Action 39	Action39	! 'duck'/'go'/'wade' 'with'/'using' object
				! 'come' 'with'/'using' object
				! 'chase'/'follow'/'pursue' object
Action 40	Action40	! 'cover' object 'with'/'using' object(held,many)
Action 41	Action41	! 'cry'/'gasp'/'sob'/'weep'
Action 42	Action42	! 'dance'/'piroue'/'twirl' 'with'/'using' attrib31
				! 'dance'/'piroue'/'twirl' attrib30
Action 43	Action43	! 'break'/'crush'/'damage'/'demoli'/'destro'/'smash'/'trampl'/'wreck' 'outsid'/'out' attrib30
				! 'break'/'crush'/'damage'/'demoli'/'destro'/'smash'/'trampl'/'wreck' object 'with'/'using' object(held,carried,take)
				! 'break'/'crush'/'damage'/'demoli'/'destro'/'smash'/'trampl'/'wreck' object(in_room,on_ground)
Action 44	Action44	! 'dig' 'thru'/'throug' object
				! 'dig' 'into'/'inside'/'in' object
Action 45	Action45	! 'dress' object
				! 'dress'
Action 46	Action46	! 'drink'/'quaff'/'sip'/'swallo' object(held,carried,in_room,on_ground)
Action 47	Action47	! 'drink'/'quaff'/'sip'/'swallo' object 'from' object(have)
				! 'drink'/'quaff'/'sip'/'swallo' 'from' object(held,carried)
Action 48	Action48	! 'drop'/'dump' object(held,many,have)
				! 'let' 'go' object(many)
				! 'dip'/'hang'/'insert'/'lay'/'place'/'put'/'sprink'/'stick' 'downst'/'down'/'d//' object(held,many,have)
Action 49	Action49	! 'leave' object(held,many) 'into'/'inside'/'in' object
				! 'drop'/'dump' object(held,many,have) 'into'/'inside'/'in' object
				! 'drop'/'dump' object(held,many,have) 'downst'/'down'/'d//' object
				! 'dip'/'hang'/'insert'/'lay'/'place'/'put'/'sprink'/'stick' object(held,many) 'into'/'inside'/'in' object
Action 50	Action50	! 'bind'/'fetter'/'hobble'/'manacl'/'shackl' attrib31
				! 'leave' object(held,many) 'onto'/'on' object
				! 'drop'/'dump' object(held,many) 'onto'/'on' object
				! 'dip'/'hang'/'insert'/'lay'/'place'/'put'/'sprink'/'stick' object(held,many) 'over' object
				! 'dip'/'hang'/'insert'/'lay'/'place'/'put'/'sprink'/'stick' object(held,many) 'around'/'along' object
				! 'dip'/'hang'/'insert'/'lay'/'place'/'put'/'sprink'/'stick' object(held,many) 'onto'/'on' object
Action 51	Action51	! 'drop'/'dump' object(held,many,have) 'thru'/'throug' object
				! 'drop'/'dump' object(held,many,have) 'outsid'/'out' object
				! 'lower' object 'outsid'/'out' object
				! 'lower' object 'thru'/'throug' object
				! 'hurl'/'throw'/'toss' object(carried) 'outsid'/'out' object
				! 'hurl'/'throw'/'toss' object(carried) 'thru'/'throug' object(in_room,on_ground)
				! 'dip'/'hang'/'insert'/'lay'/'place'/'put'/'sprink'/'stick' object(held,many,have) 'outsid'/'out' object
				! 'dip'/'hang'/'insert'/'lay'/'place'/'put'/'sprink'/'stick' object(many) 'thru'/'throug' object
Action 52	Action52	! 'devour'/'eat'/'nibble'/'taste' object(held,carried,in_room,on_ground)
Action 53	Action53	! 'empty' object 'into'/'inside'/'in' object
				! 'empty' object 'onto'/'on' object
				! 'empty' 'outsid'/'out' object
				! 'empty' object
Action 54	Action54	! 'empty' object(many) 'from' object
Action 55	Action55	! 'enter'
Action 56	Action56	! 'descri'/'examin'/'inspec'/'observ'/'study'/'x//' object(held,carried,in_room,on_ground)
				! 'l//'/'look'/'watch' 'over' object
				! 'l//'/'look'/'watch' 'toward'/'to' object
				! 'l//'/'look'/'watch' 'onto'/'on' object
				! 'l//'/'look'/'watch' 'at' object(held,carried,in_room,on_ground)
Action 57	Action57	! 'depart'/'exit'/'withdr' object
				! 'depart'/'exit'/'withdr'
Action 58	Action58	! 'feed' attrib31
Action 59	Action59	! 'give'/'hand'/'offer'/'presen' object(held,many,have) 'toward'/'to' attrib31(on_ground)
				! 'pay' object(held,many,have) 'toward'/'to' attrib31(on_ground)
				! 'feed' object(held,many,have) 'toward'/'to' attrib31(on_ground)
				! 'pass' object(held,many,have) 'toward'/'to' attrib31(on_ground)
Action 60	Action60	! 'give'/'hand'/'offer'/'presen' attrib31 'with'/'using' object(many,have)
				! 'give'/'hand'/'offer'/'presen' attrib31(on_ground) object(many,have)
				! 'feed' attrib31 'with'/'using' object(held,many,have)
				! 'feed' attrib31(on_ground) object(held,many,have)
Action 61	Action61	! 'fiddle'/'joggle'/'wiggle' 'with'/'using' object
Action 62	Action62	! 'fill'/'load' attrib24(held,carried,have) 'with'/'using' object
				! 'fill'/'load' attrib24(held,carried,have)
Action 63	Action63	! 'fill'/'load' object(held,carried,have) 'into'/'inside'/'in' object
Action 64	Action64	! 'l//'/'look'/'watch' 'for' object
				! 'rummag'/'search' 'for' object
				! 'find'/'locate'/'seek' object 'onto'/'on' object
				! 'find'/'locate'/'seek' object
Action 65	Action65	! 'fix'/'repair'/'sharpe'/'whet' object(have)
Action 66	Action66	! 'duck'/'go'/'wade' attrib30
				! 'procee'/'run'/'sidle'/'step'/'walk' object
Action 67	Action67	! 'duck'/'go'/'wade' 'behind' object
				! 'hide' 'behind' object
				! 'hide' 'undern'/'under'/'beneat'/'below' object
				! 'hide'
				! 'rise'/'stand' 'behind' object
				! 'procee'/'run'/'sidle'/'step'/'walk' 'behind' object
Action 68	Action68	! 'duck'/'go'/'wade' 'away' attrib30
				! 'leave' object
				! 'leave'
				! 'procee'/'run'/'sidle'/'step'/'walk' 'away' attrib30
Action 69	Action69	! 'duck'/'go'/'wade'
				! 'dive'/'jump'/'leap'/'vault' 'overbo' attrib30
Action 70	Action70	! 'stop' attrib30
Action 71	Action71	! 'listen' 'toward'/'to' object
				! 'listen'
				! 'hear' object
Action 72	Action72	! 'greet'/'hello'/'hi' object
				! 'greet'/'hello'/'hi'
Action 73	Action73	! 'help'/'hint'/'warn'
Action 74	Action74	! 'help'/'hint'/'warn' object
				! 'rescue'/'save' attrib31
Action 75	Action75	! 'lean' 'agains' object
				! 'embrac'/'hug' object
Action 76	Action76	! 'dive'/'jump'/'leap'/'vault' 'toward'/'to' object
				! 'dive'/'jump'/'leap'/'vault' 'downst'/'down'/'d//' attrib30
				! 'dive'/'jump'/'leap'/'vault' 'upstai'/'up'/'u//' attrib30
				! 'dive'/'jump'/'leap'/'vault' 'across' object
				! 'dive'/'jump'/'leap'/'vault' 'across' object
				! 'dive'/'jump'/'leap'/'vault' 'over' object
				! 'dive'/'jump'/'leap'/'vault'
Action 77	Action77	! 'dive'/'jump'/'leap'/'vault' 'outsid'/'out' object
				! 'dive'/'jump'/'leap'/'vault' 'off' object
Action 78	Action78	! 'kick' object
Action 79	Action79	! 'kiss' attrib31(in_room,on_ground)
Action 80	Action80	! 'bow'/'curtse'/'curtsy' 'toward'/'to' attrib31
Action 81	Action81	! 'tap' 'onto'/'on' object
				! 'knock'/'pound'/'rap' 'at' attrib26
				! 'knock'/'pound'/'rap' 'onto'/'on' attrib26
Action 82	Action82	! 'roll'/'tip' object
				! 'knock'/'pound'/'rap' 'over' object
Action 83	Action83	! 'laugh'/'smile' 'at' object
				! 'laugh'/'smile'
Action 84	Action84	! 'launch' object
Action 85	Action85	! 'lie' 'downst'/'down'/'d//' attrib30
				! 'lie' 'into'/'inside'/'in' attrib28
				! 'lie' 'onto'/'on' attrib28
Action 86	Action86	! 'flick'/'flip'/'rotate'/'set'/'spin'/'switch'/'turn' 'onto'/'on' attrib25
				! 'light' object(in_room,on_ground) 'onto'/'on' object
				! 'light' attrib25(held,carried,in_room,on_ground) 'with'/'using' object
				! 'light' attrib25(held,carried,in_room,on_ground) 'into'/'inside'/'in' object
				! 'light' attrib25(held,carried,in_room,on_ground)
Action 87	Action87	! 'lock' object(in_room,on_ground) 'with'/'using' object
				! 'lock' object
Action 88	Action88	! 'l//'/'look'/'watch' 'around'/'along' attrib30
				! 'l//'/'look'/'watch'
Action 89	Action89	! 'l//'/'look'/'watch' 'downst'/'down'/'d//' attrib30
Action 90	Action90	! 'l//'/'look'/'watch' 'upstai'/'up'/'u//' attrib30
Action 91	Action91	! 'l//'/'look'/'watch' 'into'/'inside'/'in' object(held,carried,in_room,on_ground)
				! 'l//'/'look'/'watch' 'outsid'/'out' attrib30
				! 'l//'/'look'/'watch' 'thru'/'throug' object
Action 92	Action92	! 'l//'/'look'/'watch' 'undern'/'under'/'beneat'/'below' object
				! 'rummag'/'search' 'undern'/'under'/'beneat'/'below' object
Action 93	Action93	! 'l//'/'look'/'watch' 'behind' object
Action 94	Action94	! 'l//'/'look'/'watch' object
Action 95	Action95	! 'press'/'push' 'downst'/'down'/'d//' object
				! 'press'/'push' object 'downst'/'down'/'d//' attrib30
				! 'lower' object
				! 'move'/'pull' 'downst'/'down'/'d//' object(in_room,on_ground)
				! 'move'/'pull' object 'downst'/'down'/'d//' attrib30
Action 96	Action96	! 'make' 'outsid'/'out' attrib30
Action 97	Action97	! 'make' 'love' attrib31
Action 98	Action98	! 'marry'/'wed' attrib31
Action 99	Action99	! 'move'/'pull' object 'toward'/'to' object
				! 'move'/'pull' 'into'/'inside'/'in' object
				! 'move'/'pull' object(in_room,on_ground)
Action 100	Action100	! 'press'/'push' object object
				! 'move'/'pull' object object
Action 101	Action101	! 'press'/'push' 'upstai'/'up'/'u//' object
				! 'press'/'push' object 'upstai'/'up'/'u//' attrib30
				! 'move'/'pull' 'upstai'/'up'/'u//' object(in_room,on_ground)
				! 'move'/'pull' object 'upstai'/'up'/'u//' attrib30
				! 'boost'/'lift'/'raise' 'upstai'/'up'/'u//' object
				! 'boost'/'lift'/'raise' object
Action 102	Action102	! 'muzzle' object 'with'/'using' object(held,carried)
Action 103	Action103	! 'nay'/'never'/'no'/'nope'
Action 104	Action104	! 'open' attrib26(held,carried,in_room,on_ground) 'with'/'using' object(held,carried,in_room,on_ground,have)
				! 'open' 'upstai'/'up'/'u//' attrib26(held,carried,in_room,on_ground)
				! 'open' attrib26(held,carried,in_room,on_ground)
Action 105	Action105	! 'pick' object 'with'/'using' object
				! 'pick' object
Action 106	Action106	! 'remove' attrib23(carried,in_room,many) 'from' object
				! 'pick' 'upstai'/'up'/'u//' attrib23(on_ground,many)
				! 'carry'/'get'/'grab'/'hold'/'take' object(carried,in_room,many) 'onto'/'on' object
				! 'carry'/'get'/'grab'/'hold'/'take' object(carried,in_room,many) 'into'/'inside'/'in' object
				! 'carry'/'get'/'grab'/'hold'/'take' object(carried,in_room,many) 'from' object
				! 'carry'/'get'/'grab'/'hold'/'take' object(carried,in_room,many) 'off' object
				! 'carry'/'get'/'grab'/'hold'/'take' object(carried,in_room,many) 'outsid'/'out' object
				! 'carry'/'get'/'grab'/'hold'/'take' attrib23(in_room,on_ground,many)
Action 107	Action107	! 'tap' object
				! 'feel'/'grip'/'rub'/'smooth'/'touch' 'thru'/'throug' attrib24
				! 'feel'/'grip'/'rub'/'smooth'/'touch' object 'with'/'using' object
				! 'feel'/'grip'/'rub'/'smooth'/'touch' object
				! 'play' 'with'/'using' object
Action 108	Action108	! 'aim'/'point'/'shine'/'signal' object 'with'/'using' object(take)
				! 'aim'/'point'/'shine'/'signal' object 'from' object
Action 109	Action109	! 'wave' object(have) 'at' object
				! 'wave' object(have) 'into'/'inside'/'in' object
				! 'aim'/'point'/'shine'/'signal' object(held) 'into'/'inside'/'in' object
				! 'aim'/'point'/'shine'/'signal' object(held) 'outsid'/'out' object
				! 'aim'/'point'/'shine'/'signal' object(held) 'onto'/'on' object
				! 'aim'/'point'/'shine'/'signal' object(held) 'at' object
				! 'aim'/'point'/'shine'/'signal' object
Action 110	Action110	! 'dry'/'squeez'/'wring' object 'onto'/'on' object
				! 'dry'/'squeez'/'wring' object 'into'/'inside'/'in' object
				! 'dry'/'squeez'/'wring' object 'outsid'/'out' object
				! 'dry'/'squeez'/'wring' object 'from' object
				! 'dry'/'squeez'/'wring' object(held,carried)
Action 111	Action111	! 'pour'/'spill' object(held,carried) 'into'/'inside'/'in' object
				! 'pour'/'spill' object(held,carried) 'onto'/'on' object
				! 'pour'/'spill' object(held,carried)
Action 112	Action112	! 'pour'/'spill' object(held,carried) 'outsid'/'out' object
				! 'pour'/'spill' object(held,carried) 'from' object
Action 113	Action113	! 'roll'/'tip' object 'toward'/'to' object
				! 'press'/'push' 'onto'/'on' object(in_room,on_ground)
				! 'press'/'push' object 'toward'/'to' object
				! 'press'/'push' object 'onto'/'on' object
				! 'press'/'push' object 'into'/'inside'/'in' object
				! 'press'/'push' object
Action 114	Action114	! 'press'/'push' object 'undern'/'under'/'beneat'/'below' object
				! 'dip'/'hang'/'insert'/'lay'/'place'/'put'/'sprink'/'stick' object 'undern'/'under'/'beneat'/'below' object
Action 115	Action115	! 'rape' attrib31
Action 116	Action116	! 'reach' 'into'/'inside'/'in' object(in_room,on_ground)
Action 117	Action117	! 'browse'/'read'/'skim' object 'with'/'using' object
				! 'browse'/'read'/'skim' object 'thru'/'throug' object
				! 'browse'/'read'/'skim' 'thru'/'throug' object
				! 'browse'/'read'/'skim' object
Action 118	Action118	! 'reflec' object 'into'/'inside'/'in' object(held)
Action 119	Action119	! 'remove' attrib22
Action 120	Action120	! 'return' object(held,carried,have) 'toward'/'to' object(on_ground)
				! 'return' object(held,carried,have)
Action 121	Action121	! 'rip'/'tear' object 'with'/'using' object
				! 'rip'/'tear' 'upstai'/'up'/'u//' object
				! 'rip'/'tear' object 'into'/'inside'/'in' object
				! 'rip'/'tear' object
Action 122	Action122	! 'oar'/'row' object
Action 123	Action123	! 'oar'/'row' object object
Action 124	Action124	! 'oar'/'row' object 'toward'/'to' object
				! 'oar'/'row' 'toward'/'to' object
Action 125	Action125	! 'score'
Action 126	Action126	! 'rummag'/'search' 'thru'/'throug' object
				! 'rummag'/'search' 'into'/'inside'/'in' object
				! 'rummag'/'search' object
Action 127	Action127	! 'bounce'/'shake' object
Action 128	Action128	! 'bounce'/'shake' object 'with'/'using' object
Action 129	Action129	! 'hurl'/'throw'/'toss' object(held,carried) 'with'/'using' object
				! 'fire'/'shoot'/'sling' object 'with'/'using' object(held,have)
				! 'fire'/'shoot'/'sling' object
Action 130	Action130	! 'fire'/'shoot'/'sling' object 'into'/'inside'/'in' object
				! 'fire'/'shoot'/'sling' 'at' object
				! 'fire'/'shoot'/'sling' object 'at' object
Action 131	Action131	! 'show' object(held,many) 'toward'/'to' attrib31
Action 132	Action132	! 'show' attrib31 object(held,many)
Action 133	Action133	! 'moan'/'sigh'
Action 134	Action134	! 'sink' object
Action 135	Action135	! 'sit' 'downst'/'down'/'d//' attrib30(in_room,on_ground)
Action 136	Action136	! 'doze'/'nap'/'sleep'/'snooze'
Action 137	Action137	! 'cut'/'slice'/'stab' 'thru'/'throug' object 'with'/'using' object(held,carried)
				! 'cut'/'slice'/'stab' object 'with'/'using' object(held,carried)
				! 'cut'/'slice'/'stab' object
Action 138	Action138	! 'smell'/'sniff'/'whiff' object
				! 'smell'/'sniff'/'whiff'
Action 139	Action139	! 'soak'/'wet' object(held) 'with'/'using' object
				! 'soak'/'wet' object(held) 'into'/'inside'/'in' object
				! 'soak'/'wet' object
Action 140	Action140	! 'rise'/'stand' 'upstai'/'up'/'u//' attrib30
				! 'rise'/'stand'
				! 'carry'/'get'/'grab'/'hold'/'take' 'upstai'/'up'/'u//' attrib30
Action 141	Action141	! 'rise'/'stand' 'into'/'inside'/'in' object
				! 'rise'/'stand' 'onto'/'on' object
Action 142	Action142	! 'don'/'wear' attrib21(take)
				! 'dip'/'hang'/'insert'/'lay'/'place'/'put'/'sprink'/'stick' 'onto'/'on' attrib21(take)
Action 143	Action143	! 'dip'/'hang'/'insert'/'lay'/'place'/'put'/'sprink'/'stick' object 'behind' object
Action 144	Action144	! 'swim' 'into'/'inside'/'in' object
				! 'swim'
Action 145	Action145	! 'swing' object(held,carried,have) 'at' attrib31
				! 'swing' object(held,carried,have)
				! 'swing' 'from' object(take)
				! 'swing' 'downst'/'down'/'d//' attrib30(take)
				! 'swing' 'onto'/'on' object(take)
Action 146	Action146	! 'faint'/'swoon' attrib30
Action 147	Action147	! 'carry'/'get'/'grab'/'hold'/'take' object(carried,in_room,many) 'with'/'using' object(have)
Action 148	Action148	! 'carry'/'get'/'grab'/'hold'/'take' 'off' object
Action 149	Action149	! 'carry'/'get'/'grab'/'hold'/'take' 'dresse' attrib30
Action 150	Action150	! 'carry'/'get'/'grab'/'hold'/'take' 'undres' attrib30
Action 151	Action151	! 'carry'/'get'/'grab'/'hold'/'take' 'drunk' attrib30
Action 152	Action152	! 'speak'/'talk' 'toward'/'to' attrib31(in_room)
				! 'tell' attrib31(in_room)
Action 153	Action153	! 'tell' attrib31 'about' object
Action 154	Action154	! 'tell' object object
Action 155	Action155	! 'thank'/'thanks'
				! 'thank'/'thanks' object
Action 156	Action156	! 'hurl'/'throw'/'toss' object(carried) 'onto'/'on' object(in_room,on_ground)
				! 'hurl'/'throw'/'toss' object(carried) 'downst'/'down'/'d//' object
				! 'hurl'/'throw'/'toss' object(held,carried) 'into'/'inside'/'in' object
				! 'hurl'/'throw'/'toss' 'away' object(carried)
				! 'hurl'/'throw'/'toss' object(carried)
Action 157	Action157	! 'hurl'/'throw'/'toss' 'overbo' object(carried)
Action 158	Action158	! 'hurl'/'throw'/'toss' object(carried) 'at' object(in_room,on_ground)
Action 159	Action159	! 'hurl'/'throw'/'toss' object(carried) 'toward'/'to' object(in_room,on_ground)
Action 160	Action160	! 'hurl'/'throw'/'toss' attrib31(in_room,on_ground) object(held,carried)
Action 161	Action161	! 'hurl'/'throw'/'toss' object(carried) 'over' object
Action 162	Action162	! 'attach'/'fasten'/'moor'/'secure'/'tie'/'weave' object(held) 'around'/'along' object
				! 'attach'/'fasten'/'moor'/'secure'/'tie'/'weave' object(held) 'toward'/'to' object
Action 163	Action163	! 'attach'/'fasten'/'moor'/'secure'/'tie'/'weave' object 'with'/'using' object(held)
				! 'attach'/'fasten'/'moor'/'secure'/'tie'/'weave' 'upstai'/'up'/'u//' object 'with'/'using' object(held)
Action 164	Action164	! 'feel'/'grip'/'rub'/'smooth'/'touch' object 'onto'/'on' object
Action 165	Action165	! 'flick'/'flip'/'rotate'/'set'/'spin'/'switch'/'turn' object 'toward'/'to' object
				! 'flick'/'flip'/'rotate'/'set'/'spin'/'switch'/'turn' 'around'/'along' attrib30
				! 'flick'/'flip'/'rotate'/'set'/'spin'/'switch'/'turn' object
Action 166	Action166	! 'disrob'/'strip'/'undres' object
				! 'disrob'/'strip'/'undres'
Action 167	Action167	! 'unbar'/'unlock' object 'with'/'using' object(have)
				! 'unbar'/'unlock' object
Action 168	Action168	! 'unroll' object
Action 169	Action169	! 'free'/'loosen'/'unatta'/'unknot'/'untie'/'unweav' object(in_room,on_ground)
Action 170	Action170	! 'use' object 'onto'/'on' attrib31
				! 'use' object
Action 171	Action171	! 'wait'/'z//'
Action 172	Action172	! 'awake'/'revive'/'rouse'/'wake' attrib31 'with'/'using' object
				! 'awake'/'revive'/'rouse'/'wake' 'upstai'/'up'/'u//' attrib30
				! 'awake'/'revive'/'rouse'/'wake' attrib30
Action 173	Action173	! 'clean'/'wash'/'wipe' 'off' object
				! 'clean'/'wash'/'wipe' 'upstai'/'up'/'u//' attrib30
				! 'clean'/'wash'/'wipe' object
Action 174	Action174	! 'wave' object(have)
Action 175	Action175	! 'wave' 'at' attrib31
Action 176	Action176	! 'what'/'what^'/'whats'/'who'/'whos' object
Action 177	Action177	! 'where'/'wheres'/'whithe' object
Action 178	Action178	! 'wrap' object(held,many) 'around'/'along' object
Action 179	Action179	! 'wrap' object 'into'/'inside'/'in' object(held,many)
Action 180	Action180	! 'aaieee'/'scream'/'shout'/'shriek'/'yell' 'toward'/'to' object
				! 'aaieee'/'scream'/'shout'/'shriek'/'yell' 'at' object
				! 'aaieee'/'scream'/'shout'/'shriek'/'yell'
Action 181	Action181	! 'nod'/'ok'/'okay'/'sure'/'y//'/'yes'/'yup'
Action 182	Action182	! 'zzmgck' object

Word	$ve	$ve
Word	#comm	#comm
Word	#rand	#rand
Word	#reco	#reco
Word	#unre	#unre
Word	aaieee	aaieee
Word	across	across
Word	agains	agains
Word	ammoni	ammoni
Word	ammuni	ammuni
Word	anchor	anchor
Word	andrew	andrew
Word	applau	applau
Word	approa	approa
Word	around	around
Word	attach	attach
Word	attack	attack
Word	ballro	ballro
Word	bamboo	bamboo
Word	bankno	bankno
Word	barrel	barrel
Word	behind	behind
Word	beneat	beneat
Word	bewigg	bewigg
Word	bookca	bookca
Word	booksh	booksh
Word	bottle	bottle
Word	bounce	bounce
Word	breech	breech
Word	breeks	breeks
Word	britch	britch
Word	brooch	brooch
Word	browse	browse
Word	burnin	burnin
Word	bushes	bushes
Word	butler	butler
Word	candle	candle
Word	cannon	cannon
Word	canvas	canvas
Word	captai	captai
Word	carbon	carbon
Word	ceilin	ceilin
Word	chains	chains
Word	chande	chande
Word	chemis	chemis
Word	chicke	chicke
Word	chippe	chippe
Word	circle	circle
Word	clothe	clothe
Word	coffer	coffer
Word	cookie	cookie
Word	cotton	cotton
Word	covere	covere
Word	croc'	croc'
Word	crocod	crocod
Word	crulle	crulle
Word	cupboa	cupboa
Word	curtai	curtai
Word	curtse	curtse
Word	curtsy	curtsy
Word	dagger	dagger
Word	damage	damage
Word	dancer	dancer
Word	deacti	deacti
Word	debark	debark
Word	debris	debris
Word	demoli	demoli
Word	depart	depart
Word	descen	descen
Word	descri	descri
Word	destro	destro
Word	devour	devour
Word	diamon	diamon
Word	dimsfo	dimsfo
Word	direct	direct
Word	disemb	disemb
Word	disrob	disrob
Word	downst	downst
Word	dragoo	dragoo
Word	drapes	drapes
Word	dresse	dresse
Word	duelli	duelli
Word	dungeo	dungeo
Word	embrac	embrac
Word	ernest	ernest
Word	everyt	everyt
Word	examin	examin
Word	except	except
Word	exting	exting
Word	falcon	falcon
Word	fasten	fasten
Word	father	father
Word	fetter	fetter
Word	fiddle	fiddle
Word	finger	finger
Word	firepi	firepi
Word	flagon	flagon
Word	flower	flower
Word	follow	follow
Word	forema	forema
Word	forwar	forwar
Word	galley	galley
Word	garter	garter
Word	gazebo	gazebo
Word	gentle	gentle
Word	goblet	goblet
Word	govern	govern
Word	ground	ground
Word	guinea	guinea
Word	gunpow	gunpow
Word	hawser	hawser
Word	helena	helena
Word	hersel	hersel
Word	himsel	himsel
Word	hobble	hobble
Word	insert	insert
Word	inside	inside
Word	inspec	inspec
Word	invent	invent
Word	invita	invita
Word	invite	invite
Word	island	island
Word	jamiso	jamiso
Word	jasmin	jasmin
Word	jewell	jewell
Word	joggle	joggle
Word	lace-	lace-
Word	ladder	ladder
Word	ladies	ladies
Word	lafond	lafond
Word	lagoon	lagoon
Word	laudan	laudan
Word	launch	launch
Word	leathe	leathe
Word	letter	letter
Word	librar	librar
Word	liquid	liquid
Word	listen	listen
Word	locate	locate
Word	locati	locati
Word	loosen	loosen
Word	louise	louise
Word	lovely	lovely
Word	mainma	mainma
Word	manacl	manacl
Word	mansio	mansio
Word	mirror	mirror
Word	missiv	missiv
Word	moonbe	moonbe
Word	moonli	moonli
Word	moorin	moorin
Word	murder	murder
Word	musici	musici
Word	muzzle	muzzle
Word	myself	myself
Word	naviga	naviga
Word	nibble	nibble
Word	nichol	nichol
Word	northe	northe
Word	northw	northw
Word	number	number
Word	oarloc	oarloc
Word	observ	observ
Word	openin	openin
Word	orches	orches
Word	ornate	ornate
Word	outsid	outsid
Word	overbo	overbo
Word	painti	painti
Word	patrol	patrol
Word	pepper	pepper
Word	pettic	pettic
Word	pictur	pictur
Word	pieces	pieces
Word	pirate	pirate
Word	piroue	piroue
Word	pistol	pistol
Word	please	please
Word	plumed	plumed
Word	pointe	pointe
Word	portho	portho
Word	portra	portra
Word	potion	potion
Word	powder	powder
Word	presen	presen
Word	procee	procee
Word	protag	protag
Word	pulley	pulley
Word	purple	purple
Word	pursue	pursue
Word	pyrami	pyrami
Word	quarte	quarte
Word	railin	railin
Word	rapier	rapier
Word	reflec	reflec
Word	remain	remain
Word	remove	remove
Word	repair	repair
Word	reptil	reptil
Word	rescue	rescue
Word	restar	restar
Word	restor	restor
Word	reticu	reticu
Word	return	return
Word	revive	revive
Word	riggin	riggin
Word	rodney	rodney
Word	rotate	rotate
Word	rummag	rummag
Word	sailor	sailor
Word	sapphi	sapphi
Word	scream	scream
Word	script	script
Word	seaman	seaman
Word	search	search
Word	secret	secret
Word	secure	secure
Word	shackl	shackl
Word	shallo	shallo
Word	sharpe	sharpe
Word	shelve	shelve
Word	shriek	shriek
Word	shutte	shutte
Word	signal	signal
Word	silver	silver
Word	sinist	sinist
Word	sirrah	sirrah
Word	slings	slings
Word	slippe	slippe
Word	smalls	smalls
Word	smelli	smelli
Word	smooth	smooth
Word	snooze	snooze
Word	soldie	soldie
Word	someth	someth
Word	southe	southe
Word	southw	southw
Word	spices	spices
Word	sprink	sprink
Word	squeez	squeez
Word	staine	staine
Word	stains	stains
Word	stairs	stairs
Word	stairw	stairw
Word	starbo	starbo
Word	strike	strike
Word	superb	superb
Word	suppli	suppli
Word	swallo	swallo
Word	switch	switch
Word	tangle	tangle
Word	thanks	thanks
Word	throug	throug
Word	toward	toward
Word	trampl	trampl
Word	trapdo	trapdo
Word	treati	treati
Word	tricor	tricor
Word	turkey	turkey
Word	unatta	unatta
Word	undern	undern
Word	undres	undres
Word	unknot	unknot
Word	unlock	unlock
Word	unment	unment
Word	unroll	unroll
Word	unscri	unscri
Word	unweav	unweav
Word	upstai	upstai
Word	velvet	velvet
Word	verand	verand
Word	verbos	verbos
Word	versio	versio
Word	viands	viands
Word	villai	villai
Word	warped	warped
Word	well-	well-
Word	what'	what'
Word	wheres	wheres
Word	whithe	whithe
Word	wiggle	wiggle
Word	windla	windla
Word	window	window
Word	withdr	withdr
Word	wooden	wooden
Word	writin	writin
Word	zzmgck	zzmgck
