! Auto-generated by Reform.

MD5	9ba48c72d96ab3e7956a8570b12d34d6
Routine 0x90f0	routine37104:?
Routine 0x90fc	routine37116:?
Routine 0x91f8	routine37368:?
Routine 0x9200	routine37376:?
Routine 0x9248	routine37448:?
Routine 0x925c	routine37468:?
Routine 0x9270	routine37488:?
Routine 0x928c	routine37516:?
Routine 0x92ec	PronounsSub:?
Routine 0x9398	routine37784:?
Routine 0x93cc	routine37836:?
Routine 0x93fc	routine37884:?
Routine 0x9404	routine37892:?
Routine 0x9430	routine37936:?
! References: obj22__Inform_Library_.play
Routine 0x9498	routine38040:?
! References: obj22__Inform_Library_.end_turn_sequence
Routine 0x9850	routine38992:?
! References: obj22__Inform_Library_.begin_action
Routine 0x9900	routine39168:?
Routine 0x9944	routine39236:?
Routine 0x9964	routine39268:?
Routine 0x9990	routine39312:?
Routine 0x99d8	routine39384:?
Routine 0x9a14	routine39444:?
Routine 0x9a5c	routine39516:?
Routine 0x9a98	routine39576:?
Routine 0x9aa4	routine39588:?
Routine 0x9ac8	routine39624:?
Routine 0x9b28	routine39720:?
Routine 0x9b48	routine39752:?
Routine 0x9b6c	routine39788:?
Routine 0x9b7c	routine39804:?
Routine 0x9bd8	routine39896:?
Routine 0x9c0c	routine39948:?
Routine 0x9c60	routine40032:?
Routine 0x9c88	routine40072:?
Routine 0x9ca4	routine40100:?
Routine 0x9cb8	routine40120:?
Routine 0x9cd4	routine40148:?
Routine 0x9d1c	routine40220:?
Routine 0x9d70	routine40304:?
Routine 0x9df8	routine40440:?
Routine 0x9e6c	routine40556:?
Routine 0x9ef4	routine40692:?
Routine 0x9fb0	routine40880:?
Routine 0xa040	routine41024:?
Routine 0xa080	routine41088:?
Routine 0xa0a4	routine41124:?
Routine 0xa0c8	routine41160:?
Routine 0xa0dc	routine41180:?
Routine 0xa0e4	routine41188:?
Routine 0xa114	routine41236:?
Routine 0xa130	routine41264:?
Routine 0xa160	routine41312:?
Routine 0xa1e0	VersionSub:?
Routine 0xa268	routine41576:?
Routine 0xa294	routine41620:?
Routine 0xa2a8	PlacesSub:?
Routine 0xa2b0	ObjectsSub:?
Routine 0xa2b8	routine41656:?
