! Auto-generated by Reform.

MD5	31a0c1e360dce94aa5bece5240691d17
Action 66	Attack		! 'bang'/'knock'/'pound'/'tap' noun 'down'/'over'
				! 'bang'/'knock'/'pound'/'tap' 'down'/'over' noun
				! 'attack'/'beat'/'break'/'crack'/'destroy'/'fight'/'hit'/'kick'/'kill'/'murder'/'punch'/'rip'/'smash'/'tear'/'thump'/'torture'/'wreck' noun
				! 'attack'/'beat'/'break'/'crack'/'destroy'/'fight'/'hit'/'kick'/'kill'/'murder'/'punch'/'rip'/'smash'/'tear'/'thump'/'torture'/'wreck' noun 'with' noun
Action 67	Swim		! 'dive'/'swim'
Action 68	Swing		! 'swing' noun
				! 'swing' 'on' noun
Action 69	Blow		! 'blow' held
Action 70	Rub		! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' noun
Action 71	Set		! 'adjust'/'set' noun
Action 72	SetTo		! 'adjust'/'set' noun 'to' special
Action 73	WaveHands	! 'wave'
Action 74	Wave		! 'wave' noun
Action 75	Pull		! 'drag'/'pull'/'tug'/'yank' noun
				! 'drag'/'pull'/'tug'/'yank' 'on' noun
				! 'drag'/'pull'/'tug'/'yank' noun 'down'/'off'/'over'
				! 'drag'/'pull'/'tug'/'yank' noun 'from'/'of'/'off' noun
				! 'drag'/'pull'/'tug'/'yank' noun 'down'/'off' 'from'/'of'/'off' noun
Action 76	Push		! 'clear'/'move'/'press'/'push'/'shift'/'shove'/'slide' noun
				! 'clear'/'move'/'press'/'push'/'shift'/'shove'/'slide' noun 'over'
				! 'clear'/'move'/'press'/'push'/'shift'/'shove'/'slide' noun 'from'/'off'/'of' noun
				! 'clear'/'move'/'press'/'push'/'shift'/'shove'/'slide' noun 'down'/'off' 'from'/'of'/'off' noun
Action 77	Turn		! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun
Action 78	PushDir		! 'clear'/'move'/'press'/'push'/'shift'/'shove'/'slide' noun noun
Action 79	Squeeze		! 'squash'/'squeeze' noun
Action 80	ThrowAt		! 'throw' noun=routine95488 'at'/'on'/'onto'/'to' noun
				! 'throw' noun=routine95608 'at'/'in'/'into'/'on'/'onto'/'to' noun
				! 'throw' held 'at'/'to' noun
				! 'throw' noun held
				! 'throw' held 'at'/'against'/'on'/'onto' noun
				! 'feed' noun=routine95488 'to' creature
				! 'discard'/'drop'/'toss' held 'at'/'against'/'on'/'onto' noun
Action 81	Tell		! 'tell' creature 'about' topic
Action 82	Answer		! 'answer'/'call'/'say'/'speak'/'talk' topic 'to' creature
Action 83	Ask		! 'ask' creature 'about' topic
				! 'ask' creature 'for' topic
Action 84	Buy		! 'buy'/'purchase' noun
Action 85	Sing		! 'sing'
Action 86	Climb		! 'hop'/'jump'/'skip' 'in'/'into'/'on'/'onto' noun
				! 'climb'/'scale' noun
				! 'climb'/'scale' 'up'/'over' noun
				! 'climb'/'scale' 'on' noun
				! 'go'/'run'/'walk' 'on' noun
Action 87	Wait		! 'wait'/'z//'
Action 88	Sleep		! 'nap'/'sleep'
Action 89	Consult		! 'consult' noun 'about' topic
				! 'consult' noun 'on' topic
				! 'l//'/'look' 'up' topic 'in' noun
Action 90	AskFor		! 'ask' creature 'for' noun
Action 91	GiveR		! 'give'/'offer'/'pay' creature noun 'back'
				! 'give'/'offer'/'pay' creature 'back' noun
Action 93	PutUnder	! 'clear'/'move'/'press'/'push'/'shift'/'shove'/'slide' multiexcept 'under' noun
				! 'lean'/'put'/'stick'/'wind' multiexcept 'under' noun
Action 94	Transfer	! 'clear'/'move'/'press'/'push'/'shift'/'shove'/'slide' noun 'to' noun
Action 95	Introduce	! 'introduce' 'me'/'myself'/'self' 'to' animate
				! 'introduce' 'me'/'myself'/'self' 'to' noun
Action 96	PushInOut	! 'clear'/'move'/'press'/'push'/'shift'/'shove'/'slide' noun 'in'/'out'
				! 'clear'/'move'/'press'/'push'/'shift'/'shove'/'slide' noun 'in'/'out' noun
				! 'clear'/'move'/'press'/'push'/'shift'/'shove'/'slide' noun 'through' noun
				! 'drag'/'pull'/'tug'/'yank' noun 'through' noun
				! 'lean'/'put'/'stick'/'wind' multiexcept 'through' noun
Action 97	Knock		! 'bang'/'knock'/'pound'/'tap' 'on'/'at' noun
				! 'bang'/'knock'/'pound'/'tap' noun
				! 'bang'/'knock'/'pound'/'tap' noun 'on'/'at' noun
Action 98	Version		! 'version'
Action 99	Empty		! 'transfer' noun 'to' noun
				! 'dump'/'empty'/'pour' noun
				! 'dump'/'empty'/'pour' noun 'out'
				! 'dump'/'empty'/'pour' 'out' noun
				! 'dump'/'empty'/'pour' noun 'by'/'in'/'into'/'on'/'onto' noun
				! 'dump'/'empty'/'pour' noun 'next' 'to' noun
Action 100	InvTall		! 'i//'/'inv'/'inventory' 'tall'
Action 102	GoIn		! 'climb'/'scale' 'in'/'into'/'through' noun
				! 'in'/'inside'
				! 'cross'/'enter'
				! 'cross'/'enter' noun
				! 'cross'/'enter'
				! 'go'/'run'/'walk' 'in'/'into'/'inside'
				! 'go'/'run'/'walk' 'in'/'into'/'inside' noun
				! 'go'/'run'/'walk' 'inside' 'of' noun
Action 103	WhatIsWhat	! 'what' routine59728
				! 'who' routine59728
Action 104	WhoAmI		! 'who' routine59728 'i//'
				! 'who' routine59728 'i?'
				! 'who' routine59728 'i//' '?//'
Action 105	WhoIs		! 'who' routine59728 scope=routine59980
				! 'who' routine59728 scope=routine59980 '?//'
Action 106	WhatisQ		! 'what' routine59760
				! 'who' routine59760
Action 107	WhatAmI		! 'what' routine59728 'i//'
				! 'what' routine59728 'i?'
				! 'what' routine59728 'i//' '?//'
Action 108	WhatIs		! 'what' routine59728 scope=routine59980
				! 'what' routine59728 scope=routine59980 '?//'
Action 109	LockNoKey	! 'lock' noun=routine95540
				! 'lock' noun=routine95540 'with' noun=routine95556
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' clothing 'in' lockable
Action 110	UnlockNoKey	! 'unlock' noun=routine95540
				! 'unlock' noun=routine95540 'with' noun=routine95556
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' clothing 'in' locked
Action 111	GoOut		! 'climb'/'scale' 'out'/'through' noun
				! 'exit'/'out'/'outside'
				! 'exit'/'out'/'outside' noun
				! 'go'/'run'/'walk' 'out'/'outside'
				! 'go'/'run'/'walk' 'out'/'outside' noun
				! 'go'/'run'/'walk' 'out'/'outside' 'of' noun
Action 112	Pry		! 'pry' noun
				! 'pry' noun 'from'/'off'/'with' noun
				! 'pry' noun 'off' 'with' noun
Action 113	Stir		! 'stir' noun
				! 'stir' noun 'with' 'spoon'
Action 114	Joke		! 'anita'/'annie'/'apple'/'arthur'/'banana'/'bob'/'boo'/'canoe'/'carl'/'doris'/'dorris'/'gladys'/'harry'/'irish'/'isabelle'/'ivan'/'joke'/'justin'/'lettuce'/'minnie'/'olive'/'orange'/'owl'/'police'/'radio'/'venice'/'wanda'/'wayne'/'wendy'/'yodelx'
Action 115	YesNoMaybe	! 'maybe'/'possibly'
				! 'no'
				! 'deal'/'ok'/'okay'/'y//'/'yes'
Action 116	Continue	! 'go'/'run'/'walk' 'on'
Action 117	HowToTalk	! 'shout'/'yell' 'at'/'to' creature
				! 'ask' creature 'how'/'what'/'when'/'where'/'who'/'why' topic
				! 'tell' creature 'how'/'what'/'when'/'where'/'who'/'why' topic
				! 'answer'/'call'/'say'/'speak'/'talk' 'how'/'what'/'when'/'where'/'who'/'why' topic
Action 118	SayInstead	! 'shout'/'yell' topic 'at'/'to' creature
				! 'ask' creature 'to' topic
				! 'tell' creature 'to' topic
				! 'tell' creature topic
				! 'answer'/'call'/'say'/'speak'/'talk' creature
				! 'answer'/'call'/'say'/'speak'/'talk' topic 'to' creature
				! 'answer'/'call'/'say'/'speak'/'talk' 'to' creature
Action 119	Follow		! 'chase'/'follow'/'pursue'/'track'/'trail' noun
Action 120	Unbend		! 'bend'/'straighte'/'unbend' 'spoon'
Action 121	Draw		! 'draw' noun
Action 122	Feed		! 'feed' creature
Action 123	ThrowAtR	! 'feed' creature noun=routine95488
Action 124	GiveContainer	! 'give'/'offer'/'pay' noun=routine95488 'to' creature
Action 125	Help		! 'about'/'commands'/'help'/'hint'/'info'
Action 126	InvError	! 'i//'/'inv'/'inventory' 'wide'
Action 127	Flip		! 'flick'/'flip'/'switch' noun
Action 128	Xyzzy		! 'xyzzy'

Word	abduction	abduction
Word	apologise	apologise
Word	apologize	apologize
Word	barricade	barricade
Word	billowing	billowing
Word	bungalows	bungalows
Word	butterfli	butterfli
Word	butterfly	butterfly
Word	cardboard	cardboard
Word	clockface	clockface
Word	clocktowe	clocktowe
Word	clockwork	clockwork
Word	collatera	collatera
Word	collectio	collectio
Word	compartme	compartme
Word	congealed	congealed
Word	crackling	crackling
Word	crumbling	crumbling
Word	davenport	davenport
Word	deactivat	deactivat
Word	decoratio	decoratio
Word	diamond-	diamond-
Word	direction	direction
Word	disappear	disappear
Word	downstair	downstair
Word	drawstrin	drawstrin
Word	embroider	embroider
Word	everythin	everythin
Word	eyeglasse	eyeglasse
Word	fasteners	fasteners
Word	fieldmous	fieldmous
Word	fireplace	fireplace
Word	flattened	flattened
Word	floorboar	floorboar
Word	fullscore	fullscore
Word	furniture	furniture
Word	garden's	garden's
Word	gingerbre	gingerbre
Word	glitterin	glitterin
Word	grandmoth	grandmoth
Word	grass-co	grass-co
Word	green-sh	green-sh
Word	greetings	greetings
Word	handkerch	handkerch
Word	high-bac	high-bac
Word	honeysuck	honeysuck
Word	humpty-d	humpty-d
Word	introduce	introduce
Word	inventory	inventory
Word	kidnapped	kidnapped
Word	kidnappin	kidnappin
Word	kitten's	kitten's
Word	lampshade	lampshade
Word	lightbulb	lightbulb
Word	machinery	machinery
Word	mechanism	mechanism
Word	medium-s	medium-s
Word	mid-size	mid-size
Word	middle-s	middle-s
Word	miniature	miniature
Word	newspaper	newspaper
Word	northeast	northeast
Word	northwest	northwest
Word	ornamenta	ornamenta
Word	pea-size	pea-size
Word	permissio	permissio
Word	playgroun	playgroun
Word	porcelain	porcelain
Word	posterboa	posterboa
Word	rectangle	rectangle
Word	reporters	reporters
Word	resilient	resilient
Word	schoolhou	schoolhou
Word	schoolroo	schoolroo
Word	schoolyar	schoolyar
Word	scratched	scratched
Word	seventeen	seventeen
Word	shattered	shattered
Word	shrubbery	shrubbery
Word	solicitin	solicitin
Word	solicitor	solicitor
Word	something	something
Word	southeast	southeast
Word	southwest	southwest
Word	spectacle	spectacle
Word	stickpins	stickpins
Word	straighte	straighte
Word	student'	student'
Word	substance	substance
Word	superbrie	superbrie
Word	superviso	superviso
Word	sweatshir	sweatshir
Word	tarnished	tarnished
Word	teacher'	teacher'
Word	televisio	televisio
Word	terrorism	terrorism
Word	terrorist	terrorist
Word	thumbtack	thumbtack
Word	toothpick	toothpick
Word	transcrip	transcrip
Word	underbrus	underbrus
Word	undergrow	undergrow
Word	underneat	underneat
Word	unidentif	unidentif
Word	upholster	upholster
Word	waist-hi	waist-hi
Word	well-gro	well-gro
Word	woolsacks	woolsacks
Word	yellow-p	yellow-p
Word	yesterday	yesterday

Routine 0x6a60	routine27232:?
Routine 0x6a68	routine27240:?
Routine 0x6aa4	routine27300:?
Routine 0x6ab0	routine27312:?
Routine 0x6ad4	routine27348:?
Routine 0x6b74	routine27508:?
Routine 0x6d4c	routine27980:?
Routine 0x6d84	routine28036:?
Routine 0x6dc0	routine28096:?
Routine 0x6df0	routine28144:?
Routine 0x6e20	routine28192:?
Routine 0x6e34	routine28212:?
Routine 0x6e68	routine28264:?
Routine 0x6ea4	routine28324:?
Routine 0x8bac	routine35756:?
! References: obj20__self_object_.short_name
Routine 0x8bb8	routine35768:?
Routine 0x8bc4	routine35780:?
Routine 0x8bd0	routine35792:?
Routine 0x8bf0	routine35824:?
Routine 0x8c7c	routine35964:?
! References: obj21__Inform_Parser_.parse_input
Routine 0x8c90	routine35984:?
Routine 0x8c98	routine35992:?
Routine 0x8e7c	routine36476:?
Routine 0x95cc	routine38348:?
Routine 0x95f8	routine38392:?
Routine 0x9614	routine38420:?
Routine 0x962c	routine38444:?
Routine 0x967c	routine38524:?
Routine 0x9ab8	routine39608:?
Routine 0x9f7c	routine40828:?
Routine 0xa0d8	routine41176:?
Routine 0xa120	routine41248:?
Routine 0xa200	routine41472:?
Routine 0xa278	routine41592:?
Routine 0xa2c8	routine41672:?
Routine 0xa2fc	routine41724:?
Routine 0xa34c	routine41804:?
Routine 0xa374	routine41844:?
Routine 0xa390	routine41872:?
Routine 0xa3c0	routine41920:?
Routine 0xa45c	routine42076:?
Routine 0xa470	routine42096:?
Routine 0xa48c	routine42124:?
Routine 0xa504	routine42244:?
Routine 0xa534	routine42292:?
Routine 0xa618	routine42520:?
Routine 0xa63c	routine42556:?
Routine 0xa688	routine42632:?
Routine 0xa6e0	routine42720:?
Routine 0xa70c	routine42764:?
Routine 0xa73c	routine42812:?
Routine 0xa784	routine42884:?
Routine 0xa7d0	routine42960:?
Routine 0xa7e8	routine42984:?
Routine 0xa800	routine43008:?
Routine 0xa80c	routine43020:?
Routine 0xa908	routine43272:?
Routine 0xa910	routine43280:?
Routine 0xa958	routine43352:?
Routine 0xa96c	routine43372:?
Routine 0xa980	routine43392:?
Routine 0xa99c	routine43420:?
Routine 0xa9fc	PronounsSub:?
Routine 0xaaa8	routine43688:?
Routine 0xaadc	routine43740:?
Routine 0xab0c	routine43788:?
Routine 0xab14	routine43796:?
Routine 0xab40	routine43840:?
! References: obj22__Inform_Library_.play
Routine 0xaba8	routine43944:?
! References: obj22__Inform_Library_.end_turn_sequence
Routine 0xaf60	routine44896:?
! References: obj22__Inform_Library_.begin_action
Routine 0xb010	routine45072:?
Routine 0xb054	routine45140:?
Routine 0xb074	routine45172:?
Routine 0xb0a0	routine45216:?
Routine 0xb0e8	routine45288:?
Routine 0xb124	routine45348:?
Routine 0xb16c	routine45420:?
Routine 0xb1a8	routine45480:?
Routine 0xb1b4	routine45492:?
Routine 0xb1d8	routine45528:?
Routine 0xb238	routine45624:?
Routine 0xb258	routine45656:?
Routine 0xb27c	routine45692:?
Routine 0xb28c	routine45708:?
Routine 0xb2e8	routine45800:?
Routine 0xb31c	routine45852:?
Routine 0xb370	routine45936:?
Routine 0xb398	routine45976:?
Routine 0xb3b4	routine46004:?
Routine 0xb3c8	routine46024:?
Routine 0xb3e4	routine46052:?
Routine 0xb42c	routine46124:?
Routine 0xb480	routine46208:?
Routine 0xb4f4	routine46324:?
Routine 0xb59c	routine46492:?
Routine 0xb78c	routine46988:?
Routine 0xb848	routine47176:?
Routine 0xb8d8	routine47320:?
Routine 0xb918	routine47384:?
Routine 0xb93c	routine47420:?
Routine 0xb960	routine47456:?
Routine 0xb974	routine47476:?
Routine 0xb97c	routine47484:?
Routine 0xb9ac	routine47532:?
Routine 0xb9c8	routine47560:?
Routine 0xb9f8	routine47608:?
Routine 0xba78	VersionSub:?
Routine 0xbb00	routine47872:?
Routine 0xbb2c	routine47916:?
Routine 0xbd88	PlacesSub:?
Routine 0xbd90	ObjectsSub:?
Routine 0xbd98	routine48536:?
