! Auto-generated by Reform.

MD5	87ed53d854f7e57c36106fca3b9cf5a6
				! 'blind'/'jab'/'poke' attrib18(in_room,on_ground) 'with'/'using' object(held,carried,have)
Action 26	Action26	! 'blow' 'outsid'/'out' object
				! 'douse'/'exting'/'quench'/'snuff' attrib3
				! 'force'/'insert'/'lay'/'place'/'put'/'stash'/'stuff'/'wedge' 'outsid'/'out' object(held,carried,in_room,on_ground)
				! 'flip'/'set'/'turn' 'off' object(held,carried,in_room,on_ground)
Action 27	Action27	! 'burn'/'ignite' 'down'/'d//' object(held,carried,in_room,on_ground) 'with'/'using' object(held,carried,in_room,on_ground,have)
				! 'burn'/'ignite' object(held,carried,in_room,on_ground) 'with'/'using' object(held,carried,in_room,on_ground)
				! 'light' object(held,carried,in_room,on_ground) 'with'/'using' object(held,carried,have)
Action 28	Action28	! 'buy' object 'with'/'using' object(held,have)
				! 'buy' object
Action 29	Action29	! 'brush'/'clean'/'sweep' 'off' object
				! 'brush'/'clean'/'sweep' object
Action 30	Action30	! 'climb'/'scale' 'up'/'u//' attrib19(in_room,on_ground)
				! 'climb'/'scale' attrib19(in_room,on_ground)
				! 'ascend' attrib19(in_room,on_ground)
				! 'advanc'/'crawl'/'go'/'hike'/'hop'/'procee'/'run'/'skip'/'step'/'tramp'/'trudge'/'walk' 'up'/'u//' attrib19(in_room,on_ground)
Action 31	Action31	! 'climb'/'scale' 'onto'/'on' object(in_room,on_ground)
				! 'swing' 'onto'/'on' object
				! 'carry'/'catch'/'confis'/'get'/'grab'/'hold'/'seize'/'snatch'/'steal'/'take' 'onto'/'on' object(in_room,on_ground)
Action 32	Action32	! 'climb'/'scale' 'down'/'d//' attrib19(in_room,on_ground)
				! 'descen' attrib19(in_room,on_ground)
				! 'advanc'/'crawl'/'go'/'hike'/'hop'/'procee'/'run'/'skip'/'step'/'tramp'/'trudge'/'walk' 'down'/'d//' attrib19(in_room,on_ground)
Action 33	Action33	! 'climb'/'scale' 'over'/'across' attrib19(in_room,on_ground)
Action 34	Action34	! 'climb'/'scale' 'undern'/'under'/'beneat'/'below' object(in_room,on_ground)
				! 'enter' attrib19
				! 'advanc'/'crawl'/'go'/'hike'/'hop'/'procee'/'run'/'skip'/'step'/'tramp'/'trudge'/'walk' 'undern'/'under'/'beneat'/'below' object
				! 'advanc'/'crawl'/'go'/'hike'/'hop'/'procee'/'run'/'skip'/'step'/'tramp'/'trudge'/'walk' 'thru'/'throug' object
Action 35	Action35	! 'climb'/'scale' 'into'/'inside'/'in'/'beyond'/'betwee' attrib19(in_room,on_ground)
				! 'dive'/'jump'/'leap' 'into'/'inside'/'in'/'beyond'/'betwee' attrib19
				! 'sit'/'squat' 'into'/'inside'/'in'/'beyond'/'betwee' object(in_room,on_ground)
				! 'carry'/'catch'/'confis'/'get'/'grab'/'hold'/'seize'/'snatch'/'steal'/'take' 'into'/'inside'/'in'/'beyond'/'betwee' object(in_room,on_ground)
				! 'advanc'/'crawl'/'go'/'hike'/'hop'/'procee'/'run'/'skip'/'step'/'tramp'/'trudge'/'walk' 'into'/'inside'/'in'/'beyond'/'betwee' attrib19
Action 36	Action36	! 'climb'/'scale' 'outsid'/'out' attrib19
				! 'depart'/'exit'/'scram'/'withdr' attrib19
				! 'dive'/'jump'/'leap' 'outsid'/'out' attrib19
				! 'carry'/'catch'/'confis'/'get'/'grab'/'hold'/'seize'/'snatch'/'steal'/'take' 'outsid'/'out' object
				! 'advanc'/'crawl'/'go'/'hike'/'hop'/'procee'/'run'/'skip'/'step'/'tramp'/'trudge'/'walk' 'outsid'/'out' attrib19
Action 37	Action37	! 'close'/'shut'/'slam' attrib4(held,carried,in_room,on_ground)
Action 38	Action38	! 'count'/'tally' object
Action 39	Action39	! 'cross'/'traver' object
				! 'advanc'/'crawl'/'go'/'hike'/'hop'/'procee'/'run'/'skip'/'step'/'tramp'/'trudge'/'walk' 'over'/'across' object
Action 40	Action40	! 'cut'/'rip'/'slash'/'tear' 'thru'/'throug' object 'with'/'using' object(held,carried)
				! 'cut'/'rip'/'slash'/'tear' object 'with'/'using' object(held,carried)
Action 41	Action41	! 'dig'/'excava' 'into'/'inside'/'in'/'beyond'/'betwee' object(in_room,on_ground) 'with'/'using' object(held,carried,have)
				! 'dig'/'excava' object(in_room,on_ground) 'with'/'using' object(held,carried,have)
				! 'dig'/'excava' 'thru'/'throug' object
				! 'dig'/'excava' 'with'/'using' object
				! 'dig'/'excava' 'up'/'u//' object
				! 'dig'/'excava' 'at' object
				! 'dig'/'excava' 'into'/'inside'/'in'/'beyond'/'betwee' object
Action 42	Action42	! 'drink'/'guzzle'/'sip' object(held,carried,in_room,on_ground)
Action 43	Action43	! 'drink'/'guzzle'/'sip' 'from' object(held,carried)
Action 44	Action44	! 'drop'/'dump' object(held,many,have)
				! 'force'/'insert'/'lay'/'place'/'put'/'stash'/'stuff'/'wedge' 'down'/'d//' object(held,carried,many,have)
Action 45	Action45	! 'drop'/'dump' object(held,many) 'into'/'inside'/'in'/'beyond'/'betwee' object
				! 'drop'/'dump' object(held,many) 'down'/'d//' object
				! 'leave' object(held,carried,many,have) 'into'/'inside'/'in'/'beyond'/'betwee' object(carried,in_room,on_ground)
				! 'force'/'insert'/'lay'/'place'/'put'/'stash'/'stuff'/'wedge' object(held,carried,many,have) 'down'/'d//' object(carried,in_room,on_ground)
				! 'force'/'insert'/'lay'/'place'/'put'/'stash'/'stuff'/'wedge' object(held,carried,many,have) 'into'/'inside'/'in'/'beyond'/'betwee' object(carried,in_room,on_ground)
				! 'crush'/'squash'/'squeez' object(held) 'onto'/'on' object
				! 'chuck'/'fling'/'hurl'/'pitch'/'throw'/'toss' object(held,carried,many,have) 'onto'/'on' object(in_room,on_ground)
				! 'chuck'/'fling'/'hurl'/'pitch'/'throw'/'toss' object(held,carried,many,have) 'into'/'inside'/'in'/'beyond'/'betwee' object(in_room,on_ground)
				! 'chuck'/'fling'/'hurl'/'pitch'/'throw'/'toss' object(held,carried,many,have) 'down'/'d//' object(in_room,on_ground)
				! 'chuck'/'fling'/'hurl'/'pitch'/'throw'/'toss' object(held,carried,many,have) 'thru'/'throug' object(in_room,on_ground)
Action 46	Action46	! 'drop'/'dump' object(held,many) 'onto'/'on' object
				! 'leave' object(held,carried,many,have) 'onto'/'on' object(carried,in_room,on_ground)
				! 'force'/'insert'/'lay'/'place'/'put'/'stash'/'stuff'/'wedge' object(held,carried,many,have) 'over'/'across' object(carried,in_room,on_ground)
				! 'force'/'insert'/'lay'/'place'/'put'/'stash'/'stuff'/'wedge' object(held,carried,many,have) 'onto'/'on' object(carried,in_room,on_ground)
Action 47	Action47	! 'consum'/'devour'/'eat'/'gobble'/'nibble'/'swallo' object(held,carried,in_room,on_ground)
Action 48	Action48	! 'check'/'descri'/'examin'/'inspec'/'observ'/'see'/'study'/'survey'/'watch' object(held,carried,in_room,on_ground)
				! 'gaze'/'l//'/'look'/'peek'/'peer'/'stare' 'at' object(held,carried,in_room,on_ground)
Action 49	Action49	! 'check'/'descri'/'examin'/'inspec'/'observ'/'see'/'study'/'survey'/'watch' 'into'/'inside'/'in'/'beyond'/'betwee' object(held,carried,in_room,on_ground)
				! 'gaze'/'l//'/'look'/'peek'/'peer'/'stare' 'outsid'/'out' object
				! 'gaze'/'l//'/'look'/'peek'/'peer'/'stare' 'into'/'inside'/'in'/'beyond'/'betwee' object(held,carried,in_room,on_ground)
				! 'gaze'/'l//'/'look'/'peek'/'peer'/'stare' 'thru'/'throug' object(held,carried,in_room,on_ground)
Action 50	Action50	! 'check'/'descri'/'examin'/'inspec'/'observ'/'see'/'study'/'survey'/'watch' 'onto'/'on' object(held,carried,in_room,on_ground)
				! 'gaze'/'l//'/'look'/'peek'/'peer'/'stare' 'onto'/'on' object(held,carried,in_room,on_ground)
Action 51	Action51	! 'check'/'descri'/'examin'/'inspec'/'observ'/'see'/'study'/'survey'/'watch' 'for' object
				! 'find'/'seek' object
				! 'gaze'/'l//'/'look'/'peek'/'peer'/'stare' 'for' object
				! 'frisk'/'ransac'/'rummag'/'search' 'for' object
Action 52	Action52	! 'check'/'descri'/'examin'/'inspec'/'observ'/'see'/'study'/'survey'/'watch' object(held,carried,in_room,on_ground) 'with'/'using' object(held,carried,in_room,on_ground)
				! 'check'/'descri'/'examin'/'inspec'/'observ'/'see'/'study'/'survey'/'watch' object(held,carried,in_room,on_ground) 'thru'/'throug' object(held,carried,in_room,on_ground)
				! 'gaze'/'l//'/'look'/'peek'/'peer'/'stare' 'at' object(held,carried,in_room,on_ground) 'thru'/'throug' object
				! 'read'/'skim' attrib6(held,carried,in_room,on_ground) 'thru'/'throug' object
Action 53	Action53	! 'fill' attrib4(held,carried,in_room,on_ground) 'at' object
				! 'fill' attrib4(held,carried,in_room,on_ground) 'with'/'using' object
				! 'fill' attrib4(held,carried,in_room,on_ground)
Action 54	Action54	! 'fly' 'with'/'using' object
				! 'fly' 'onto'/'on' object
				! 'fly' object
				! 'fly'
Action 55	Action55	! 'chase'/'follow'/'pursue' object
Action 56	Action56	! 'bestow'/'delive'/'donate'/'give'/'hand'/'offer'/'presen'/'show' object(held) 'toward'/'to' attrib18(in_room,on_ground)
Action 57	Action57	! 'bestow'/'delive'/'donate'/'give'/'hand'/'offer'/'presen'/'show' attrib18(in_room,on_ground) object(held)
Action 58	Action58	! 'feed' attrib18(in_room,on_ground) object(held)
				! 'feed' attrib18(in_room,on_ground) 'with'/'using' object(held)
Action 59	Action59	! 'feed' object(held) 'toward'/'to' attrib18(in_room,on_ground)
Action 60	Action60	! 'hear' object
				! 'listen' 'for' object(held,carried,in_room,on_ground)
				! 'listen' 'into'/'inside'/'in'/'beyond'/'betwee' object(held,carried,in_room,on_ground)
				! 'listen' 'toward'/'to' object(held,carried,in_room,on_ground)
				! 'listen' attrib19
Action 61	Action61	! 'heel'
Action 62	Action62	! 'aftern'/'bye'/'farewe'/'goodby'/'greet'/'greeti'/'hello'/'hi'/'salute' object
				! 'aftern'/'bye'/'farewe'/'goodby'/'greet'/'greeti'/'hello'/'hi'/'salute'
				! 'affirm'/'aye'/'naw'/'nay'/'negati'/'no'/'nope'/'ok'/'okay'/'positi'/'sure'/'y//'/'yes'/'yup' attrib18
				! 'affirm'/'aye'/'naw'/'nay'/'negati'/'no'/'nope'/'ok'/'okay'/'positi'/'sure'/'y//'/'yes'/'yup'
Action 63	Action63	! 'aid'/'help'
				! 'hint'/'hints'
				! 'pray'
Action 64	Action64	! 'concea'/'hide' object(held,have) 'undern'/'under'/'beneat'/'below' object
				! 'concea'/'hide' object(held,have) 'behind' object
				! 'concea'/'hide' object(held,have) 'from' object
				! 'concea'/'hide' 'behind' object
				! 'concea'/'hide' 'undern'/'under'/'beneat'/'below' object
				! 'concea'/'hide' attrib19
Action 65	Action65	! 'cover' object 'with'/'using' object(held,have)
Action 66	Action66	! 'dive'/'jump'/'leap' 'off' object
				! 'dive'/'jump'/'leap' 'from' object
				! 'dive'/'jump'/'leap' 'over'/'across' object
				! 'dive'/'jump'/'leap' attrib19
Action 67	Action67	! 'dive'/'jump'/'leap' 'onto'/'on' object
				! 'rise'/'stand' 'onto'/'on' object
				! 'advanc'/'crawl'/'go'/'hike'/'hop'/'procee'/'run'/'skip'/'step'/'tramp'/'trudge'/'walk' 'onto'/'on' object
Action 68	Action68	! 'kick' 'down'/'d//' object
				! 'kick' 'into'/'inside'/'in'/'beyond'/'betwee' object
				! 'kick' object
Action 69	Action69	! 'kiss'/'smooch' attrib18(in_room,on_ground)
Action 70	Action70	! 'knock'/'pound'/'rap' 'onto'/'on' object
				! 'knock'/'pound'/'rap' 'at' object
Action 71	Action71	! 'leave' attrib19
Action 72	Action72	! 'lie'/'reclin' 'into'/'inside'/'in'/'beyond'/'betwee' object
				! 'lie'/'reclin' 'onto'/'on' object
				! 'lie'/'reclin' 'down'/'d//' attrib19
				! 'nap'/'rest'/'sleep'/'snooze' 'onto'/'on' object(in_room,on_ground)
				! 'nap'/'rest'/'sleep'/'snooze' 'into'/'inside'/'in'/'beyond'/'betwee' object(in_room,on_ground)
Action 73	Action73	! 'light' object(held,carried,in_room,on_ground)
				! 'flip'/'set'/'turn' 'onto'/'on' object(held,carried,in_room,on_ground)
Action 74	Action74	! 'lock' object(in_room,on_ground) 'with'/'using' object(held,have)
Action 75	Action75	! 'gaze'/'l//'/'look'/'peek'/'peer'/'stare' 'around'/'along' attrib19
				! 'gaze'/'l//'/'look'/'peek'/'peer'/'stare'
Action 76	Action76	! 'gaze'/'l//'/'look'/'peek'/'peer'/'stare' 'down'/'d//' attrib19
Action 77	Action77	! 'gaze'/'l//'/'look'/'peek'/'peer'/'stare' 'up'/'u//' attrib19
Action 78	Action78	! 'gaze'/'l//'/'look'/'peek'/'peer'/'stare' object(held,carried,in_room,on_ground)
Action 79	Action79	! 'gaze'/'l//'/'look'/'peek'/'peer'/'stare' 'undern'/'under'/'beneat'/'below' object
				! 'frisk'/'ransac'/'rummag'/'search' 'undern'/'under'/'beneat'/'below' object
Action 80	Action80	! 'gaze'/'l//'/'look'/'peek'/'peer'/'stare' 'behind' object
Action 81	Action81	! 'lower' object
				! 'drag'/'pull'/'shove'/'tug'/'yank' 'down'/'d//' object
Action 82	Action82	! 'move'/'roll'/'shift' attrib19(in_room,on_ground)
Action 83	Action83	! 'move'/'roll'/'shift' object(in_room,on_ground) 'toward'/'to' object
				! 'move'/'roll'/'shift' object(in_room,on_ground) object
				! 'nudge'/'press'/'push'/'thrust' object(in_room,on_ground) 'into'/'inside'/'in'/'beyond'/'betwee' object
				! 'nudge'/'press'/'push'/'thrust' object(in_room,on_ground) 'toward'/'to' object
				! 'nudge'/'press'/'push'/'thrust' object(in_room,on_ground) object
Action 84	Action84	! 'open'/'unseal' attrib2(held,carried,in_room,on_ground) 'with'/'using' object(held,carried,in_room,on_ground,have)
				! 'open'/'unseal' 'up'/'u//' attrib2(held,carried,in_room,on_ground)
				! 'open'/'unseal' attrib2(held,carried,in_room,on_ground)
Action 85	Action85	! 'pray' 'for' object
				! 'dream'/'hope'/'wish'/'yearn' 'for' object 'with'/'using' object
				! 'dream'/'hope'/'wish'/'yearn' 'for' object
Action 86	Action86	! 'drag'/'pull'/'shove'/'tug'/'yank' 'onto'/'on' object(in_room,on_ground)
				! 'drag'/'pull'/'shove'/'tug'/'yank' object(in_room,on_ground)
Action 87	Action87	! 'drag'/'pull'/'shove'/'tug'/'yank' 'up'/'u//' object(in_room,on_ground)
				! 'elevat'/'hoist'/'lift'/'raise' 'up'/'u//' object
				! 'elevat'/'hoist'/'lift'/'raise' object
				! 'carry'/'catch'/'confis'/'get'/'grab'/'hold'/'seize'/'snatch'/'steal'/'take' 'up'/'u//' attrib19
Action 88	Action88	! 'drag'/'pull'/'shove'/'tug'/'yank' attrib17 'outsid'/'out' object(in_room,on_ground)
				! 'pick' 'up'/'u//' attrib17(on_ground,many)
				! 'empty' object 'outsid'/'out' object
				! 'empty' object 'from' object
				! 'carry'/'catch'/'confis'/'get'/'grab'/'hold'/'seize'/'snatch'/'steal'/'take' attrib17(carried,in_room,many) 'onto'/'on' object
				! 'carry'/'catch'/'confis'/'get'/'grab'/'hold'/'seize'/'snatch'/'steal'/'take' attrib17(carried,in_room,many) 'into'/'inside'/'in'/'beyond'/'betwee' object
				! 'carry'/'catch'/'confis'/'get'/'grab'/'hold'/'seize'/'snatch'/'steal'/'take' attrib17(carried,in_room,many) 'from' object
				! 'carry'/'catch'/'confis'/'get'/'grab'/'hold'/'seize'/'snatch'/'steal'/'take' attrib17(carried,in_room,many) 'off' object
				! 'carry'/'catch'/'confis'/'get'/'grab'/'hold'/'seize'/'snatch'/'steal'/'take' attrib17(carried,in_room,many) 'outsid'/'out' object
				! 'carry'/'catch'/'confis'/'get'/'grab'/'hold'/'seize'/'snatch'/'steal'/'take' attrib17(in_room,on_ground,many)
Action 89	Action89	! 'bribe'/'entice'/'pay' attrib18 'with'/'using' object(held,carried)
Action 90	Action90	! 'pick' object 'with'/'using' object
				! 'pick' object
Action 91	Action91	! 'cavort'/'fiddle'/'play'/'toy' 'with'/'using' object
				! 'cavort'/'fiddle'/'play'/'toy' attrib19
Action 92	Action92	! 'gestur'/'point' 'toward'/'to' object
				! 'gestur'/'point' 'at' object
Action 93	Action93	! 'pour'/'spill'/'sprink' object(held,carried) 'from' object
				! 'pour'/'spill'/'sprink' object(held,carried) 'onto'/'on' object
				! 'pour'/'spill'/'sprink' 'outsid'/'out' object(held,carried)  object
				! 'pour'/'spill'/'sprink' object(held,carried) 'into'/'inside'/'in'/'beyond'/'betwee' object
				! 'pour'/'spill'/'sprink' 'outsid'/'out' object(held,carried)
				! 'pour'/'spill'/'sprink' object(held,carried)
Action 94	Action94	! 'empty' 'outsid'/'out' object(held,carried)
				! 'empty' object(held,carried)
Action 95	Action95	! 'nudge'/'press'/'push'/'thrust' 'down'/'d//' object(in_room,on_ground)
				! 'nudge'/'press'/'push'/'thrust' 'up'/'u//' object(in_room,on_ground)
				! 'nudge'/'press'/'push'/'thrust' 'onto'/'on' object(in_room,on_ground)
				! 'nudge'/'press'/'push'/'thrust' object(in_room,on_ground)
Action 96	Action96	! 'nudge'/'press'/'push'/'thrust' object 'undern'/'under'/'beneat'/'below' object
				! 'force'/'insert'/'lay'/'place'/'put'/'stash'/'stuff'/'wedge' object(held,carried,many,have) 'undern'/'under'/'beneat'/'below' object(carried,in_room,on_ground)
Action 97	Action97	! 'force'/'insert'/'lay'/'place'/'put'/'stash'/'stuff'/'wedge' 'onto'/'on' object(carried,in_room,on_ground)
				! 'don'/'wear' object
Action 98	Action98	! 'force'/'insert'/'lay'/'place'/'put'/'stash'/'stuff'/'wedge' object(held,carried,many,have) 'behind' object(carried,in_room,on_ground)
Action 99	Action99	! 'defile'/'hump'/'molest'/'rape'/'ravish' attrib18
Action 100	Action100	! 'reach' 'into'/'inside'/'in'/'beyond'/'betwee' object(in_room,on_ground)
Action 101	Action101	! 'read'/'skim' attrib6(held,carried,in_room,on_ground)
Action 102	Action102	! 'read'/'skim' attrib6(held,carried,in_room,on_ground) 'toward'/'to' object
Action 103	Action103	! 'detach'/'free'/'releas'/'undo'/'unfast'/'unhook'/'untie' object(held,carried,in_room,on_ground) 'from' object
				! 'detach'/'free'/'releas'/'undo'/'unfast'/'unhook'/'untie' object(held,carried,in_room,on_ground) 'with'/'using' object(have)
				! 'detach'/'free'/'releas'/'undo'/'unfast'/'unhook'/'untie' object(held,carried,in_room,on_ground)
Action 104	Action104	! 'remove' attrib10(have)
				! 'carry'/'catch'/'confis'/'get'/'grab'/'hold'/'seize'/'snatch'/'steal'/'take' 'off' object
Action 105	Action105	! 'replac' object
Action 106	Action106	! 'ride' 'onto'/'on' object
				! 'ride' 'into'/'inside'/'in'/'beyond'/'betwee' object
				! 'ride' object
Action 107	Action107	! 'bow'/'grovel'/'kneel' 'before' attrib18
				! 'bow'/'grovel'/'kneel' 'toward'/'to' attrib18
Action 108	Action108	! 'call'/'say'/'speak'/'talk'/'utter' attrib19
Action 109	Action109	! 'frisk'/'ransac'/'rummag'/'search' 'into'/'inside'/'in'/'beyond'/'betwee' object
				! 'frisk'/'ransac'/'rummag'/'search' object
Action 110	Action110	! 'jostle'/'rattle'/'shake' object
Action 111	Action111	! 'shoot' object
Action 112	Action112	! 'sit'/'squat' 'at' object
				! 'sit'/'squat' 'down'/'d//' attrib19(in_room,on_ground)
				! 'sit'/'squat' 'onto'/'on' object(in_room,on_ground)
				! 'sit'/'squat' attrib19(in_room,on_ground)
Action 113	Action113	! 'nap'/'rest'/'sleep'/'snooze'
Action 114	Action114	! 'smell'/'sniff' attrib19
Action 115	Action115	! 'rotate'/'spin'/'whirl' object
Action 116	Action116	! 'crush'/'squash'/'squeez' object
Action 117	Action117	! 'rise'/'stand' 'up'/'u//' attrib19
				! 'rise'/'stand'
Action 118	Action118	! 'rise'/'stand' 'undern'/'under'/'beneat'/'below' object
Action 119	Action119	! 'bathe'/'swim'/'wade' 'toward'/'to' object
				! 'bathe'/'swim'/'wade' 'into'/'inside'/'in'/'beyond'/'betwee' object
				! 'bathe'/'swim'/'wade' attrib19
Action 120	Action120	! 'swing' object(held,carried,have) 'at' attrib18(in_room,on_ground)
				! 'swing' object(held,carried,have)
Action 121	Action121	! 'taste' object
Action 122	Action122	! 'tell' attrib18(in_room) 'about' object
				! 'tell' attrib18(in_room)
Action 123	Action123	! 'thank'/'thanks'
				! 'thank'/'thanks' object
Action 124	Action124	! 'chuck'/'fling'/'hurl'/'pitch'/'throw'/'toss' object(held,carried,many,have) 'toward'/'to' object(in_room,on_ground)
				! 'chuck'/'fling'/'hurl'/'pitch'/'throw'/'toss' object(held,carried,many,have) 'at' object(in_room,on_ground)
Action 125	Action125	! 'chuck'/'fling'/'hurl'/'pitch'/'throw'/'toss' object(held,carried,many,have) 'over'/'across' object
				! 'chuck'/'fling'/'hurl'/'pitch'/'throw'/'toss' object(held,carried,many,have) 'off' object
Action 126	Action126	! 'attach'/'fasten'/'secure'/'tie' object 'toward'/'to' object
Action 127	Action127	! 'attach'/'fasten'/'secure'/'tie' 'up'/'u//' attrib18(in_room,on_ground) 'with'/'using' object(held,carried,in_room,on_ground,have)
Action 128	Action128	! 'distur'/'feel'/'pat'/'pet'/'rub'/'touch' object 'with'/'using' object
				! 'distur'/'feel'/'pat'/'pet'/'rub'/'touch' object
Action 129	Action129	! 'flip'/'set'/'turn' object 'with'/'using' object(have)
				! 'flip'/'set'/'turn' object
				! 'flip'/'set'/'turn' object 'for' object
				! 'flip'/'set'/'turn' object 'toward'/'to' object
Action 130	Action130	! 'unlock' object(in_room,on_ground) 'with'/'using' object(held,have)
Action 131	Action131	! 'employ'/'exploi'/'use' object
Action 132	Action132	! 'loiter'/'wait'/'z//'
Action 133	Action133	! 'loiter'/'wait'/'z//' 'for' object
Action 134	Action134	! 'awake'/'awaken'/'rouse'/'startl'/'surpri'/'wake' 'up'/'u//' attrib19
				! 'awake'/'awaken'/'rouse'/'startl'/'surpri'/'wake' attrib19
Action 135	Action135	! 'advanc'/'crawl'/'go'/'hike'/'hop'/'procee'/'run'/'skip'/'step'/'tramp'/'trudge'/'walk' object
Action 136	Action136	! 'advanc'/'crawl'/'go'/'hike'/'hop'/'procee'/'run'/'skip'/'step'/'tramp'/'trudge'/'walk' 'toward'/'to' object
Action 137	Action137	! 'grin'/'laugh'/'nod'/'smile'/'sneer'/'wave' 'toward'/'to' object
				! 'grin'/'laugh'/'nod'/'smile'/'sneer'/'wave' 'at' object
Action 138	Action138	! 'howl'/'scream'/'shout'/'yell' 'toward'/'to' object
				! 'howl'/'scream'/'shout'/'yell' 'at' object
				! 'howl'/'scream'/'shout'/'yell' attrib19

Word	$ve	$ve
Word	across	across
Word	admiss	admiss
Word	advanc	advanc
Word	advert	advert
Word	advice	advice
Word	affirm	affirm
Word	aftern	aftern
Word	aisles	aisles
Word	alexis	alexis
Word	anatin	anatin
Word	animal	animal
Word	answer	answer
Word	antiqu	antiqu
Word	arcade	arcade
Word	around	around
Word	ascend	ascend
Word	assaul	assaul
Word	asshol	asshol
Word	attach	attach
Word	attack	attack
Word	automa	automa
Word	awaken	awaken
Word	bastar	bastar
Word	beacon	beacon
Word	before	before
Word	behind	behind
Word	beneat	beneat
Word	bestow	bestow
Word	betwee	betwee
Word	beyond	beyond
Word	birthd	birthd
Word	blanke	blanke
Word	blinki	blinki
Word	blurre	blurre
Word	blurry	blurry
Word	boarde	boarde
Word	boards	boards
Word	bookca	bookca
Word	bottle	bottle
Word	bottom	bottom
Word	boughs	boughs
Word	branch	branch
Word	bridge	bridge
Word	broken	broken
Word	brooms	brooms
Word	bubbli	bubbli
Word	buildi	buildi
Word	button	button
Word	cancel	cancel
Word	candle	candle
Word	cardbo	cardbo
Word	carton	carton
Word	castle	castle
Word	cavort	cavort
Word	ceilin	ceilin
Word	cement	cement
Word	cemete	cemete
Word	center	center
Word	chains	chains
Word	chairs	chairs
Word	chambe	chambe
Word	charmi	charmi
Word	chemic	chemic
Word	chocol	chocol
Word	church	church
Word	cinema	cinema
Word	circul	circul
Word	clamps	clamps
Word	clutte	clutte
Word	cocksu	cocksu
Word	collar	collar
Word	colore	colore
Word	commem	commem
Word	concea	concea
Word	concre	concre
Word	confis	confis
Word	consum	consum
Word	contro	contro
Word	corner	corner
Word	corrid	corrid
Word	cottag	cottag
Word	counte	counte
Word	covere	covere
Word	creamy	creamy
Word	creatu	creatu
Word	crimso	crimso
Word	cursor	cursor
Word	curtai	curtai
Word	damage	damage
Word	damned	damned
Word	darkne	darkne
Word	debris	debris
Word	defile	defile
Word	delici	delici
Word	delive	delive
Word	demoli	demoli
Word	depart	depart
Word	descen	descen
Word	descri	descri
Word	destro	destro
Word	detach	detach
Word	devour	devour
Word	diabol	diabol
Word	diamon	diamon
Word	digger	digger
Word	direct	direct
Word	displa	displa
Word	distur	distur
Word	donate	donate
Word	drawbr	drawbr
Word	drawer	drawer
Word	earthw	earthw
Word	eldrit	eldrit
Word	elevat	elevat
Word	elvish	elvish
Word	employ	employ
Word	entice	entice
Word	entran	entran
Word	envelo	envelo
Word	everyt	everyt
Word	examin	examin
Word	excava	excava
Word	except	except
Word	exhibi	exhibi
Word	exploi	exploi
Word	exting	exting
Word	farewe	farewe
Word	fasten	fasten
Word	father	father
Word	featur	featur
Word	fester	fester
Word	fiddle	fiddle
Word	firepl	firepl
Word	flashi	flashi
Word	flight	flight
Word	flimsy	flimsy
Word	floati	floati
Word	follow	follow
Word	foobar	foobar
Word	forehe	forehe
Word	foresi	foresi
Word	forest	forest
Word	fossil	fossil
Word	foundi	foundi
Word	founta	founta
Word	fratto	fratto
Word	freedo	freedo
Word	fridge	fridge
Word	fucked	fucked
Word	fuckin	fuckin
Word	furnit	furnit
Word	gestur	gestur
Word	ghostl	ghostl
Word	glasse	glasse
Word	glowin	glowin
Word	gnarle	gnarle
Word	gnomel	gnomel
Word	gobble	gobble
Word	goddam	goddam
Word	goldfi	goldfi
Word	goodby	goodby
Word	grandf	grandf
Word	graved	graved
Word	gravey	gravey
Word	greasy	greasy
Word	greeti	greeti
Word	ground	ground
Word	grovel	grovel
Word	guzzle	guzzle
Word	hallwa	hallwa
Word	handle	handle
Word	handpa	handpa
Word	hatchw	hatchw
Word	headqu	headqu
Word	hellho	hellho
Word	heroic	heroic
Word	hillto	hillto
Word	horizo	horizo
Word	horses	horses
Word	humano	humano
Word	ignite	ignite
Word	injure	injure
Word	insert	insert
Word	inside	inside
Word	inspec	inspec
Word	instru	instru
Word	interr	interr
Word	intimi	intimi
Word	intnum	intnum
Word	invent	invent
Word	island	island
Word	jacket	jacket
Word	jostle	jostle
Word	joysti	joysti
Word	junk-	junk-
Word	kaluze	kaluze
Word	kitten	kitten
Word	labora	labora
Word	ladder	ladder
Word	leafle	leafle
Word	leaves	leaves
Word	let's	let's
Word	letter	letter
Word	librar	librar
Word	lighte	lighte
Word	lighth	lighth
Word	liquid	liquid
Word	listen	listen
Word	little	little
Word	loiter	loiter
Word	lookou	lookou
Word	loudsp	loudsp
Word	macguf	macguf
Word	machin	machin
Word	magick	magick
Word	mailbo	mailbo
Word	marble	marble
Word	marque	marque
Word	massiv	massiv
Word	mechan	mechan
Word	medica	medica
Word	messag	messag
Word	miniat	miniat
Word	mister	mister
Word	molest	molest
Word	monume	monume
Word	murder	murder
Word	museum	museum
Word	myself	myself
Word	myster	myster
Word	mystic	mystic
Word	narrow	narrow
Word	naught	naught
Word	negati	negati
Word	nibble	nibble
Word	noises	noises
Word	northe	northe
Word	northw	northw
Word	obscen	obscen
Word	obscur	obscur
Word	observ	observ
Word	odysse	odysse
Word	office	office
Word	openin	openin
Word	outsid	outsid
Word	painte	painte
Word	painti	painti
Word	palace	palace
