! Auto-generated by Reform.

MD5	ee2242e155fd8910921b0f8e04019a3a
Action 85	VagueGo		! 'leave'
				! 'go'/'run'/'walk'
Action 86	Verify		! 'verify'
Action 87	Wait		! 'wait'/'z//'
Action 88	Wake		! 'awake'/'awaken'/'wake'
				! 'awake'/'awaken'/'wake' 'up'
Action 89	WakeOther	! 'awake'/'awaken'/'wake' creature
				! 'awake'/'awaken'/'wake' creature 'up'
				! 'awake'/'awaken'/'wake' 'up' creature
Action 90	Wave		! 'wave' noun
Action 91	WaveHands	! 'wave'
Action 92	Wear		! 'don'/'wear' held
				! 'put' 'on' held
Action 93	AskTo		! 'tell' creature 'to' topic
				! 'ask' creature 'to' topic
				! 'ask' 'that' creature topic
Action 94	AskFor		! 'ask' creature 'for' noun
Action 97	Transfer	! 'transfer' noun 'to' noun
				! 'clear'/'move'/'press'/'push'/'shift' noun 'to' noun
Action 98	Teleport	! 'goto' scope=routine90688
				! 'go'/'run'/'walk' scope=routine90688
				! 'go'/'run'/'walk' 'to' scope=routine90688
Action 99	Xyzzy		! 'xyzzy'
				! 'answer'/'say'/'shout'/'speak' 'xyzzy'
Action 100	Plugh		! 'plugh'
				! 'answer'/'say'/'shout'/'speak' 'plugh'
Action 101	Count		! 'count' noun
Action 102	Empty		! 'douse'/'pour' noun
				! 'empty' noun
				! 'empty' 'out' noun
				! 'empty' noun 'out'
Action 103	Release		! 'free'/'release' creature
Action 104	Catch		! 'capture'/'catch' creature
				! 'capture'/'catch' creature 'with' held
Action 105	Plover		! 'plover'
				! 'answer'/'say'/'shout'/'speak' 'plover'
Action 106	Water		! 'douse'/'pour' 'water' 'on' noun
				! 'water' noun
Action 107	Oil		! 'douse'/'pour' 'oil' 'on' noun
				! 'grease'/'lubricate'/'oil' noun
Action 108	Kick		! 'kick' noun
Action 109	Help		! 'help'
Action 110	Version		! 'version'
Action 111	GoIn		! 'in'/'inside'
				! 'cross'/'enter'
Action 112	InvTall		! 'i//'/'inv'/'inventory' 'tall'
Action 113	InvWide		! 'i//'/'inv'/'inventory' 'wide'
Action 114	Off		! 'off'
Action 115	On		! 'on'
Action 116	Blast		! 'blast'
				! 'answer'/'say'/'shout'/'speak' 'blast'
Action 117	BlastWith	! 'blast' noun 'with' held
Action 118	Fee		! 'fee'
				! 'answer'/'say'/'shout'/'speak' 'fee'
Action 119	Fie		! 'fie'
				! 'answer'/'say'/'shout'/'speak' 'fie'
Action 120	Foe		! 'foe'
				! 'answer'/'say'/'shout'/'speak' 'foe'
Action 121	Foo		! 'foo'
				! 'answer'/'say'/'shout'/'speak' 'foo'
Action 122	OldMagic	! 'abracadab'/'foobar'/'frotz'/'hocus'/'open-ses'/'sesame'/'shazam'
				! 'answer'/'say'/'shout'/'speak' 'sesame'/'shazam'/'hocus'/'abracadab'/'foobar'/'open-ses'/'frotz'
Action 123	Use		! 'use'

Word	20-foo	20-foo
Word	abracadab	abracadab
Word	adventure	adventure
Word	apparaiti	apparaiti
Word	batteries	batteries
Word	beanstalk	beanstalk
Word	beautiful	beautiful
Word	bellowing	bellowing
Word	blisterin	blisterin
Word	blood-re	blood-re
Word	bottomles	bottomles
Word	breath-t	breath-t
Word	breathtak	breathtak
Word	climbable	climbable
Word	cobblesto	cobblesto
Word	construct	construct
Word	crossover	crossover
Word	cul-de-	cul-de-
Word	delicious	delicious
Word	depressio	depressio
Word	dragon's	dragon's
Word	dwarves'	dwarves'
Word	egg-size	egg-size
Word	encrusted	encrusted
Word	everythin	everythin
Word	explosive	explosive
Word	exquisite	exquisite
Word	ferocious	ferocious
Word	flickerin	flickerin
Word	formation	formation
Word	fullscore	fullscore
Word	glistenin	glistenin
Word	headlight	headlight
Word	incredibl	incredibl
Word	individua	individua
Word	inscripti	inscripti
Word	inventory	inventory
Word	jewel-en	jewel-en
Word	limestone	limestone
Word	lubricant	lubricant
Word	lubricate	lubricate
Word	magazines	magazines
Word	materials	materials
Word	murmuring	murmuring
Word	mysteriou	mysteriou
Word	northeast	northeast
Word	northwest	northwest
Word	oddly-sh	oddly-sh
Word	open-ses	open-ses
Word	paintings	paintings
Word	pirate's	pirate's
Word	plover's	plover's
Word	profusion	profusion
Word	pyramidal	pyramidal
Word	recording	recording
Word	repositor	repositor
Word	reservoir	reservoir
Word	scrumptio	scrumptio
Word	seventeen	seventeen
Word	sewer-pi	sewer-pi
Word	southeast	southeast
Word	southwest	southwest
Word	sparkling	sparkling
Word	spelunker	spelunker
Word	splashing	splashing
Word	staircase	staircase
Word	stalactit	stalactit
Word	stalagmit	stalagmit
Word	stalagtit	stalagtit
Word	streambed	streambed
Word	sulferous	sulferous
Word	sulpherou	sulpherou
Word	sulphrous	sulphrous
Word	superbrie	superbrie
Word	suspended	suspended
Word	thirty-f	thirty-f
Word	threateni	threateni
Word	transcrip	transcrip
Word	two-side	two-side
Word	waterfall	waterfall
Word	wellhouse	wellhouse
Word	whirlpool	whirlpool
Word	worn-out	worn-out
Word	worthless	worthless

Routine 0x6a30	routine27184:?
Routine 0x6a38	routine27192:?
! References: CompassDirection.description, obj7_north.description, obj8_south.description, obj9_east.description, obj10_west.description, obj11_northeast.description, obj12_northwest.description, obj13_southeast.description, obj14_southwest.description, obj15_up_above.description, obj16_ground.description, obj17_inside.description, obj18_outside.description
Routine 0x6a44	routine27204:?
Routine 0x6a70	routine27248:?
Routine 0x6a74	routine27252:?
Routine 0x6a9c	routine27292:?
Routine 0x6b3c	routine27452:?
Routine 0x6d14	routine27924:?
Routine 0x6d4c	routine27980:?
Routine 0x6d98	routine28056:?
Routine 0x6dac	routine28076:?
Routine 0x6dc4	routine28100:?
Routine 0x6e40	routine28224:?
Routine 0x6ebc	routine28348:?
Routine 0x6ee4	routine28388:?
Routine 0x6f64	routine28516:?
Routine 0x6fec	routine28652:?
! References: obj19__darkness_object_.description
Routine 0x90ec	routine37100:?
! References: obj20__self_object_.short_name
Routine 0x90f8	routine37112:?
! References: obj20__self_object_.description
Routine 0x9104	routine37124:?
Routine 0x9110	routine37136:?
Routine 0x9134	routine37172:?
Routine 0x9248	routine37448:?
! References: obj21__Inform_Parser_.parse_input
Routine 0x9260	routine37472:?
Routine 0x9268	routine37480:?
Routine 0x9278	routine37496:?
Routine 0x9288	routine37512:?
Routine 0x928c	routine37516:?
Routine 0x9298	routine37528:?
Routine 0x9524	routine38180:?
Routine 0xa218	routine41496:?
Routine 0xa2f0	routine41712:?
Routine 0xa30c	routine41740:?
Routine 0xa4d4	routine42196:?
Routine 0xa510	routine42256:?
Routine 0xa5dc	routine42460:?
Routine 0xa600	routine42496:?
Routine 0xaba4	routine43940:?
Routine 0xb528	routine46376:?
Routine 0xbaa4	routine47780:?
Routine 0xbce4	routine48356:?
Routine 0xbfc0	routine49088:?
Routine 0xc060	routine49248:?
Routine 0xc0c4	routine49348:?
Routine 0xc268	routine49768:?
Routine 0xc334	routine49972:?
Routine 0xc3fc	routine50172:?
Routine 0xc488	routine50312:?
Routine 0xc558	routine50520:?
Routine 0xc5d4	routine50644:?
Routine 0xc61c	routine50716:?
Routine 0xc68c	routine50828:?
Routine 0xc7f0	routine51184:?
Routine 0xc850	routine51280:?
Routine 0xc86c	routine51308:?
Routine 0xc8f8	routine51448:?
Routine 0xc964	routine51556:?
Routine 0xcac8	routine51912:?
Routine 0xcaec	routine51948:?
Routine 0xcb6c	routine52076:?
Routine 0xccac	routine52396:?
Routine 0xcd08	routine52488:?
Routine 0xcd38	routine52536:?
Routine 0xcdbc	routine52668:?
Routine 0xce34	routine52788:?
Routine 0xce98	routine52888:?
Routine 0xcec8	routine52936:?
Routine 0xcf00	routine52992:?
Routine 0xcf30	routine53040:?
Routine 0xd064	routine53348:?
Routine 0xd07c	routine53372:?
Routine 0xd124	routine53540:?
Routine 0xd13c	routine53564:?
Routine 0xd154	routine53588:?
Routine 0xd178	routine53624:?
Routine 0xd1e8	PronounsSub:?
Routine 0xd30c	routine54028:?
Routine 0xd390	routine54160:?
Routine 0xd410	routine54288:?
Routine 0xd418	routine54296:?
Routine 0xd444	routine54340:?
! References: obj22__Inform_Library_.play
Routine 0xd520	routine54560:?
! References: obj22__Inform_Library_.end_turn_sequence
Routine 0xdbb0	routine56240:?
! References: obj22__Inform_Library_.begin_action
Routine 0xdbd8	routine56280:?
Routine 0xdc0c	routine56332:?
Routine 0xdc34	routine56372:?
Routine 0xdcb0	routine56496:?
Routine 0xdcd0	routine56528:?
Routine 0xdcdc	routine56540:?
Routine 0xdd98	routine56728:?
Routine 0xddb8	routine56760:?
Routine 0xde4c	routine56908:?
Routine 0xde94	routine56980:?
Routine 0xded0	routine57040:?
Routine 0xdf18	routine57112:?
Routine 0xdf54	routine57172:?
Routine 0xdf60	routine57184:?
Routine 0xdf84	routine57220:?
Routine 0xdfe8	routine57320:?
Routine 0xe024	routine57380:?
Routine 0xe044	routine57412:?
Routine 0xe06c	routine57452:?
Routine 0xe07c	routine57468:?
Routine 0xe138	routine57656:?
Routine 0xe1b8	routine57784:?
Routine 0xe250	routine57936:?
Routine 0xe2a8	routine58024:?
Routine 0xe2c0	routine58048:?
Routine 0xe2d4	routine58068:?
Routine 0xe2f0	routine58096:?
Routine 0xe354	routine58196:?
Routine 0xe4a8	routine58536:?
Routine 0xe534	routine58676:?
Routine 0xe68c	routine59020:?
Routine 0xe7e8	routine59368:?
Routine 0xe80c	routine59404:?
Routine 0xe834	routine59444:?
Routine 0xe850	routine59472:?
Routine 0xe85c	routine59484:?
Routine 0xe868	routine59496:?
Routine 0xe874	routine59508:?
Routine 0xe8ac	routine59564:?
Routine 0xe8b8	routine59576:?
Routine 0xe8d0	routine59600:?
Routine 0xe9a0	routine59808:?
Routine 0xe9a8	routine59816:?
Routine 0xea00	routine59904:?
Routine 0xea2c	routine59948:?
Routine 0xeaa4	routine60068:?
Routine 0xeb1c	routine60188:?
Routine 0xec54	routine60500:?
Routine 0xec60	routine60512:?
Routine 0xec74	routine60532:?
Routine 0xeda4	routine60836:?
Routine 0xee78	routine61048:?
Routine 0xeec8	routine61128:?
Routine 0xef1c	routine61212:?
Routine 0xef5c	routine61276:?
Routine 0xefa8	routine61352:?
Routine 0xefbc	routine61372:?
Routine 0xefc4	routine61380:?
Routine 0xf044	routine61508:?
Routine 0xf06c	routine61548:?
! References: obj23__Library_Extensions_.RunAll
Routine 0xf09c	routine61596:?
! References: obj23__Library_Extensions_.RunUntil
Routine 0xf120	routine61728:?
! References: obj23__Library_Extensions_.RunWhile
Routine 0xf1a4	routine61860:?
Routine 0xf224	ObjectsSub:?
Routine 0xf22c	PlacesSub:?
Routine 0xf234	routine62004:?
Routine 0xf2cc	VersionSub:?
Routine 0xf36c	routine62316:?
Routine 0xf398	routine62360:?
