! Auto-generated by Reform.

MD5	5e56a6e5cdeecded434a8fd8012fc2c6
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'on' noun
Action 38	SwitchOff	! 'switch' noun 'off'
				! 'switch' 'off' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'off'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'off' noun
				! 'close'/'cover'/'shut' 'off' noun
Action 39	Open		! 'open'/'uncover'/'undo'/'unwrap' noun
Action 40	Close		! 'close'/'cover'/'shut' noun
				! 'close'/'cover'/'shut' 'up' noun
Action 41	Disrobe		! 'disrobe'/'doff'/'shed' held
				! 'remove' held
				! 'carry'/'hold'/'take' 'off' worn
Action 42	Wear		! 'put' 'on' held
				! 'don'/'wear' held
Action 43	Eat		! 'eat' held
Action 44	Yes		! 'y//'/'yes'
Action 45	No		! 'no'
Action 46	Burn		! 'burn'/'light' noun
				! 'burn'/'light' noun 'with' held
Action 47	Pray		! 'pray'
Action 48	Wake		! 'awake'/'awaken'/'wake'
				! 'awake'/'awaken'/'wake' 'up'
Action 49	WakeOther	! 'awake'/'awaken'/'wake' creature
				! 'awake'/'awaken'/'wake' creature 'up'
				! 'awake'/'awaken'/'wake' 'up' creature
Action 50	Kiss		! 'embrace'/'hug'/'kiss' creature
Action 51	Think		! 'think'
Action 52	Smell		! 'smell'/'sniff'
				! 'smell'/'sniff' noun
Action 53	Listen		! 'hear'/'listen'
				! 'hear'/'listen' noun
				! 'hear'/'listen' 'to' noun
Action 54	Taste		! 'taste' noun
Action 55	Touch		! 'feel'/'fondle'/'grope'/'touch' noun
Action 56	Dig		! 'dig' 'hole' 'in' noun 'with' held
				! 'dig' 'hole' 'with' held 'in' noun
				! 'dig' 'in' noun 'with' held
				! 'dig' noun 'with' held
Action 57	Cut		! 'chop'/'cut'/'prune'/'slice' noun
Action 58	Jump		! 'hop'/'jump'/'skip'
Action 59	JumpOver	! 'hop'/'jump'/'skip' 'over' noun
Action 60	Tie		! 'attach'/'fasten'/'fix'/'tie' noun
				! 'attach'/'fasten'/'fix'/'tie' noun 'to' noun
Action 61	Drink		! 'drink'/'sip'/'swallow' noun
Action 62	Fill		! 'fill' noun
Action 63	Sorry		! 'sorry'
Action 64	Strong		! 'damn'/'fuck'/'shit'/'sod'
				! 'damn'/'fuck'/'shit'/'sod' topic
Action 65	Mild		! 'bother'/'curses'/'darn'/'drat'
				! 'bother'/'curses'/'darn'/'drat' topic
Action 66	Attack		! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'kill'/'murder'/'punch'/'smash'/'thump'/'torture'/'wreck' noun
Action 67	Swim		! 'dive'/'swim'
Action 68	Swing		! 'swing' noun
				! 'swing' 'on' noun
Action 69	Blow		! 'blow' held
Action 70	Rub		! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' noun
Action 71	Set		! 'adjust'/'set' noun
Action 72	SetTo		! 'adjust'/'set' noun 'to' special
Action 73	WaveHands	! 'wave'
Action 74	Wave		! 'wave' noun
Action 75	Pull		! 'drag'/'pull' noun
Action 76	Push		! 'clear'/'move'/'press'/'push'/'shift' noun
Action 77	Turn		! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun
Action 78	PushDir		! 'clear'/'move'/'press'/'push'/'shift' noun noun
Action 79	Squeeze		! 'squash'/'squeeze' noun
Action 80	ThrowAt		! 'discard'/'drop'/'throw' held 'at'/'against'/'on'/'onto' noun
Action 84	Buy		! 'buy'/'purchase' noun
Action 85	Sing		! 'sing'
Action 86	Climb		! 'climb'/'scale' noun
				! 'climb'/'scale' 'up'/'over' noun
Action 87	Wait		! 'wait'/'z//'
Action 88	Sleep		! 'nap'/'sleep'
Action 89	Consult		! 'read' 'about' topic 'in' noun
				! 'read' topic 'in' noun
				! 'read' 'about' routine63548 'in' noun
				! 'read' routine63548 'in' noun
				! 'consult' noun 'about' topic
				! 'consult' noun 'on' topic
				! 'l//'/'look' 'up' topic 'in' noun
				! 'l//'/'look' 'up' routine63548 'in' noun
Action 93	Transfer	! 'clear'/'move'/'press'/'push'/'shift' noun 'to' noun
				! 'transfer' noun 'to' noun
Action 94	Wield		! 'wield' noun
Action 95	Pour		! 'pour' noun 'on' noun
Action 96	Empty		! 'pour' held
				! 'empty' noun
				! 'empty' 'out' noun
				! 'empty' noun 'out'
Action 97	NewConsult	! 'consult' noun 'about' scope=routine63496
				! 'consult' noun 'on' scope=routine63496
Action 98	FlipOn		! 'flip' noun
Action 99	Pick		! 'pick' noun 'with' held
Action 100	Spread		! 'spread' held
Action 101	SpreadOn	! 'spread' held 'on' noun
Action 102	Version		! 'version'
Action 103	InvTall		! 'i//'/'inv'/'inventory' 'tall'
Action 104	InvWide		! 'i//'/'inv'/'inventory' 'wide'
Action 105	GoIn		! 'in'/'inside'
				! 'cross'/'enter'
Action 106	NewConsultR	! 'read' 'about' scope=routine63496 'in' noun
				! 'read' scope=routine63496 'in' noun
				! 'l//'/'look' 'up' scope=routine63496 'in' noun
Action 107	Question	! 'ask' creature 'about' scope=routine63496
				! 'ask' creature 'for' scope=routine63496
				! 'ask' creature scope=routine63496
				! 'tell' creature 'about' scope=routine63496
				! 'tell' creature scope=routine63496
Action 108	Hammer		! 'beat'/'hammer' noun
				! 'beat'/'hammer' noun 'with' held
Action 109	help		! 'help'
Action 110	Health		! 'diag'/'diagnose'/'health'
Action 111	Xyzzy		! 'xyzzy'
Action 112	Plugh		! 'plugh'
Action 113	Flip		! 'flip'
Action 114	NoQuestion	! 'ask' creature routine63548
				! 'tell' creature 'about' routine63548
				! 'tell' creature routine63548
				! 'answer'/'say'/'shout'/'speak' routine63800 'to' creature
				! 'answer'/'say'/'shout'/'speak' routine63812 'at' creature
				! 'answer'/'say'/'shout'/'speak' routine63548 'to' creature
Action 115	Manaz		! 'manaz'
				! 'answer'/'say'/'shout'/'speak' 'manaz'
				! 'answer'/'say'/'shout'/'speak' 'manaz' 'to' creature
Action 116	RQuestion	! 'answer'/'say'/'shout'/'speak' scope=routine63496 'to' creature
				! 'answer'/'say'/'shout'/'speak' scope=routine63496 'at' creature
Action 117	Say		! 'answer'/'say'/'shout'/'speak' routine63548
Action 118	PrayTo		! 'pray' 'to' noun
Action 119	Use		! 'use' noun
Action 120	NoLockPick	! 'pick' noun
Action 121	PlainSay	! 'answer'/'say'/'shout'/'speak' topic
Action 122	Exits		! 'exits'
Action 123	Credits		! 'credits'

Word	apparitio	apparitio
Word	bibliotec	bibliotec
Word	creatures	creatures
Word	elevators	elevators
Word	encyclopa	encyclopa
Word	encyclope	encyclope
Word	everythin	everythin
Word	excorcism	excorcism
Word	fireplace	fireplace
Word	fresto's	fresto's
Word	fullscore	fullscore
Word	furnishin	furnishin
Word	generator	generator
Word	inventory	inventory
Word	leshosh'	leshosh'
Word	mannequin	mannequin
Word	northeast	northeast
Word	northwest	northwest
Word	oilbarrel	oilbarrel
Word	paintings	paintings
Word	pamphlets	pamphlets
Word	pigheaded	pigheaded
Word	porcelain	porcelain
Word	portculli	portculli
Word	portraits	portraits
Word	predictio	predictio
Word	seventeen	seventeen
Word	shamrocks	shamrocks
Word	southeast	southeast
Word	southwest	southwest
Word	squirrels	squirrels
Word	staircase	staircase
Word	stairways	stairways
Word	superbrie	superbrie
Word	tapestrie	tapestrie
Word	transcrip	transcrip
Word	trappings	trappings
Word	treasurer	treasurer
Word	valuables	valuables
Word	waterbarr	waterbarr

Routine 0x5e8c	routine24204:?
Routine 0x5e94	routine24212:?
Routine 0x5ea0	routine24224:?
Routine 0x5ea4	routine24228:?
Routine 0x5ec8	routine24264:?
Routine 0x5f68	routine24424:?
Routine 0x6140	routine24896:?
Routine 0x6178	routine24952:?
Routine 0x61b4	routine25012:?
Routine 0x61e4	routine25060:?
Routine 0x6214	routine25108:?
Routine 0x6228	routine25128:?
Routine 0x625c	routine25180:?
Routine 0x6298	routine25240:?
Routine 0x7fa8	routine32680:?
! References: obj20__self_object_.short_name
Routine 0x7fb4	routine32692:?
Routine 0x7fc0	routine32704:?
Routine 0x7fcc	routine32716:?
Routine 0x7fec	routine32748:?
Routine 0x8078	routine32888:?
! References: obj21__Inform_Parser_.parse_input
Routine 0x808c	routine32908:?
Routine 0x8094	routine32916:?
Routine 0x8278	routine33400:?
Routine 0x89e8	routine35304:?
Routine 0x8a1c	routine35356:?
Routine 0x8a38	routine35384:?
Routine 0x8b7c	routine35708:?
Routine 0x8b94	routine35732:?
Routine 0x8be4	routine35812:?
Routine 0x9024	routine36900:?
Routine 0x94e8	routine38120:?
Routine 0x97a4	routine38820:?
Routine 0x9880	routine39040:?
Routine 0x99f0	routine39408:?
Routine 0x9a38	routine39480:?
Routine 0x9a70	routine39536:?
Routine 0x9b50	routine39760:?
Routine 0x9bc8	routine39880:?
Routine 0x9c18	routine39960:?
Routine 0x9c4c	routine40012:?
Routine 0x9c9c	routine40092:?
Routine 0x9cc4	routine40132:?
Routine 0x9ce0	routine40160:?
Routine 0x9d10	routine40208:?
Routine 0x9dac	routine40364:?
Routine 0x9dc0	routine40384:?
Routine 0x9ddc	routine40412:?
Routine 0x9e54	routine40532:?
Routine 0x9e84	routine40580:?
Routine 0x9f68	routine40808:?
Routine 0x9f8c	routine40844:?
Routine 0x9fd8	routine40920:?
Routine 0xa0f8	routine41208:?
Routine 0xa150	routine41296:?
Routine 0xa17c	routine41340:?
Routine 0xa1ac	routine41388:?
Routine 0xa1f4	routine41460:?
Routine 0xa240	routine41536:?
Routine 0xa258	routine41560:?
Routine 0xa270	routine41584:?
Routine 0xa27c	routine41596:?
Routine 0xa378	routine41848:?
Routine 0xa380	routine41856:?
Routine 0xa3c8	routine41928:?
Routine 0xa3dc	routine41948:?
Routine 0xa3f0	routine41968:?
Routine 0xa40c	routine41996:?
Routine 0xa46c	PronounsSub:?
Routine 0xa518	routine42264:?
Routine 0xa54c	routine42316:?
Routine 0xa57c	routine42364:?
Routine 0xa584	routine42372:?
Routine 0xa5b0	routine42416:?
! References: obj22__Inform_Library_.play
Routine 0xa618	routine42520:?
! References: obj22__Inform_Library_.end_turn_sequence
Routine 0xa950	routine43344:?
! References: obj22__Inform_Library_.begin_action
Routine 0xaa00	routine43520:?
Routine 0xaa44	routine43588:?
Routine 0xaaec	routine43756:?
Routine 0xab0c	routine43788:?
Routine 0xab34	routine43828:?
Routine 0xab7c	routine43900:?
Routine 0xabb8	routine43960:?
Routine 0xac00	routine44032:?
Routine 0xac3c	routine44092:?
Routine 0xac48	routine44104:?
Routine 0xac6c	routine44140:?
Routine 0xaccc	routine44236:?
Routine 0xacec	routine44268:?
Routine 0xad10	routine44304:?
Routine 0xad20	routine44320:?
Routine 0xad78	routine44408:?
Routine 0xadac	routine44460:?
Routine 0xadfc	routine44540:?
Routine 0xae24	routine44580:?
Routine 0xae40	routine44608:?
Routine 0xae54	routine44628:?
Routine 0xae70	routine44656:?
Routine 0xaeb8	routine44728:?
Routine 0xaf0c	routine44812:?
Routine 0xaf3c	routine44860:?
Routine 0xafd0	routine45008:?
Routine 0xb044	routine45124:?
Routine 0xb0e8	routine45288:?
Routine 0xb1a4	routine45476:?
Routine 0xb234	routine45620:?
Routine 0xb274	routine45684:?
Routine 0xb298	routine45720:?
Routine 0xb2bc	routine45756:?
Routine 0xb2d0	routine45776:?
Routine 0xb2d8	routine45784:?
Routine 0xb308	routine45832:?
Routine 0xb324	routine45860:?
Routine 0xb354	PlacesSub:?
Routine 0xb35c	ObjectsSub:?
Routine 0xb364	routine45924:?
Routine 0xb3e8	VersionSub:?
Routine 0xb470	routine46192:?
Routine 0xb49c	routine46236:?
