! Auto-generated by Reform.

MD5	c043df8624e0e1e9fda92f1a74b6e402
Attribute 9	light			! Outdoor obj105_Outside_the_Real_Estate_Office obj107_Alley obj113_Narrow_Beach obj118_Narrow_Street obj119_Local_Pub obj123_lantern obj127_Junction obj128_Mill_Road obj130_Breakwater obj131_Entrance_to_the_Paper_Mill obj135_Bare_Foundations obj139_Railroad_Tracks obj142_Shanty_Town obj157__11_Mill_Town_Road obj164_University_Court obj166_Twisting_Lane obj169_Whateley_Bridge obj172_Town_Square obj179_torches obj181_Courthouse obj183_Courthouse_Basement obj184_Birth_Records obj185_Death_Records obj187_Side_Alley obj188_Riverwalk obj191_Under_the_Bridge obj195_Vacant_Lot obj200_Wharf obj204_Dark_Corner obj205_Asylum_Courtyard obj207_motto obj208_Chilly_Avenue obj212_Deserted_Lane obj214_Down_the_Road obj217_Trampled_Path obj218_Abandoned_Slaughterhouse obj220_Crumbled_Ruin obj224_Old_Stone_Well obj227_In_the_Well obj230_Scenic_View obj231_Home obj232_Your_Bathroom obj236_Churchyard obj240_Behind_the_Church obj270_Outside_the_House obj276_Foyer obj278_Upstairs_Landing obj279_Master_Bedroom obj289_Bathroom obj346_Observatory obj422_Path_Behind_the_House obj423_Family_Plot obj447_Burial_Mound obj463_The_Womb_of_Nehilim obj473_Mill_Floor Mill_maze obj481__m_maze1_ obj482__m_maze2_ obj483__m_maze3_ obj484__m_maze4_ obj485__m_maze5_ obj486__m_maze6_ obj488_Catwalk obj491_Workshop obj505_At_the_Foot_of_the_Lighthouse obj508_Bottom_of_the_Lighthouse obj509_Top_of_the_Lighthouse obj513_Rocky_Spur obj516_Island_of_Flesh obj525_burning_torch obj536_Outflow_Tunnel obj538_Hidden_Court obj541_The_Cauldron obj554_Waiting_Room Cell obj562__cell1_ obj570__hall1_ obj574__hall2_ obj577__cell2_ obj581__cell3_ obj582__hall3_ obj585__cell4_ obj589__cell5_ obj593_Top_of_Stairs obj594_Bottom_of_Stairs obj595_fluorescent_light obj600_reading_lamp obj607_Circulation_Desk obj622_File_Room obj627_Office
Attribute 10	lockable		! obj106_real_estate_office_door obj138_metal_hatch obj182_office_door obj194_small_metal_door obj241__padlock_ obj242_trap_door obj243_shiny_new_padlock obj274_front_door obj313_safe obj352_door obj373_back_door obj389_cellar_door obj425_iron_door obj445_huge_metal_door obj506_massive_bronze_door obj511_strange_device obj518_handcuffs obj559_barred_gate Cell_Door obj566_cell_door obj575__door2_ obj579__door3_ obj583__door4_ obj586__door5_ obj639_drawer
Attribute 11	locked			! obj106_real_estate_office_door obj133_gate obj138_metal_hatch obj182_office_door obj194_small_metal_door obj241__padlock_ obj242_trap_door obj243_shiny_new_padlock obj274_front_door obj313_safe obj352_door obj373_back_door obj389_cellar_door obj425_iron_door obj445_huge_metal_door obj471_hatch obj506_massive_bronze_door obj511_strange_device obj518_handcuffs obj559_barred_gate Cell_Door obj566_cell_door obj575__door2_ obj579__door3_ obj583__door4_ obj586__door5_ obj639_drawer
Attribute 13	on			! obj281_radiator obj330_laptop obj595_fluorescent_light obj600_reading_lamp
Attribute 14	open			! obj101_umbrella obj102_trenchcoat obj109_piles_of_cardboard_boxes obj115_outflow_pipe obj162_overalls obj225_old_stone_well obj228_children_s_bones obj284_Michael_s_pants obj290_bathtub obj303_crib obj304_ragged_hole obj308_armchair Flute_Hole obj318_first_flute_hole obj319_second_flute_hole obj320_third_flute_hole obj321_fourth_flute_hole obj322_fifth_flute_hole obj323_sixth_flute_hole obj324_seventh_flute_hole obj330_laptop obj349_rectangular_slot obj361_oddly_angled_corridor obj406_cardboard_box obj441_rope_bridge obj498_rack obj511_strange_device obj571_crack obj590_ragged_tear obj623_filing_cabinets obj637_styrofoam_cup
Attribute 15	openable		! obj90__window_ obj91_windows obj92_skylight obj101_umbrella obj106_real_estate_office_door obj109_piles_of_cardboard_boxes obj110_garbage_can obj112_transom_window obj125_flask obj133_gate obj138_metal_hatch obj182_office_door obj190_rusty_gate obj194_small_metal_door obj202_old_tin obj238_front_door obj242_trap_door obj247_wood_burning_furnace obj266_narrow_window obj274_front_door obj285_wallet obj299_jewelry_box obj300_silver_locket obj313_safe obj314_puzzle_box Flute_Hole obj318_first_flute_hole obj319_second_flute_hole obj320_third_flute_hole obj321_fourth_flute_hole obj322_fifth_flute_hole obj323_sixth_flute_hole obj324_seventh_flute_hole obj326_sliding_doors obj330_laptop obj336_drawer obj352_door obj357_gold_locket obj364_china_cupboard obj371_cabinet obj373_back_door obj389_cellar_door obj393_fuse_cabinet obj425_iron_door Coffin obj429_Edward_s_coffin obj430_Anna_s_coffin obj431_William_s_coffin obj434_Julia_s_coffin obj435_Gertrude_s_coffin obj436_Sonia_s_coffin obj445_huge_metal_door obj471_hatch obj506_massive_bronze_door obj518_handcuffs obj535_rusty_hatch obj559_barred_gate Cell_Door obj566_cell_door obj573_closet obj575__door2_ obj579__door3_ obj583__door4_ obj586__door5_ obj639_drawer
Attribute 16	proper			! obj20__self_object_ obj21__Inform_Parser_ obj22__Inform_Library_ obj28_soaking_wet obj29_covered_in_grimy_ash obj30_filthy_from_splashing_around_in_the_sewers obj31_smeared_with_smelly_fish_oil obj32_streaked_with_blood_and_gore obj36_Anchorhead Michael Shack obj145__1_Mill_Town_Road obj146__2_Mill_Town_Road obj147__3_Mill_Town_Road obj148__4_Mill_Town_Road obj149__5_Mill_Town_Road obj150__6_Mill_Town_Road obj151__7_Mill_Town_Road obj152__8_Mill_Town_Road obj153__9_Mill_Town_Road obj154__10_Mill_Town_Road obj155__11_Mill_Town_Road obj156__12_Mill_Town_Road obj284_Michael_s_pants obj287_Michael obj310__Poe_ obj312__wards_ obj337__harmonies_ Coffin obj429_Edward_s_coffin obj430_Anna_s_coffin obj431_William_s_coffin obj434_Julia_s_coffin obj435_Gertrude_s_coffin obj436_Sonia_s_coffin obj461_Michael obj524_Michael obj602_Michael obj612__greene_ obj613__horne_ obj614__wheldrake_ obj644_Anchorhead obj645__t_verlac_ obj646_Danvers_Asylum obj647_himself obj648_Miskaton_University obj649_Michael obj654_yourself obj658_your_purse obj659_your_wedding_ring obj660_Michael_s_job obj661_your_anniversary obj662_The_God_Whose_Name_May_Not_Be_Spoken obj664_Dr__Timothy_Rebis obj671_Edward_Verlac obj672_Mordecai_Verlac obj673_Anna_Verlac obj674_William_Verlac obj678_Jeffrey_Greer obj680_Charles obj684_visiting_hours obj685_Chuck_s_boss obj693_Croseus_Verlac obj698_Heinrich_Verlac obj699_Elijah_Verlac obj700_Wilhelm_Verlac obj701_Eustacia_Verlac obj708__t_frazer_ obj709__t_horne_ obj710__t_greene_ obj711__t_wheldrake_ obj716_Michael_s_laptop obj720_Michael_s_headache obj727_Max obj734_Julia_Ward_Verlac obj735_Sonia_Verlac obj736_Gertrude_Verlac obj739_Edward_s_family
Attribute 17	scenery			! CompassDirection obj7_north obj8_south obj9_east obj10_west obj11_northeast obj12_northwest obj13_southeast obj14_southwest obj15_ceiling obj16_floor obj17_outside obj18_inside Distant obj35_Miskaton obj36_Anchorhead obj37_lighthouse obj38_sea obj39_paper_mill obj40_tracks obj41_town_square obj42_church obj43_bridge obj44_group_of_townsfolk obj45_university obj46_obelisk obj47__d_crowd_ obj48_bum obj49_heath obj50_cupola obj82_rain obj83_wind obj84_sky obj85_woods obj86_sea obj87_drifting_flakes_of_ash obj88_wrought_iron_fence obj89_alley obj90__window_ obj91_windows obj92_skylight obj93_buildings obj94__street_ obj95__pit_ obj96_stairs obj97_fireplace obj98_ivy obj99_ladder obj106_real_estate_office_door obj108_wall obj109_piles_of_cardboard_boxes obj110_garbage_can obj111_fence obj112_transom_window obj114_rocky_outcroppings obj115_outflow_pipe obj116_sewer_water obj117_detritus obj120_bar obj122_table obj124_drinks obj132_paper_mill obj133_gate obj134_brick_wall obj136_rubble obj137_thickets obj138_metal_hatch obj140_railroad_tracks obj141_train obj143_row_of_dilapidated_shacks Shack obj145__1_Mill_Town_Road obj146__2_Mill_Town_Road obj147__3_Mill_Town_Road obj148__4_Mill_Town_Road obj149__5_Mill_Town_Road obj150__6_Mill_Town_Road obj151__7_Mill_Town_Road obj152__8_Mill_Town_Road obj153__9_Mill_Town_Road obj154__10_Mill_Town_Road obj155__11_Mill_Town_Road obj156__12_Mill_Town_Road obj159_shawl obj160_stove obj161_threadbare_cot obj165_library obj167_brick_wall obj168_graffiti obj170_parapets obj173_grass obj174_stone_obelisk obj175_iron_ring obj176_hieroglyphs obj177_courthouse obj178__crowd_ obj182_office_door obj186_archives obj189_low_brick_wall obj190_rusty_gate obj192_underside_of_the_bridge obj193_Miskaton_River obj194_small_metal_door obj197_chain_link_fence obj198_bum obj201_fishing_boats obj206_asylum obj207_motto obj209_clammy_mist obj213_whippoorwill obj215_stump obj216_sapling obj219_slaughterhouse obj221_footprints obj225_old_stone_well obj233_counter obj235_little_window obj237_abandoned_church obj238_front_door obj239_boards obj241__padlock_ obj242_trap_door obj247_wood_burning_furnace obj249_hatch obj251__church_stairs_ obj257_pews obj258_broken_cross obj259_stained_glass_windows obj260_pulpit obj262_illustrations obj265_square_hole obj266_narrow_window obj269_Verlac_mansion obj271_driveway obj273_brass_knocker obj274_front_door obj277_luggage obj280_sketches obj281_radiator obj282_four_poster_bed obj283_dressing_mirror obj288_dried_mud obj290_bathtub obj291_shower_attachment obj294_trap_door obj298_vanity_table obj302_bed obj303_crib obj304_ragged_hole obj306_scratches obj308_armchair obj309_bookshelves obj310__Poe_ obj311_pipe_stand obj313_safe Flute_Hole obj318_first_flute_hole obj319_second_flute_hole obj320_third_flute_hole obj321_fourth_flute_hole obj322_fifth_flute_hole obj323_sixth_flute_hole obj324_seventh_flute_hole obj325_dial obj326_sliding_doors obj328_wooden_chair obj329_desk obj331_screen obj333_mantelpiece obj335_smudges obj336_drawer obj338_walls obj345_small_hole obj347_astronomical_charts obj349_rectangular_slot obj352_door obj353_keyplate obj356_pile_of_straw obj359_pencil_marks obj361_oddly_angled_corridor obj363_dining_table obj364_china_cupboard obj365_velvet_lining obj367_C_shaped_scratch obj369_kitchen_counter obj371_cabinet obj373_back_door obj376_lamps obj377_paintings obj378_elements_of_the_paintings obj379_scene obj382_eyes obj383_sofa obj385_hand_woven_rug obj387_shelves obj389_cellar_door obj391_exposed_wires obj392_sagging_timbers obj396_wine_racks obj397_wine_bottles obj405_crates_and_boxes obj420_nasty_looking_spider_web obj424_tombstones obj425_iron_door obj427_coffins Coffin obj429_Edward_s_coffin obj430_Anna_s_coffin obj431_William_s_coffin obj434_Julia_s_coffin obj435_Gertrude_s_coffin obj436_Sonia_s_coffin obj437_nameplates obj438_roots obj441_rope_bridge obj445_huge_metal_door obj446_symbol obj448_face_carvings obj449_green_light obj450_base_of_the_obelisk Pictogram obj452_first_pictogram obj453_second_pictogram obj454_third_pictogram obj455_fourth_pictogram obj456_mummified_corpses obj457_altar Column obj459_left_hand_column obj460_right_hand_column obj467_pressure_gauge obj468_pipes obj471_hatch obj472_metal_handle obj474_control_bank obj475_lever obj476_large_red_button obj478_pulley_system obj487_mill_machinery obj489_balcony obj492_table obj494_workbenches obj506_massive_bronze_door obj507_lighthouse obj514_patch_of_turbulent_water obj515_island_of_flesh obj517_heavy_stone obj519_wooden_stake obj521_pulse obj522_island obj526_guard_s_corpse obj529_pipelines obj530_sewer_water obj532_pool obj535_rusty_hatch obj537_grating obj539_shop obj540_hanging_sign obj542_new_age_curiosities obj543_display_case obj545_display_case obj550_light_music obj552_pimple obj555_sofa obj556_potted_palm obj557_porno_magazine obj559_barred_gate Cell_Door Cell_Window obj566_cell_door obj567__window1_ obj569_tiles obj571_crack obj573_closet obj575__door2_ obj576__window2_ obj579__door3_ obj580__window3_ obj583__door4_ obj584__window4_ obj586__door5_ obj587__window5_ obj588_bloodstain obj590_ragged_tear obj595_fluorescent_light obj599_alcove obj600_reading_lamp obj601_reading_desk obj603_glasses obj604__frazer_ obj606_library_books obj608_counter obj609_dog_eared_register obj610_bell obj623_filing_cabinets obj629_blinds obj630_desk obj634_display obj635_button_labeled__PLAY_ obj636_button_labeled__DELETE_ obj639_drawer obj642_buzzing_sound
Attribute 19	static			! obj100_printed_sign obj253_railing obj295_cord obj296_rickety_wooden_ladder obj301_boy_s_picture obj334_brass_sphere obj348_telescope obj351_contraption obj358_woman_s_picture obj381_portrait obj393_fuse_cabinet obj394_fuse_plugs obj466_valve_wheel obj477_chain obj480_light obj498_rack obj510_swivel_mount obj511_strange_device obj563_padding obj628_latch
Attribute 20	supporter		! obj110_garbage_can obj120_bar obj122_table obj140_railroad_tracks obj161_threadbare_cot obj196_filthy_mattress obj215_stump obj226_wooden_cover obj233_counter obj260_pulpit obj282_four_poster_bed obj298_vanity_table obj302_bed obj309_bookshelves obj311_pipe_stand obj328_wooden_chair obj329_desk obj333_mantelpiece obj363_dining_table obj369_kitchen_counter obj383_sofa obj387_shelves obj457_altar obj466_valve_wheel obj490_block_of_heavy_equipment obj492_table obj494_workbenches obj543_display_case obj555_sofa obj601_reading_desk obj608_counter obj624_keyring obj630_desk
Attribute 21	switchable		! obj330_laptop obj370_flashlight obj595_fluorescent_light obj600_reading_lamp
Attribute 22	talkable		! obj445_huge_metal_door obj446_symbol
Attribute 23	transparent		! obj20__self_object_ Michael obj97_fireplace obj158_pale__frightened_woman obj171_monster obj174_stone_obelisk obj178__crowd_ obj198_bum obj210__gang_ obj228_children_s_bones obj234_home_pregnancy_test obj261_huge__black_tome obj287_Michael obj316_strange_metal_flute obj328_wooden_chair obj330_laptop obj334_brass_sphere obj352_door obj363_dining_table obj377_paintings obj381_portrait obj396_wine_racks obj420_nasty_looking_spider_web obj445_huge_metal_door obj450_base_of_the_obelisk obj461_Michael obj471_hatch obj474_control_bank obj490_block_of_heavy_equipment obj498_rack obj515_island_of_flesh obj524_Michael obj545_display_case obj551__orderly_ Cell_Door obj566_cell_door obj575__door2_ obj578__madman_ obj579__door3_ obj583__door4_ obj586__door5_ obj587__window5_ obj602_Michael obj632_telephone obj633_answering_machine
Attribute 26	worn			! obj102_trenchcoat obj103_clothes obj104_wedding_ring
Attribute 28	female			! obj158_pale__frightened_woman obj611_creepy_librarian
Attribute 29	neuter			! obj171_monster
Attribute 30	pluralname		! obj40_tracks obj44_group_of_townsfolk obj47__d_crowd_ obj85_woods obj87_drifting_flakes_of_ash obj91_windows obj93_buildings obj96_stairs obj103_clothes obj109_piles_of_cardboard_boxes obj110_garbage_can obj114_rocky_outcroppings obj121_locals obj129_cultists obj137_thickets obj140_railroad_tracks obj143_row_of_dilapidated_shacks obj162_overalls obj170_parapets obj176_hieroglyphs obj178__crowd_ obj179_torches obj186_archives obj201_fishing_boats obj210__gang_ obj211_weapons obj221_footprints obj228_children_s_bones obj238_front_door obj239_boards obj257_pews obj259_stained_glass_windows obj262_illustrations obj280_sketches obj284_Michael_s_pants obj306_scratches obj309_bookshelves obj326_sliding_doors obj335_smudges obj338_walls obj347_astronomical_charts obj359_pencil_marks obj376_lamps obj377_paintings obj378_elements_of_the_paintings obj382_eyes obj387_shelves obj391_exposed_wires obj392_sagging_timbers obj394_fuse_plugs obj396_wine_racks obj397_wine_bottles obj405_crates_and_boxes obj407_newspaper_clippings obj424_tombstones obj427_coffins obj437_nameplates obj438_roots obj448_face_carvings obj456_mummified_corpses obj468_pipes obj494_workbenches obj495_notes obj497_arcane_electronic_equipment obj518_handcuffs obj523_robed_guards obj529_pipelines obj542_new_age_curiosities obj569_tiles obj603_glasses obj606_library_books obj623_filing_cabinets obj629_blinds obj631_papers obj656_keys obj663_inmates obj666_red_rimmed_eyes obj667_maggots obj684_visiting_hours obj692_treats obj704_tarot_cards obj718_dreams obj721_wine_racks obj730_newspaper_clippings
Attribute 31	legible			! obj100_printed_sign obj125_flask obj176_hieroglyphs obj180_newspaper obj186_archives obj207_motto obj219_slaughterhouse obj223_tattered_drawing obj261_huge__black_tome obj272_typewritten_notice obj286_faculty_card obj305_bundle_of_soggy_pages obj309_bookshelves obj310__Poe_ obj312__wards_ obj331_screen obj337__harmonies_ obj347_astronomical_charts obj359_pencil_marks obj366_torn_journal obj384_family_album obj407_newspaper_clippings obj424_tombstones obj425_iron_door obj437_nameplates obj446_symbol obj448_face_carvings obj450_base_of_the_obelisk Pictogram obj452_first_pictogram obj453_second_pictogram obj454_third_pictogram obj455_fourth_pictogram obj467_pressure_gauge obj495_notes obj496_printed_memo obj504_blueprint obj540_hanging_sign obj553_name_tag obj557_porno_magazine obj591_torn_square_of_canvas obj604__frazer_ obj605_slip_of_paper obj606_library_books obj609_dog_eared_register obj612__greene_ obj613__horne_ obj614__wheldrake_ obj623_filing_cabinets obj625_key_to_the_house obj626_key_to_the_cellar obj631_papers obj634_display obj640_hastily_written_letter
Attribute 32	beenunlocked		! obj274_front_door obj373_back_door obj389_cellar_door
Attribute 42	converse		! obj644_Anchorhead obj645__t_verlac_ obj646_Danvers_Asylum obj647_himself obj648_Miskaton_University obj649_Michael obj650_lighthouse obj652_paper_mill obj653__t_house_ obj654_yourself obj655_real_estate_agent obj656_keys obj658_your_purse obj659_your_wedding_ring obj660_Michael_s_job obj661_your_anniversary obj662_The_God_Whose_Name_May_Not_Be_Spoken obj713_car
Attribute 43	seen			! obj101_umbrella obj102_trenchcoat obj103_clothes obj104_wedding_ring obj518_handcuffs obj560_strait_jacket obj625_key_to_the_house obj626_key_to_the_cellar

Property 1	name:dictwords
Property 2	prop2:?
Property 4	before:?
Property 5	after:?
Property 6	life:strings
Property 7	n_to:thing
Property 8	s_to:thing
Property 9	e_to:?
Property 10	w_to:?
Property 11	ne_to:thing
Property 12	se_to:thing
Property 13	nw_to:thing
Property 14	sw_to:thing
Property 15	u_to:?
Property 16	d_to:?
Property 17	in_to:?
Property 18	out_to:thing
Property 19	door_to:?
Property 20	with_key:?
Property 21	door_dir:?
Property 22	invent:?
Property 24	add_to_scope:?
Property 25	list_together:string
Property 26	react_before:?
Property 27	react_after:string
Property 29	orders:?
Property 30	initial:thing
Property 31	when_open:string
Property 35	description:?
Property 36	describe:?
Property 37	article:string
Property 38	cant_go:?
Property 39	found_in:?
Property 40	time_left:?
Property 41	number:?
Property 42	time_out:thing
Property 43	daemon:?
Property 44	each_turn:?
Property 45	capacity:?
Property 46	short_name:?
Property 48	parse_name:?
Property 50	inside_description:string
Property 51	bulk:?
Property 52	afterlook:?
Property 53	lookdir:?
Property 64	create:string
Property 66	destroy:?
Property 72	parse_input:routine
Property 73	play:routine
Property 74	end_turn_sequence:routine
Property 75	begin_action:routine
Property 76	emblazon:string
Property 77	select:string
Property 78	look_dir:string
Property 79	temper:string
Property 80	com1:?
Property 81	com2:?
Property 82	com3:?
Property 83	list_holes:string
Property 84	blowout:string
Property 85	measure:thing
Property 86	drag_away:string
Property 87	reaction:string
Property 88	hesitate:?
Property 89	stare:string

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Examine		! 'check'/'examine'/'inspect'/'watch'/'x//' noun
				! 'l//'/'look' noun=routine181448
				! 'l//'/'look' 'at' noun
				! 'l//'/'look' 'to' noun=routine181448
Action 1	Search		! 'search' noun
				! 'l//'/'look' 'inside'/'in'/'into'/'through'/'on'/'out' noun
Action 2	Climb		! 'climb'/'scale' noun
				! 'climb'/'scale' 'down'/'up'/'over'/'on'/'onto' noun
				! 'crawl'/'go'/'run'/'walk' 'down'/'up' noun
Action 3	Go		! 'leave' noun=routine181448
				! 'crawl'/'go'/'run'/'walk' noun=routine181448
Action 4	Drop		! 'let' 'go' 'of' noun
				! 'set' 'down' noun
				! 'set' noun 'down'
				! 'chuck'/'discard'/'drop'/'throw'/'toss' multiheld
				! 'lay'/'place'/'put'/'stick' 'down' multiheld
				! 'lay'/'place'/'put'/'stick' multiheld 'down'
Action 5	Sit		! 'lie'/'sit'
				! 'lie'/'sit' 'down'
				! 'lie'/'sit' 'on'/'at' noun
				! 'lie'/'sit' 'down' 'on'/'at' noun
				! 'lie'/'sit' 'in'/'inside' noun
				! 'lie'/'sit' 'down' 'in'/'on' noun
Action 6	Stand		! 'stand'
				! 'stand' 'up'
				! 'stand' 'on' noun
				! 'get' 'up'
				! 'get' 'on'/'onto' noun
Action 7	Enter		! 'hop'/'jump'/'leap'/'skip' 'in'/'on'/'onto'/'to'/'into' noun
				! 'dive'/'swim' 'in'/'into' noun
				! 'grip'/'squash'/'squeeze' 'through' noun
				! 'climb'/'scale' 'in'/'into' noun
				! 'cross'/'enter' noun
				! 'leave' 'through' noun
				! 'crawl'/'go'/'run'/'walk' noun
				! 'crawl'/'go'/'run'/'walk' 'into'/'in'/'inside'/'through'/'under' noun
				! 'get' 'in'/'into'/'inside' noun
Action 8	Insert		! 'hide' held 'in'/'under' noun
				! 'hide' multiexcept 'in'/'under' noun
				! 'chuck'/'discard'/'drop'/'throw'/'toss' multiexcept 'in'/'into'/'down' noun
				! 'insert' multiexcept 'in'/'into' noun
				! 'lay'/'place'/'put'/'stick' held 'in'/'into'/'inside'/'between' noun
				! 'lay'/'place'/'put'/'stick' multiexcept 'in'/'inside'/'into' noun
Action 9	Answer		! 'speak'
				! 'speak' topic 'to' creature
				! 'answer'/'say' topic 'to' animate
				! 'answer'/'say' topic 'to' creature
Action 10	Consult		! 'find' topic 'in'/'among' noun=routine181512
				! 'search' 'for' topic 'in'/'among' noun=routine181512
				! 'read' 'about' topic 'in' noun=routine181512
				! 'consult' noun 'about' topic
				! 'consult' noun 'on' topic
				! 'l//'/'look' 'up'/'for' topic 'in'/'among' noun=routine181512
Action 11	Lockpick	! 'jimmy' noun 'with' held
				! 'pick' noun 'with' held
Action 12	VagueLockpick	! 'jimmy' 'lock' 'with' held
				! 'pick' 'lock' 'with' held
Action 13	Pronouns	! 'nouns'/'pronouns'
Action 14	Quit		! 'die'/'q//'/'quit'
Action 15	Restart		! 'restart'
Action 16	Restore		! 'restore'/'resume'
Action 17	Save		! 'save'
Action 18	Verify		! 'verify'
Action 19	ScriptOn	! 'script'/'transcrip'
				! 'script'/'transcrip' 'on'
Action 20	ScriptOff	! 'noscript'/'unscript'
				! 'script'/'transcrip' 'off'
Action 21	NotifyOn	! 'notify' 'on'
Action 22	NotifyOff	! 'notify' 'off'
Action 23	Places		! 'places'
Action 24	Objects		! 'objects'
Action 25	Score		! 'score'
Action 26	FullScore	! 'full'/'fullscore'
				! 'full'/'fullscore' 'score'
Action 27	Inv		! 'i//'/'inv'/'inventory'
				! 'i//'/'inv'/'inventory' 'wide'
				! 'take' 'inventory'/'inv'/'i//'
Action 28	Take		! 'dangle'/'hang' 'on' 'to' noun
				! 'peel' noun
				! 'peel' 'off' noun
				! 'pick' 'up' multi
				! 'pick' multi 'up'
				! 'get' multi
				! 'carry'/'catch'/'grab'/'hold'/'hook'/'snag' multi
				! 'take' multi
Action 29	Remove		! 'unpack' multiinside 'from'/'off' noun
				! 'unpack' multi 'from'/'off' noun
				! 'remove' multiinside 'from'/'off' noun
				! 'remove' multi 'from'/'off' noun
				! 'get' multiinside 'from'/'off' noun
				! 'take' multiinside 'from'/'off' noun
