! Auto-generated by Reform.

MD5	1eef9c0fa009ca4adf4872cfc5249d45
Word	chandelie	chandelie
Word	crevasses	crevasses
Word	equipment	equipment
Word	everythin	everythin
Word	expeditio	expeditio
Word	featherin	featherin
Word	featurele	featurele
Word	fossilize	fossilize
Word	fullscore	fullscore
Word	green7	green7
Word	gypsum	gypsum
