! Auto-generated by Reform.

MD5	425fa66869309d7ed7f8ef04a492fbb7
Action 39	Action39	! 'dig' 'with' object
Action 40	Action40	! 'dip'/'dunk'/'immers'/'submer' attrib11(held,carried,have) 'into'/'inside'/'in' object(on_ground,have)
Action 41	Action41	! 'disemb' attrib14(in_room,on_ground)
				! 'dive'/'jump'/'leap' 'off' object
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' 'off' attrib14(on_ground)
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' 'out' attrib14(on_ground)
Action 42	Action42	! 'drink'/'imbibe'/'sip'/'swallo' attrib8(held,carried,in_room,on_ground)
Action 43	Action43	! 'drink'/'imbibe'/'sip'/'swallo' attrib8 'from' attrib20(held,carried,on_ground)
				! 'drink'/'imbibe'/'sip'/'swallo' attrib8 'into'/'inside'/'in' attrib20(held,carried,on_ground)
				! 'drink'/'imbibe'/'sip'/'swallo' 'from' object(held,carried)
Action 44	Action44	! 'drop'/'releas' object(held,many,have)
				! 'leave' object
				! 'hide'/'insert'/'place'/'put'/'stuff'/'wedge' 'down'/'d//' object(held,many)
Action 45	Action45	! 'lean' 'onto'/'on' object(held,have)
Action 46	Action46	! 'bite'/'chew'/'consum'/'eat' attrib7(held,carried,in_room,on_ground,many)
Action 47	Action47	! 'taste' object(held,carried,in_room,on_ground,many)
Action 48	Action48	! 'enter'
Action 49	Action49	! 'enter' object
				! 'go'/'procee'/'run'/'step'/'walk' 'with' object
				! 'go'/'procee'/'run'/'step'/'walk' 'onto'/'on' object
				! 'go'/'procee'/'run'/'step'/'walk' 'into'/'inside'/'in' object
Action 50	Action50	! 'exit' object
				! 'exit'
Action 51	Action51	! 'descri'/'examin'/'what'/'whats' object(held,carried,in_room,on_ground,many)
				! 'gaze'/'l//'/'look'/'stare' 'at' object(held,carried,in_room,on_ground,many)
Action 52	Action52	! 'descri'/'examin'/'what'/'whats' 'onto'/'on' object(held,carried,in_room,on_ground,many)
				! 'descri'/'examin'/'what'/'whats' 'into'/'inside'/'in' object(held,carried,in_room,on_ground,many)
				! 'gaze'/'l//'/'look'/'stare' 'onto'/'on' object(held,carried,in_room,on_ground,many)
				! 'gaze'/'l//'/'look'/'stare' 'into'/'inside'/'in' object(held,carried,in_room,on_ground,many)
				! 'gaze'/'l//'/'look'/'stare' 'throug' object
				! 'gaze'/'l//'/'look'/'stare' 'with' object
Action 53	Action53	! 'banish'/'begone'/'cast'/'drive'/'exorci' 'away' attrib13
				! 'banish'/'begone'/'cast'/'drive'/'exorci' 'out' attrib13
				! 'banish'/'begone'/'cast'/'drive'/'exorci' object
Action 54	Action54	! 'douse'/'exting' attrib10(held,carried,in_room,on_ground,take,many,have)
				! 'blow' 'out' object(held,carried,on_ground,have)
				! 'flip'/'set'/'shut'/'turn' 'off' object(held,carried,in_room,on_ground,take,have)
Action 55	Action55	! 'fill' attrib20(held,carried,on_ground,take,have)
				! 'fill' attrib20(held,carried,on_ground,take,have) 'with' object
Action 56	Action56	! 'fill' 'into'/'inside'/'in' object(in_room,on_ground)
Action 57	Action57	! 'fill' 'out' object
Action 58	Action58	! 'find'/'see'/'seek'/'where' object
				! 'gaze'/'l//'/'look'/'stare' 'for' object
				! 'search' 'for' object
Action 59	Action59	! 'chase'/'come'/'follow'/'pursue' object
				! 'chase'/'come'/'follow'/'pursue'
Action 60	Action60	! 'donate'/'feed'/'give'/'hand'/'offer' object(held,many,have) 'to' attrib6(on_ground)
Action 61	Action61	! 'donate'/'feed'/'give'/'hand'/'offer' attrib6(on_ground) object(held,many,have)
Action 62	Action62	! 'hello'/'hi' object
				! 'hello'/'hi'
Action 63	Action63	! 'help' object
				! 'help'
Action 64	Action64	! 'blow' 'up'/'u//' object 'with' attrib19(held,carried,in_room,on_ground)
				! 'inflat' object 'with' attrib19(held,carried,in_room,on_ground)
Action 65	Action65	! 'dive'/'jump'/'leap' 'from' object
				! 'dive'/'jump'/'leap' 'into'/'inside'/'in' object
				! 'dive'/'jump'/'leap' 'across' object
				! 'dive'/'jump'/'leap' 'over' object
				! 'dive'/'jump'/'leap'
				! 'go'/'procee'/'run'/'step'/'walk' 'over' object
Action 66	Action66	! 'dive'/'jump'/'leap' object
Action 67	Action67	! 'kick' object
Action 68	Action68	! 'dispat'/'kill'/'murder'/'slay'/'stab' attrib13(in_room,on_ground) 'with' attrib12(held,carried,have)
Action 69	Action69	! 'kiss' attrib13(in_room,on_ground)
Action 70	Action70	! 'knock'/'rap' 'onto'/'on' object
				! 'knock'/'rap' 'at' object
Action 71	Action71	! 'knock'/'rap' 'over' object
				! 'press'/'push' 'onto'/'on' object(in_room,on_ground,many)
				! 'press'/'push' object(in_room,on_ground,many)
				! 'slide' object
Action 72	Action72	! 'launch' attrib14
Action 73	Action73	! 'leave'
Action 74	Action74	! 'light' attrib11(carried,in_room,on_ground)
				! 'strike' object(carried,in_room,on_ground)
				! 'flip'/'set'/'shut'/'turn' 'onto'/'on' object(held,carried,in_room,on_ground,take,have)
Action 75	Action75	! 'listen' 'for' object
				! 'listen' 'to' object
Action 76	Action76	! 'lock' object(in_room,on_ground) 'with' attrib19(held,carried,in_room,on_ground)
Action 77	Action77	! 'gaze'/'l//'/'look'/'stare' 'around' attrib31
				! 'gaze'/'l//'/'look'/'stare'
Action 78	Action78	! 'gaze'/'l//'/'look'/'stare' 'up'/'u//' object
				! 'gaze'/'l//'/'look'/'stare' 'up'/'u//' attrib31
Action 79	Action79	! 'gaze'/'l//'/'look'/'stare' 'undern'/'under'/'beneat'/'below' object
Action 80	Action80	! 'gaze'/'l//'/'look'/'stare' 'behind' object
Action 81	Action81	! 'gaze'/'l//'/'look'/'stare' 'down'/'d//' object
Action 82	Action82	! 'gaze'/'l//'/'look'/'stare' 'at' object(held,carried,in_room,on_ground,many) 'with' object
				! 'read'/'skim' attrib5(held,carried,in_room,on_ground) 'with' object(held,carried,have)
				! 'read'/'skim' attrib5(held,carried,in_room,on_ground)
Action 83	Action83	! 'gaze'/'l//'/'look'/'stare' object
Action 84	Action84	! 'search' 'into'/'inside'/'in' object
				! 'search' object
Action 85	Action85	! 'lower' object
Action 86	Action86	! 'make' object
Action 87	Action87	! 'liquif'/'melt' object 'with' attrib10(held,carried,in_room,on_ground)
Action 88	Action88	! 'move' object(in_room,on_ground)
				! 'roll' 'up'/'u//' object(in_room,on_ground)
				! 'pull'/'tug'/'yank' 'onto'/'on' object(in_room,on_ground)
				! 'pull'/'tug'/'yank' object(in_room,on_ground)
Action 89	Action89	! 'move' object(in_room,on_ground) object
				! 'roll' object(in_room,on_ground) 'to' object
				! 'roll' object(in_room,on_ground) object
				! 'pull'/'tug'/'yank' object(in_room,on_ground) object
				! 'press'/'push' object(in_room,on_ground) 'to' object
				! 'press'/'push' object(in_room,on_ground) object
				! 'slide' object(in_room,on_ground) 'to' object
				! 'slide' object(in_room,on_ground) object
Action 90	Action90	! 'play' object
Action 91	Action91	! 'pull'/'tug'/'yank' object 'throug' object(in_room,on_ground)
				! 'pull'/'tug'/'yank' 'up'/'u//' object(in_room,on_ground)
Action 92	Action92	! 'mumble'/'sigh'
Action 93	Action93	! 'break'/'chip'/'chop'/'damage'/'destro'/'hit'/'smash' 'down'/'d//' object(held,carried,in_room,on_ground) 'with' object(held,carried,have)
				! 'break'/'chip'/'chop'/'damage'/'destro'/'hit'/'smash' 'into'/'inside'/'in' object(in_room,on_ground) 'with' object(held,carried,have)
				! 'break'/'chip'/'chop'/'damage'/'destro'/'hit'/'smash' object(held,carried,in_room,on_ground) 'with' object(held,carried,have)
				! 'blind'/'jab'/'poke' attrib13(in_room,on_ground) 'with' attrib12(held,carried,have)
Action 94	Action94	! 'grease'/'lubric' object 'with' object(held,carried)
Action 95	Action95	! 'open' attrib9(held,carried,in_room,on_ground) 'with' attrib19(held,carried,in_room,on_ground,have)
				! 'open' 'up'/'u//' attrib9(held,carried,in_room,on_ground)
				! 'open' attrib9(held,carried,in_room,on_ground)
Action 96	Action96	! 'pick' object 'with' object(held,carried,have)
				! 'pick' object
Action 97	Action97	! 'pick' 'up'/'u//' attrib15(on_ground,many)
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' attrib15 'with' attrib19
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' attrib15(carried,in_room,many) 'of' object
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' attrib15(carried,in_room,many) 'from' object
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' attrib15(carried,in_room,many) 'off' object
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' attrib15(carried,in_room,many) 'out' object
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' attrib15(in_room,on_ground,many)
Action 98	Action98	! 'fix'/'glue'/'patch'/'plug'/'repair' object 'with' object(held,carried,have)
Action 99	Action99	! 'plugh'/'xyzzy'
Action 100	Action100	! 'pour'/'spill' object(held,carried) 'from' object
				! 'pour'/'spill' object(held,carried)
Action 101	Action101	! 'pour'/'spill' object(held,carried) 'into'/'inside'/'in' object
Action 102	Action102	! 'pour'/'spill' object(held,carried,have) 'onto'/'on' object
Action 103	Action103	! 'pray' 'for' object
				! 'pray'
Action 104	Action104	! 'pump' 'up'/'u//' object 'with' object
				! 'pump' 'up'/'u//' object
Action 105	Action105	! 'press'/'push' object(held,carried,have) 'undern'/'under'/'beneat'/'below' object
				! 'hide'/'insert'/'place'/'put'/'stuff'/'wedge' object(held,many,have) 'undern'/'under'/'beneat'/'below' object
				! 'slide' object 'undern'/'under'/'beneat'/'below' object
Action 106	Action106	! 'press'/'push' object(held,carried,have) 'throug' object
Action 107	Action107	! 'press'/'push' 'up'/'u//' object
				! 'lift'/'raise' 'up'/'u//' object
				! 'lift'/'raise' object
Action 108	Action108	! 'hide'/'insert'/'place'/'put'/'stuff'/'wedge' object(held,have) 'betwee' object
				! 'hide'/'insert'/'place'/'put'/'stuff'/'wedge' object(held,on_ground,many,have) 'onto'/'on' object
Action 109	Action109	! 'hide'/'insert'/'place'/'put'/'stuff'/'wedge' 'onto'/'on' object(carried,in_room,on_ground,many)
				! 'wear' object
Action 110	Action110	! 'hide'/'insert'/'place'/'put'/'stuff'/'wedge' object(held,many,have) 'behind' object
Action 111	Action111	! 'hide'/'insert'/'place'/'put'/'stuff'/'wedge' object(held,have) 'at' object
				! 'hide'/'insert'/'place'/'put'/'stuff'/'wedge' object(held,have) 'by' object
				! 'hide'/'insert'/'place'/'put'/'stuff'/'wedge' object(held,have) 'agains' object
Action 112	Action112	! 'hide'/'insert'/'place'/'put'/'stuff'/'wedge' object(held,have) 'over' object
				! 'hide'/'insert'/'place'/'put'/'stuff'/'wedge' object(held,have) 'across' object
Action 113	Action113	! 'molest'/'rape' attrib6
Action 114	Action114	! 'reach' 'into'/'inside'/'in' attrib25
Action 115	Action115	! 'read'/'skim' 'into'/'inside'/'in' object(held,carried,have)
Action 116	Action116	! 'repent'
Action 117	Action117	! 'roll' object
Action 118	Action118	! 'feel'/'pat'/'pet'/'rub'/'touch' object 'with' object
				! 'feel'/'pat'/'pet'/'rub'/'touch' object
Action 119	Action119	! 'script'
Action 120	Action120	! 'unscri'
Action 121	Action121	! 'send' 'for' object
				! 'send' object
Action 122	Action122	! 'empty'/'shake' object
Action 123	Action123	! 'hop'/'skip'
Action 124	Action124	! 'smell'/'sniff' object
Action 125	Action125	! 'smoke' object
Action 126	Action126	! 'spin' object
Action 127	Action127	! 'spray' object 'onto'/'on' object
Action 128	Action128	! 'spray' object 'with' object
Action 129	Action129	! 'squeez' object
Action 130	Action130	! 'stand' 'up'/'u//' attrib31
				! 'stand'
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' 'up'/'u//' attrib31
Action 131	Action131	! 'stand' 'undern'/'under'/'beneat'/'below' object
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' 'undern'/'under'/'beneat'/'below' object
Action 132	Action132	! 'stay'
Action 133	Action133	! 'bathe'/'swim'/'wade' 'into'/'inside'/'in' object
				! 'bathe'/'swim'/'wade'
Action 134	Action134	! 'swing'/'thrust' attrib12(held,carried,have) 'at' attrib13(in_room,on_ground)
				! 'swing'/'thrust' attrib12(held,carried,have)
Action 135	Action135	! 'ask'/'tell' attrib6(in_room)
				! 'say'/'talk' 'to' attrib6(in_room)
Action 136	Action136	! 'say'/'talk'
Action 137	Action137	! 'lie'/'rest'/'sleep' 'down'/'d//' attrib31
				! 'lie'/'rest'/'sleep' 'onto'/'on' object
				! 'lie'/'rest'/'sleep' 'onto'/'on' object
				! 'lie'/'rest'/'sleep' 'into'/'inside'/'in' object
				! 'lie'/'rest'/'sleep'
Action 138	Action138	! 'chant'/'incant'
Action 139	Action139	! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,take,have) 'onto'/'on' object
				! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,take,have) 'into'/'inside'/'in' object
				! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,take,have) 'with' object(in_room,on_ground)
				! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,take,have) 'at' object
				! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,take,have) 'down'/'d//' object
				! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,take,have)
Action 140	Action140	! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,take,have) 'to' object
				! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,take,have) object
Action 141	Action141	! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,take,have) 'over' object
				! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,take,have) 'off' object
Action 142	Action142	! 'attach'/'fasten'/'secure'/'tie' object(held,carried,on_ground,take,have) 'around' object
				! 'attach'/'fasten'/'secure'/'tie' object(held,carried,on_ground,take,have) 'to' object
Action 143	Action143	! 'attach'/'fasten'/'secure'/'tie' 'up'/'u//' attrib6(in_room,on_ground) 'with' object(held,carried,in_room,on_ground,take,have)
Action 144	Action144	! 'time'
Action 145	Action145	! 'flip'/'set'/'shut'/'turn' 'over' object
Action 146	Action146	! 'flip'/'set'/'shut'/'turn' attrib4(held,carried,in_room,on_ground) 'with' attrib19(held,carried,in_room,on_ground,have)
				! 'flip'/'set'/'shut'/'turn' attrib4
				! 'flip'/'set'/'shut'/'turn' attrib4 'for' object
				! 'flip'/'set'/'shut'/'turn' attrib4 'to' object
Action 147	Action147	! 'unfold' object
Action 148	Action148	! 'fold' 'up'/'u//' object
				! 'fold' object
Action 149	Action149	! 'unlock' object(in_room,on_ground) 'with' attrib19(held,carried,in_room,on_ground,have)
Action 150	Action150	! 'free'/'unatta'/'unfast'/'unhook'/'untie' object(held,carried,in_room,on_ground) 'from' object
				! 'free'/'unatta'/'unfast'/'unhook'/'untie' object(held,carried,in_room,on_ground)
Action 151	Action151	! 'wait'/'z//'
Action 152	Action152	! 'awake'/'startl'/'surpri'/'wake' 'up'/'u//' attrib6(in_room,on_ground)
				! 'awake'/'startl'/'surpri'/'wake' attrib6(in_room,on_ground)
Action 153	Action153	! 'go'/'procee'/'run'/'step'/'walk' object
Action 154	Action154	! 'go'/'procee'/'run'/'step'/'walk' 'around' object
Action 155	Action155	! 'go'/'procee'/'run'/'step'/'walk' 'to' object
Action 156	Action156	! 'brandi'/'signal'/'wave' object(held,carried) 'at' object
				! 'brandi'/'signal'/'wave' object(held,carried)
				! 'brandi'/'signal'/'wave' 'to' object
				! 'brandi'/'signal'/'wave' 'at' object
Action 157	Action157	! 'weigh' object
Action 158	Action158	! 'wet' object(held,carried,in_room,on_ground,have) 'with' object
Action 159	Action159	! 'win'/'winnag'
Action 160	Action160	! 'wind' 'up'/'u//' object
				! 'wind' object
Action 161	Action161	! 'scream'/'shout'/'yell'
Action 162	Action162	! 'zork'
Action 163	Action163	! 'is' object 'onto'/'on' object
				! 'is' object 'into'/'inside'/'in' object

Word	$ve	$ve
Word	across	across
Word	advent	advent
Word	agains	agains
Word	airpla	airpla
Word	alabas	alabas
Word	ancien	ancien
Word	answer	answer
Word	arched	arched
Word	around	around
Word	attach	attach
Word	attack	attack
Word	banish	banish
Word	beaten	beaten
Word	begone	begone
Word	behind	behind
Word	beneat	beneat
Word	betwee	betwee
Word	blacke	blacke
Word	blessi	blessi
Word	blocks	blocks
Word	brandi	brandi
Word	bricks	bricks
Word	bright	bright
Word	broken	broken
Word	bronze	bronze
Word	buffal	buffal
Word	bulkhe	bulkhe
Word	burial	burial
Word	burned	burned
Word	button	button
Word	calcif	calcif
Word	cantee	cantee
Word	carnel	carnel
Word	ceilin	ceilin
Word	chalic	chalic
Word	charre	charre
Word	cigare	cigare
Word	cluste	cluste
Word	coffin	coffin
Word	compar	compar
Word	consum	consum
Word	coupon	coupon
Word	cretin	cretin
Word	crocod	crocod
Word	crowba	crowba
Word	damage	damage
Word	deckin	deckin
Word	deflat	deflat
Word	descri	descri
Word	desert	desert
Word	destro	destro
Word	diamon	diamon
Word	digits	digits
Word	disemb	disemb
Word	dispat	dispat
Word	donate	donate
Word	doorwa	doorwa
Word	dracul	dracul
Word	eighth	eighth
Word	emeral	emeral
Word	enlarg	enlarg
Word	examin	examin
Word	except	except
Word	exorci	exorci
Word	explos	explos
Word	exting	exting
Word	farewe	farewe
Word	fasten	fasten
Word	feldsp	feldsp
Word	finger	finger
Word	folded	folded
Word	follow	follow
Word	foobar	foobar
Word	fourth	fourth
Word	gasoli	gasoli
Word	glyphs	glyphs
Word	golden	golden
Word	granit	granit
Word	grease	grease
Word	ground	ground
Word	gyroco	gyroco
Word	hammer	hammer
Word	hierog	hierog
Word	ignite	ignite
Word	imbibe	imbibe
Word	immers	immers
Word	incant	incant
Word	incine	incine
Word	inflat	inflat
Word	injure	injure
Word	inky-	inky-
Word	insert	insert
Word	inside	inside
Word	inspec	inspec
Word	instru	instru
Word	intdir	intdir
Word	intnum	intnum
Word	invent	invent
Word	jasper	jasper
Word	jet-b	jet-b
Word	jewele	jewele
Word	klaatu	klaatu
Word	knapsa	knapsa
Word	knee-	knee-
Word	knotho	knotho
Word	ladder	ladder
Word	larger	larger
Word	launch	launch
Word	lazuli	lazuli
Word	lights	lights
Word	lintel	lintel
Word	liquid	liquid
Word	liquif	liquif
Word	listen	listen
Word	lizard	lizard
Word	lubric	lubric
Word	machet	machet
Word	manual	manual
Word	matchb	matchb
Word	matche	matche
Word	middle	middle
Word	molest	molest
Word	mumble	mumble
Word	murder	murder
Word	myself	myself
Word	narrow	narrow
Word	naviga	naviga
Word	needle	needle
Word	nephth	nephth
Word	niches	niches
Word	northe	northe
Word	northw	northw
Word	obsidi	obsidi
Word	openin	openin
Word	oxygen	oxygen
Word	packin	packin
Word	padloc	padloc
Word	painti	painti
Word	panels	panels
Word	papyru	papyru
Word	parach	parach
Word	patter	patter
Word	pencil	pencil
Word	petrol	petrol
Word	pickax	pickax
Word	pictur	pictur
Word	pierce	pierce
Word	pillar	pillar
Word	plaste	plaste
Word	player	player
Word	polish	polish
Word	procee	procee
Word	pursue	pursue
Word	pyrami	pyrami
Word	quartz	quartz
Word	recess	recess
Word	releas	releas
Word	remain	remain
Word	remove	remove
Word	repair	repair
Word	repent	repent
Word	reptil	reptil
Word	restar	restar
Word	restor	restor
Word	sarcop	sarcop
Word	scarab	scarab
Word	scream	scream
Word	script	script
Word	scroll	scroll
Word	search	search
Word	second	second
Word	secure	secure
Word	selkis	selkis
Word	sevent	sevent
Word	shovel	shovel
Word	signal	signal
Word	silver	silver
Word	single	single
Word	sizabl	sizabl
Word	skelet	skelet
Word	smalle	smalle
Word	southe	southe
Word	southw	southw
Word	spatul	spatul
Word	square	square
Word	squeez	squeez
Word	stairc	stairc
Word	stairs	stairs
Word	stairw	stairw
Word	startl	startl
Word	statue	statue
Word	sticke	sticke
Word	stones	stones
Word	strang	strang
Word	strike	strike
Word	sturdy	sturdy
Word	submer	submer
Word	superb	superb
Word	supply	supply
Word	surpri	surpri
Word	swallo	swallo
Word	symbol	symbol
Word	thicke	thicke
Word	thousa	thousa
Word	throug	throug
Word	thrust	thrust
Word	timber	timber
Word	unatta	unatta
Word	undern	undern
Word	unfast	unfast
Word	unfold	unfold
Word	unhook	unhook
Word	unlock	unlock
Word	unscri	unscri
Word	unwiel	unwiel
Word	verbos	verbos
Word	versio	versio
Word	windin	windin
Word	winnag	winnag
Word	wooden	wooden
Word	wrappe	wrappe
Word	yellow	yellow
Word	zzmgck	zzmgck
