! Auto-generated by Reform.

MD5	5f42ff092a2f30471ae98150ef4da2e1
				! 'drive'/'go'/'procee'/'run'/'steer'/'step'/'walk' 'down'/'d//' object(in_room,on_ground)
Action 28	Action28	! 'climb'/'scale' 'over' object(in_room,on_ground)
Action 29	Action29	! 'climb'/'scale' 'out' attrib28(in_room,on_ground)
				! 'climb'/'scale' 'off' attrib28(in_room,on_ground)
				! 'disemb' object(in_room,on_ground)
				! 'disemb'
				! 'carry'/'catch'/'get'/'grab'/'hold'/'snatch'/'take' 'out' attrib28(on_ground)
Action 30	Action30	! 'cover' object 'with'/'using' object(in_room,on_ground)
Action 31	Action31	! 'nap'/'sleep'
				! 'lie' 'down'/'d//' attrib28
Action 32	Action32	! 'close'/'shut' attrib27(held,carried,in_room,on_ground) 'with'/'using' attrib30
				! 'close'/'shut' attrib27(held,carried,in_room,on_ground)
Action 33	Action33	! 'compar' object(many)
Action 34	Action34	! 'compar' object 'with'/'using' object
				! 'compar' object 'to' object
Action 35	Action35	! 'count' object 'into'/'inside'/'in'/'ahead' object
				! 'count' object
Action 36	Action36	! 'cross' object
Action 37	Action37	! 'chop'/'cut'/'prune'/'slash'/'slice'/'split' 'thru'/'throug' object 'with'/'using' attrib30(held,carried,have)
				! 'chop'/'cut'/'prune'/'slash'/'slice'/'split' object 'with'/'using' attrib30(held,carried,have)
Action 38	Action38	! 'damn'/'fuck'/'shit'
Action 39	Action39	! 'break'/'crack'/'destro'/'scrape'/'scratc'/'smash'/'wreck' 'down'/'d//' object(held,carried,in_room,on_ground) 'with'/'using' object(held,carried,take,have)
				! 'break'/'crack'/'destro'/'scrape'/'scratc'/'smash'/'wreck' object(held,carried,in_room,on_ground) 'with'/'using' object(held,carried,take,have)
				! 'break'/'crack'/'destro'/'scrape'/'scratc'/'smash'/'wreck' object(in_room,on_ground)
Action 40	Action40	! 'dig' 'into'/'inside'/'in'/'ahead' object(in_room,on_ground) 'with'/'using' attrib26(held,carried,have)
				! 'dig' object(in_room,on_ground) 'with'/'using' attrib26(held,carried,have)
				! 'dig' 'thru'/'throug' object
				! 'dig' 'with'/'using' object
				! 'dig' 'into'/'inside'/'in'/'ahead' object
Action 41	Action41	! 'drink'/'sip'/'swallo' object(held,carried,in_room,on_ground)
Action 42	Action42	! 'drink'/'sip'/'swallo' 'from' object(held,carried)
Action 43	Action43	! 'leave' object
				! 'drop'/'dump' 'from' object
				! 'drop'/'dump' object(held,many,have)
				! 'hurl'/'pitch'/'throw'/'toss' object(held,many,have) 'away' attrib28
				! 'hurl'/'pitch'/'throw'/'toss' 'away' object(held,many,have)
				! 'let' 'go' attrib28
				! 'insert'/'lay'/'place'/'put' 'down'/'d//' object(held,many)
Action 44	Action44	! 'releas' object
Action 45	Action45	! 'consum'/'eat'/'gobble' object(held,carried,in_room,on_ground,many)
Action 46	Action46	! 'sample'/'taste' object(held,carried,in_room,on_ground,many)
Action 47	Action47	! 'enter'
Action 48	Action48	! 'enter' object
				! 'drive'/'go'/'procee'/'run'/'steer'/'step'/'walk' 'thru'/'throug' object
				! 'drive'/'go'/'procee'/'run'/'steer'/'step'/'walk' 'into'/'inside'/'in'/'ahead' attrib28
Action 49	Action49	! 'depart'/'exit'/'withdr' object
				! 'depart'/'exit'/'withdr'
Action 50	Action50	! 'check'/'descri'/'examin'/'watch'/'x//' object(held,carried,in_room,on_ground)
				! 'gaze'/'l//'/'look'/'stare' 'at' object(held,carried,in_room,on_ground)
Action 51	Action51	! 'check'/'descri'/'examin'/'watch'/'x//' 'onto'/'on' object(held,carried,in_room,on_ground)
				! 'check'/'descri'/'examin'/'watch'/'x//' 'into'/'inside'/'in'/'ahead' object(held,carried,in_room,on_ground)
				! 'gaze'/'l//'/'look'/'stare' 'into'/'inside'/'in'/'ahead' object(held,carried,in_room,on_ground)
				! 'gaze'/'l//'/'look'/'stare' 'onto'/'on' object(held,carried,in_room,on_ground)
				! 'gaze'/'l//'/'look'/'stare' 'thru'/'throug' object
Action 52	Action52	! 'check'/'descri'/'examin'/'watch'/'x//' 'for' object
				! 'gaze'/'l//'/'look'/'stare' 'for' object
				! 'rummag'/'search' 'for' object
				! 'find' object
Action 53	Action53	! 'fill' attrib27(held,take,have) 'at' object
				! 'fill' attrib27(held,take,have) 'with'/'using' object
				! 'fill' attrib27(held,take,have)
Action 54	Action54	! 'chase'/'follow' object
				! 'chase'/'follow'
Action 55	Action55	! 'feed'/'give'/'offer' object(held,carried,many,have) 'to' attrib31(on_ground)
Action 56	Action56	! 'feed'/'give'/'offer' attrib31(on_ground) 'with'/'using' object(held,carried,many,have)
				! 'feed'/'give'/'offer' attrib31(on_ground) object(held,carried,many,have)
Action 57	Action57	! 'trade' object(held,carried,have)
				! 'trade' object(held,carried,have) 'for' object
				! 'trade' object(held,carried,have) 'with'/'using' attrib31
				! 'feed'/'give'/'offer' object(held,carried,have) 'for' object
Action 58	Action58	! 'greeti'/'hello'/'hi' object
				! 'greeti'/'hello'/'hi'
Action 59	Action59	! 'help'/'hint' object
				! 'help'/'hint'
Action 60	Action60	! 'concea'/'hide' object(held,have) 'from' object
				! 'concea'/'hide' 'behind' object
				! 'concea'/'hide' 'undern'/'under'/'beneat'/'below' object
				! 'concea'/'hide' object(held,have)
				! 'concea'/'hide'
Action 61	Action61	! 'concea'/'hide' 'from' object
Action 62	Action62	! 'dive'/'jump'/'leap' 'off' object
				! 'dive'/'jump'/'leap' 'down'/'d//' attrib28
				! 'dive'/'jump'/'leap' 'from' object
				! 'dive'/'jump'/'leap' 'into'/'inside'/'in'/'ahead' object
				! 'dive'/'jump'/'leap' 'across' object
				! 'dive'/'jump'/'leap' 'over' object
				! 'dive'/'jump'/'leap'
				! 'drive'/'go'/'procee'/'run'/'steer'/'step'/'walk' 'over' object
Action 63	Action63	! 'kick' object
Action 64	Action64	! 'kill'/'murder'/'slay'/'stab' attrib31(in_room,on_ground) 'with'/'using' attrib30(held,carried,have)
				! 'kill'/'murder'/'slay'/'stab' attrib31(in_room,on_ground)
Action 65	Action65	! 'kiss' attrib31(in_room,on_ground)
Action 66	Action66	! 'knock'/'rap' 'onto'/'on' object
				! 'knock'/'rap' 'at' object
Action 67	Action67	! 'lean' 'onto'/'on' object(held,have)
Action 68	Action68	! 'lean' object 'agains' object
				! 'lean' object 'onto'/'on' object
				! 'rise'/'stand' object 'agains' object
				! 'erect'/'lift'/'raise' 'up'/'u//' object
				! 'erect'/'lift'/'raise' object
				! 'insert'/'lay'/'place'/'put' 'up'/'u//' object
Action 69	Action69	! 'leave'
				! 'drive'/'go'/'procee'/'run'/'steer'/'step'/'walk' 'away' attrib28
Action 70	Action70	! 'listen' 'for' object
				! 'listen' 'to' object
				! 'listen'
Action 71	Action71	! 'lock' object(in_room,on_ground) 'to' object
				! 'lock' object(in_room,on_ground) 'with'/'using' object(held,carried,have)
Action 72	Action72	! 'gaze'/'l//'/'look'/'stare' 'around'/'along' attrib28
				! 'gaze'/'l//'/'look'/'stare'
Action 73	Action73	! 'gaze'/'l//'/'look'/'stare' 'down'/'d//' attrib28
Action 74	Action74	! 'gaze'/'l//'/'look'/'stare' 'undern'/'under'/'beneat'/'below' object
Action 75	Action75	! 'gaze'/'l//'/'look'/'stare' 'behind' object
Action 76	Action76	! 'gaze'/'l//'/'look'/'stare' 'at' object(held,carried,in_room,on_ground,take) 'thru'/'throug' object
				! 'read' attrib23(held,carried,in_room,on_ground)
Action 77	Action77	! 'gaze'/'l//'/'look'/'stare' 'up'/'u//' attrib28
Action 78	Action78	! 'what' 'about' object
				! 'what' object
				! 'gaze'/'l//'/'look'/'stare' 'up'/'u//' object 'into'/'inside'/'in'/'ahead' object
				! 'read' 'about' object
Action 79	Action79	! 'gaze'/'l//'/'look'/'stare' object
Action 80	Action80	! 'lower' object
				! 'carry'/'catch'/'get'/'grab'/'hold'/'snatch'/'take' 'down'/'d//' object
				! 'drag'/'pull'/'tug' 'down'/'d//' object
Action 81	Action81	! 'lower' object 'down'/'d//' object
				! 'lower' object 'into'/'inside'/'in'/'ahead' object
Action 82	Action82	! 'melt'/'thaw' object 'with'/'using' object(held,carried,in_room,on_ground)
Action 83	Action83	! 'clear'/'move'/'shift'
				! 'drive'/'go'/'procee'/'run'/'steer'/'step'/'walk' 'around'/'along' object
				! 'drive'/'go'/'procee'/'run'/'steer'/'step'/'walk'
Action 84	Action84	! 'slide' object
				! 'roll' 'up'/'u//' object(in_room,on_ground)
				! 'clear'/'move'/'shift' object(in_room,on_ground)
				! 'drag'/'pull'/'tug' 'onto'/'on' object(in_room,on_ground)
				! 'drag'/'pull'/'tug' object(in_room,on_ground)
Action 85	Action85	! 'remove'/'shed' object 'with'/'using' object
				! 'unplug'/'unscre' object 'with'/'using' object
				! 'clear'/'move'/'shift' object(in_room,on_ground) 'with'/'using' object
				! 'lever'/'pry' 'out' object 'with'/'using' object
				! 'lever'/'pry' object 'with'/'using' object
				! 'erect'/'lift'/'raise' 'up'/'u//' object 'with'/'using' object
				! 'erect'/'lift'/'raise' object 'with'/'using' object
				! 'carry'/'catch'/'get'/'grab'/'hold'/'snatch'/'take' attrib24(carried,in_room,many) 'with'/'using' object
Action 86	Action86	! 'press'/'push'/'shove' object(in_room,on_ground) 'onto'/'on' object
				! 'press'/'push'/'shove' object(in_room,on_ground) 'to' object
				! 'press'/'push'/'shove' object(in_room,on_ground) object
				! 'clear'/'move'/'shift' object(in_room,on_ground) 'onto'/'on' object
				! 'clear'/'move'/'shift' object(in_room,on_ground) 'to' object
Action 87	Action87	! 'pray'
Action 88	Action88	! 'open' attrib25(held,carried,in_room,on_ground) 'with'/'using' attrib26(held,carried,in_room,on_ground)
				! 'open' 'up'/'u//' attrib25(held,carried,in_room,on_ground)
				! 'open' attrib25(held,carried,in_room,on_ground)
Action 89	Action89	! 'pick' object 'with'/'using' object
				! 'pick' object
Action 90	Action90	! 'remove'/'shed' object 'from' object
				! 'pick' 'up'/'u//' attrib24(on_ground,many)
				! 'carry'/'catch'/'get'/'grab'/'hold'/'snatch'/'take' attrib24(carried,in_room,many) 'into'/'inside'/'in'/'ahead' object
				! 'carry'/'catch'/'get'/'grab'/'hold'/'snatch'/'take' attrib24(carried,in_room,many) 'from' object
				! 'carry'/'catch'/'get'/'grab'/'hold'/'snatch'/'take' attrib24(carried,in_room,many) 'off' object
				! 'carry'/'catch'/'get'/'grab'/'hold'/'snatch'/'take' attrib24(carried,in_room,many) 'out' object
				! 'carry'/'catch'/'get'/'grab'/'hold'/'snatch'/'take' attrib24(in_room,on_ground,many)
Action 91	Action91	! 'plug'/'screw' object 'into'/'inside'/'in'/'ahead' object
				! 'plug'/'screw' object 'with'/'using' object
Action 92	Action92	! 'plug'/'screw' 'into'/'inside'/'in'/'ahead' object
Action 93	Action93	! 'unplug'/'unscre' object
Action 94	Action94	! 'detach'/'discon'/'free'/'unatta'/'unfast'/'unhook'/'untie'/'unwrap' object(held,carried,in_room,on_ground) 'from' object
				! 'detach'/'discon'/'free'/'unatta'/'unfast'/'unhook'/'untie'/'unwrap' object(held,carried,in_room,on_ground)
				! 'unplug'/'unscre' object 'from' object
Action 95	Action95	! 'fix'/'patch'/'repair' object 'with'/'using' object
				! 'fix'/'patch'/'repair' object
Action 96	Action96	! 'gestur'/'point' 'to' object
				! 'gestur'/'point' 'at' object
Action 97	Action97	! 'empty'/'pour'/'spill' object(held,carried) 'thru'/'throug' object
				! 'empty'/'pour'/'spill' object(held,carried) 'over' object
				! 'empty'/'pour'/'spill' object(held,carried) 'onto'/'on' object
				! 'empty'/'pour'/'spill' object(held,carried)
Action 98	Action98	! 'empty'/'pour'/'spill' object(held,carried) 'from' object
Action 99	Action99	! 'press'/'push'/'shove' 'onto'/'on' object(in_room,on_ground)
				! 'press'/'push'/'shove' object(in_room,on_ground)
Action 100	Action100	! 'slide' object 'undern'/'under'/'beneat'/'below' object
				! 'press'/'push'/'shove' object 'undern'/'under'/'beneat'/'below' object
				! 'insert'/'lay'/'place'/'put' object(held,many,have) 'undern'/'under'/'beneat'/'below' object
Action 101	Action101	! 'press'/'push'/'shove' 'down'/'d//' attrib28
Action 102	Action102	! 'press'/'push'/'shove' 'up'/'u//' attrib28
Action 103	Action103	! 'hang' object 'from' object
				! 'hang' object 'onto'/'on' object
				! 'insert'/'lay'/'place'/'put' object(held,many,have) 'across' object
				! 'insert'/'lay'/'place'/'put' object(held,many,have) 'over' object
				! 'insert'/'lay'/'place'/'put' object(held,many,have) 'onto'/'on' object
Action 104	Action104	! 'wear' object(held,carried,in_room,on_ground,take,many,have)
				! 'insert'/'lay'/'place'/'put' 'onto'/'on' object(held,carried,in_room,on_ground,take,many,have)
Action 105	Action105	! 'insert'/'lay'/'place'/'put' object(held,many,have) 'behind' object
Action 106	Action106	! 'insert'/'lay'/'place'/'put' object(held,have) 'betwee' object
Action 107	Action107	! 'attach'/'connec'/'fasten'/'hook'/'loop'/'tie'/'wrap' object 'onto'/'on' object
				! 'attach'/'connec'/'fasten'/'hook'/'loop'/'tie'/'wrap' object 'around'/'along' object
				! 'attach'/'connec'/'fasten'/'hook'/'loop'/'tie'/'wrap' object 'to' object
				! 'insert'/'lay'/'place'/'put' object(held,have) 'around'/'along' object
Action 108	Action108	! 'reach' 'into'/'inside'/'in'/'ahead' object(in_room,on_ground) 'with'/'using' object(held,carried,have)
				! 'reach' 'into'/'inside'/'in'/'ahead' object(in_room,on_ground)
Action 109	Action109	! 'reach' 'undern'/'under'/'beneat'/'below' object(in_room,on_ground)
				! 'rummag'/'search' 'into'/'inside'/'in'/'ahead' object
				! 'rummag'/'search' object
Action 110	Action110	! 'show' object 'to' attrib31
				! 'read' attrib23(held,carried,in_room,on_ground) 'to' attrib31
Action 111	Action111	! 'remove'/'shed' object
				! 'carry'/'catch'/'get'/'grab'/'hold'/'snatch'/'take' 'off' object
Action 112	Action112	! 'tell' attrib31(held,carried,in_room)
				! 'call'/'say'/'talk' 'to' attrib31(in_room)
Action 113	Action113	! 'call'/'say'/'talk' object
				! 'call'/'say'/'talk'
Action 114	Action114	! 'rattle'/'shake' object
Action 115	Action115	! 'beckon'/'wave' 'to' object
				! 'beckon'/'wave' 'at' object
				! 'scream'/'shout'/'yell' 'at' object
				! 'rattle'/'shake' object 'at' object
Action 116	Action116	! 'hone'/'sharpe' object 'onto'/'on' object
				! 'hone'/'sharpe' object 'with'/'using' object
Action 117	Action117	! 'shoot' object
Action 118	Action118	! 'show' attrib31 object
Action 119	Action119	! 'rest'/'sit' 'down'/'d//' attrib28(in_room,on_ground)
				! 'rest'/'sit' 'onto'/'on' attrib29(in_room,on_ground)
Action 120	Action120	! 'rest'/'sit' 'at' object
Action 121	Action121	! 'hop'/'skip'
Action 122	Action122	! 'smell'/'sniff' object
				! 'smell'/'sniff'
Action 123	Action123	! 'rise'/'stand' 'up'/'u//' attrib28
				! 'rise'/'stand'
				! 'carry'/'catch'/'get'/'grab'/'hold'/'snatch'/'take' 'up'/'u//' attrib28
Action 124	Action124	! 'rise'/'stand' 'onto'/'on' object
Action 125	Action125	! 'start' 'up'/'u//' object
				! 'start' object
				! 'flip'/'power'/'set'/'turn' 'up'/'u//' object
				! 'flip'/'power'/'set'/'turn' 'onto'/'on' object(held,carried,in_room,on_ground)
				! 'light' 'up'/'u//' attrib22
				! 'light' attrib22
Action 126	Action126	! 'swim'/'wade' 'into'/'inside'/'in'/'ahead' object
				! 'swim'/'wade'
Action 127	Action127	! 'swing'/'thrust' attrib30(held,carried,have) 'at' attrib31(in_room,on_ground)
				! 'swing'/'thrust' attrib30(held,carried,have)
Action 128	Action128	! 'tell' object 'about' object
Action 129	Action129	! 'tell' 'about' object
Action 130	Action130	! 'thank'/'thanks'
				! 'thank'/'thanks' object
Action 131	Action131	! 'hurl'/'pitch'/'throw'/'toss' object(held,many,have) 'onto'/'on' object
				! 'hurl'/'pitch'/'throw'/'toss' object(held,many,have) 'into'/'inside'/'in'/'ahead' object
				! 'hurl'/'pitch'/'throw'/'toss' object(held,many,have) 'down'/'d//' object
				! 'hurl'/'pitch'/'throw'/'toss' object(held,carried,have) 'thru'/'throug' object(in_room,on_ground)
				! 'hurl'/'pitch'/'throw'/'toss' object(held,carried,have) 'to' object(in_room,on_ground)
				! 'hurl'/'pitch'/'throw'/'toss' object(held,carried,have) 'at' object(in_room,on_ground)
				! 'hurl'/'pitch'/'throw'/'toss' object(held,carried,have)
Action 132	Action132	! 'hurl'/'pitch'/'throw'/'toss' object(held,carried,have) 'over' object
				! 'hurl'/'pitch'/'throw'/'toss' object(held,carried,have) 'off' object
Action 133	Action133	! 'attach'/'connec'/'fasten'/'hook'/'loop'/'tie'/'wrap' 'up'/'u//' attrib31(in_room,on_ground) 'with'/'using' attrib26(held,carried,in_room,on_ground,have)
Action 134	Action134	! 't//'/'time'
Action 135	Action135	! 'tortur' object
Action 136	Action136	! 'feel'/'pat'/'pet'/'rub'/'squeez'/'touch' object 'with'/'using' object
				! 'feel'/'pat'/'pet'/'rub'/'squeez'/'touch' object
Action 137	Action137	! 'feel'/'pat'/'pet'/'rub'/'squeez'/'touch' object 'to' object
Action 138	Action138	! 'flip'/'power'/'set'/'turn' object 'with'/'using' attrib26(have)
				! 'flip'/'power'/'set'/'turn' object
				! 'flip'/'power'/'set'/'turn' object 'to' object
Action 139	Action139	! 'flip'/'power'/'set'/'turn' 'over' object
Action 140	Action140	! 'flip'/'power'/'set'/'turn' 'around'/'along' attrib28
Action 141	Action141	! 'stop' object
Action 142	Action142	! 'unlock' object(in_room,on_ground) 'with'/'using' object(held,carried,have)
Action 143	Action143	! 'wait'/'z//' object
				! 'wait'/'z//'
Action 144	Action144	! 'wait'/'z//' 'for' object
Action 145	Action145	! 'curdle'/'scare'/'startl'/'surpri' attrib31(in_room,on_ground) 'with'/'using' object
				! 'curdle'/'scare'/'startl'/'surpri' attrib31(in_room,on_ground)
Action 146	Action146	! 'awake'/'wake' 'up'/'u//' attrib28
				! 'awake'/'wake' attrib28
Action 147	Action147	! 'drive'/'go'/'procee'/'run'/'steer'/'step'/'walk' object
Action 148	Action148	! 'drive'/'go'/'procee'/'run'/'steer'/'step'/'walk' 'onto'/'on' object
Action 149	Action149	! 'approa' object
				! 'drive'/'go'/'procee'/'run'/'steer'/'step'/'walk' 'to' object
Action 150	Action150	! 'drive'/'go'/'procee'/'run'/'steer'/'step'/'walk' 'undern'/'under'/'beneat'/'below' object
Action 151	Action151	! 'drive'/'go'/'procee'/'run'/'steer'/'step'/'walk' object 'over' object
				! 'drive'/'go'/'procee'/'run'/'steer'/'step'/'walk' object 'onto'/'on' object
Action 152	Action152	! 'drive'/'go'/'procee'/'run'/'steer'/'step'/'walk' object object
Action 153	Action153	! 'beckon'/'wave' object(held,carried) 'at' object
				! 'beckon'/'wave' object(held,carried)
Action 154	Action154	! 'where' object
				! 'where'
Action 155	Action155	! 'who' object
				! 'who'
Action 156	Action156	! 'yawn'
Action 157	Action157	! 'scream'/'shout'/'yell'
Action 158	Action158	! 'bury' object 'into'/'inside'/'in'/'ahead' object
				! 'bury' object
Action 159	Action159	! 'okay'/'y//'/'yes'
Action 160	Action160	! 'no'/'nope'
Action 161	Action161	! 'buy'/'purcha' object 'with'/'using' object
				! 'buy'/'purcha' object 'from' attrib31
Action 162	Action162	! 'sell' object 'to' attrib31
Action 163	Action163	! 'sell' object object
Action 164	Action164	! 'erase' object
Action 165	Action165	! 'admire'/'compli' attrib31
Action 166	Action166	! 'bargai' 'with'/'using' attrib31
Action 167	Action167	! 'edit' object
Action 168	Action168	! 'choose'/'click'/'select' 'onto'/'on' object 'with'/'using' object
				! 'choose'/'click'/'select' 'onto'/'on' object
				! 'choose'/'click'/'select' object 'with'/'using' object
				! 'choose'/'click'/'select' object
Action 169	Action169	! 'input'/'type' object
Action 170	Action170	! 'login' 'as' object
				! 'login' 'onto'/'on' object
				! 'login' object
				! 'input'/'type' 'login' object
Action 171	Action171	! 'passwo' object
				! 'input'/'type' 'passwo' object
Action 172	Action172	! 'prop'/'wedge' object 'with'/'using' object
Action 173	Action173	! 'prop'/'wedge' object 'betwee' object
				! 'prop'/'wedge' object 'into'/'inside'/'in'/'ahead' object
Action 174	Action174	! 'die'
Action 175	Action175	! 'hack' object
				! 'hack'
Action 176	Action176	! 'cook'/'heat'/'warm' object
Action 177	Action177	! '#rand' object
Action 178	Action178	! '#comm'
Action 179	Action179	! '#reco'
Action 180	Action180	! '#unre'
Action 181	Action181	! '$so'

Word	$so	$so
Word	$ve	$ve
Word	#comm	#comm
Word	#rand	#rand
Word	#reco	#reco
Word	#unre	#unre
Word	access	access
Word	across	across
Word	admire	admire
Word	agains	agains
Word	alchem	alchem
Word	alumin	alumin
Word	ancien	ancien
Word	answer	answer
Word	append	append
Word	approa	approa
Word	archwa	archwa
Word	around	around
Word	assemb	assemb
Word	assign	assign
Word	attach	attach
Word	attack	attack
Word	banner	banner
Word	bargai	bargai
Word	basalt	basalt
Word	baseme	baseme
Word	beckon	beckon
Word	behind	behind
Word	beneat	beneat
Word	betwee	betwee
Word	blizza	blizza
Word	bottle	bottle
Word	brande	brande
Word	bricks	bricks
Word	broken	broken
Word	bronze	bronze
Word	bubbli	bubbli
Word	burrow	burrow
Word	button	button
Word	cabine	cabine
Word	cablel	cablel
Word	cablin	cablin
Word	cardbo	cardbo
Word	carton	carton
Word	carved	carved
Word	carvin	carvin
Word	catwal	catwal
Word	ceilin	ceilin
Word	chambe	chambe
Word	channe	channe
Word	childr	childr
Word	chines	chines
Word	choose	choose
Word	classi	classi
Word	closed	closed
Word	coaxia	coaxia
Word	coca-	coca-
Word	compar	compar
Word	compli	compli
Word	comput	comput
Word	concea	concea
Word	connec	connec
Word	consum	consum
Word	contai	contai
Word	contro	contro
Word	corrid	corrid
Word	counte	counte
Word	crawli	crawli
Word	creatu	creatu
Word	crowba	crowba
Word	crumbl	crumbl
Word	curdle	curdle
Word	curtai	curtai
Word	cutter	cutter
Word	cylind	cylind
Word	darkne	darkne
Word	debris	debris
Word	depart	depart
Word	descen	descen
Word	descri	descri
Word	desser	desser
Word	destro	destro
Word	detach	detach
Word	detrit	detrit
Word	diagno	diagno
Word	discon	discon
Word	disemb	disemb
Word	displa	displa
Word	down-	down-
Word	drippi	drippi
Word	editor	editor
Word	electr	electr
Word	elevat	elevat
Word	elixir	elixir
Word	emerge	emerge
Word	encrus	encrus
Word	equipm	equipm
Word	everyt	everyt
Word	examin	examin
Word	except	except
Word	exting	exting
Word	fasten	fasten
Word	finger	finger
Word	flashl	flashl
Word	floppy	floppy
Word	fluore	fluore
Word	follow	follow
Word	forkli	forkli
Word	format	format
Word	fridge	fridge
Word	froste	froste
Word	gestur	gestur
Word	gloves	gloves
Word	gobble	gobble
Word	gradua	gradua
Word	graffi	graffi
Word	granit	granit
Word	greasy	greasy
Word	greeti	greeti
Word	ground	ground
Word	growth	growth
Word	hacker	hacker
Word	identa	identa
Word	ignite	ignite
Word	incise	incise
Word	incomp	incomp
Word	indesc	indesc
Word	infest	infest
Word	insert	insert
Word	inside	inside
Word	intnam	intnam
Word	intnum	intnum
Word	invent	invent
Word	keycha	keycha
Word	keyrin	keyrin
Word	kitche	kitche
Word	labora	labora
Word	ladder	ladder
Word	letter	letter
Word	lights	lights
Word	liquid	liquid
Word	listen	listen
Word	locked	locked
Word	lovecr	lovecr
Word	machin	machin
Word	mainte	mainte
Word	manhol	manhol
Word	master	master
Word	medeco	medeco
Word	microw	microw
Word	missin	missin
Word	molded	molded
Word	monito	monito
Word	mortar	mortar
Word	moulde	moulde
Word	mummif	mummif
Word	murder	murder
Word	myself	myself
Word	narrow	narrow
Word	networ	networ
Word	new-l	new-l
Word	nitrog	nitrog
Word	northe	northe
Word	northw	northw
Word	number	number
Word	object	object
Word	obscen	obscen
Word	office	office
Word	openin	openin
Word	outlet	outlet
Word	output	output
Word	outsid	outsid
Word	packag	packag
Word	padloc	padloc
Word	pallet	pallet
Word	passag	passag
Word	passwo	passwo
Word	pentag	pentag
Word	people	people
Word	person	person
Word	phosph	phosph
Word	plasti	plasti
Word	platfo	platfo
Word	polish	polish
Word	poster	poster
Word	pressu	pressu
Word	proble	proble
Word	procee	procee
Word	profes	profes
Word	progra	progra
Word	protag	protag
Word	protru	protru
Word	puddle	puddle
Word	purcha	purcha
Word	railin	railin
Word	railro	railro
Word	rattle	rattle
Word	readou	readou
Word	recent	recent
Word	refrig	refrig
Word	reinfo	reinfo
Word	releas	releas
Word	remove	remove
Word	repair	repair
Word	repeat	repeat
Word	respon	respon
Word	restar	restar
Word	restor	restor
Word	revolt	revolt
Word	ropeli	ropeli
Word	rubber	rubber
Word	rubble	rubble
Word	rummag	rummag
Word	sample	sample
Word	scrape	scrape
Word	scratc	scratc
Word	scrawl	scrawl
Word	scream	scream
Word	screen	screen
Word	screws	screws
Word	script	script
Word	search	search
Word	select	select
Word	shapel	shapel
Word	sharpe	sharpe
Word	shrimp	shrimp
Word	sign-	sign-
Word	signup	signup
Word	smelly	smelly
Word	smooth	smooth
Word	snatch	snatch
Word	snowst	snowst
Word	socket	socket
Word	southe	southe
Word	southw	southw
Word	squeez	squeez
Word	staine	staine
Word	startl	startl
Word	sticky	sticky
Word	stones	stones
Word	strand	strand
Word	strang	strang
Word	stream	stream
Word	strike	strike
Word	studen	studen
Word	suicid	suicid
Word	superb	superb
Word	surpri	surpri
Word	swallo	swallo
Word	switch	switch
Word	symbol	symbol
Word	szechu	szechu
Word	tangle	tangle
Word	tattoo	tattoo
Word	tentac	tentac
Word	termin	termin
Word	thanks	thanks
Word	thin-	thin-
Word	throug	throug
Word	thrust	thrust
Word	toppin	toppin
Word	tortur	tortur
Word	trapdo	trapdo
Word	triang	triang
Word	tunnel	tunnel
Word	unatta	unatta
Word	undern	undern
Word	unfast	unfast
Word	unhook	unhook
Word	unlock	unlock
Word	unplug	unplug
Word	unscre	unscre
Word	unscri	unscri
Word	unwrap	unwrap
Word	up-ar	up-ar
Word	urchin	urchin
Word	urgent	urgent
Word	verbos	verbos
Word	versio	versio
Word	viscou	viscou
Word	visibl	visibl
Word	voltag	voltag
Word	weathe	weathe
Word	whitis	whitis
Word	window	window
Word	withdr	withdr
Word	wooden	wooden
Word	wrappe	wrappe
Word	yourse	yourse
Word	zzmgck	zzmgck

Routine 0x5234	routine21044:?
Routine 0x16de8	routine93672:?
Routine 0x16e12	routine93714:?
Routine 0x16e8e	routine93838:?
Routine 0x16ec8	routine93896:?
Routine 0x16f72	routine94066:?
Routine 0x16fa6	routine94118:?
Routine 0x16fb2	routine94130:?
Routine 0x17010	routine94224:?
Routine 0x170c2	routine94402:?
Routine 0x170f6	routine94454:?
Routine 0x17126	routine94502:?
Routine 0x17202	routine94722:?
Routine 0x17412	routine95250:?
Routine 0x1750c	routine95500:?
Routine 0x175fa	routine95738:?
Routine 0x17658	routine95832:?
Routine 0x178d6	routine96470:?
Routine 0x178ec	routine96492:?
Routine 0x17960	routine96608:?
Routine 0x17a06	routine96774:?
Routine 0x17a30	routine96816:?
Routine 0x17a64	routine96868:?
Routine 0x17a8c	routine96908:?
Routine 0x17ba2	routine97186:?
Routine 0x17bae	routine97198:?
Routine 0x17ce6	routine97510:?
Routine 0x17dce	routine97742:?
Routine 0x17f5c	routine98140:?
Routine 0x17fda	routine98266:?
Routine 0x182c8	routine99016:?
Routine 0x182e6	routine99046:?
Routine 0x182fe	routine99070:?
Routine 0x1833a	Action170Sub:?
Routine 0x18372	routine99186:?
Routine 0x18398	Action171Sub:?
Routine 0x184a8	routine99496:?
Routine 0x184b8	routine99512:?
Routine 0x18560	routine99680:?
Routine 0x1856a	routine99690:?
Routine 0x18678	routine99960:?
Routine 0x18700	routine100096:?
Routine 0x187bc	routine100284:?
Routine 0x18816	routine100374:?
