! Auto-generated by Reform.

MD5	f275ddf32ce8a9e744d53c3b99c5a658
				! 'go'/'run'/'walk' 'into'/'in'/'inside'/'through' noun
				! 'get' 'in'/'into'/'on'/'onto' noun
				! 'cross'/'enter' noun
Action 21	Examine		! 'read' noun
				! 'l//'/'look' 'at' noun
				! 'l//'/'look' noun=routine126040
				! 'l//'/'look' 'to' noun=routine126040
Action 22	Exit		! 'stand'
				! 'stand' 'up'
				! 'leave' noun
				! 'get' 'out'/'off'/'up'
				! 'exit'/'out'/'outside'
				! 'exit'/'out'/'outside' noun
Action 23	Fill		! 'fill' noun
				! 'fill' noun 'with' noun
Action 24	FullScore	! 'full'/'fullscore'
				! 'full'/'fullscore' 'score'
Action 25	GetOff		! 'get' 'off' noun
Action 26	Give		! 'feed'/'give'/'offer'/'pay' held 'to' creature
				! 'feed'/'give'/'offer'/'pay' creature held
				! 'feed'/'give'/'offer'/'pay' 'over' held 'to' creature
Action 27	Go		! 'leave' noun=routine126040
				! 'go'/'run'/'walk' noun=routine126040
Action 28	Insert		! 'put' multiexcept 'in'/'inside'/'into' noun
				! 'insert' multiexcept 'in'/'into' noun
				! 'discard'/'drop'/'throw' multiexcept 'in'/'into'/'down' noun
Action 29	Inv		! 'carry'/'hold'/'take' 'inventory'
				! 'i//'/'inv'/'inventory'
Action 30	Jump		! 'hop'/'jump'/'skip'
Action 31	JumpOver	! 'hop'/'jump'/'skip' 'over' noun
Action 32	Tie		! 'attach'/'fasten'/'fix'/'tie' noun
				! 'attach'/'fasten'/'fix'/'tie' noun 'to' noun
Action 33	Kiss		! 'embrace'/'hug'/'kiss' creature
				! 'embrace'/'hug'/'kiss' noun
Action 34	Listen		! 'hear'/'listen'
				! 'hear'/'listen' noun
				! 'hear'/'listen' 'to' noun
Action 35	LMode1		! 'brief'/'normal'
Action 36	LMode2		! 'long'/'verbose'
Action 37	LMode3		! 'short'/'superbrie'
Action 38	Lock		! 'lock' noun 'with' held
Action 39	LookUnder	! 'l//'/'look' 'under' noun
Action 40	Mild		! 'bother'/'curses'/'darn'/'drat'
				! 'bother'/'curses'/'darn'/'drat' topic
Action 41	No		! 'no'
Action 42	Yes		! 'y//'/'yes'
Action 43	NotifyOff	! 'notify' 'off'
Action 44	NotifyOn	! 'notify'
				! 'notify' 'on'
Action 45	Objects		! 'objects'
Action 46	Open		! 'open'/'uncover'/'undo'/'unwrap' noun
Action 47	Places		! 'places'
Action 48	Pray		! 'pray'
Action 49	Pronouns	! 'nouns'/'pronouns'
Action 50	Pull		! 'drag'/'pull'/'unplug' noun
Action 51	Push		! 'ring' noun
				! 'clear'/'move'/'press'/'push'/'shift' noun
Action 52	Turn		! 'screw' noun
				! 'rotate'/'turn'/'twist'/'unscrew' noun
Action 53	PushDir		! 'clear'/'move'/'press'/'push'/'shift' noun noun
Action 54	PutOn		! 'put' multiexcept 'on'/'onto' noun
				! 'discard'/'drop'/'throw' multiexcept 'on'/'onto' noun
				! 'close'/'cover'/'shut' noun 'with' noun
Action 55	Quit		! 'die'/'q//'/'quit'
Action 56	Remove		! 'carry'/'hold'/'take' multiinside 'from' noun
				! 'carry'/'hold'/'take' multiinside 'off' noun
				! 'remove' multiinside 'from' noun
				! 'get' multiinside 'from' noun
Action 57	Restart		! 'restart'
Action 58	Restore		! 'restore'
Action 59	Rub		! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' noun
Action 60	Save		! 'save'
Action 61	Score		! 'score'
Action 62	ScriptOff	! 'noscript'/'unscript'
				! 'script'/'transcrip' 'off'
Action 63	ScriptOn	! 'script'/'transcrip'
				! 'script'/'transcrip' 'on'
Action 64	Search		! 'search' noun
				! 'l//'/'look' 'inside'/'in'/'into'/'through'/'on' noun
Action 65	Set		! 'adjust'/'set' noun
Action 66	SetTo		! 'adjust'/'set' noun 'to' special
Action 67	Show		! 'display'/'present'/'show' creature held
				! 'display'/'present'/'show' held 'to' creature
Action 68	Sing		! 'sing'
Action 69	Sleep		! 'nap'/'sleep'
Action 70	Smell		! 'smell'/'sniff'
				! 'smell'/'sniff' noun
Action 71	Sorry		! 'sorry'
Action 72	Squeeze		! 'squash'/'squeeze' noun
Action 73	Strong		! 'have' 'sex' 'with' creature
				! 'screw' creature
				! 'damn'/'fuck'/'shit'/'sod' noun
				! 'damn'/'fuck'/'shit'/'sod'
				! 'damn'/'fuck'/'shit'/'sod' topic
Action 74	Swim		! 'dive'/'swim'
Action 75	Swing		! 'swing' noun
				! 'swing' 'on' noun
Action 76	SwitchOff	! 'screw' noun 'off'
				! 'screw' 'off' noun
				! 'rotate'/'turn'/'twist'/'unscrew' noun 'off'
				! 'rotate'/'turn'/'twist'/'unscrew' 'off' noun
				! 'switch' noun 'off'
				! 'switch' 'off' noun
				! 'close'/'cover'/'shut' 'off' noun
Action 77	SwitchOn	! 'screw' noun 'on'
				! 'screw' 'on' noun
				! 'rotate'/'turn'/'twist'/'unscrew' noun 'on'
				! 'rotate'/'turn'/'twist'/'unscrew' 'on' noun
				! 'switch' noun
				! 'switch' noun 'on'
				! 'switch' 'on' noun
Action 78	Take		! 'carry'/'hold'/'take' multi
				! 'remove' multi
				! 'pick' 'up' multi
				! 'pick' multi 'up'
				! 'peel' noun
				! 'peel' 'off' noun
				! 'get' multi
Action 79	Taste		! 'taste' noun
Action 80	Tell		! 'tell' creature 'about' topic
Action 81	Think		! 'think'
Action 82	ThrowAt		! 'discard'/'drop'/'throw' held 'at'/'against'/'on'/'onto' noun
Action 83	Touch		! 'feel'/'fondle'/'grope'/'touch' noun
Action 84	Unlock		! 'unlock' noun 'with' held
				! 'force'/'jemmy'/'lever'/'prise'/'prize'/'pry' noun 'with' held
				! 'force'/'jemmy'/'lever'/'prise'/'prize'/'pry' 'apart'/'open' noun 'with' held
				! 'force'/'jemmy'/'lever'/'prise'/'prize'/'pry' noun 'apart'/'open' 'with' held
				! 'open'/'uncover'/'undo'/'unwrap' noun 'with' held
Action 85	VagueGo		! 'leave'
				! 'go'/'run'/'walk'
Action 86	Verify		! 'verify'
Action 87	Wait		! 'wait'/'z//'
Action 88	Wake		! 'awake'/'awaken'/'wake'
				! 'awake'/'awaken'/'wake' 'up'
Action 89	WakeOther	! 'awake'/'awaken'/'wake' creature
				! 'awake'/'awaken'/'wake' creature 'up'
				! 'awake'/'awaken'/'wake' 'up' creature
Action 90	Wave		! 'wave' noun
				! 'wave' noun 'at' noun
Action 91	WaveHands	! 'wave'
Action 92	Wear		! 'don'/'wear' held
				! 'put' 'on' held
Action 93	AskTo		! 'tell' creature 'to' topic
				! 'ask' creature 'to' topic
				! 'ask' 'that' creature topic
Action 94	AskFor		! 'ask' creature 'for' noun
Action 97	Transfer	! 'transfer' noun 'to' noun
				! 'clear'/'move'/'press'/'push'/'shift' noun 'to' noun
Action 98	ZoomIn		! 'zoom' 'in'
Action 99	ZoomOut		! 'zoom' 'out'
Action 100	ZoomAway	! 'zoom' 'away'/'absent'
Action 101	Zoom		! 'zoom'
Action 102	Empty		! 'empty'/'pour' noun
				! 'empty'/'pour' 'out' noun
				! 'empty'/'pour' noun 'out'
Action 103	Plug		! 'plug' noun
				! 'plug' 'in' noun
				! 'plug' noun 'in'
Action 104	Alakazoo	! 'alakazoo'
Action 105	Mix		! 'mix' noun
Action 106	Knock		! 'knock' noun
				! 'knock' 'on' noun
Action 107	Cook		! 'cook' noun
Action 108	Use		! 'use' noun
Action 109	PutUnder	! 'wedge' noun 'with' noun
				! 'put' noun 'under' noun
Action 110	Read		! 'read' noun
Action 111	Water		! 'water' noun
Action 112	Plant		! 'bury'/'plant' noun
				! 'bury'/'plant' noun 'in' noun
Action 113	Alakazam	! 'alakazam'
Action 114	Paint		! 'paint' noun
Action 115	Sell		! 'sell' noun
Action 116	Watch		! 'check'/'describe'/'examine'/'watch'/'x//' noun
Action 117	ClimbUp		! 'climb'/'scale' 'up' noun
Action 118	ClimbDown	! 'climb'/'scale' 'down' noun
Action 119	LookBehind	! 'l//'/'look' 'behind' noun
Action 120	Flip		! 'flip' noun
Action 121	Separate	! 'separate' noun
Action 122	Milk		! 'milk' noun
Action 123	Pet		! 'pet' noun
Action 124	JumpTo		! 'hop'/'jump'/'skip' 'to' noun
Action 125	Bend		! 'bend'
Action 126	Version		! 'version'
Action 127	GoIn		! 'in'/'inside'
				! 'cross'/'enter'
Action 128	InvTall		! 'i//'/'inv'/'inventory' 'tall'
Action 129	InvWide		! 'i//'/'inv'/'inventory' 'wide'
Action 130	PlugInto	! 'plug' noun 'into' noun
Action 131	Hint		! 'help'/'hint'
Action 132	Oil		! 'oil' noun
				! 'oil' noun 'with' noun
Action 133	Credits		! 'about'/'credits'

Word	"channel	"channel
Word	"distres	"distres
Word	antimacas	antimacas
Word	beanstalk	beanstalk
Word	bell-pus	bell-pus
Word	blackened	blackened
Word	blueprint	blueprint
Word	bye-laws	bye-laws
Word	cinderell	cinderell
Word	contrapti	contrapti
Word	distresse	distresse
Word	dreadlock	dreadlock
Word	droppings	droppings
Word	dumbbells	dumbbells
Word	eiderdown	eiderdown
Word	electrica	electrica
Word	electrode	electrode
Word	enchanted	enchanted
Word	everythin	everythin
Word	expressio	expressio
Word	extremely	extremely
Word	fireplace	fireplace
Word	flagstone	flagstone
Word	floorboar	floorboar
Word	full-siz	full-siz
Word	fullscore	fullscore
Word	gardening	gardening
Word	godmother	godmother
Word	goldilock	goldilock
Word	instructi	instructi
Word	inventory	inventory
Word	just-rig	just-rig
Word	knick-kn	knick-kn
Word	lovemakin	lovemakin
Word	mechanism	mechanism
Word	medium-s	medium-s
Word	milkbottl	milkbottl
Word	mousetrap	mousetrap
Word	nightgown	nightgown
Word	northeast	northeast
Word	northwest	northwest
Word	ornamenta	ornamenta
Word	ornaments	ornaments
Word	overgrown	overgrown
Word	paintbrus	paintbrus
Word	paintings	paintings
Word	pantyhose	pantyhose
Word	pedlar's	pedlar's
Word	pondwater	pondwater
Word	porkchops	porkchops
Word	portraits	portraits
Word	prince's	prince's
Word	recording	recording
Word	refridger	refridger
Word	secateurs	secateurs
Word	seventeen	seventeen
Word	southeast	southeast
Word	southwest	southwest
Word	spectacle	spectacle
Word	staircase	staircase
Word	stockings	stockings
Word	superbrie	superbrie
Word	superlube	superlube
Word	televisio	televisio
Word	transcrip	transcrip
Word	underwear	underwear
Word	vegetable	vegetable
Word	workbench	workbench
Word	wristwatc	wristwatc

Routine 0x7f8c	routine32652:?
Routine 0x7f94	routine32660:?
Routine 0x8220	routine33312:?
Routine 0x822c	routine33324:?
Routine 0x8258	routine33368:?
Routine 0x825c	routine33372:?
Routine 0x8284	routine33412:?
Routine 0x8324	routine33572:?
Routine 0x84fc	routine34044:?
Routine 0x8534	routine34100:?
Routine 0x8580	routine34176:?
Routine 0x8594	routine34196:?
Routine 0x85ac	routine34220:?
Routine 0x8628	routine34344:?
Routine 0x86a4	routine34468:?
Routine 0x86cc	routine34508:?
Routine 0x874c	routine34636:?
Routine 0x87d4	routine34772:?
Routine 0xa88c	routine43148:?
Routine 0xa898	routine43160:?
Routine 0xa8a4	routine43172:?
Routine 0xa8b0	routine43184:?
Routine 0xa8d4	routine43220:?
Routine 0xa9e8	routine43496:?
! References: obj21__Inform_Parser_.parse_input
Routine 0xaa00	routine43520:?
Routine 0xaa08	routine43528:?
Routine 0xaa18	routine43544:?
Routine 0xaa28	routine43560:?
Routine 0xaa2c	routine43564:?
Routine 0xaa38	routine43576:?
Routine 0xacc4	routine44228:?
Routine 0xb9b8	routine47544:?
Routine 0xba90	routine47760:?
Routine 0xbaac	routine47788:?
Routine 0xbc74	routine48244:?
Routine 0xbcb0	routine48304:?
Routine 0xbd7c	routine48508:?
Routine 0xbda0	routine48544:?
Routine 0xc344	routine49988:?
Routine 0xc8c0	routine51392:?
Routine 0xcb00	routine51968:?
Routine 0xcba0	routine52128:?
Routine 0xcc04	routine52228:?
Routine 0xccd0	routine52432:?
Routine 0xcd98	routine52632:?
Routine 0xce24	routine52772:?
Routine 0xcef4	routine52980:?
Routine 0xcf70	routine53104:?
Routine 0xcfb8	routine53176:?
Routine 0xd028	routine53288:?
Routine 0xd18c	routine53644:?
Routine 0xd1ec	routine53740:?
Routine 0xd208	routine53768:?
Routine 0xd294	routine53908:?
Routine 0xd300	routine54016:?
Routine 0xd464	routine54372:?
Routine 0xd488	routine54408:?
Routine 0xd4e4	routine54500:?
Routine 0xd514	routine54548:?
Routine 0xd598	routine54680:?
Routine 0xd610	routine54800:?
Routine 0xd674	routine54900:?
Routine 0xd6a4	routine54948:?
Routine 0xd6dc	routine55004:?
Routine 0xd70c	routine55052:?
Routine 0xd840	routine55360:?
Routine 0xd858	routine55384:?
Routine 0xd900	routine55552:?
Routine 0xd918	routine55576:?
Routine 0xd930	routine55600:?
Routine 0xd954	routine55636:?
Routine 0xd9c4	PronounsSub:?
Routine 0xdae8	routine56040:?
Routine 0xdb6c	routine56172:?
Routine 0xdbec	routine56300:?
Routine 0xdbf4	routine56308:?
Routine 0xdc20	routine56352:?
! References: obj22__Inform_Library_.play
Routine 0xdcfc	routine56572:?
! References: obj22__Inform_Library_.end_turn_sequence
Routine 0xe390	routine58256:?
! References: obj22__Inform_Library_.begin_action
Routine 0xe3b8	routine58296:?
Routine 0xe3ec	routine58348:?
Routine 0xe414	routine58388:?
Routine 0xe490	routine58512:?
Routine 0xe4b0	routine58544:?
Routine 0xe4bc	routine58556:?
Routine 0xe578	routine58744:?
Routine 0xe598	routine58776:?
Routine 0xe62c	routine58924:?
Routine 0xe674	routine58996:?
Routine 0xe6b0	routine59056:?
Routine 0xe6f8	routine59128:?
Routine 0xe734	routine59188:?
Routine 0xe740	routine59200:?
Routine 0xe764	routine59236:?
Routine 0xe7c8	routine59336:?
Routine 0xe804	routine59396:?
Routine 0xe824	routine59428:?
Routine 0xe84c	routine59468:?
Routine 0xe85c	routine59484:?
Routine 0xe918	routine59672:?
Routine 0xe998	routine59800:?
Routine 0xea30	routine59952:?
Routine 0xea88	routine60040:?
Routine 0xeaa0	routine60064:?
Routine 0xeab4	routine60084:?
Routine 0xead0	routine60112:?
Routine 0xeb34	routine60212:?
Routine 0xec88	routine60552:?
Routine 0xed14	routine60692:?
Routine 0xee6c	routine61036:?
Routine 0xefc8	routine61384:?
Routine 0xefec	routine61420:?
Routine 0xf014	routine61460:?
Routine 0xf030	routine61488:?
Routine 0xf03c	routine61500:?
Routine 0xf048	routine61512:?
Routine 0xf054	routine61524:?
Routine 0xf08c	routine61580:?
Routine 0xf098	routine61592:?
Routine 0xf0b0	routine61616:?
Routine 0xf0b8	routine61624:?
Routine 0xf110	routine61712:?
Routine 0xf13c	routine61756:?
Routine 0xf1b4	routine61876:?
Routine 0xf22c	routine61996:?
Routine 0xf364	routine62308:?
Routine 0xf370	routine62320:?
Routine 0xf384	routine62340:?
Routine 0xf4b4	routine62644:?
Routine 0xf588	routine62856:?
Routine 0xf5d8	routine62936:?
Routine 0xf62c	routine63020:?
Routine 0xf66c	routine63084:?
Routine 0xf6b8	routine63160:?
Routine 0xf6cc	routine63180:?
Routine 0xf6d4	routine63188:?
Routine 0xf754	routine63316:?
Routine 0xf77c	routine63356:?
! References: obj23__Library_Extensions_.RunAll
Routine 0xf7ac	routine63404:?
! References: obj23__Library_Extensions_.RunUntil
Routine 0xf830	routine63536:?
! References: obj23__Library_Extensions_.RunWhile
Routine 0xf8b4	routine63668:?
Routine 0xf934	routine63796:?
Routine 0xf968	routine63848:?
Routine 0xf974	routine63860:?
Routine 0xfac4	routine64196:?
Routine 0xfcc8	routine64712:?
Routine 0xfd80	routine64896:?
Routine 0x107b8	routine67512:?
Routine 0x10918	routine67864:?
Routine 0x1098c	routine67980:?
! References: GTHintMenu.select, obj267__HintMenu_.select
Routine 0x10c68	routine68712:?
Routine 0x10e54	routine69204:?
Routine 0x10fb0	ObjectsSub:?
Routine 0x10fb8	PlacesSub:?
Routine 0x10fc0	routine69568:?
Routine 0x11058	VersionSub:?
Routine 0x110f8	routine69880:?
Routine 0x11124	routine69924:?
